longitude,latitude,latlng,title,description,type,image,imageBelow,iconURL,terminal,airportCode
4.758560658,52.31124674,"52.31124674, 4.758560658",Wi-Fi,"Free unlimited access is available in all public areas of the airport. Premium, high-speed access is also available for a fee. ",Wi-Fi,images/wifi.png,,images/wifi.png,,AMS
4.768838882,52.30849174,"52.30849174, 4.768838882",Wi-Fi,"Free unlimited access is available in all public areas of the airport. Premium, high-speed access is also available for a fee. ",Wi-Fi,images/wifi.png,,images/wifi.png,,AMS
4.762637615,52.30623514,"52.30623514, 4.762637615",Wi-Fi,"Free unlimited access is available in all public areas of the airport. Premium, high-speed access is also available for a fee. ",Wi-Fi,images/wifi.png,,images/wifi.png,,AMS
4.763259888,52.30986926,"52.30986926, 4.763259888",Wi-Fi,"Free unlimited access is available in all public areas of the airport. Premium, high-speed access is also available for a fee. ",Wi-Fi,images/wifi.png,,images/wifi.png,,AMS
4.761500359,52.30879349,"52.30879349, 4.761500359",Taxis and Public Transportation,,Taxis and Public Transportation,images/taxi-publictrans.png,,images/taxi-publictrans.png,,AMS
4.761199951,52.30952817,"52.30952817, 4.761199951",Rental Cars ,,Rental Cars,images/car-rental.png,,images/car-rental.png,,AMS
4.762294292,52.30870165,"52.30870165, 4.762294292",Rail,,Rail,images/rail.png,,images/rail.png,,AMS
4.758710861,52.30758649,"52.30758649, 4.758710861",Parking,,Parking,images/parking.png,,images/parking.png,,AMS
4.75733757,52.30862294,"52.30862294, 4.75733757",Hotel,,Hotel,images/hotel.png,,images/hotel.png,,AMS
4.764568806,52.30871477,"52.30871477, 4.764568806",Food and Beverages,,Food and Beverages,images/food-beverages.png,,images/food-beverages.png,B-C,AMS
4.762895107,52.30905588,"52.30905588, 4.762895107",Restrooms,,Restrooms,images/restrooms.png,,images/restrooms.png,B-C,AMS
4.764204025,52.30916083,"52.30916083, 4.764204025",ABN AMRO Lounge,,Airline Club,images/airline-lounge.png,,images/airline-lounge.png,B-C,AMS
