longitude,latitude,latlng,title,description,type,image,imageBelow,iconURL,terminal,airportCode
-84.44238245,33.64182581,"33.64182581, -84.44238245",American Airlines Admirals Club,,Airline Lounge,images/american-airlines.png,,images/airline-lounge.png,T,ATL
-84.44235563,33.63892735,"33.63892735, -84.44235563",Delta Sky Club,,Airline Lounge,images/delta.png,,images/airline-lounge.png,T,ATL
-84.44248438,33.64273686,"33.64273686, -84.44248438",United Club,,Airline Lounge,images/united.png,,images/airline-lounge.png,T,ATL
-84.4391048,33.64033416,"33.64033416, -84.4391048",Delta Sky Club,,Airline Lounge,images/delta.png,,images/airline-lounge.png,A,ATL
-84.43581641,33.64197319,"33.64197319, -84.43581641",Delta Sky Club,,Airline Lounge,images/delta.png,,images/airline-lounge.png,B,ATL
-84.4359988,33.63944988,"33.63944988, -84.4359988",Delta Sky Club,,Airline Lounge,images/delta.png,,images/airline-lounge.png,B,ATL
-84.43251193,33.64179008,"33.64179008, -84.43251193",Delta Sky Club,,Airline Lounge,images/delta.png,,images/airline-lounge.png,C,ATL
-84.42927182,33.64184814,"33.64184814, -84.42927182",Delta Sky Club,,Airline Lounge,images/delta.png,,images/airline-lounge.png,D,ATL
-84.42935765,33.63970891,"33.63970891, -84.42935765",United Club,,Airline Lounge,images/united.png,,images/airline-lounge.png,D,ATL
-84.42609072,33.64086562,"33.64086562, -84.42609072",Lufthansa Senator Lounge,,Airline Lounge,images/lufthansa.png,,images/airline-lounge.png,E,ATL
-84.4247067,33.64041902,"33.64041902, -84.4247067",Delta Sky Club,,Airline Lounge,images/delta.png,,images/airline-lounge.png,E,ATL
-84.41996455,33.63945435,"33.63945435, -84.41996455",Delta Sky Club,,Airline Lounge,images/delta.png,,images/airline-lounge.png,F,ATL
-84.44578886,33.64016892,"33.64016892, -84.44578886",Baggage Claim,,Baggage Claim,images/baggage-claim.png,,images/baggage-claim.png,Domestic,ATL
-84.44459796,33.64015999,"33.64015999, -84.44459796",Baggage Claim,,Baggage Claim,images/baggage-claim.png,,images/baggage-claim.png,Domestic,ATL
-84.44526315,33.64016892,"33.64016892, -84.44526315",Baggage Claim,,Baggage Claim,images/baggage-claim.png,,images/baggage-claim.png,Domestic,ATL
-84.4458425,33.64132115,"33.64132115, -84.4458425",Baggage Claim,,Baggage Claim,images/baggage-claim.png,,images/baggage-claim.png,Domestic,ATL
-84.44455504,33.64135688,"33.64135688, -84.44455504",Baggage Claim,,Baggage Claim,images/baggage-claim.png,,images/baggage-claim.png,Domestic,ATL
-84.44527388,33.64131222,"33.64131222, -84.44527388",Baggage Claim,,Baggage Claim,images/baggage-claim.png,,images/baggage-claim.png,Domestic,ATL
-84.41954613,33.63941862,"33.63941862, -84.41954613",Baggage Claim,,Baggage Claim,images/baggage-claim.png,,images/baggage-claim.png,,ATL
-84.41780806,33.6403297,"33.6403297, -84.41780806",Baggage Claim,,Baggage Claim,images/baggage-claim.png,,images/baggage-claim.png,,ATL
-84.44292426,33.64047261,"33.64047261, -84.44292426",ATM,,Bank/ATM,images/bank-atm.png,,images/bank-atm.png,T,ATL
-84.43927646,33.64065125,"33.64065125, -84.43927646",ATM,,Bank/ATM,images/bank-atm.png,,images/bank-atm.png,A,ATL
-84.43583786,33.64087902,"33.64087902, -84.43583786",ATM,,Bank/ATM,images/bank-atm.png,,images/bank-atm.png,B,ATL
-84.43251193,33.64073164,"33.64073164, -84.43251193",ATM,,Bank/ATM,images/bank-atm.png,,images/bank-atm.png,C,ATL
-84.42537189,33.64138368,"33.64138368, -84.42537189",ATM,,Bank/ATM,images/bank-atm.png,,images/bank-atm.png,E,ATL
-84.42488909,33.64057979,"33.64057979, -84.42488909",ATM,,Bank/ATM,images/bank-atm.png,,images/bank-atm.png,E,ATL
-84.42532897,33.63971338,"33.63971338, -84.42532897",ATM,,Bank/ATM,images/bank-atm.png,,images/bank-atm.png,E,ATL
-84.44466233,33.6409862,"33.6409862, -84.44466233",Food and Beverages,,Food and Beverages,images/food-beverages.png,,images/food-beverages.png,Domestic,ATL
-84.4451344,33.64068251,"33.64068251, -84.4451344",Food and Beverages,,Food and Beverages,images/food-beverages.png,,images/food-beverages.png,Domestic,ATL
-84.44469452,33.64063339,"33.64063339, -84.44469452",Food and Beverages,,Food and Beverages,images/food-beverages.png,,images/food-beverages.png,Domestic,ATL
-84.44235563,33.64269667,"33.64269667, -84.44235563",Food and Beverages,,Food and Beverages,images/food-beverages.png,,images/food-beverages.png,T,ATL
-84.44245756,33.64235279,"33.64235279, -84.44245756",Food and Beverages,,Food and Beverages,images/food-beverages.png,,images/food-beverages.png,T,ATL
-84.44233418,33.6420759,"33.6420759, -84.44233418",Food and Beverages,,Food and Beverages,images/food-beverages.png,,images/food-beverages.png,T,ATL
-84.44235027,33.64150872,"33.64150872, -84.44235027",Food and Beverages,,Food and Beverages,images/food-beverages.png,,images/food-beverages.png,T,ATL
-84.44249511,33.63985183,"33.63985183, -84.44249511",Food and Beverages,,Food and Beverages,images/food-beverages.png,,images/food-beverages.png,T,ATL
-84.44247901,33.63916405,"33.63916405, -84.44247901",Food and Beverages,,Food and Beverages,images/food-beverages.png,,images/food-beverages.png,T,ATL
-84.44248438,33.6384584,"33.6384584, -84.44248438",Food and Beverages,,Food and Beverages,images/food-beverages.png,,images/food-beverages.png,T,ATL
-84.43921208,33.64358985,"33.64358985, -84.43921208",Food and Beverages,,Food and Beverages,images/food-beverages.png,,images/food-beverages.png,A,ATL
-84.43926573,33.64265648,"33.64265648, -84.43926573",Food and Beverages,,Food and Beverages,images/food-beverages.png,,images/food-beverages.png,A,ATL
-84.43912089,33.64196425,"33.64196425, -84.43912089",Food and Beverages,,Food and Beverages,images/food-beverages.png,,images/food-beverages.png,A,ATL
-84.43947494,33.64096387,"33.64096387, -84.43947494",Food and Beverages,,Food and Beverages,images/food-beverages.png,,images/food-beverages.png,A,ATL
-84.43929791,33.64001707,"33.64001707, -84.43929791",Food and Beverages,,Food and Beverages,images/food-beverages.png,,images/food-beverages.png,A,ATL
-84.43909943,33.63911492,"33.63911492, -84.43909943",Food and Beverages,,Food and Beverages,images/food-beverages.png,,images/food-beverages.png,A,ATL
-84.43911552,33.63813237,"33.63813237, -84.43911552",Food and Beverages,,Food and Beverages,images/food-beverages.png,,images/food-beverages.png,A,ATL
-84.43597734,33.64363897,"33.64363897, -84.43597734",Food and Beverages,,Food and Beverages,images/food-beverages.png,,images/food-beverages.png,B,ATL
-84.4359237,33.64309413,"33.64309413, -84.4359237",Food and Beverages,,Food and Beverages,images/food-beverages.png,,images/food-beverages.png,B,ATL
-84.4359827,33.64265648,"33.64265648, -84.4359827",Food and Beverages,,Food and Beverages,images/food-beverages.png,,images/food-beverages.png,B,ATL
-84.43580568,33.64216522,"33.64216522, -84.43580568",Food and Beverages,,Food and Beverages,images/food-beverages.png,,images/food-beverages.png,B,ATL
-84.43580568,33.6416427,"33.6416427, -84.43580568",Food and Beverages,,Food and Beverages,images/food-beverages.png,,images/food-beverages.png,B,ATL
-84.43628311,33.64060659,"33.64060659, -84.43628311",Food and Beverages,,Food and Beverages,images/food-beverages.png,,images/food-beverages.png,B,ATL
-84.43539262,33.64067358,"33.64067358, -84.43539262",Food and Beverages,,Food and Beverages,images/food-beverages.png,,images/food-beverages.png,B,ATL
-84.43581641,33.63976251,"33.63976251, -84.43581641",Food and Beverages,,Food and Beverages,images/food-beverages.png,,images/food-beverages.png,B,ATL
-84.43581641,33.63893181,"33.63893181, -84.43581641",Food and Beverages,,Food and Beverages,images/food-beverages.png,,images/food-beverages.png,B,ATL
-84.43582177,33.63790013,"33.63790013, -84.43582177",Food and Beverages,,Food and Beverages,images/food-beverages.png,,images/food-beverages.png,B,ATL
-84.43261385,33.64284404,"33.64284404, -84.43261385",Food and Beverages,,Food and Beverages,images/food-beverages.png,,images/food-beverages.png,C,ATL
-84.43259239,33.64221435,"33.64221435, -84.43259239",Food and Beverages,,Food and Beverages,images/food-beverages.png,,images/food-beverages.png,C,ATL
-84.43268895,33.6414596,"33.6414596, -84.43268895",Food and Beverages,,Food and Beverages,images/food-beverages.png,,images/food-beverages.png,C,ATL
-84.43272114,33.64120057,"33.64120057, -84.43272114",Food and Beverages,,Food and Beverages,images/food-beverages.png,,images/food-beverages.png,C,ATL
-84.43251729,33.64045475,"33.64045475, -84.43251729",Food and Beverages,,Food and Beverages,images/food-beverages.png,,images/food-beverages.png,C,ATL
-84.43268895,33.64017338,"33.64017338, -84.43268895",Food and Beverages,,Food and Beverages,images/food-beverages.png,,images/food-beverages.png,C,ATL
-84.43268359,33.63932036,"33.63932036, -84.43268359",Food and Beverages,,Food and Beverages,images/food-beverages.png,,images/food-beverages.png,C,ATL
-84.43269432,33.63850306,"33.63850306, -84.43269432",Food and Beverages,,Food and Beverages,images/food-beverages.png,,images/food-beverages.png,C,ATL
-84.43268895,33.63801179,"33.63801179, -84.43268895",Food and Beverages,,Food and Beverages,images/food-beverages.png,,images/food-beverages.png,C,ATL
-84.42936301,33.64276812,"33.64276812, -84.42936301",Food and Beverages,,Food and Beverages,images/food-beverages.png,,images/food-beverages.png,D,ATL
-84.42936838,33.64230367,"33.64230367, -84.42936838",Food and Beverages,,Food and Beverages,images/food-beverages.png,,images/food-beverages.png,D,ATL
-84.42927718,33.64196425,"33.64196425, -84.42927718",Food and Beverages,,Food and Beverages,images/food-beverages.png,,images/food-beverages.png,D,ATL
-84.42936838,33.6416695,"33.6416695, -84.42936838",Food and Beverages,,Food and Beverages,images/food-beverages.png,,images/food-beverages.png,D,ATL
-84.42926645,33.64136581,"33.64136581, -84.42926645",Food and Beverages,,Food and Beverages,images/food-beverages.png,,images/food-beverages.png,D,ATL
-84.42947567,33.64096834,"33.64096834, -84.42947567",Food and Beverages,,Food and Beverages,images/food-beverages.png,,images/food-beverages.png,D,ATL
