longitude,latitude,latlng,title,description,type,image,imageBelow,iconURL,terminal,airportCode
54.64495003,24.42753119,"24.42753119, 54.64495003",Etihad Arrival Lounge,"If you are flying Etihad Diamond First Class or Pearl Business Class, you will receive your lounge invitation upon arrival at Abu Dhabi International Airport. Located at the Arrivals Hall, immediately to the right after you pass through customs, it will mean you can arrive home or at your next meeting felling confident and refreshed. <BR>
There are 10 individual shower units - each fully stocked with bath amenities and linked directly to a complimentary clothes steaming service area. The steaming process only takes 10 minutes, and therefore guests can simply leave their suits or dresses with the attending staff, before proceeding to the shower area.<BR>
A new concept called ""SHAVE"" is being offered inside the lounge. Male guests can now choose to get themselves a complimentary wet shave by qualified barbers.<BR>
Guests can also catch up on the latest news and enjoy other entertainment, or simply a moment of quiet relaxation before a busy day ahead, with comfortable seating, large screen televisions, reading materials and refreshments.<BR>
The arrivals lounge contains an onsite business center equipped with a large-screen Apple computer, printer, and complimentary connectivity options.<BR>",Airline Club,images/etihad-logo.png,,images/airline-lounge.png,1,AUH
54.64526653,24.42777052,"24.42777052, 54.64526653",Al Dar Lounge,Relax as you receive royal treatment while our Al Dar Lounge team handles all the airport formalities and logistics for you. Our private Al Dar lounges and dedicated Special Services Officers will make the start or end of your journey a pleasant and unforgettable experience. You will have access to a luxurious Al Dar private lounge where you can relax and enjoy canapes and refreshments while a dedicated team takes care of all your travel needs.,Airline Club,images/airline-lounge.png,,images/airline-lounge.png,1,AUH
54.64661837,24.42701835,"24.42701835, 54.64661837",Al Reem Lounge,"If you are a Priority pass, Airport Angel, Diners Club International, American Express (issued in Middle East, Hong Kong , Singapore, Taiwan and Canada) and MasterCard guest (debit cards issued in Middle East and Africa. For any issues regarding charges and entitlements, please contact your card issuing company for details. Online reservations are recommended via www.plaza-network.com and the service is subject to availability. Access the Al Reem Lounge as follows: <BR>
For 2 hours for AED 150 per person<BR>
For 5 hours for AED 250 per person<BR>
For 10 hours for AED 400 per person<BR>
Children aged 2 to11 can enjoy 30% discount.",Airline Club,images/airline-lounge.png,,images/airline-lounge.png,1,AUH
54.64638233,24.42697928,"24.42697928, 54.64638233",Etihad Premium Lounge,"If you are flying Etihad Diamond First Class, you will receive your lounge invitation upon check-in. Discover comfort that sets the bar for your luxurious flight ahead and all the space you need to work, play or relax. A VIP Hostess will welcome you into the lounge and make sure your stay is as comfortable as possible. <br>
Take a refreshing shower while your clothes are ironed and your shoes polished. Choose from our a la carte menu in our world-class restaurant. The chef's table puts you right at the heart of the kitchen. Savor boutique wines handpicked from some of the best vineyards in the world by our sommeliers, or visit our Champagne Bar and enjoy a glass of bubbly from our exclusive selection. <br>
There are two comfortable beds to allow you to catch up on lost sleep. Available on a first come, first served basis.<br>
Equipped with books, toys, TV and an exciting children's dining menu, our family room is designed to keep children busy and happy. Qualified nannies will watch over your kids, taking care that they are safe and engaged. <BR>Enjoy Six Senses Spa, located in the Etihad Diamond First and Pearl Business Class lounges.",Airline Club,images/etihad-logo.png,,images/airline-lounge.png,1,AUH
54.64695096,24.42678391,"24.42678391, 54.64695096",Al Dhabi Lounge,"If you are flying First or Business Class with any airline except for Etihad Airways or are eligible for lounge access in line with your airline's frequent flyer programme (except for Etihad Airways), you will be issued an invitation to this lounge at the check-in counter. If not, you can access The Al Dhabi Lounge for as follows:  <BR>
For 2 hours for AED 180 per person <BR>
For 5 hours for AED 320 per person <BR>
For 10 hours for AED 520 per person <BR>
Children aged 2 to11 can enjoy 30% discount.<BR>
You may also use the shower facilities with full amenities for AED 85 per person. Online booking at www.plaza-network.com.",Airline Club,images/airline-lounge.png,,images/airline-lounge.png,1,AUH
54.64151144,24.42857153,"24.42857153, 54.64151144",Etihad First and Business Class Lounges,"""If you are flying Etihad Diamond First Class, you will receive your lounge invitation upon check-in. Discover comfort that sets the bar for your luxurious flight ahead and all the space you need to work, play or relax. A VIP Hostess will welcome you into the lounge and make sure your stay is as comfortable as possible. <br>
Take a refreshing shower while your clothes are ironed and your shoes polished. Choose from our _ la carte menu in our world-class restaurant. The chef's table puts you right at the heart of the kitchen. Savor boutique wines handpicked from some of the best vineyards in the world by our sommeliers, or visit our Champagne Bar and enjoy a glass of bubbly from our exclusive selection. <br>
There are two comfortable beds to allow you to catch up on lost sleep. Available on a first come, first served basis.<br>
Equipped with books, toys, TV and an exciting children's dining menu, our family room is designed to keep children busy and happy. Qualified nannies will watch over your kids, taking care that they are safe and engaged. <BR>Enjoy Six Senses Spa, located in the Etihad Diamond First and Pearl Business Class lounges.""",Airline Club,images/etihad-logo.png,,images/airline-lounge.png,3,AUH
54.65699583,24.42015825,"24.4201582450294, 54.65699583",Al Ghazal Lounge,"
Al Ghazal Lounge by Plaza Premium Lounge at Terminal 2. If you are flying First or Business Class with any airline except for Etihad Airways or are eligible for lounge access in line with your airline's frequent flyer programme (except for Etihad Airways), you will be issued an invitation to this lounge at the check-in counter. If not, you can access the Al Ghazal Lounge for two hours at a walk-in rate of AED 100 ,or for five four hours at a walk-in rate of AED 160. Children aged 2 to11 can enjoy 30% discount. Online booking at www.plaza-network.com. <BR>
If you are a Priority Pass, Airport Angel or Veloce Logistics guest, you will have complimentary access in line with your programme entitlements.<BR>
Any traveler with international departure boarding pass may access the lounge regardless of airline or service class.<BR>
If you are a Priority pass, Airport Angel, Diners Club International, American Express (issued in Middle East, Hong Kong , Singapore, Taiwan and Canada) and MasterCard guest (debit cards issued in Middle East and Africa. For any issues regarding charges and entitlements, please contact your card issuing company for details. Online reservations are recommended via www.plaza-network.com and the service is subject to availability. +971 2 505 6544 Email: uae@plaza-network.com",Airline Club,images/airline-lounge.png,,images/airline-lounge.png,2,AUH
54.64151144,24.42857153,"24.42857153, 54.64151144",Etihad Diamond First Class Lounges,"If you are flying Etihad Diamond First Class, you will receive your lounge invitation upon check-in. Discover comfort that sets the bar for your luxurious flight ahead and all the space you need to work, play or relax. A VIP Hostess will welcome you into the lounge and make sure your stay is as comfortable as possible. <br>
Take a refreshing shower while your clothes are ironed and your shoes polished. Choose from our _ la carte menu in our world-class restaurant. The chef's table puts you right at the heart of the kitchen. Savor boutique wines handpicked from some of the best vineyards in the world by our sommeliers, or visit our Champagne Bar and enjoy a glass of bubbly from our exclusive selection. <br>
There are two comfortable beds to allow you to catch up on lost sleep. Available on a first come, first served basis.<br>
Equipped with books, toys, TV and an exciting children's dining menu, our family room is designed to keep children busy and happy. Qualified nannies will watch over your kids, taking care that they are safe and engaged. <BR>Enjoy Six Senses Spa, located in the Etihad Diamond First and Pearl Business Class lounges.",Airline Club,images/etihad-logo.png,,images/airline-lounge.png,3,AUH
54.64151144,24.42857153,"24.42857153, 54.64151144",Etihad Pearl Business Class Lounge ,"If you are flying Etihad Pearl Business Class, you will receive your lounge invitation upon check-in. Pearl Business Class Lounge sets the tone for your luxurious flight ahead. Take a refreshing shower while your clothes are ironed and your shoes polished.<BR>
Choose from a wide spread of dishes at our international buffet and savor boutique wines handpicked from some of the best vineyards in the world by our sommeliers.<BR> 
Equipped with books, toys, TV and an exciting children's dining menu, our family room is designed to keep children busy and happy. Qualified nannies will watch over your kids, taking care that they are safe and engaged.<BR>
With Macs and complimentary broadband internet access as well as fax, telephone and printing facilities, you're able to attend to business as usual.<BR>
Browse a selection of the best magazines, newspapers and books in our well-stocked library.<BR>Enjoy Six Senses Spa, located in the Etihad Diamond First and Pearl Business Class lounges.",Airline Club,images/etihad-logo.png,,images/airline-lounge.png,3,AUH
54.64544356,24.42743351,"24.42743351, 54.64544356",Baggage Claim,"Also available are storage and printing facilities at Terminal 1 and at Arrival Hall. Wrapping and packaging facilities are now available at Terminals 1, 1A & 3. Shipping provided by QuickShip works with several key partners including Al Tamy, Al Tayar, FedEx and Aramex. ",Baggage Claim,images/baggage-claim.png,,images/baggage-claim.png,1,AUH
