longitude,latitude,latlng,title,description,type,image,imageBelow,iconURL,terminal,airportCode
2.076823711,41.30287737,"41.30287737, 2.076823711",Wi-Fi,"15 minutes of free access,<br>powered by KubiWireless.",Wi-Fi,images/wifi.png,,images/wifi.png,2,BCN
2.073647976,41.28865827,"41.28865827, 2.073647976",Wi-Fi,"15 minutes of free access,<br>powered by KubiWireless.",Wi-Fi,images/wifi.png,,images/wifi.png,1,BCN
2.082488537,41.30503737,"41.30503737, 2.082488537",Food and Beverages,,Food and Beverages,images/food-beverages.png,,images/food-beverages.png,2,BCN
2.082788944,41.30465857,"41.30465857, 2.082788944",Restrooms,,Restrooms,images/restrooms.png,,images/restrooms.png,2,BCN
2.079463005,41.30313528,"41.30313528, 2.079463005",Security Checkpoint,,Security Checkpoint,images/security-check.png,,images/security-check.png,2,BCN
2.076888084,41.30220034,"41.30220034, 2.076888084",Security Checkpoint,,Security Checkpoint,images/security-check.png,,images/security-check.png,2,BCN
2.074227333,41.30132986,"41.30132986, 2.074227333",Security Checkpoint,,Security Checkpoint,images/security-check.png,,images/security-check.png,2,BCN
2.079119682,41.30387678,"41.30387678, 2.079119682",Baggage Claim,,Baggage Claim,images/baggage-claim.png,,images/baggage-claim.png,2,BCN
2.073969841,41.30403797,"41.30403797, 2.073969841",Taxis and Public Transportation,,Taxis and Public Transportation,images/taxi-publictrans.png,,images/taxi-publictrans.png,2,BCN
2.073218822,41.30424753,"41.30424753, 2.073218822",Rail,,Rail,images/rail.png,,images/rail.png,2,BCN
2.076995373,41.30518244,"41.30518244, 2.076995373",Parking,,Parking,images/parking.png,,images/parking.png,2,BCN
2.075031996,41.30125732,"41.30125732, 2.075031996",A40,,Gate,,,,2,BCN
2.075031996,41.30105582,"41.30105582, 2.075031996",A41,,Gate,,,,2,BCN
2.075010538,41.30089462,"41.30089462, 2.075010538",A42,,Gate,,,,2,BCN
2.074227333,41.3006367,"41.3006367, 2.074227333",A43,,Gate,,,,2,BCN
2.073948383,41.3007576,"41.3007576, 2.073948383",A44,,Gate,,,,2,BCN
2.073605061,41.3009188,"41.3009188, 2.073605061",A45,,Gate,,,,2,BCN
2.074774504,41.30062864,"41.30062864, 2.074774504",A46-A49,,Gate,,,,2,BCN
2.073208094,41.30083014,"41.30083014, 2.073208094",A50,,Gate,,,,2,BCN
2.072736025,41.30065282,"41.30065282, 2.072736025",A51,,Gate,,,,2,BCN
2.072457075,41.30052385,"41.30052385, 2.072457075",A52,,Gate,,,,2,BCN
2.071695328,41.30045131,"41.30045131, 2.071695328",A53,,Gate,,,,2,BCN
2.071502209,41.3006367,"41.3006367, 2.071502209",A54,,Gate,,,,2,BCN
2.071062326,41.3009188,"41.3009188, 2.071062326",A55,,Gate,,,,2,BCN
2.072167397,41.30034653,"41.30034653, 2.072167397",A56-A59,,Gate,,,,2,BCN
2.080235481,41.30298215,"41.30298215, 2.080235481",B20,,Gate,,,,2,BCN
2.080289125,41.30280483,"41.30280483, 2.080289125",B21,,Gate,,,,2,BCN
2.080267668,41.30263557,"41.30263557, 2.080267668",B22,,Gate,,,,2,BCN
2.079473734,41.30241796,"41.30241796, 2.079473734",B23,,Gate,,,,2,BCN
2.079173326,41.30259527,"41.30259527, 2.079173326",B24,,Gate,,,,2,BCN
2.078872919,41.30274841,"41.30274841, 2.078872919",B25,,Gate,,,,2,BCN
2.079999447,41.30238572,"41.30238572, 2.079999447",B26-B29,,Gate,,,,2,BCN
2.077617645,41.3021278,"41.3021278, 2.077617645",B30,,Gate,,,,2,BCN
2.077606916,41.30193436,"41.30193436, 2.077606916",B31,,Gate,,,,2,BCN
2.077585459,41.30173286,"41.30173286, 2.077585459",B32,,Gate,,,,2,BCN
2.076770067,41.30150718,"41.30150718, 2.076770067",B33,,Gate,,,,2,BCN
2.076458931,41.30166032,"41.30166032, 2.076458931",B34,,Gate,,,,2,BCN
2.076212168,41.30181346,"41.30181346, 2.076212168",B35,,Gate,,,,2,BCN
2.077274323,41.30143464,"41.30143464, 2.077274323",B36-B39,,Gate,,,,2,BCN
2.08291769,41.30415887,"41.30415887, 2.08291769",C1-C8,,Gate,,,,2,BCN
2.08283186,41.3039332,"41.3039332, 2.08283186",C10,,Gate,,,,2,BCN
2.082853317,41.30372365,"41.30372365, 2.082853317",C11,,Gate,,,,2,BCN
2.082821131,41.30350603,"41.30350603, 2.082821131",C12,,Gate,,,,2,BCN
2.082016468,41.3032723,"41.3032723, 2.082016468",C13,,Gate,,,,2,BCN
2.081726789,41.30343349,"41.30343349, 2.081726789",C14,,Gate,,,,2,BCN
2.081437111,41.30356245,"41.30356245, 2.081437111",C15,,Gate,,,,2,BCN
2.082499266,41.30324812,"41.30324812, 2.082499266",C16-C19,,Gate,,,,2,BCN
2.075707912,41.28941606,"41.28941606, 2.075707912",Shopping,,Shopping,images/shopping.png,,images/shopping.png,1,BCN
2.071502209,41.28811008,"41.28811008, 2.071502209",Parking,,Parking,images/parking.png,,images/parking.png,1,BCN
2.072918415,41.28838418,"41.28838418, 2.072918415",Taxis and Public Transportation,,Taxis and Public Transportation,images/taxi-publictrans.png,,images/taxi-publictrans.png,1,BCN
2.072918415,41.28919033,"41.28919033, 2.072918415",Rental Car,,Rental Car,images/car-rental.png,,images/car-rental.png,1,BCN
2.073047161,41.28962566,"41.28962566, 2.073047161",Baggage Claim,,Baggage Claim,images/baggage-claim.png,,images/baggage-claim.png,1,BCN
