longitude,latitude,latlng,title,description,type,image,imageBelow,iconURL,terminal,airportCode
100.7493711,13.6925238,"13.6925238, 100.7493711",Wi-Fi,Free Wi-Fi access available for 120 minutes.,Wi-Fi,images/wifi.png,,images/wifi.png,1,BKK
100.7475042,13.69471282,"13.69471282, 100.7475042",Cathay Pacific Lounge,,Airline Club,images/cathay.png,,images/airline-lounge.png,1,BKK
100.7520854,13.69099148,"13.69099148, 100.7520854",China Airlines Dynasty Lounge,,Airline Club,images/china-airlines.png,,images/airline-lounge.png,1,BKK
100.7525468,13.69088724,"13.69088724, 100.7525468",JAL Sakura Lounge,,Airline Club,images/japanairline.png,,images/airline-lounge.png,1,BKK
100.7511091,13.69118954,"13.69118954, 100.7511091",Thai Airways Lounge,,Airline Club,images/thai-airways.png,,images/airline-lounge.png,1,BKK
100.7543385,13.69150226,"13.69150226, 100.7543385",Thai Airways Lounge,,Airline Club,images/thai-airways.png,,images/airline-lounge.png,1,BKK
100.7537591,13.68926109,"13.68926109, 100.7537591",Thai Airways Lounge,,Airline Club,images/thai-airways.png,,images/airline-lounge.png,1,BKK
100.7507229,13.69275313,"13.69275313, 100.7507229",Baggage Claim,,Baggage Claim,images/baggage-claim.png,,images/baggage-claim.png,1,BKK
100.7505941,13.69127293,"13.69127293, 100.7505941",Bank/ATM,,Bank/ATM,images/bank-atm.png,,images/bank-atm.png,1,BKK
100.7470536,13.6930033,"13.6930033, 100.7470536",Bank/ATM,,Bank/ATM,images/bank-atm.png,,images/bank-atm.png,1,BKK
100.7499719,13.69189837,"13.69189837, 100.7499719",Food and Beverages,,Food and Beverages,images/food-beverages.png,,images/food-beverages.png,1,BKK
100.7532763,13.69073088,"13.69073088, 100.7532763",Food and Beverages,,Food and Beverages,images/food-beverages.png,,images/food-beverages.png,1,BKK
100.7566667,13.68987611,"13.68987611, 100.7566667",Food and Beverages,,Food and Beverages,images/food-beverages.png,,images/food-beverages.png,1,BKK
100.7475042,13.69216939,"13.69216939, 100.7475042",Food and Beverages,,Food and Beverages,images/food-beverages.png,,images/food-beverages.png,1,BKK
100.7548213,13.69145014,"13.69145014, 100.7548213",A1,,Gate,,,,1,BKK
100.7549608,13.69202346,"13.69202346, 100.7549608",A2,,Gate,,,,1,BKK
100.7550895,13.6926072,"13.6926072, 100.7550895",A3,,Gate,,,,1,BKK
100.7552397,13.69307627,"13.69307627, 100.7552397",A4,,Gate,,,,1,BKK
100.7553685,13.6935245,"13.6935245, 100.7553685",A5,,Gate,,,,1,BKK
100.7554543,13.69399357,"13.69399357, 100.7554543",A6,,Gate,,,,1,BKK
100.7553899,13.69065792,"13.69065792, 100.7553899",B1,,Gate,,,,1,BKK
100.7549286,13.68988654,"13.68988654, 100.7549286",B2,,Gate,,,,1,BKK
100.7561088,13.69050155,"13.69050155, 100.7561088",B3,,Gate,,,,1,BKK
100.7555294,13.6897406,"13.6897406, 100.7555294",B4,,Gate,,,,1,BKK
100.7567954,13.69032435,"13.69032435, 100.7567954",B5,,Gate,,,,1,BKK
100.7563448,13.68951127,"13.68951127, 100.7563448",B6,,Gate,,,,1,BKK
100.7531154,13.68956339,"13.68956339, 100.7531154",C1,,Gate,,,,1,BKK
100.7534909,13.68629022,"13.68629022, 100.7534909",C10,,Gate,,,,1,BKK
100.7542098,13.68914643,"13.68914643, 100.7542098",C2,,Gate,,,,1,BKK
100.7529759,13.68897964,"13.68897964, 100.7529759",C3,,Gate,,,,1,BKK
100.7540059,13.68827081,"13.68827081, 100.7540059",C4,,Gate,,,,1,BKK
100.7527828,13.68823953,"13.68823953, 100.7527828",C5,,Gate,,,,1,BKK
100.7538557,13.68764536,"13.68764536, 100.7538557",C6,,Gate,,,,1,BKK
100.7526004,13.68747857,"13.68747857, 100.7526004",C7,,Gate,,,,1,BKK
100.7536626,13.68687397,"13.68687397, 100.7536626",C8,,Gate,,,,1,BKK
100.7524502,13.68673846,"13.68673846, 100.7524502",C9,,Gate,,,,1,BKK
100.7481104,13.69157001,"13.69157001, 100.7481104",D1,,Gate,,,,1,BKK
100.7488561,13.69140323,"13.69140323, 100.7488561",D2,,Gate,,,,1,BKK
100.7494515,13.69124687,"13.69124687, 100.7494515",D3,,Gate,,,,1,BKK
100.7500041,13.69111136,"13.69111136, 100.7500041",D4,,Gate,,,,1,BKK
100.7505459,13.69096021,"13.69096021, 100.7505459",D5,,Gate,,,,1,BKK
100.7510984,13.69082991,"13.69082991, 100.7510984",D6,,Gate,,,,1,BKK
100.7516241,13.69070482,"13.69070482, 100.7516241",D7,,Gate,,,,1,BKK
100.7521015,13.69059016,"13.69059016, 100.7521015",D8,,Gate,,,,1,BKK
100.747,13.69105403,"13.69105403, 100.747",E1,,Gate,,,,1,BKK
100.7452512,13.68879201,"13.68879201, 100.7452512",E10,,Gate,,,,1,BKK
100.7459056,13.69140844,"13.69140844, 100.7459056",E2,,Gate,,,,1,BKK
100.7467747,13.69027223,"13.69027223, 100.7467747",E3,,Gate,,,,1,BKK
100.7457554,13.69077258,"13.69077258, 100.7457554",E4,,Gate,,,,1,BKK
100.7465923,13.68948,"13.68948, 100.7465923",E5,,Gate,,,,1,BKK
100.7455409,13.69009502,"13.69009502, 100.7455409",E6,,Gate,,,,1,BKK
100.7464206,13.68879201,"13.68879201, 100.7464206",E7,,Gate,,,,1,BKK
100.7454121,13.68949042,"13.68949042, 100.7454121",E8,,Gate,,,,1,BKK
100.746249,13.68816656,"13.68816656, 100.746249",E9,,Gate,,,,1,BKK
100.7457983,13.69309712,"13.69309712, 100.7457983",F1,,Gate,,,,1,BKK
100.7454443,13.69224236,"13.69224236, 100.7454443",F2,,Gate,,,,1,BKK
100.7451224,13.69325348,"13.69325348, 100.7451224",F3,,Gate,,,,1,BKK
100.7447684,13.69240914,"13.69240914, 100.7447684",F4,,Gate,,,,1,BKK
100.7444465,13.69342026,"13.69342026, 100.7444465",F5,,Gate,,,,1,BKK
100.7440066,13.69261762,"13.69261762, 100.7440066",F6,,Gate,,,,1,BKK
100.7465708,13.69398315,"13.69398315, 100.7465708",G1,,Gate,,,,1,BKK
100.7467103,13.69459816,"13.69459816, 100.7467103",G2,,Gate,,,,1,BKK
100.746882,13.69524443,"13.69524443, 100.746882",G3,,Gate,,,,1,BKK
100.747,13.69588028,"13.69588028, 100.747",G4,,Gate,,,,1,BKK
100.7471931,13.69633893,"13.69633893, 100.7471931",G5,,Gate,,,,1,BKK
100.7503796,13.69458773,"13.69458773, 100.7503796",Parking,,Parking,images/parking.png,,images/parking.png,1,BKK
100.7522893,13.69406654,"13.69406654, 100.7522893",Parking,,Parking,images/parking.png,,images/parking.png,2,BKK
100.7514095,13.6948796,"13.6948796, 100.7514095",Rail,,Rail,images/rail.png,,images/rail.png,1,BKK
100.7487488,13.69333687,"13.69333687, 100.7487488",Rental Cars ,,Rental Cars,images/car-rental.png,,images/car-rental.png,1,BKK
100.7490492,13.69168989,"13.69168989, 100.7490492",Restrooms,,Restrooms,images/restrooms.png,,images/restrooms.png,1,BKK
100.7517314,13.6910436,"13.6910436, 100.7517314",Restrooms,,Restrooms,images/restrooms.png,,images/restrooms.png,1,BKK
100.7539201,13.68991781,"13.68991781, 100.7539201",Restrooms,,Restrooms,images/restrooms.png,,images/restrooms.png,1,BKK
100.7560658,13.68991781,"13.68991781, 100.7560658",Restrooms,,Restrooms,images/restrooms.png,,images/restrooms.png,1,BKK
100.75495,13.69392061,"13.69392061, 100.75495",Restrooms,,Restrooms,images/restrooms.png,,images/restrooms.png,1,BKK
100.7476544,13.69533825,"13.69533825, 100.7476544",Restrooms,,Restrooms,images/restrooms.png,,images/restrooms.png,1,BKK
