longitude,latitude,latlng,title,description,type,image,imageBelow,iconURL,terminal,airportCode
72.85711169,19.09244541,"19.09244541, 72.85711169",Food and Beverages,,Food and Beverages,images/food-beverages.png,,images/food-beverages.png,1,BOM
72.85318494,19.09226291,"19.09226291, 72.85318494",Security Checkpoint,,Security Checkpoint,images/security-check.png,,images/security-check.png,1,BOM
72.85464406,19.0935201,"19.0935201, 72.85464406",Taxis and Public Transportation,,Taxis and Public Transportation,images/taxi-publictrans.png,,images/taxi-publictrans.png,1,BOM
72.85673618,19.09270901,"19.09270901, 72.85673618",Shopping,,Shopping,images/shopping.png,,images/shopping.png,1,BOM
72.85615683,19.09369246,"19.09369246, 72.85615683",Parking,,Parking,images/parking.png,,images/parking.png,1,BOM
72.8574121,19.09334774,"19.09334774, 72.8574121",Security Checkpoint,,Security Checkpoint,images/security-check.png,,images/security-check.png,1,BOM
72.85420418,19.09209055,"19.09209055, 72.85420418",Food and Beverages,,Food and Beverages,images/food-beverages.png,,images/food-beverages.png,1,BOM
72.85493374,19.09211083,"19.09211083, 72.85493374",Shopping,,Shopping,images/shopping.png,,images/shopping.png,1,BOM
72.85396814,19.09561878,"19.09561878, 72.85396814",Hotel,,Hotel,images/hotel.png,,images/hotel.png,1,BOM
72.87454605,19.0982649,"19.0982649, 72.87454605",Security Checkpoint,,Security Checkpoint,images/security-check.png,,images/security-check.png,2,BOM
72.87457824,19.10194506,"19.10194506, 72.87457824",Parking,,Parking,images/parking.png,,images/parking.png,2,BOM
72.87447095,19.09992757,"19.09992757, 72.87447095",Taxis and Public Transportation,,Taxis and Public Transportation,images/taxi-publictrans.png,,images/taxi-publictrans.png,2,BOM
72.8744173,19.09657179,"19.09657179, 72.8744173",Food and Beverages,,Food and Beverages,images/food-beverages.png,,images/food-beverages.png,2,BOM
72.85688639,19.09310442,"19.09310442, 72.85688639",Wi-Fi,Free Wi-Fi access is available<br>throughout the airport.,Wi-Fi,images/wifi.png,,images/wifi.png,1,BOM
72.85317421,19.0926786,"19.0926786, 72.85317421",Wi-Fi,Free Wi-Fi access is available<br>throughout the airport.,Wi-Fi,images/wifi.png,,images/wifi.png,1,BOM
72.87448168,19.09734231,"19.09734231, 72.87448168",Wi-Fi,Free Wi-Fi access is available<br>throughout the airport.,Wi-Fi,images/wifi.png,,images/wifi.png,2,BOM
