longitude,latitude,latlng,title,description,type,image,imageBelow,iconURL,terminal,airportCode
-71.01739526,42.36292002,"42.36292002, -71.01739526",Admirals Lounge,,Airline Club,images/american-airlines.png,,images/airline-lounge.png,B,BOS
-71.01969123,42.36200836,"42.36200836, -71.01969123",American Airlines Lounge,,Airline Club,images/american-airlines.png,,images/airline-lounge.png,B,BOS
-71.02120399,42.36442622,"42.36442622, -71.02120399",Delta Sky Club,,Airline Club,images/delta.png,,images/airline-lounge.png,A,BOS
-71.02515221,42.36233339,"42.36233339, -71.02515221",Delta Sky Club,,Airline Club,images/delta.png,,images/airline-lounge.png,A,BOS
-71.01763129,42.3604149,"42.3604149, -71.01763129",United Lounge,,Airline Club,images/united.png,,images/airline-lounge.png,B,BOS
-71.01815701,42.36963421,"42.36963421, -71.01815701",USO Lounge,,Airline Club,images/airline-lounge.png,,images/airline-lounge.png,E,BOS
-71.0206461,42.37029211,"42.37029211, -71.0206461",Virgin Atlantic Club,,Airline Club,images/airline-lounge.png,,images/airline-lounge.png,E,BOS
-71.02478743,42.36357007,"42.36357007, -71.02478743",Baggage Claim,,Baggage Claim,images/baggage-claim.png,,images/baggage-claim.png,A,BOS
-71.02489471,42.36233339,"42.36233339, -71.02489471",Baggage Claim,,Baggage Claim,images/baggage-claim.png,,images/baggage-claim.png,A,BOS
-71.01846814,42.36347494,"42.36347494, -71.01846814",Baggage Claim,,Baggage Claim,images/baggage-claim.png,,images/baggage-claim.png,B,BOS
-71.0191226,42.36286453,"42.36286453, -71.0191226",Baggage Claim,,Baggage Claim,images/baggage-claim.png,,images/baggage-claim.png,B,BOS
-71.017465,42.36588085,"42.36588085, -71.017465",Baggage Claim,,Baggage Claim,images/baggage-claim.png,,images/baggage-claim.png,C,BOS
-71.01691246,42.36642385,"42.36642385, -71.01691246",Baggage Claim,,Baggage Claim,images/baggage-claim.png,,images/baggage-claim.png,C,BOS
-71.01692319,42.36675282,"42.36675282, -71.01692319",Baggage Claim,,Baggage Claim,images/baggage-claim.png,,images/baggage-claim.png,C,BOS
-71.01737916,42.3671135,"42.3671135, -71.01737916",Baggage Claim,,Baggage Claim,images/baggage-claim.png,,images/baggage-claim.png,C,BOS
-71.01988435,42.36961043,"42.36961043, -71.01988435",Baggage Claim,,Baggage Claim,images/baggage-claim.png,,images/baggage-claim.png,E,BOS
-71.01885438,42.37000676,"42.37000676, -71.01885438",Baggage Claim,,Baggage Claim,images/baggage-claim.png,,images/baggage-claim.png,E,BOS
-71.01901531,42.36928544,"42.36928544, -71.01901531",Baggage Claim,,Baggage Claim,images/baggage-claim.png,,images/baggage-claim.png,E,BOS
-71.02448702,42.36288831,"42.36288831, -71.02448702",Bank/ATM,,Bank/ATM,images/bank-atm.png,,images/bank-atm.png,A,BOS
-71.02153122,42.364668,"42.364668, -71.02153122",Bank/ATM,,Bank/ATM,images/bank-atm.png,,images/bank-atm.png,A,BOS
-71.01791024,42.3629438,"42.3629438, -71.01791024",Bank/ATM,,Bank/ATM,images/bank-atm.png,,images/bank-atm.png,B,BOS
-71.01705194,42.36326883,"42.36326883, -71.01705194",Bank/ATM,,Bank/ATM,images/bank-atm.png,,images/bank-atm.png,B,BOS
-71.01825356,42.36364934,"42.36364934, -71.01825356",Bank/ATM,,Bank/ATM,images/bank-atm.png,,images/bank-atm.png,B,BOS
-71.01750255,42.36128695,"42.36128695, -71.01750255",Bank/ATM,,Bank/ATM,images/bank-atm.png,,images/bank-atm.png,B,BOS
-71.01699829,42.36601561,"42.36601561, -71.01699829",Bank/ATM,,Bank/ATM,images/bank-atm.png,,images/bank-atm.png,C,BOS
-71.01524949,42.36596409,"42.36596409, -71.01524949",Bank/ATM,,Bank/ATM,images/bank-atm.png,,images/bank-atm.png,C,BOS
-71.01531923,42.3675257,"42.3675257, -71.01531923",Bank/ATM,,Bank/ATM,images/bank-atm.png,,images/bank-atm.png,C,BOS
-71.01774931,42.36754155,"42.36754155, -71.01774931",Bank/ATM,,Bank/ATM,images/bank-atm.png,,images/bank-atm.png,C,BOS
-71.01667643,42.3668202,"42.3668202, -71.01667643",Bank/ATM,,Bank/ATM,images/bank-atm.png,,images/bank-atm.png,C,BOS
