longitude,latitude,latlng,title,description,type,image,imageBelow,iconURL,terminal,airportCode
-76.671045,39.178719,"39.178719, -76.671045",A1,,Gate,,,,A,BWI
-76.671348,39.178974,"39.178974, -76.671348",A2,,Gate,,,,A,BWI
-76.671565,39.179222,"39.179222, -76.671565",A3,,Gate,,,,A,BWI
-76.671675,39.179366,"39.179366, -76.671675",A4,,Gate,,,,A,BWI
-76.671776,39.179531,"39.179531, -76.671776",A5,,Gate,,,,A,BWI
-76.672285,39.180115,"39.180115, -76.672285",A6,,Gate,,,,A,BWI
-76.672938,39.179978,"39.179978, -76.672938",A7,,Gate,,,,A,BWI
-76.672479,39.180384,"39.180384, -76.672479",A8,,Gate,,,,A,BWI
-76.673143,39.180273,"39.180273, -76.673143",A9,,Gate,,,,A,BWI
-76.672983,39.180863,"39.180863, -76.672983",A10,,Gate,,,,A,BWI
-76.673484,39.180638,"39.180638, -76.673484",A11,,Gate,,,,A,BWI
-76.667978,39.179087,"39.179087, -76.667978",C1,,Gate,,,,C,BWI
-76.66832,39.178833,"39.178833, -76.66832",C2,,Gate,,,,C,BWI
-76.667695,39.178782,"39.178782, -76.667695",C3,,Gate,,,,C,BWI
-76.668098,39.178592,"39.178592, -76.668098",C4,,Gate,,,,C,BWI
-76.667457,39.178538,"39.178538, -76.667457",C5,,Gate,,,,C,BWI
-76.667764,39.178224,"39.178224, -76.667764",C6,,Gate,,,,C,BWI
-76.666949,39.178099,"39.178099, -76.666949",C7,,Gate,,,,C,BWI
-76.667409,39.177842,"39.177842, -76.667409",C8,,Gate,,,,C,BWI
-76.666554,39.177674,"39.177674, -76.666554",C9,,Gate,,,,C,BWI
-76.667001,39.177398,"39.177398, -76.667001",C10,,Gate,,,,C,BWI
-76.66625,39.177347,"39.177347, -76.66625",C11,,Gate,,,,C,BWI
-76.666713,39.177089,"39.177089, -76.666713",C12,,Gate,,,,C,BWI
-76.666203,39.177149,"39.177149, -76.666203",C13,,Gate,,,,C,BWI
-76.665168,39.179916,"39.179916, -76.665168",D7,,Gate,,,,D,BWI
-76.665638,39.179731,"39.179731, -76.665638",D8,,Gate,,,,D,BWI
-76.665355,39.17942,"39.17942, -76.665355",D10,,Gate,,,,D,BWI
-76.664605,39.179297,"39.179297, -76.664605",D11,,Gate,,,,D,BWI
-76.665022,39.179061,"39.179061, -76.665022",D12,,Gate,,,,D,BWI
-76.664302,39.178966,"39.178966, -76.664302",D13,,Gate,,,,D,BWI
-76.664787,39.178812,"39.178812, -76.664787",D14,,Gate,,,,D,BWI
-76.664308,39.17876,"39.17876, -76.664308",D15,,Gate,,,,D,BWI
-76.664468,39.17867,"39.17867, -76.664468",D16,,Gate,,,,D,BWI
-76.66494,39.180341,"39.180341, -76.66494",D20,,Gate,,,,D,BWI
-76.665076,39.180762,"39.180762, -76.665076",D21,,Gate,,,,D,BWI
-76.664591,39.180539,"39.180539, -76.664591",D22,,Gate,,,,D,BWI
-76.664769,39.180934,"39.180934, -76.664769",D23,,Gate,,,,D,BWI
-76.664123,39.180801,"39.180801, -76.664123",D24,,Gate,,,,D,BWI
-76.664387,39.181152,"39.181152, -76.664387",D25,,Gate,,,,D,BWI
-76.663737,39.181018,"39.181018, -76.663737",D26,,Gate,,,,D,BWI
-76.664072,39.18133,"39.18133, -76.664072",D27,,Gate,,,,D,BWI
-76.663716,39.18148,"39.18148, -76.663716",D29,,Gate,,,,D,BWI
-76.667894,39.183015,"39.183015, -76.667894",E1,,Gate,,,,E,BWI
-76.667299,39.183359,"39.183359, -76.667299",E3,,Gate,,,,E,BWI
-76.66769,39.182035,"39.182035, -76.66769",E4,,Gate,,,,E,BWI
-76.667384,39.182462,"39.182462, -76.667384",E6,,Gate,,,,E,BWI
-76.666785,39.1828,"39.1828, -76.666785",E8,,Gate,,,,E,BWI
-76.67028,39.177998,"39.177998, -76.67028",B1,,Gate,,,,B,BWI
-76.671099,39.178035,"39.178035, -76.671099",B2,,Gate,,,,B,BWI
-76.670104,39.177725,"39.177725, -76.670104",B3,,Gate,,,,B,BWI
-76.670879,39.177735,"39.177735, -76.670879",B4,,Gate,,,,B,BWI
-76.669769,39.177452,"39.177452, -76.669769",B5,,Gate,,,,B,BWI
-76.670415,39.177294,"39.177294, -76.670415",B6,,Gate,,,,B,BWI
-76.669517,39.177088,"39.177088, -76.669517",B7,,Gate,,,,B,BWI
-76.67012,39.17698,"39.17698, -76.67012",B8,,Gate,,,,B,BWI
-76.669207,39.176753,"39.176753, -76.669207",B9,,Gate,,,,B,BWI
-76.669847,39.176621,"39.176621, -76.669847",B10,,Gate,,,,B,BWI
-76.66908,39.176618,"39.176618, -76.66908",B11,,Gate,,,,B,BWI
-76.669561,39.176357,"39.176357, -76.669561",B12,,Gate,,,,B,BWI
-76.66895,39.176479,"39.176479, -76.66895",B13,,Gate,,,,B,BWI
-76.669128,39.176152,"39.176152, -76.669128",B14,,Gate,,,,B,BWI
