longitude,latitude,latlng,title,description,type,image,imageBelow,iconURL,terminal,airportCode
113.3002853,23.38895977,"23.38895977, 113.3002853",Food and Beverages,,Food and Beverages,images/food-beverages.png,,images/food-beverages.png,1,CAN
113.2983541,23.38874313,"23.38874313, 113.2983541",Security Checkpoint,,Security Checkpoint,images/security-check.png,,images/security-check.png,1,CAN
113.2974744,23.38805382,"23.38805382, 113.2974744",Baggage Claim,,Baggage Claim,images/baggage-claim.png,,images/baggage-claim.png,1,CAN
113.2985687,23.39244565,"23.39244565, 113.2985687",Taxis and Public Transportation,,Taxis and Public Transportation,images/taxi-publictrans.png,,images/taxi-publictrans.png,1,CAN
113.2975817,23.38895977,"23.38895977, 113.2975817",Shopping,,Shopping,images/shopping.png,,images/shopping.png,1,CAN
113.2956719,23.39157911,"23.39157911, 113.2956719",Medical Services,,Medical Services,images/medical-services.png,,images/medical-services.png,1,CAN
113.2989979,23.39396208,"23.39396208, 113.2989979",Parking,,Parking,images/parking.png,,images/parking.png,1,CAN
113.2970667,23.38683274,"23.38683274, 113.2970667",Parking,,Parking,images/parking.png,,images/parking.png,1,CAN
113.2973886,23.38389818,"23.38389818, 113.2973886",Parking,,Parking,images/parking.png,,images/parking.png,1,CAN
113.2955861,23.38139686,"23.38139686, 113.2955861",Taxis and Public Transportation,,Taxis and Public Transportation,images/taxi-publictrans.png,,images/taxi-publictrans.png,1,CAN
113.2968307,23.38913702,"23.38913702, 113.2968307",Security Checkpoint,,Security Checkpoint,images/security-check.png,,images/security-check.png,1,CAN
113.3008218,23.3902596,"23.3902596, 113.3008218",Medical Services,,Medical Services,images/medical-services.png,,images/medical-services.png,1,CAN
113.2950926,23.38708877,"23.38708877, 113.2950926",Food and Beverages,,Food and Beverages,images/food-beverages.png,,images/food-beverages.png,1,CAN
113.2987726,23.38557227,"23.38557227, 113.2987726",A1-4,,Gate,,,,1,CAN
113.3009505,23.38930442,"23.38930442, 113.3009505",A7-11,,Gate,,,,1,CAN
113.3019912,23.39227825,"23.39227825, 113.3019912",A13-18,,Gate,,,,1,CAN
113.2990086,23.38527684,"23.38527684, 113.2990086",A101,,Gate,,,,1,CAN
113.2993197,23.38490263,"23.38490263, 113.2993197",A102,,Gate,,,,1,CAN
113.2996094,23.38449888,"23.38449888, 113.2996094",A103,,Gate,,,,1,CAN
113.3000493,23.38394742,"23.38394742, 113.3000493",A104,,Gate,,,,1,CAN
113.3004892,23.38336641,"23.38336641, 113.3004892",A105,,Gate,,,,1,CAN
113.3014119,23.38319899,"23.38319899, 113.3014119",A106,,Gate,,,,1,CAN
113.3015084,23.38386864,"23.38386864, 113.3015084",A107,,Gate,,,,1,CAN
113.3011007,23.38432163,"23.38432163, 113.3011007",A108,,Gate,,,,1,CAN
113.3006501,23.3848534,"23.3848534, 113.3006501",A109,,Gate,,,,1,CAN
113.3003068,23.38530638,"23.38530638, 113.3003068",A110,,Gate,,,,1,CAN
113.3000171,23.3856412,"23.3856412, 113.3000171",A111,,Gate,,,,1,CAN
113.2996309,23.38607449,"23.38607449, 113.2996309",A112,,Gate,,,,1,CAN
113.3006287,23.38827046,"23.38827046, 113.3006287",A113,,Gate,,,,1,CAN
113.3011866,23.38800458,"23.38800458, 113.3011866",A114,,Gate,,,,1,CAN
113.3016264,23.38778794,"23.38778794, 113.3016264",A115,,Gate,,,,1,CAN
113.3021736,23.38754175,"23.38754175, 113.3021736",A116,,Gate,,,,1,CAN
113.3026457,23.38732511,"23.38732511, 113.3026457",A117,,Gate,,,,1,CAN
113.3029461,23.38761069,"23.38761069, 113.3029461",A118,,Gate,,,,1,CAN
113.302871,23.38815229,"23.38815229, 113.302871",A119,,Gate,,,,1,CAN
113.3023238,23.38843786,"23.38843786, 113.3023238",A120,,Gate,,,,1,CAN
113.3018839,23.3886545,"23.3886545, 113.3018839",A121,,Gate,,,,1,CAN
113.3014548,23.38886129,"23.38886129, 113.3014548",A122,,Gate,,,,1,CAN
113.3009076,23.38897946,"23.38897946, 113.3009076",A123,,Gate,,,,1,CAN
113.3018303,23.39140186,"23.39140186, 113.3018303",A124,,Gate,,,,1,CAN
113.3021629,23.39133294,"23.39133294, 113.3021629",A125,,Gate,,,,1,CAN
113.3025169,23.39124431,"23.39124431, 113.3025169",A126,,Gate,,,,1,CAN
113.3030427,23.39110645,"23.39110645, 113.3030427",A127,,Gate,,,,1,CAN
113.3036757,23.39097844,"23.39097844, 113.3036757",A128,,Gate,,,,1,CAN
113.3039331,23.39129355,"23.39129355, 113.3039331",A129,,Gate,,,,1,CAN
113.3039439,23.3916185,"23.3916185, 113.3039439",A130,,Gate,,,,1,CAN
113.3033109,23.39183514,"23.39183514, 113.3033109",A131,,Gate,,,,1,CAN
