longitude,latitude,latlng,title,description,type,image,imageBelow,iconURL,terminal,airportCode
106.6542006,-6.131402178,"-6.131402178, 106.6542006",Food and Beverages,,Food and Beverages,images/food-beverages.png,,images/food-beverages.png,1,CGK
106.6578054,-6.130292761,"-6.130292761, 106.6578054",Airline Lounge,,Airline Club,images/airline-lounge.png,,images/airline-lounge.png,1,CGK
106.6580844,-6.128745974,"-6.128745974, 106.6580844",Security Checkpoint,,Security Checkpoint,images/security-check.png,,images/security-check.png,1,CGK
106.6527522,-6.130143416,"-6.130143416, 106.6527522",Baggage Claim,,Baggage Claim,images/baggage-claim.png,,images/baggage-claim.png,1,CGK
106.6563463,-6.131583525,"-6.131583525, 106.6563463",Bank/ATM,,Bank/ATM,images/bank-atm.png,,images/bank-atm.png,1,CGK
106.6559923,-6.13093281,"-6.13093281, 106.6559923",Taxis and Public Transportation,,Taxis and Public Transportation,images/taxi-publictrans.png,,images/taxi-publictrans.png,1,CGK
106.6548121,-6.13151952,"-6.13151952, 106.6548121",Shopping,,Shopping,images/shopping.png,,images/shopping.png,1,CGK
106.6538143,-6.129972736,"-6.129972736, 106.6538143",Parking,,Parking,images/parking.png,,images/parking.png,1,CGK
106.6557455,-6.130186086,"-6.130186086, 106.6557455",Parking,,Parking,images/parking.png,,images/parking.png,1,CGK
106.6571617,-6.128735306,"-6.128735306, 106.6571617",Parking,,Parking,images/parking.png,,images/parking.png,1,CGK
106.6561639,-6.131242166,"-6.131242166, 106.6561639",Security Checkpoint,,Security Checkpoint,images/security-check.png,,images/security-check.png,1,CGK
106.6529989,-6.130826135,"-6.130826135, 106.6529989",Security Checkpoint,,Security Checkpoint,images/security-check.png,,images/security-check.png,1,CGK
106.6565824,-6.1308048,"-6.1308048, 106.6565824",Baggage Claim,,Baggage Claim,images/baggage-claim.png,,images/baggage-claim.png,1,CGK
106.6579235,-6.127881904,"-6.127881904, 106.6579235",Baggage Claim,,Baggage Claim,images/baggage-claim.png,,images/baggage-claim.png,1,CGK
106.6578162,-6.129908732,"-6.129908732, 106.6578162",Food and Beverages,,Food and Beverages,images/food-beverages.png,,images/food-beverages.png,1,CGK
106.6573977,-6.130559448,"-6.130559448, 106.6573977",Shopping,,Shopping,images/shopping.png,,images/shopping.png,1,CGK
106.6518831,-6.123865563,"-6.123865563, 106.6518831",Taxis and Public Transportation,,Taxis and Public Transportation,images/taxi-publictrans.png,,images/taxi-publictrans.png,1,CGK
106.6531008,-6.122766798,"-6.122766798, 106.6531008",Taxis and Public Transportation,,Taxis and Public Transportation,images/taxi-publictrans.png,,images/taxi-publictrans.png,1,CGK
106.6530687,-6.122084069,"-6.122084069, 106.6530687",Hotel,,Hotel,images/hotel.png,,images/hotel.png,1,CGK
106.6587979,-6.12774856,"-6.12774856, 106.6587979",A1,,Gate,,,,1,CGK
106.6593289,-6.12803125,"-6.12803125, 106.6593289",A2,,Gate,,,,1,CGK
106.6596991,-6.12828727,"-6.12828727, 106.6596991",A3,,Gate,,,,1,CGK
106.659978,-6.12899666,"-6.12899666, 106.659978",A4,,Gate,,,,1,CGK
106.6594791,-6.129556704,"-6.129556704, 106.6594791",A5,,Gate,,,,1,CGK
106.6590714,-6.129716717,"-6.129716717, 106.6590714",A6,,Gate,,,,1,CGK
106.6584814,-6.129791389,"-6.129791389, 106.6584814",A7,,Gate,,,,1,CGK
106.6573173,-6.131306171,"-6.131306171, 106.6573173",B1,,Gate,,,,1,CGK
106.6573924,-6.131898215,"-6.131898215, 106.6573924",B2,,Gate,,,,1,CGK
106.6573441,-6.132319579,"-6.132319579, 106.6573441",B3,,Gate,,,,1,CGK
106.6568238,-6.13287962,"-6.13287962, 106.6568238",B4,,Gate,,,,1,CGK
106.6561317,-6.13279428,"-6.13279428, 106.6561317",B5,,Gate,,,,1,CGK
106.6558045,-6.132527594,"-6.132527594, 106.6558045",B6,,Gate,,,,1,CGK
106.65537,-6.132063561,"-6.132063561, 106.65537",B7,,Gate,,,,1,CGK
