longitude,latitude,latlng,title,description,type,image,imageBelow,iconURL,terminal,airportCode
-80.94521105,35.21937678,"35.21937678, -80.94521105",US Airways Club,,Airline Club,images/us-airways.png,,images/airline-lounge.png,B,CLT
-80.94283998,35.22027956,"35.22027956, -80.94283998",US Airways Club and Business Center,,Airline Club,images/us-airways.png,,images/airline-lounge.png,atrium,CLT
-80.94392896,35.22044171,"35.22044171, -80.94392896",USO Lounge,,Airline Club,images/airline-lounge.png,,images/airline-lounge.png,atrium,CLT
-80.94467998,35.22086242,"35.22086242, -80.94467998",Baggage Claim,,Baggage Claim,images/baggage-claim.png,,images/baggage-claim.png,atrium,CLT
-80.94392896,35.22089748,"35.22089748, -80.94392896",Baggage Claim,,Baggage Claim,images/baggage-claim.png,,images/baggage-claim.png,atrium,CLT
-80.94300628,35.22092377,"35.22092377, -80.94300628",Baggage Claim,,Baggage Claim,images/baggage-claim.png,,images/baggage-claim.png,atrium,CLT
-80.94415426,35.22023136,"35.22023136, -80.94415426",Bank/ATM,,Bank/ATM,images/bank-atm.png,,images/bank-atm.png,atrium,CLT
-80.94333887,35.22030586,"35.22030586, -80.94333887",Bank/ATM,,Bank/ATM,images/bank-atm.png,,images/bank-atm.png,atrium,CLT
-80.94523787,35.2207178,"35.2207178, -80.94523787",Bank/ATM,,Bank/ATM,images/bank-atm.png,,images/bank-atm.png,atrium,CLT
-80.94758213,35.22017877,"35.22017877, -80.94758213",Bank/ATM,,Bank/ATM,images/bank-atm.png,,images/bank-atm.png,A,CLT
-80.94516277,35.21858355,"35.21858355, -80.94516277",Bank/ATM,,Bank/ATM,images/bank-atm.png,,images/bank-atm.png,B,CLT
-80.94265759,35.21913574,"35.21913574, -80.94265759",Bank/ATM,,Bank/ATM,images/bank-atm.png,,images/bank-atm.png,C,CLT
-80.94013631,35.22048115,"35.22048115, -80.94013631",Bank/ATM,,Bank/ATM,images/bank-atm.png,,images/bank-atm.png,D,CLT
-80.9403348,35.22290458,"35.22290458, -80.9403348",Bank/ATM,,Bank/ATM,images/bank-atm.png,,images/bank-atm.png,E,CLT
-80.94444931,35.22033215,"35.22033215, -80.94444931",Food and Beverages,,Food and Beverages,images/food-beverages.png,,images/food-beverages.png,atrium,CLT
-80.94316721,35.22052059,"35.22052059, -80.94316721",Food and Beverages,,Food and Beverages,images/food-beverages.png,,images/food-beverages.png,atrium,CLT
-80.94369829,35.22031024,"35.22031024, -80.94369829",Food and Beverages,,Food and Beverages,images/food-beverages.png,,images/food-beverages.png,atrium,CLT
-80.94753385,35.22031024,"35.22031024, -80.94753385",Food and Beverages,,Food and Beverages,images/food-beverages.png,,images/food-beverages.png,A,CLT
-80.94713688,35.22020506,"35.22020506, -80.94713688",Food and Beverages,,Food and Beverages,images/food-beverages.png,,images/food-beverages.png,A,CLT
-80.94507158,35.21933734,"35.21933734, -80.94507158",Food and Beverages,,Food and Beverages,images/food-beverages.png,,images/food-beverages.png,B,CLT
-80.94540417,35.21846084,"35.21846084, -80.94540417",Food and Beverages,,Food and Beverages,images/food-beverages.png,,images/food-beverages.png,B,CLT
-80.94521642,35.21837757,"35.21837757, -80.94521642",Food and Beverages,,Food and Beverages,images/food-beverages.png,,images/food-beverages.png,B,CLT
-80.94257712,35.21935487,"35.21935487, -80.94257712",Food and Beverages,,Food and Beverages,images/food-beverages.png,,images/food-beverages.png,C,CLT
-80.94246447,35.21882897,"35.21882897, -80.94246447",Food and Beverages,,Food and Beverages,images/food-beverages.png,,images/food-beverages.png,C,CLT
-80.94244301,35.2183951,"35.2183951, -80.94244301",Food and Beverages,,Food and Beverages,images/food-beverages.png,,images/food-beverages.png,C,CLT
-80.94224989,35.21792179,"35.21792179, -80.94224989",Food and Beverages,,Food and Beverages,images/food-beverages.png,,images/food-beverages.png,C,CLT
-80.9411931,35.22065645,"35.22065645, -80.9411931",Food and Beverages,,Food and Beverages,images/food-beverages.png,,images/food-beverages.png,D,CLT
-80.93994856,35.22050745,"35.22050745, -80.93994856",Food and Beverages,,Food and Beverages,images/food-beverages.png,,images/food-beverages.png,D,CLT
-80.94107509,35.22040665,"35.22040665, -80.94107509",Food and Beverages,,Food and Beverages,images/food-beverages.png,,images/food-beverages.png,D,CLT
-80.94143987,35.22222971,"35.22222971, -80.94143987",Food and Beverages,,Food and Beverages,images/food-beverages.png,,images/food-beverages.png,E,CLT
