longitude,latitude,latlng,title,description,type,image,imageBelow,iconURL,terminal,airportCode
103.9562631,30.58138246,"30.58138246, 103.9562631",Food and Beverages,,Food and Beverages,images/food-beverages.png,,images/food-beverages.png,1,CTU
103.9571214,30.58433811,"30.58433811, 103.9571214",All Nippon Airways Lounge,,Airline Club,images/all-nippon.png,,images/airline-lounge.png,1,CTU
103.9557481,30.58479992,"30.58479992, 103.9557481",Airline Lounge,,Airline Club,images/airline-lounge.png,,images/airline-lounge.png,1,CTU
103.9556408,30.58031102,"30.58031102, 103.9556408",Security Checkpoint,,Security Checkpoint,images/security-check.png,,images/security-check.png,1,CTU
103.9560914,30.58042186,"30.58042186, 103.9560914",Baggage Claim,,Baggage Claim,images/baggage-claim.png,,images/baggage-claim.png,1,CTU
103.9565849,30.58069896,"30.58069896, 103.9565849",Taxis and Public Transportation,,Taxis and Public Transportation,images/taxi-publictrans.png,,images/taxi-publictrans.png,1,CTU
103.9577866,30.58104995,"30.58104995, 103.9577866",Parking,,Parking,images/parking.png,,images/parking.png,1,CTU
103.9562631,30.58154872,"30.58154872, 103.9562631",Security Checkpoint,,Security Checkpoint,images/security-check.png,,images/security-check.png,1,CTU
103.9569068,30.58295266,"30.58295266, 103.9569068",Security Checkpoint,,Security Checkpoint,images/security-check.png,,images/security-check.png,1,CTU
103.9570999,30.58243542,"30.58243542, 103.9570999",Baggage Claim,,Baggage Claim,images/baggage-claim.png,,images/baggage-claim.png,1,CTU
103.9515209,30.56926337,"30.56926337, 103.9515209",Food and Beverages,,Food and Beverages,images/food-beverages.png,,images/food-beverages.png,2,CTU
103.9508986,30.56948508,"30.56948508, 103.9508986",Bank/ATM,,Bank/ATM,images/bank-atm.png,,images/bank-atm.png,2,CTU
103.9527655,30.57257041,"30.57257041, 103.9527655",Airline Lounge,,Airline Club,images/airline-lounge.png,,images/airline-lounge.png,2,CTU
103.9532375,30.57312465,"30.57312465, 103.9532375",Shopping,,Shopping,images/shopping.png,,images/shopping.png,2,CTU
103.9536023,30.57388211,"30.57388211, 103.9536023",Food and Beverages,,Food and Beverages,images/food-beverages.png,,images/food-beverages.png,2,CTU
103.9533877,30.57223786,"30.57223786, 103.9533877",Security Checkpoint,,Security Checkpoint,images/security-check.png,,images/security-check.png,2,CTU
103.9531732,30.57074139,"30.57074139, 103.9531732",Baggage Claim,,Baggage Claim,images/baggage-claim.png,,images/baggage-claim.png,2,CTU
103.9543748,30.57319855,"30.57319855, 103.9543748",Baggage Claim,,Baggage Claim,images/baggage-claim.png,,images/baggage-claim.png,2,CTU
103.9542246,30.57197921,"30.57197921, 103.9542246",Taxis and Public Transportation,,Taxis and Public Transportation,images/taxi-publictrans.png,,images/taxi-publictrans.png,2,CTU
103.9558339,30.57160972,"30.57160972, 103.9558339",Parking,,Parking,images/parking.png,,images/parking.png,2,CTU
103.9515209,30.56976221,"30.56976221, 103.9515209",Medical Services,,Medical Services,images/medical-services.png,,images/medical-services.png,2,CTU
103.9563274,30.57585886,"30.57585886, 103.9563274",Hotel,,Hotel,images/hotel.png,,images/hotel.png,2,CTU
103.9576256,30.58455978,"30.58455978, 103.9576256",A1,,Gate,,,,1,CTU
103.9566922,30.58417185,"30.58417185, 103.9566922",A2-3,,Gate,,,,1,CTU
103.9570463,30.58476297,"30.58476297, 103.9570463",A5,,Gate,,,,1,CTU
103.9562416,30.58432887,"30.58432887, 103.9562416",A6,,Gate,,,,1,CTU
103.956306,30.58500312,"30.58500312, 103.956306",A7,,Gate,,,,1,CTU
103.9556408,30.58453207,"30.58453207, 103.9556408",A8,,Gate,,,,1,CTU
103.9557481,30.58520631,"30.58520631, 103.9557481",A9,,Gate,,,,1,CTU
103.9552224,30.58469832,"30.58469832, 103.9552224",A10,,Gate,,,,1,CTU
103.9549327,30.58516013,"30.58516013, 103.9549327",A11,,Gate,,,,1,CTU
103.9557481,30.58213985,"30.58213985, 103.9557481",B1,,Gate,,,,1,CTU
103.955394,30.58147483,"30.58147483, 103.955394",B2-3,,Gate,,,,1,CTU
103.95504,30.58163185,"30.58163185, 103.95504",B4,,Gate,,,,1,CTU
103.9552438,30.58232458,"30.58232458, 103.9552438",B5,,Gate,,,,1,CTU
103.9547288,30.58173345,"30.58173345, 103.9547288",B6,,Gate,,,,1,CTU
103.9547288,30.58253702,"30.58253702, 103.9547288",B7,,Gate,,,,1,CTU
103.9543962,30.581872,"30.581872, 103.9543962",B8,,Gate,,,,1,CTU
103.9543319,30.58267557,"30.58267557, 103.9543319",B9,,Gate,,,,1,CTU
103.9539242,30.58204749,"30.58204749, 103.9539242",B10,,Gate,,,,1,CTU
103.9537203,30.58251855,"30.58251855, 103.9537203",B11,,Gate,,,,1,CTU
103.9547181,30.57974758,"30.57974758, 103.9547181",C1,,Gate,,,,1,CTU
103.9538169,30.57910101,"30.57910101, 103.9538169",C2-3,,Gate,,,,1,CTU
