longitude,latitude,latlng,title,description,type,image,imageBelow,iconURL,terminal,airportCode
-96.8477118,32.84596367,"32.84596367, -96.8477118",1,,Gate,,,,1,DAL
-96.8477118,32.84617098,"32.84617098, -96.8477118",2,,Gate,,,,1,DAL
-96.84772253,32.84579241,"32.84579241, -96.84772253",3,,Gate,,,,1,DAL
-96.84805,32.84636,"32.84636, -96.84805",4,,Gate,,,,1,DAL
-96.84805,32.84573,"32.84573, -96.84805",5,,Gate,,,,1,DAL
-96.84874,32.84636,"32.84636, -96.84874",6,,Gate,,,,1,DAL
-96.84864,32.84573,"32.84573, -96.84864",7,,Gate,,,,1,DAL
-96.849,32.84636,"32.84636, -96.849",8,,Gate,,,,1,DAL
-96.84895,32.84573,"32.84573, -96.84895",9,,Gate,,,,1,DAL
-96.84929,32.84636,"32.84636, -96.84929",10,,Gate,,,,1,DAL
-96.85097,32.84573,"32.84573, -96.85097",11,,Gate,,,,1,DAL
-96.85064,32.84636,"32.84636, -96.85064",12,,Gate,,,,1,DAL
-96.85133,32.84573,"32.84573, -96.85133",13,,Gate,,,,1,DAL
-96.851,32.84636,"32.84636, -96.851",14,,Gate,,,,1,DAL
-96.8519,32.84574,"32.84574, -96.8519",15,,Gate,,,,1,DAL
-96.85138,32.84636,"32.84636, -96.85138",16,,Gate,,,,1,DAL
-96.85233,32.8459,"32.8459, -96.85233",17,,Gate,,,,1,DAL
-96.85194,32.84636,"32.84636, -96.85194",18,,Gate,,,,1,DAL
-96.85233,32.84605,"32.84605, -96.85233",19,,Gate,,,,1,DAL
-96.85233,32.84622,"32.84622, -96.85233",20,,Gate,,,,1,DAL
-96.84983,32.84531,"32.84531, -96.84983",Restrooms,,Restrooms,images/restrooms.png,,images/restrooms.png,1,DAL
-96.85054,32.84593,"32.84593, -96.85054",Restrooms,,Restrooms,images/restrooms.png,,images/restrooms.png,1,DAL
-96.85183,32.84595,"32.84595, -96.85183",Restrooms,,Restrooms,images/restrooms.png,,images/restrooms.png,1,DAL
-96.84936,32.84592,"32.84592, -96.84936",Restrooms,,Restrooms,images/restrooms.png,,images/restrooms.png,1,DAL
-96.84824,32.84591,"32.84591, -96.84824",Restrooms,,Restrooms,images/restrooms.png,,images/restrooms.png,1,DAL
-96.85073,32.84379,"32.84379, -96.85073",Restrooms,,Restrooms,images/restrooms.png,,images/restrooms.png,1,DAL
-96.84963,32.84398,"32.84398, -96.84963",Restrooms,,Restrooms,images/restrooms.png,,images/restrooms.png,1,DAL
-96.85013,32.84442,"32.84442, -96.85013",Restrooms,,Restrooms,images/restrooms.png,,images/restrooms.png,1,DAL
-96.8497,32.84462,"32.84462, -96.8497",Food and Beverages,,Food and Beverages,images/food-beverages.png,,images/food-beverages.png,1,DAL
-96.85019,32.84581,"32.84581, -96.85019",Food and Beverages,,Food and Beverages,images/food-beverages.png,,images/food-beverages.png,1,DAL
-96.84966,32.8458,"32.8458, -96.84966",Food and Beverages,,Food and Beverages,images/food-beverages.png,,images/food-beverages.png,1,DAL
-96.85139,32.84604,"32.84604, -96.85139",Food and Beverages,,Food and Beverages,images/food-beverages.png,,images/food-beverages.png,1,DAL
-96.84869,32.84602,"32.84602, -96.84869",Food and Beverages,,Food and Beverages,images/food-beverages.png,,images/food-beverages.png,1,DAL
-96.84998,32.84611,"32.84611, -96.84998",Shopping,,Shopping,images/shopping.png,,images/shopping.png,1,DAL
-96.84811,32.84605,"32.84605, -96.84811",Shopping,,Shopping,images/shopping.png,,images/shopping.png,1,DAL
-96.85186,32.84611,"32.84611, -96.85186",Shopping,,Shopping,images/shopping.png,,images/shopping.png,1,DAL
-96.85004,32.84518,"32.84518, -96.85004",Shopping,,Shopping,images/shopping.png,,images/shopping.png,1,DAL
-96.84976,32.84443,"32.84443, -96.84976",Security Checkpoint,"<a href=""https://apps.tsa.dhs.gov/mytsa/status_detail.aspx?iac=DAL"" target=""_blank"">Airport Status & Security Wait Times </a>",Security Checkpoint,images/security-check.png,,images/security-check.png,1,DAL
