longitude,latitude,latlng,title,description,type,image,imageBelow,iconURL,terminal,airportCode
-77.04269886,38.85252568,"38.85252568, -77.04269886",Accessibility,"The Metropolitan Washington Airports Authority is fully committed to providing universal access to all public facilities and services at Ronald Reagan Washington National Airport for all of its patrons.

Washington, DC, is considered one of the most accessible cities in the United States. The Metropolitan Washington Airports Authority is working to ensure that this very important gateway to our Nation's Capital is also accessible to all patrons. For more information visit: <a href=""http://www.metwashairports.com/reagan/231.htm"" target=""_blank"">http://www.metwashairports.com/reagan/231.htm</a>",Accessibility,images/accessibility.png,,images/accessibility.png,,DCA
-77.04361081,38.85589275,"38.85589275, -77.04361081",American Airlines Admirals Club,,Airline Club,images/american-airlines.png,,images/airline-lounge.png,C,DCA
-77.04223752,38.85626037,"38.85626037, -77.04223752",US Airways Club,,Airline Club,images/us-airways.png,,images/airline-lounge.png,C,DCA
-77.04115391,38.84907489,"38.84907489, -77.04115391",USO Lounge,,Airline Club,images/airline-lounge.png,,images/airline-lounge.png,B,DCA
-77.04101443,38.85189904,"38.85189904, -77.04101443",American Airlines Admirals Club,,Airline Club,images/american-airlines.png,,images/airline-lounge.png,B,DCA
-77.04172254,38.85202436,"38.85202436, -77.04172254",Delta Sky Club,,Airline Club,images/delta.png,,images/airline-lounge.png,B,DCA
-77.04122901,38.84995222,"38.84995222, -77.04122901",United Club,,Airline Club,images/united.png,,images/airline-lounge.png,B,DCA
-77.04217315,38.84860697,"38.84860697, -77.04217315",Baggage Claim,,Baggage Claim,images/baggage-claim.png,,images/baggage-claim.png,A,DCA
-77.04182982,38.84842733,"38.84842733, -77.04182982",Bank/ATM,,Bank/ATM,images/bank-atm.png,,images/bank-atm.png,B,DCA
-77.04257011,38.84741628,"38.84741628, -77.04257011",Bank/ATM,,Bank/ATM,images/bank-atm.png,,images/bank-atm.png,B,DCA
-77.04203904,38.85194917,"38.85194917, -77.04203904",Bank/ATM,,Bank/ATM,images/bank-atm.png,,images/bank-atm.png,B,DCA
-77.0426935,38.85225413,"38.85225413, -77.0426935",Bank/ATM,,Bank/ATM,images/bank-atm.png,,images/bank-atm.png,B,DCA
-77.04236895,38.85400872,"38.85400872, -77.04236895",Bank/ATM,,Bank/ATM,images/bank-atm.png,,images/bank-atm.png,B/C,DCA
-77.0441097,38.85567971,"38.85567971, -77.0441097",Bank/ATM,,Bank/ATM,images/bank-atm.png,,images/bank-atm.png,C,DCA
-77.04322726,38.85596168,"38.85596168, -77.04322726",Bank/ATM,,Bank/ATM,images/bank-atm.png,,images/bank-atm.png,C,DCA
-77.04199076,38.8485067,"38.8485067, -77.04199076",Food and Beverages,,Food and Beverages,images/food-beverages.png,,images/food-beverages.png,A,DCA
-77.04258084,38.84763771,"38.84763771, -77.04258084",Food and Beverages,,Food and Beverages,images/food-beverages.png,,images/food-beverages.png,A,DCA
-77.04266667,38.84682719,"38.84682719, -77.04266667",Food and Beverages,,Food and Beverages,images/food-beverages.png,,images/food-beverages.png,A,DCA
-77.0414114,38.85040342,"38.85040342, -77.0414114",Food and Beverages,,Food and Beverages,images/food-beverages.png,,images/food-beverages.png,B,DCA
-77.04147577,38.85185308,"38.85185308, -77.04147577",Food and Beverages,,Food and Beverages,images/food-beverages.png,,images/food-beverages.png,B,DCA
-77.04122901,38.85213298,"38.85213298, -77.04122901",Food and Beverages,,Food and Beverages,images/food-beverages.png,,images/food-beverages.png,B,DCA
-77.04266936,38.85387295,"38.85387295, -77.04266936",Food and Beverages,,Food and Beverages,images/food-beverages.png,,images/food-beverages.png,B/C,DCA
-77.04223752,38.8540296,"38.8540296, -77.04223752",Food and Beverages,,Food and Beverages,images/food-beverages.png,,images/food-beverages.png,B/C,DCA
-77.04139799,38.85402334,"38.85402334, -77.04139799",Food and Beverages,,Food and Beverages,images/food-beverages.png,,images/food-beverages.png,B/C,DCA
-77.04292953,38.8560327,"38.8560327, -77.04292953",Food and Beverages,,Food and Beverages,images/food-beverages.png,,images/food-beverages.png,C,DCA
-77.04311997,38.85577579,"38.85577579, -77.04311997",Food and Beverages,,Food and Beverages,images/food-beverages.png,,images/food-beverages.png,C,DCA
-77.0423153,38.85607656,"38.85607656, -77.0423153",Food and Beverages,,Food and Beverages,images/food-beverages.png,,images/food-beverages.png,C,DCA
