longitude,latitude,latlng,title,description,type,image,imageBelow,iconURL,terminal,airportCode
77.08297491,28.55570798,"28.55570798, 77.08297491",Food and Beverages,,Food and Beverages,images/food-beverages.png,,images/food-beverages.png,T3,DEL
77.08514214,28.5540117,"28.5540117, 77.08514214",Restrooms,,Restrooms,images/restrooms.png,,images/restrooms.png,T3,DEL
77.08383322,28.55344627,"28.55344627, 77.08383322",Domestic Lounge,,Airline Club,images/airline-lounge.png,,images/airline-lounge.png,T3,DEL
77.08261013,28.55523679,"28.55523679, 77.08261013",International Lounge,,Airline Club,images/airline-lounge.png,,images/airline-lounge.png,T3,DEL
77.08374739,28.55529334,"28.55529334, 77.08374739",Security Checkpoint,,Security Checkpoint,images/security-check.png,,images/security-check.png,T3,DEL
77.08552837,28.55485984,"28.55485984, 77.08552837",Baggage Claim,,Baggage Claim,images/baggage-claim.png,,images/baggage-claim.png,T3,DEL
77.08342552,28.55446404,"28.55446404, 77.08342552",Bank/ATM,,Bank/ATM,images/bank-atm.png,,images/bank-atm.png,T3,DEL
77.08458424,28.55655611,"28.55655611, 77.08458424",Taxis and Public Transportation,,Taxis and Public Transportation,images/taxi-publictrans.png,,images/taxi-publictrans.png,T3,DEL
77.08580732,28.55438865,"28.55438865, 77.08580732",Rental Cars ,,Rental Cars,images/car-rental.png,,images/car-rental.png,T3,DEL
77.08398342,28.55457713,"28.55457713, 77.08398342",Shopping,,Shopping,images/shopping.png,,images/shopping.png,T3,DEL
77.08574295,28.5566315,"28.5566315, 77.08574295",Rail,,Rail,images/rail.png,,images/rail.png,T3,DEL
77.08799601,28.55482215,"28.55482215, 77.08799601",Parking,,Parking,images/parking.png,,images/parking.png,T3,DEL
77.08445549,28.55414363,"28.55414363, 77.08445549",Security Checkpoint,,Security Checkpoint,images/security-check.png,,images/security-check.png,T3,DEL
77.08385468,28.55589645,"28.55589645, 77.08385468",Restrooms,,Restrooms,images/restrooms.png,,images/restrooms.png,T3,DEL
77.08462715,28.55346512,"28.55346512, 77.08462715",Food and Beverages,,Food and Beverages,images/food-beverages.png,,images/food-beverages.png,T3,DEL
