longitude,latitude,latlng,title,description,type,image,imageBelow,iconURL,terminal,airportCode
-104.6737754,39.85335868,"39.85335868, -104.6737754",American Airlines Lounge,,Airline Club,images/american-airlines.png,,images/airline-lounge.png,A,DEN
-104.6736306,39.85342045,"39.85342045, -104.6736306",British Airways Lounge,,Airline Club,images/british-airways.png,,images/airline-lounge.png,A,DEN
-104.6715814,39.85866683,"39.85866683, -104.6715814",United Club - East,,Airline Club,images/united.png,,images/airline-lounge.png,B,DEN
-104.6758515,39.85879036,"39.85879036, -104.6758515",United Club - West,,Airline Club,images/united.png,,images/airline-lounge.png,B,DEN
-104.6739793,39.85348017,"39.85348017, -104.6739793",USO Lounge,,Airline Club,images/airline-lounge.png,,images/airline-lounge.png,A,DEN
-104.6737647,39.85106687,"39.85106687, -104.6737647",Baggage Claim,,Baggage Claim,images/baggage-claim.png,,images/baggage-claim.png,Jeppesen,DEN
-104.6731532,39.84989725,"39.84989725, -104.6731532",Baggage Claim,,Baggage Claim,images/baggage-claim.png,,images/baggage-claim.png,Jeppesen,DEN
-104.6745586,39.84989725,"39.84989725, -104.6745586",Baggage Claim,,Baggage Claim,images/baggage-claim.png,,images/baggage-claim.png,Jeppesen,DEN
-104.6745801,39.84938657,"39.84938657, -104.6745801",Baggage Claim,,Baggage Claim,images/baggage-claim.png,,images/baggage-claim.png,Jeppesen,DEN
-104.6746016,39.84856287,"39.84856287, -104.6746016",Baggage Claim,,Baggage Claim,images/baggage-claim.png,,images/baggage-claim.png,Jeppesen,DEN
-104.6731102,39.84850522,"39.84850522, -104.6731102",Baggage Claim,,Baggage Claim,images/baggage-claim.png,,images/baggage-claim.png,Jeppesen,DEN
-104.6729815,39.84921359,"39.84921359, -104.6729815",Baggage Claim,,Baggage Claim,images/baggage-claim.png,,images/baggage-claim.png,Jeppesen,DEN
-104.676404,39.85363254,"39.85363254, -104.676404",Bank/ATM,,Bank/ATM,images/bank-atm.png,,images/bank-atm.png,A,DEN
-104.6742287,39.85392699,"39.85392699, -104.6742287",Bank/ATM,,Bank/ATM,images/bank-atm.png,,images/bank-atm.png,A,DEN
-104.6713293,39.85366548,"39.85366548, -104.6713293",Bank/ATM,,Bank/ATM,images/bank-atm.png,,images/bank-atm.png,A,DEN
-104.6693954,39.85866065,"39.85866065, -104.6693954",Bank/ATM,,Bank/ATM,images/bank-atm.png,,images/bank-atm.png,B,DEN
-104.6713266,39.85868536,"39.85868536, -104.6713266",Bank/ATM,,Bank/ATM,images/bank-atm.png,,images/bank-atm.png,B,DEN
-104.6741939,39.85882125,"39.85882125, -104.6741939",Bank/ATM,,Bank/ATM,images/bank-atm.png,,images/bank-atm.png,B,DEN
-104.6761841,39.85872036,"39.85872036, -104.6761841",Bank/ATM,,Bank/ATM,images/bank-atm.png,,images/bank-atm.png,B,DEN
-104.6780857,39.858603,"39.858603, -104.6780857",Bank/ATM,,Bank/ATM,images/bank-atm.png,,images/bank-atm.png,B,DEN
-104.674108,39.8631984,"39.8631984, -104.674108",Bank/ATM,,Bank/ATM,images/bank-atm.png,,images/bank-atm.png,C,DEN
-104.6733624,39.84863701,"39.84863701, -104.6733624",Food and Beverages,,Food and Beverages,images/food-beverages.png,,images/food-beverages.png,Jeppesen,DEN
-104.6733302,39.84941128,"39.84941128, -104.6733302",Food and Beverages,,Food and Beverages,images/food-beverages.png,,images/food-beverages.png,Jeppesen,DEN
-104.6742797,39.84981076,"39.84981076, -104.6742797",Food and Beverages,,Food and Beverages,images/food-beverages.png,,images/food-beverages.png,Jeppesen,DEN
-104.6733785,39.84967486,"39.84967486, -104.6733785",Food and Beverages,,Food and Beverages,images/food-beverages.png,,images/food-beverages.png,Jeppesen,DEN
-104.6761841,39.85361607,"39.85361607, -104.6761841",Food and Beverages,,Food and Beverages,images/food-beverages.png,,images/food-beverages.png,A,DEN
-104.674041,39.85331338,"39.85331338, -104.674041",Food and Beverages,,Food and Beverages,images/food-beverages.png,,images/food-beverages.png,A,DEN
