longitude,latitude,latlng,title,description,type,image,imageBelow,iconURL,terminal,airportCode
-97.03592777,32.90379433,"32.90379433, -97.03592777",AA Admirals Club,,Airline Club,images/american-airlines.png,,images/airline-lounge.png,A,DFW
-97.04285592,32.90239136,"32.90239136, -97.04285592",AA Admirals Club,,Airline Club,images/american-airlines.png,,images/airline-lounge.png,B,DFW
-97.03576148,32.89753371,"32.89753371, -97.03576148",AA Admirals Club,,Airline Club,images/american-airlines.png,,images/airline-lounge.png,C,DFW
-97.0450902,32.8978445,"32.8978445, -97.0450902",American Lounge,,Airline Club,images/american-airlines.png,,images/airline-lounge.png,D,DFW
-97.04477906,32.8957185,"32.8957185, -97.04477906",Centurion Lounge (American Express),,Airline Club,images/airline-lounge.png,,images/airline-lounge.png,D,DFW
-97.03709453,32.89251139,"32.89251139, -97.03709453",Continental (United) President's Club,,Airline Club,images/united.png,,images/airline-lounge.png,E,DFW
-97.03629792,32.89200689,"32.89200689, -97.03629792",Delta Air Lines Crown Room,,Airline Club,images/delta.png,,images/airline-lounge.png,E,DFW
-97.04518676,32.89682205,"32.89682205, -97.04518676","Korean Air, Lufthansa, Qantas Lounges",,Airline Club,images/DFW-loungegroup.png,,images/airline-lounge.png,D,DFW
-97.04469323,32.90378532,"32.90378532, -97.04469323",USO Lounge,,Airline Club,images/airline-lounge.png,,images/airline-lounge.png,B,DFW
-97.04521894,32.89708329,"32.89708329, -97.04521894",USO Lounge,,Airline Club,images/airline-lounge.png,,images/airline-lounge.png,D,DFW
-97.03700334,32.90282824,"32.90282824, -97.03700334",Baggage Claim,,Baggage Claim,images/baggage-claim.png,,images/baggage-claim.png,A,DFW
-97.03608334,32.9057625,"32.9057625, -97.03608334",Baggage Claim,,Baggage Claim,images/baggage-claim.png,,images/baggage-claim.png,A,DFW
-97.04327166,32.9026098,"32.9026098, -97.04327166",Baggage Claim,,Baggage Claim,images/baggage-claim.png,,images/baggage-claim.png,B,DFW
-97.04438746,32.90593364,"32.90593364, -97.04438746",Baggage Claim,,Baggage Claim,images/baggage-claim.png,,images/baggage-claim.png,B,DFW
-97.0448488,32.90437983,"32.90437983, -97.0448488",Baggage Claim,,Baggage Claim,images/baggage-claim.png,,images/baggage-claim.png,B,DFW
-97.03864485,32.89967768,"32.89967768, -97.03864485",Baggage Claim,,Baggage Claim,images/baggage-claim.png,,images/baggage-claim.png,C,DFW
-97.0361799,32.89879938,"32.89879938, -97.0361799",Baggage Claim,,Baggage Claim,images/baggage-claim.png,,images/baggage-claim.png,C,DFW
-97.03679681,32.89577255,"32.89577255, -97.03679681",Baggage Claim,,Baggage Claim,images/baggage-claim.png,,images/baggage-claim.png,C,DFW
-97.03613162,32.89635361,"32.89635361, -97.03613162",Baggage Claim,,Baggage Claim,images/baggage-claim.png,,images/baggage-claim.png,C,DFW
-97.04428017,32.89838951,"32.89838951, -97.04428017",Baggage Claim,,Baggage Claim,images/baggage-claim.png,,images/baggage-claim.png,D,DFW
-97.04436332,32.89665539,"32.89665539, -97.04436332",Baggage Claim,,Baggage Claim,images/baggage-claim.png,,images/baggage-claim.png,D,DFW
-97.03808427,32.89257896,"32.89257896, -97.03808427",Baggage Claim,,Baggage Claim,images/baggage-claim.png,,images/baggage-claim.png,E,DFW
-97.03600824,32.88984021,"32.88984021, -97.03600824",Baggage Claim,,Baggage Claim,images/baggage-claim.png,,images/baggage-claim.png,E,DFW
-97.0366627,32.88874559,"32.88874559, -97.0366627",Baggage Claim,,Baggage Claim,images/baggage-claim.png,,images/baggage-claim.png,E,DFW
-97.03566492,32.90509143,"32.90509143, -97.03566492",Bank/ATM,,Bank/ATM,images/bank-atm.png,,images/bank-atm.png,A,DFW
-97.03721523,32.90258728,"32.90258728, -97.03721523",Bank/ATM,,Bank/ATM,images/bank-atm.png,,images/bank-atm.png,A,DFW
-97.04391003,32.9029521,"32.9029521, -97.04391003",Bank/ATM,,Bank/ATM,images/bank-atm.png,,images/bank-atm.png,B,DFW
-97.04465568,32.90344753,"32.90344753, -97.04465568",Bank/ATM,,Bank/ATM,images/bank-atm.png,,images/bank-atm.png,B,DFW
-97.04360962,32.90670378,"32.90670378, -97.04360962",Bank/ATM,,Bank/ATM,images/bank-atm.png,,images/bank-atm.png,B,DFW
-97.04471469,32.90698301,"32.90698301, -97.04471469",Bank/ATM,,Bank/ATM,images/bank-atm.png,,images/bank-atm.png,B,DFW
-97.03691214,32.89977903,"32.89977903, -97.03691214",Bank/ATM,,Bank/ATM,images/bank-atm.png,,images/bank-atm.png,C,DFW
-97.03652322,32.89892775,"32.89892775, -97.03652322",Bank/ATM,,Bank/ATM,images/bank-atm.png,,images/bank-atm.png,C,DFW
-97.03575075,32.89718238,"32.89718238, -97.03575075",Bank/ATM,,Bank/ATM,images/bank-atm.png,,images/bank-atm.png,C,DFW
-97.03621745,32.89589417,"32.89589417, -97.03621745",Bank/ATM,,Bank/ATM,images/bank-atm.png,,images/bank-atm.png,C,DFW
-97.04313219,32.89935339,"32.89935339, -97.04313219",Bank/ATM,,Bank/ATM,images/bank-atm.png,,images/bank-atm.png,D,DFW
-97.04417825,32.89938492,"32.89938492, -97.04417825",Bank/ATM,,Bank/ATM,images/bank-atm.png,,images/bank-atm.png,D,DFW
-97.04439819,32.89808773,"32.89808773, -97.04439819",Bank/ATM,,Bank/ATM,images/bank-atm.png,,images/bank-atm.png,D,DFW
-97.0441702,32.89564869,"32.89564869, -97.0441702",Bank/ATM,,Bank/ATM,images/bank-atm.png,,images/bank-atm.png,D,DFW
