longitude,latitude,latlng,title,description,type,image,imageBelow,iconURL,terminal,airportCode
37.89887309,55.41409545,"55.41409545, 37.89887309",Food and Beverages,,Food and Beverages,images/food-beverages.png,,images/food-beverages.png,1,DME
37.9021132,55.4151673,"55.4151673, 37.9021132",Food and Beverages,,Food and Beverages,images/food-beverages.png,,images/food-beverages.png,1,DME
37.89949536,55.41313929,"55.41313929, 37.89949536",Restrooms,,Restrooms,images/restrooms.png,,images/restrooms.png,1,DME
37.902596,55.41427816,"55.41427816, 37.902596",Restrooms,,Restrooms,images/restrooms.png,,images/restrooms.png,1,DME
37.9028213,55.41539872,"55.41539872, 37.9028213",Airline Lounge,,Airline Club,images/airline-lounge.png,,images/airline-lounge.png,1,DME
37.90183425,55.41480799,"55.41480799, 37.90183425",Security Checkpoint,,Security Checkpoint,images/security-check.png,,images/security-check.png,1,DME
37.89863706,55.41351689,"55.41351689, 37.89863706",Security Checkpoint,,Security Checkpoint,images/security-check.png,,images/security-check.png,1,DME
37.90003181,55.41458875,"55.41458875, 37.90003181",Baggage Claim,,Baggage Claim,images/baggage-claim.png,,images/baggage-claim.png,1,DME
37.89986014,55.41387012,"55.41387012, 37.89986014",Bank/ATM,,Bank/ATM,images/bank-atm.png,,images/bank-atm.png,1,DME
37.89952755,55.41472273,"55.41472273, 37.89952755",Taxis and Public Transportation,,Taxis and Public Transportation,images/taxi-publictrans.png,,images/taxi-publictrans.png,1,DME
37.89833665,55.41323064,"55.41323064, 37.89833665",Medical Services,,Medical Services,images/medical-services.png,,images/medical-services.png,1,DME
37.90009618,55.41201866,"55.41201866, 37.90009618",Shopping,,Shopping,images/shopping.png,,images/shopping.png,1,DME
37.897017,55.41447913,"55.41447913, 37.897017",Rail,,Rail,images/rail.png,,images/rail.png,1,DME
37.89843321,55.41457657,"55.41457657, 37.89843321",Parking,,Parking,images/parking.png,,images/parking.png,1,DME
37.89427042,55.41549616,"55.41549616, 37.89427042",Parking,,Parking,images/parking.png,,images/parking.png,1,DME
37.89786458,55.41695771,"55.41695771, 37.89786458",Parking,,Parking,images/parking.png,,images/parking.png,1,DME
37.90551424,55.41749969,"55.41749969, 37.90551424",Parking,,Parking,images/parking.png,,images/parking.png,1,DME
37.90366888,55.41354734,"55.41354734, 37.90366888",Restrooms,,Restrooms,images/restrooms.png,,images/restrooms.png,1,DME
37.90334702,55.41368132,"55.41368132, 37.90334702",Food and Beverages,,Food and Beverages,images/food-beverages.png,,images/food-beverages.png,1,DME
37.90291786,55.41399801,"55.41399801, 37.90291786",Shopping,,Shopping,images/shopping.png,,images/shopping.png,1,DME
37.90231705,55.41447304,"55.41447304, 37.90231705",Medical Services,,Medical Services,images/medical-services.png,,images/medical-services.png,1,DME
37.90396929,55.41324282,"55.41324282, 37.90396929",Food and Beverages,,Food and Beverages,images/food-beverages.png,,images/food-beverages.png,1,DME
37.90349722,55.4135717,"55.4135717, 37.90349722",Restrooms,,Restrooms,images/restrooms.png,,images/restrooms.png,1,DME
37.90304661,55.41390057,"55.41390057, 37.90304661",Shopping,,Shopping,images/shopping.png,,images/shopping.png,1,DME
37.90306807,55.41431774,"55.41431774, 37.90306807",3,,Gate,,,,1,DME
