longitude,latitude,latlng,title,description,type,image,imageBelow,iconURL,terminal,airportCode
-83.35544944,42.20708772,"42.20708772, -83.35544944",Parking,,Parking,images/parking.png,,images/parking.png,A,DTW
-83.35702658,42.20801752,"42.20801752, -83.35702658",Security Checkpoint,,Security Checkpoint,images/security-check.png,,images/security-check.png,A,DTW
-83.35778832,42.20833738,"42.20833738, -83.35778832",Rail,,Rail,images/rail.png,,images/rail.png,A,DTW
-83.36098552,42.20405385,"42.20405385, -83.36098552",Rail,,Rail,images/rail.png,,images/rail.png,A,DTW
-83.35412443,42.21340732,"42.21340732, -83.35412443",Rail,,Rail,images/rail.png,,images/rail.png,A,DTW
-83.35650086,42.20804533,"42.20804533, -83.35650086",Shopping,,Shopping,images/shopping.png,,images/shopping.png,A,DTW
-83.35747182,42.20874466,"42.20874466, -83.35747182",Shopping,,Shopping,images/shopping.png,,images/shopping.png,A,DTW
-83.3560288,42.20830361,"42.20830361, -83.3560288",Food and Beverages,,Food and Beverages,images/food-beverages.png,,images/food-beverages.png,A,DTW
-83.35740745,42.20916982,"42.20916982, -83.35740745",Food and Beverages,,Food and Beverages,images/food-beverages.png,,images/food-beverages.png,A,DTW
-83.35364699,42.21426352,"42.21426352, -83.35364699",Food and Beverages,,Food and Beverages,images/food-beverages.png,,images/food-beverages.png,A,DTW
-83.3619833,42.2027882,"42.2027882, -83.3619833",Food and Beverages,,Food and Beverages,images/food-beverages.png,,images/food-beverages.png,A,DTW
-83.36162925,42.20347169,"42.20347169, -83.36162925",Food and Beverages,,Food and Beverages,images/food-beverages.png,,images/food-beverages.png,A,DTW
-83.35953712,42.20628903,"42.20628903, -83.35953712",Shopping,,Shopping,images/shopping.png,,images/shopping.png,A,DTW
-83.35851252,42.20750494,"42.20750494, -83.35851252",Shopping,,Shopping,images/shopping.png,,images/shopping.png,A,DTW
-83.36172312,42.20304054,"42.20304054, -83.36172312",Shopping,,Shopping,images/shopping.png,,images/shopping.png,A,DTW
-83.36121082,42.20405981,"42.20405981, -83.36121082",Shopping,,Shopping,images/shopping.png,,images/shopping.png,A,DTW
-83.35897923,42.20704798,"42.20704798, -83.35897923",Restrooms,,Restrooms,images/restrooms.png,,images/restrooms.png,A,DTW
-83.35965514,42.20601485,"42.20601485, -83.35965514",Restrooms,,Restrooms,images/restrooms.png,,images/restrooms.png,A,DTW
-83.36187065,42.20341606,"42.20341606, -83.36187065",Restrooms,,Restrooms,images/restrooms.png,,images/restrooms.png,A,DTW
-83.36132884,42.20388894,"42.20388894, -83.36132884",Restrooms,,Restrooms,images/restrooms.png,,images/restrooms.png,A,DTW
-83.36084604,42.20456844,"42.20456844, -83.36084604",Restrooms,,Restrooms,images/restrooms.png,,images/restrooms.png,A,DTW
-83.35420489,42.2135881,"42.2135881, -83.35420489",Restrooms,,Restrooms,images/restrooms.png,,images/restrooms.png,A,DTW
-83.3561039,42.21106113,"42.21106113, -83.3561039",Restrooms,,Restrooms,images/restrooms.png,,images/restrooms.png,A,DTW
-83.35679591,42.20776322,"42.20776322, -83.35679591",Restrooms,,Restrooms,images/restrooms.png,,images/restrooms.png,A,DTW
-83.36106598,42.20425055,"42.20425055, -83.36106598",Food and Beverages,,Food and Beverages,images/food-beverages.png,,images/food-beverages.png,A,DTW
-83.35615754,42.21088631,"42.21088631, -83.35615754",Food and Beverages,,Food and Beverages,images/food-beverages.png,,images/food-beverages.png,A,DTW
-83.36050272,42.20498568,"42.20498568, -83.36050272",Food and Beverages,,Food and Beverages,images/food-beverages.png,,images/food-beverages.png,A,DTW
-83.35881829,42.20730229,"42.20730229, -83.35881829",Food and Beverages,,Food and Beverages,images/food-beverages.png,,images/food-beverages.png,A,DTW
-83.35674763,42.20731818,"42.20731818, -83.35674763",Food and Beverages,,Food and Beverages,images/food-beverages.png,,images/food-beverages.png,A,DTW
-83.3562541,42.21077108,"42.21077108, -83.3562541",Shopping,,Shopping,images/shopping.png,,images/shopping.png,A,DTW
-83.3596766,42.20614598,"42.20614598, -83.3596766",Food and Beverages,,Food and Beverages,images/food-beverages.png,,images/food-beverages.png,A,DTW
-83.36055368,42.20462209,"42.20462209, -83.36055368",Shopping,,Shopping,images/shopping.png,,images/shopping.png,A,DTW
-83.35689247,42.20993668,"42.20993668, -83.35689247",Restrooms,,Restrooms,images/restrooms.png,,images/restrooms.png,A,DTW
-83.35508466,42.21204253,"42.21204253, -83.35508466",Shopping,,Shopping,images/shopping.png,,images/shopping.png,A,DTW
-83.35536897,42.21201472,"42.21201472, -83.35536897",Restrooms,,Restrooms,images/restrooms.png,,images/restrooms.png,A,DTW
-83.35374892,42.21376291,"42.21376291, -83.35374892",Shopping,,Shopping,images/shopping.png,,images/shopping.png,A,DTW
-83.35548162,42.21182003,"42.21182003, -83.35548162",Food and Beverages,,Food and Beverages,images/food-beverages.png,,images/food-beverages.png,A,DTW
-83.35584641,42.20804931,"42.20804931, -83.35584641",Taxis and Public Transportation,,Taxis and Public Transportation,images/taxi-publictrans.png,,images/taxi-publictrans.png,A,DTW
-83.35451603,42.21273784,"42.21273784, -83.35451603",Shopping,,Shopping,images/shopping.png,,images/shopping.png,A,DTW
-83.35468769,42.21294444,"42.21294444, -83.35468769",Restrooms,,Restrooms,images/restrooms.png,,images/restrooms.png,A,DTW
-83.36204231,42.20259945,"42.20259945, -83.36204231",A1,,Gate,,,,A,DTW
-83.36223274,42.2026829,"42.2026829, -83.36223274",A2,,Gate,,,,A,DTW
-83.36176336,42.202667,"42.202667, -83.36176336",A3,,Gate,,,,A,DTW
-83.36245269,42.20296901,"42.20296901, -83.36245269",A4,,Gate,,,,A,DTW
-83.36166412,42.20279019,"42.20279019, -83.36166412",A5,,Gate,,,,A,DTW
-83.36235613,42.20310412,"42.20310412, -83.36235613",A6,,Gate,,,,A,DTW
-83.36149514,42.20301471,"42.20301471, -83.36149514",A7,,Gate,,,,A,DTW
-83.36208791,42.20344388,"42.20344388, -83.36208791",A8,,Gate,,,,A,DTW
-83.36133689,42.20323724,"42.20323724, -83.36133689",A9,,Gate,,,,A,DTW
-83.36179018,42.20365051,"42.20365051, -83.36179018",A10,,Gate,,,,A,DTW
-83.36111158,42.20351143,"42.20351143, -83.36111158",A11,,Gate,,,,A,DTW
-83.36164266,42.20384125,"42.20384125, -83.36164266",A12,,Gate,,,,A,DTW
-83.36098015,42.20371608,"42.20371608, -83.36098015",A15,,Gate,,,,A,DTW
-83.36080849,42.2039247,"42.2039247, -83.36080849",A17,,Gate,,,,A,DTW
-83.36144686,42.20408961,"42.20408961, -83.36144686",A18,,Gate,,,,A,DTW
-83.36051881,42.20429823,"42.20429823, -83.36051881",A19,,Gate,,,,A,DTW
-83.36113304,42.20451877,"42.20451877, -83.36113304",A20,,Gate,,,,A,DTW
-83.36033374,42.20454063,"42.20454063, -83.36033374",A21,,Gate,,,,A,DTW
-83.36010039,42.20479097,"42.20479097, -83.36010039",A23,,Gate,,,,A,DTW
-83.36069047,42.20514661,"42.20514661, -83.36069047",A24,,Gate,,,,A,DTW
-83.36000383,42.20491416,"42.20491416, -83.36000383",A25,,Gate,,,,A,DTW
-83.35972488,42.20528768,"42.20528768, -83.35972488",A27,,Gate,,,,A,DTW
-83.36027741,42.20570094,"42.20570094, -83.36027741",A28,,Gate,,,,A,DTW
-83.35930109,42.20587975,"42.20587975, -83.35930109",A29,,Gate,,,,A,DTW
-83.3598429,42.20630095,"42.20630095, -83.3598429",A30,,Gate,,,,A,DTW
-83.35905433,42.20618572,"42.20618572, -83.35905433",A31,,Gate,,,,A,DTW
-83.35884511,42.2064599,"42.2064599, -83.35884511",A33,,Gate,,,,A,DTW
-83.3593601,42.20698838,"42.20698838, -83.3593601",A34,,Gate,,,,A,DTW
-83.35856616,42.20683739,"42.20683739, -83.35856616",A35,,Gate,,,,A,DTW
-83.3589524,42.20755262,"42.20755262, -83.3589524",A36,,Gate,,,,A,DTW
-83.35853398,42.20815262,"42.20815262, -83.35853398",A38,,Gate,,,,A,DTW
-83.35796535,42.20887579,"42.20887579, -83.35796535",A40,,Gate,,,,A,DTW
-83.35706949,42.208844,"42.208844, -83.35706949",A43,,Gate,,,,A,DTW
-83.35691392,42.20911419,"42.20911419, -83.35691392",A45,,Gate,,,,A,DTW
-83.35752547,42.20942412,"42.20942412, -83.35752547",A46,,Gate,,,,A,DTW
-83.35666716,42.20936849,"42.20936849, -83.35666716",A47,,Gate,,,,A,DTW
-83.35637748,42.20976185,"42.20976185, -83.35637748",A49,,Gate,,,,A,DTW
-83.35711241,42.21005191,"42.21005191, -83.35711241",A50,,Gate,,,,A,DTW
-83.35611999,42.21010356,"42.21010356, -83.35611999",A51,,Gate,,,,A,DTW
-83.35591078,42.2103817,"42.2103817, -83.35591078",A53,,Gate,,,,A,DTW
-83.35667253,42.21064791,"42.21064791, -83.35667253",A54,,Gate,,,,A,DTW
-83.35562646,42.21077903,"42.21077903, -83.35562646",A55,,Gate,,,,A,DTW
-83.35631847,42.21110484,"42.21110484, -83.35631847",A56,,Gate,,,,A,DTW
-83.35544407,42.21104127,"42.21104127, -83.35544407",A57,,Gate,,,,A,DTW
-83.3552134,42.21126774,"42.21126774, -83.3552134",A59,,Gate,,,,A,DTW
-83.35598588,42.21154985,"42.21154985, -83.35598588",A60,,Gate,,,,A,DTW
-83.35505784,42.21154587,"42.21154587, -83.35505784",A61,,Gate,,,,A,DTW
-83.35485935,42.21182797,"42.21182797, -83.35485935",A63,,Gate,,,,A,DTW
-83.35564256,42.21205445,"42.21205445, -83.35564256",A64,,Gate,,,,A,DTW
-83.35444629,42.21238025,"42.21238025, -83.35444629",A65,,Gate,,,,A,DTW
-83.35534215,42.21245574,"42.21245574, -83.35534215",A66,,Gate,,,,A,DTW
-83.35414588,42.21279744,"42.21279744, -83.35414588",A67,,Gate,,,,A,DTW
-83.354913,42.21299212,"42.21299212, -83.354913",A68,,Gate,,,,A,DTW
-83.35390985,42.21315105,"42.21315105, -83.35390985",A69,,Gate,,,,A,DTW
-83.3546555,42.21342122,"42.21342122, -83.3546555",A70,,Gate,,,,A,DTW
-83.35350752,42.21370332,"42.21370332, -83.35350752",A71,,Gate,,,,A,DTW
-83.35424244,42.21397349,"42.21397349, -83.35424244",A72,,Gate,,,,A,DTW
-83.35330367,42.2140013,"42.2140013, -83.35330367",A73,,Gate,,,,A,DTW
-83.35405469,42.21421982,"42.21421982, -83.35405469",A74,,Gate,,,,A,DTW
-83.35312128,42.21439464,"42.21439464, -83.35312128",A75,,Gate,,,,A,DTW
-83.35386693,42.21448602,"42.21448602, -83.35386693",A76,,Gate,,,,A,DTW
-83.35328221,42.21444629,"42.21444629, -83.35328221",A77,,Gate,,,,A,DTW
-83.35349679,42.21452177,"42.21452177, -83.35349679",A78,,Gate,,,,A,DTW
-83.36197257,42.20880824,"42.20880824, -83.36197257",Food and Beverages,,Food and Beverages,images/food-beverages.png,,images/food-beverages.png,B,DTW
-83.36170435,42.20950756,"42.20950756, -83.36170435",Food and Beverages,,Food and Beverages,images/food-beverages.png,,images/food-beverages.png,B,DTW
-83.36273968,42.20812878,"42.20812878, -83.36273968",Food and Beverages,,Food and Beverages,images/food-beverages.png,,images/food-beverages.png,B,DTW
-83.36331904,42.20737779,"42.20737779, -83.36331904",Food and Beverages,,Food and Beverages,images/food-beverages.png,,images/food-beverages.png,B,DTW
-83.35637748,42.20771951,"42.20771951, -83.35637748",Baggage Claim,,Baggage Claim,images/baggage-claim.png,,images/baggage-claim.png,B,DTW
-83.36176872,42.2094122,"42.2094122, -83.36176872",Shopping,,Shopping,images/shopping.png,,images/shopping.png,B,DTW
