longitude,latitude,latlng,title,description,type,image,imageBelow,iconURL,terminal,airportCode
12.25522757,41.79684792,"41.79684792, 12.25522757",I Mosaici Lounge,,Airline Club,images/airline-lounge.png,,images/airline-lounge.png,"1, 2",FCO
12.25588202,41.79770376,"41.79770376, 12.25588202",Alitalia Lounge,,Airline Club,images/alitalia.png,,images/airline-lounge.png,"1, 2",FCO
12.25296378,41.79893549,"41.79893549, 12.25296378",Alitalia Lounge,,Airline Club,images/alitalia.png,,images/airline-lounge.png,"1, 2",FCO
12.25225568,41.79788772,"41.79788772, 12.25225568",AVIA Lounge,,Airline Club,images/airline-lounge.png,,images/airline-lounge.png,"1, 2",FCO
12.25096822,41.79600808,"41.79600808, 12.25096822",Emirates Lounge,,Airline Club,images/airline-lounge.png,,images/airline-lounge.png,"1, 2",FCO
12.25110769,41.79581611,"41.79581611, 12.25110769",British Airways Lounge,,Airline Club,images/british-airways.png,,images/airline-lounge.png,"1, 2",FCO
12.24166632,41.79612406,"41.79612406, 12.24166632",Alitalia Lounge,,Airline Club,images/alitalia.png,,images/airline-lounge.png,5,FCO
12.24190235,41.79601608,"41.79601608, 12.24190235",Le Anfure Lounge,,Airline Club,images/airline-lounge.png,,images/airline-lounge.png,5,FCO
12.24786758,41.79452832,"41.79452832, 12.24786758",Alitalia Lounge,,Airline Club,images/alitalia.png,,images/airline-lounge.png,5,FCO
12.25464821,41.79497625,"41.79497625, 12.25464821",Baggage Claim,,Baggage Claim,images/baggage-claim.png,,images/baggage-claim.png,"1, 2",FCO
12.25078583,41.79496025,"41.79496025, 12.25078583",Baggage Claim,,Baggage Claim,images/baggage-claim.png,,images/baggage-claim.png,3,FCO
12.25176215,41.79562414,"41.79562414, 12.25176215",Bank/ATM,,Bank/ATM,images/bank-atm.png,,images/bank-atm.png,3,FCO
12.25282431,41.79862356,"41.79862356, 12.25282431",Food and Beverages,,Food and Beverages,images/food-beverages.png,,images/food-beverages.png,"1, 2",FCO
12.2536397,41.79614405,"41.79614405, 12.2536397",Food and Beverages,,Food and Beverages,images/food-beverages.png,,images/food-beverages.png,"1, 2",FCO
12.25514174,41.796416,"41.796416, 12.25514174",Food and Beverages,,Food and Beverages,images/food-beverages.png,,images/food-beverages.png,"1, 2",FCO
12.25411177,41.7952642,"41.7952642, 12.25411177",Food and Beverages,,Food and Beverages,images/food-beverages.png,,images/food-beverages.png,"1, 2",FCO
12.25603223,41.7979517,"41.7979517, 12.25603223",Food and Beverages,,Food and Beverages,images/food-beverages.png,,images/food-beverages.png,"1, 2",FCO
