longitude,latitude,latlng,title,description,type,image,imageBelow,iconURL,terminal,airportCode
8.57152462,50.04654361,"50.04654361, 8.57152462",Lufthansa Airline Lounge ,,Airline Club,images/airline-lounge.png,,images/airline-lounge.png,1,FRA
8.576159477,50.04764595,"50.04764595, 8.576159477",Lufthansa Airline Lounge ,,Airline Club,images/airline-lounge.png,,images/airline-lounge.png,1,FRA
8.566396236,50.0451381,"50.0451381, 8.566396236",Lufthansa Airline Lounge ,,Airline Club,images/airline-lounge.png,,images/airline-lounge.png,1,FRA
8.573992252,50.04821089,"50.04821089, 8.573992252",LUXX Lounge,,Airline Club,images/airline-lounge.png,,images/airline-lounge.png,1,FRA
8.57272625,50.04779752,"50.04779752, 8.57272625",Air Canada Lounge,,Airline Club,images/airline-lounge.png,,images/airline-lounge.png,1,FRA
8.581330776,50.04967143,"50.04967143, 8.581330776",Lufthansa Business Lounge,,Airline Club,images/airline-lounge.png,,images/airline-lounge.png,2,FRA
8.585214615,50.05073236,"50.05073236, 8.585214615",Air France Lounge,,Airline Club,images/airline-lounge.png,,images/airline-lounge.png,2,FRA
8.585686684,50.05088392,"50.05088392, 8.585686684",Iberia Lounge,,Airline Club,images/airline-lounge.png,,images/airline-lounge.png,2,FRA
8.586416245,50.05106303,"50.05106303, 8.586416245",JAL First Class & Sakura Lounge,,Airline Club,images/airline-lounge.png,,images/airline-lounge.png,2,FRA
8.590750694,50.05199993,"50.05199993, 8.590750694",Cathay Pacific First & Business Class Lounge,,Airline Club,images/airline-lounge.png,,images/airline-lounge.png,2,FRA
8.590149879,50.05190349,"50.05190349, 8.590149879",Emirates Lounge,,Airline Club,images/airline-lounge.png,,images/airline-lounge.png,2,FRA
8.582596779,50.05009856,"50.05009856, 8.582596779",SKY Lounge,,Airline Club,images/airline-lounge.png,,images/airline-lounge.png,2,FRA
8.583991528,50.05089769,"50.05089769, 8.583991528",Lufthansa Airline Lounge ,,Airline Club,images/airline-lounge.png,,images/airline-lounge.png,2,FRA
8.569400311,50.05022256,"50.05022256, 8.569400311",Baggage Claim,,Baggage Claim,images/baggage-claim.png,,images/baggage-claim.png,1,FRA
8.574571609,50.05137993,"50.05137993, 8.574571609",Baggage Claim,,Baggage Claim,images/baggage-claim.png,,images/baggage-claim.png,1,FRA
8.58553648,50.05153148,"50.05153148, 8.58553648",Baggage Claim,,Baggage Claim,images/baggage-claim.png,,images/baggage-claim.png,1,FRA
8.588604927,50.05228926,"50.05228926, 8.588604927",Baggage Claim,,Baggage Claim,images/baggage-claim.png,,images/baggage-claim.png,1,FRA
8.587660789,50.05136615,"50.05136615, 8.587660789",Food and Beverages,,Food and Beverages,images/food-beverages.png,,images/food-beverages.png,2,FRA
8.566610813,50.04477982,"50.04477982, 8.566610813",Food and Beverages,,Food and Beverages,images/food-beverages.png,,images/food-beverages.png,1,FRA
8.569808006,50.04994699,"50.04994699, 8.569808006",Food and Beverages,,Food and Beverages,images/food-beverages.png,,images/food-beverages.png,1,FRA
8.570859432,50.05059457,"50.05059457, 8.570859432",Food and Beverages,,Food and Beverages,images/food-beverages.png,,images/food-beverages.png,1,FRA
8.572511673,50.0497541,"50.0497541, 8.572511673",Food and Beverages,,Food and Beverages,images/food-beverages.png,,images/food-beverages.png,1,FRA
8.57281208,50.04818333,"50.04818333, 8.57281208",Food and Beverages,,Food and Beverages,images/food-beverages.png,,images/food-beverages.png,1,FRA
8.574678898,50.04815577,"50.04815577, 8.574678898",Food and Beverages,,Food and Beverages,images/food-beverages.png,,images/food-beverages.png,1,FRA
8.575880527,50.04788019,"50.04788019, 8.575880527",Food and Beverages,,Food and Beverages,images/food-beverages.png,,images/food-beverages.png,1,FRA
8.581824303,50.04978165,"50.04978165, 8.581824303",Food and Beverages,,Food and Beverages,images/food-beverages.png,,images/food-beverages.png,2,FRA
8.583562374,50.05037412,"50.05037412, 8.583562374",Food and Beverages,,Food and Beverages,images/food-beverages.png,,images/food-beverages.png,2,FRA
8.583991528,50.05041546,"50.05041546, 8.583991528",Food and Beverages,,Food and Beverages,images/food-beverages.png,,images/food-beverages.png,2,FRA
8.574228287,50.04942341,"50.04942341, 8.574228287",B1,,Gate,,,,1,FRA
8.574807644,50.04866559,"50.04866559, 8.574807644",B41,,Gate,,,,1,FRA
8.574700356,50.04761839,"50.04761839, 8.574700356",B42,,Gate,,,,1,FRA
8.575623035,50.04847268,"50.04847268, 8.575623035",B43,,Gate,,,,1,FRA
8.576545715,50.04816955,"50.04816955, 8.576545715",B44,,Gate,,,,1,FRA
8.57714653,50.04768729,"50.04768729, 8.57714653",B45,,Gate,,,,1,FRA
8.576695919,50.04710856,"50.04710856, 8.576695919",B46,,Gate,,,,1,FRA
8.575751781,50.047081,"50.047081, 8.575751781",B47,,Gate,,,,1,FRA
8.575429916,50.04735659,"50.04735659, 8.575429916",B48,,Gate,,,,1,FRA
8.573284149,50.04735659,"50.04735659, 8.573284149",B30-33,,Gate,,,,1,FRA
8.571417332,50.0478113,"50.0478113, 8.571417332",B19,,Gate,,,,1,FRA
8.57124567,50.04754949,"50.04754949, 8.57124567",B20,,Gate,,,,1,FRA
8.571074009,50.04727391,"50.04727391, 8.571074009",B22,,Gate,,,,1,FRA
8.57272625,50.04699833,"50.04699833, 8.57272625",B23,,Gate,,,,1,FRA
8.570923805,50.04705345,"50.04705345, 8.570923805",B24,,Gate,,,,1,FRA
8.57060194,50.04680542,"50.04680542, 8.57060194",B25,,Gate,,,,1,FRA
8.570494652,50.04614401,"50.04614401, 8.570494652",B26,,Gate,,,,1,FRA
8.571546078,50.04590976,"50.04590976, 8.571546078",B27,,Gate,,,,1,FRA
8.572511673,50.04624046,"50.04624046, 8.572511673",B28,,Gate,,,,1,FRA
8.57124567,50.04856914,"50.04856914, 8.57124567",B10-13,,Gate,,,,1,FRA
8.570451736,50.04910651,"50.04910651, 8.570451736",A1-5,,Gate,,,,1,FRA
8.567597866,50.04790775,"50.04790775, 8.567597866",A8,,Gate,,,,1,FRA
8.567426205,50.04760461,"50.04760461, 8.567426205",A9,,Gate,,,,1,FRA
8.569829464,50.04869314,"50.04869314, 8.569829464",A11,,Gate,,,,1,FRA
8.569486141,50.04818333,"50.04818333, 8.569486141",A13,,Gate,,,,1,FRA
8.567233086,50.04732903,"50.04732903, 8.567233086",A14,,Gate,,,,1,FRA
8.569185734,50.0477424,"50.0477424, 8.569185734",A15,,Gate,,,,1,FRA
8.566911221,50.047081,"50.047081, 8.566911221",A16,,Gate,,,,1,FRA
8.568863869,50.04719124,"50.04719124, 8.568863869",A17,,Gate,,,,1,FRA
8.566632271,50.04661251,"50.04661251, 8.566632271",A18,,Gate,,,,1,FRA
8.568542004,50.04673652,"50.04673652, 8.568542004",A19,,Gate,,,,1,FRA
8.566374779,50.04619913,"50.04619913, 8.566374779",A20,,Gate,,,,1,FRA
8.568241596,50.04625424,"50.04625424, 8.568241596",A21,,Gate,,,,1,FRA
8.565891981,50.0456755,"50.0456755, 8.565891981",A22,,Gate,,,,1,FRA
8.567769527,50.0457444,"50.0457444, 8.567769527",A23,,Gate,,,,1,FRA
8.56590271,50.04527589,"50.04527589, 8.56590271",A24,,Gate,,,,1,FRA
8.567361832,50.04515187,"50.04515187, 8.567361832",A25,,Gate,,,,1,FRA
8.565430641,50.04484872,"50.04484872, 8.565430641",A26,,Gate,,,,1,FRA
8.564894199,50.04468336,"50.04468336, 8.564894199",A28,,Gate,,,,1,FRA
8.564229012,50.04457312,"50.04457312, 8.564229012",A30,,Gate,,,,1,FRA
8.563821316,50.04446288,"50.04446288, 8.563821316",A32,,Gate,,,,1,FRA
8.563370705,50.04436642,"50.04436642, 8.563370705",A34,,Gate,,,,1,FRA
