longitude,latitude,latlng,title,description,type,image,imageBelow,iconURL,terminal,airportCode
-46.48272514,-23.42683676,"-23.42683676, -46.48272514",Food and Beverages,,Food and Beverages,images/food-beverages.png,,images/food-beverages.png,"1,2",GRU
-46.48125529,-23.42606889,"-23.42606889, -46.48125529",Restrooms,,Restrooms,images/restrooms.png,,images/restrooms.png,"1,2",GRU
-46.48311138,-23.4274668,"-23.4274668, -46.48311138","PROAIR, TAM, United Lounges",,Airline Club,images/tam-united.png,,images/airline-lounge.png,"1,2",GRU
-46.48020387,-23.42727976,"-23.42727976, -46.48020387","American Express, GOL Smiles, PROAIR, TAM Lounges",,Airline Club,images/tam.png,,images/airline-lounge.png,"1,2",GRU
-46.48314357,-23.42699427,"-23.42699427, -46.48314357",Security Checkpoint,,Security Checkpoint,images/security-check.png,,images/security-check.png,"1,2",GRU
-46.48430228,-23.42623624,"-23.42623624, -46.48430228",Baggage Claim,,Baggage Claim,images/baggage-claim.png,,images/baggage-claim.png,"1,2",GRU
-46.48328304,-23.42668909,"-23.42668909, -46.48328304",Bank/ATM,,Bank/ATM,images/bank-atm.png,,images/bank-atm.png,"1,2",GRU
-46.48177028,-23.42566526,"-23.42566526, -46.48177028",Taxis and Public Transportation,,Taxis and Public Transportation,images/taxi-publictrans.png,,images/taxi-publictrans.png,"1,2",GRU
-46.48076177,-23.42623624,"-23.42623624, -46.48076177",Rental Cars ,,Rental Cars,images/car-rental.png,,images/car-rental.png,"1,2",GRU
-46.48200631,-23.42637407,"-23.42637407, -46.48200631",Shopping,,Shopping,images/shopping.png,,images/shopping.png,"1,2",GRU
-46.48232818,-23.42650204,"-23.42650204, -46.48232818",Medical Services,,Medical Services,images/medical-services.png,,images/medical-services.png,"1,2",GRU
-46.48125529,-23.42499583,"-23.42499583, -46.48125529",Parking,,Parking,images/parking.png,,images/parking.png,"1,2",GRU
-46.48271441,-23.42517304,"-23.42517304, -46.48271441",Parking,,Parking,images/parking.png,,images/parking.png,"1,2",GRU
-46.48100853,-23.42387355,"-23.42387355, -46.48100853",Parking,,Parking,images/parking.png,,images/parking.png,"1,2",GRU
-46.48311138,-23.42405075,"-23.42405075, -46.48311138",Parking,,Parking,images/parking.png,,images/parking.png,"1,2",GRU
-46.48024678,-23.42672847,"-23.42672847, -46.48024678",Security Checkpoint,,Security Checkpoint,images/security-check.png,,images/security-check.png,"1,2",GRU
-46.48276806,-23.42644298,"-23.42644298, -46.48276806",Rental Cars ,,Rental Cars,images/car-rental.png,,images/car-rental.png,"1,2",GRU
-46.47912025,-23.42584246,"-23.42584246, -46.47912025",Baggage Claim,,Baggage Claim,images/baggage-claim.png,,images/baggage-claim.png,"1,2",GRU
-46.48242474,-23.42655127,"-23.42655127, -46.48242474",Restrooms,,Restrooms,images/restrooms.png,,images/restrooms.png,"1,2",GRU
-46.48361564,-23.42659065,"-23.42659065, -46.48361564",Restrooms,,Restrooms,images/restrooms.png,,images/restrooms.png,"1,2",GRU
-46.48078322,-23.42656111,"-23.42656111, -46.48078322",Food and Beverages,,Food and Beverages,images/food-beverages.png,,images/food-beverages.png,"1,2",GRU
