longitude,latitude,latlng,title,description,type,image,imageBelow,iconURL,terminal,airportCode
113.9269996,22.31327698,"22.31327698, 113.9269996",Air France Lounge,,Airline Club,images/air-france.png,,images/airline-lounge.png,1,HKG
113.9271176,22.3126616,"22.3126616, 113.9271176",Cathay Pacific The Pier,,Airline Club,images/cathay.png,,images/airline-lounge.png,1,HKG
113.9352179,22.31303877,"22.31303877, 113.9352179",Cathay Pacific The Wing,,Airline Club,images/cathay.png,,images/airline-lounge.png,1,HKG
113.9355183,22.31417027,"22.31417027, 113.9355183",China Airlines Dynasty Lounge,,Airline Club,images/china-airlines.png,,images/airline-lounge.png,1,HKG
113.9269459,22.31285515,"22.31285515, 113.9269459",Emirates Lounge,,Airline Club,images/airline-lounge.png,,images/airline-lounge.png,1,HKG
113.9312911,22.31415042,"22.31415042, 113.9312911",Hong Kong Airlines Lounge,,Airline Club,images/airline-lounge.png,,images/airline-lounge.png,1,HKG
113.9349604,22.31647295,"22.31647295, 113.9349604",Korean Air Lounge,,Airline Club,images/korean-air.png,,images/airline-lounge.png,1,HKG
113.9267206,22.31324224,"22.31324224, 113.9267206",Plaza Premium Lounge,,Airline Club,images/airline-lounge.png,,images/airline-lounge.png,1,HKG
113.9336944,22.31704861,"22.31704861, 113.9336944","Qantas Lounge, Dragon Air Lounge",,Airline Club,images/qantas.png,,images/airline-lounge.png,1,HKG
113.9351535,22.31595683,"22.31595683, 113.9351535",Silverkris Lounge (Singapore Airlines),,Airline Club,images/singapore.png,,images/airline-lounge.png,1,HKG
113.9268601,22.3127013,"22.3127013, 113.9268601",Thai Airways Lounge,,Airline Club,images/thai-airways.png,,images/airline-lounge.png,1,HKG
113.9269674,22.3125822,"22.3125822, 113.9269674",United Lounge,,Airline Club,images/united.png,,images/airline-lounge.png,1,HKG
113.9267796,22.31296929,"22.31296929, 113.9267796",Virgin Atlantic Lounge,,Airline Club,images/airline-lounge.png,,images/airline-lounge.png,1,HKG
113.9362049,22.31482535,"22.31482535, 113.9362049",Baggage Claim,,Baggage Claim,images/baggage-claim.png,,images/baggage-claim.png,1,HKG
113.9342523,22.31452759,"22.31452759, 113.9342523",Food and Beverages,,Food and Beverages,images/food-beverages.png,,images/food-beverages.png,1,HKG
113.9247036,22.31411072,"22.31411072, 113.9247036",Food and Beverages,,Food and Beverages,images/food-beverages.png,,images/food-beverages.png,1,HKG
113.9271283,22.31294448,"22.31294448, 113.9271283",Food and Beverages,,Food and Beverages,images/food-beverages.png,,images/food-beverages.png,1,HKG
113.9337373,22.31498415,"22.31498415, 113.9337373",Food and Beverages,,Food and Beverages,images/food-beverages.png,,images/food-beverages.png,1,HKG
113.9334798,22.31601639,"22.31601639, 113.9334798",Food and Beverages,,Food and Beverages,images/food-beverages.png,,images/food-beverages.png,1,HKG
113.9308834,22.31397176,"22.31397176, 113.9308834",Food and Beverages,,Food and Beverages,images/food-beverages.png,,images/food-beverages.png,1,HKG
113.9375782,22.31704861,"22.31704861, 113.9375782",Food and Beverages,,Food and Beverages,images/food-beverages.png,,images/food-beverages.png,1,HKG
113.9345527,22.31350527,"22.31350527, 113.9345527",1,,Gate,,,,1,HKG
113.9347351,22.31281048,"22.31281048, 113.9347351",2,,Gate,,,,1,HKG
113.9349174,22.31230428,"22.31230428, 113.9349174",3,,Gate,,,,1,HKG
113.935529,22.31209584,"22.31209584, 113.935529",4,,Gate,,,,1,HKG
113.9332438,22.31672108,"22.31672108, 113.9332438",15,,Gate,,,,1,HKG
113.9330614,22.31712801,"22.31712801, 113.9330614",16,,Gate,,,,1,HKG
113.9328897,22.3176739,"22.3176739, 113.9328897",17,,Gate,,,,1,HKG
113.9328897,22.31830911,"22.31830911, 113.9328897",18,,Gate,,,,1,HKG
113.9333403,22.31840836,"22.31840836, 113.9333403",19,,Gate,,,,1,HKG
113.9325571,22.31528191,"22.31528191, 113.9325571",20,,Gate,,,,1,HKG
113.9326751,22.31420005,"22.31420005, 113.9326751",21,,Gate,,,,1,HKG
113.9323533,22.31511318,"22.31511318, 113.9323533",22,,Gate,,,,1,HKG
113.9320099,22.31401146,"22.31401146, 113.9320099",23,,Gate,,,,1,HKG
113.9317095,22.31491468,"22.31491468, 113.9317095",24,,Gate,,,,1,HKG
113.9311945,22.31377325,"22.31377325, 113.9311945",25,,Gate,,,,1,HKG
113.9311087,22.31468639,"22.31468639, 113.9311087",26,,Gate,,,,1,HKG
113.9306581,22.31358467,"22.31358467, 113.9306581",27,,Gate,,,,1,HKG
113.9304864,22.31447796,"22.31447796, 113.9304864",28,,Gate,,,,1,HKG
113.930068,22.31340601,"22.31340601, 113.930068",29,,Gate,,,,1,HKG
113.9299178,22.31430923,"22.31430923, 113.9299178",30,,Gate,,,,1,HKG
113.9292848,22.3131678,"22.3131678, 113.9292848",31,,Gate,,,,1,HKG
113.9291883,22.31405117,"22.31405117, 113.9291883",32,,Gate,,,,1,HKG
