longitude,latitude,latlng,title,description,type,image,imageBelow,iconURL,terminal,airportCode
139.7688389,35.54622081,"35.54622081, 139.7688389",Japan Airlines & TIAT Lounges,,Airline Club,images/japanairline.png,,images/airline-lounge.png,International,HND
139.7697079,35.54530421,"35.54530421, 139.7697079",TIAT Sky Lounge,,Airline Club,images/airline-lounge.png,,images/airline-lounge.png,International,HND
139.7690105,35.54600257,"35.54600257, 139.7690105",All Nippon Airlines Lounge,,Airline Club,images/all-nippon.png,,images/airline-lounge.png,International,HND
139.7685921,35.54602003,"35.54602003, 139.7685921",Cathay Pacific Lounge,,Airline Club,images/cathay.png,,images/airline-lounge.png,International,HND
139.7854471,35.54752149,"35.54752149, 139.7854471",Baggage Claim,,Baggage Claim,images/baggage-claim.png,,images/baggage-claim.png,1,HND
139.7832477,35.55063781,"35.55063781, 139.7832477",Baggage Claim,,Baggage Claim,images/baggage-claim.png,,images/baggage-claim.png,1,HND
139.7875124,35.55208681,"35.55208681, 139.7875124",Baggage Claim,,Baggage Claim,images/baggage-claim.png,,images/baggage-claim.png,2,HND
139.7891378,35.54985219,"35.54985219, 139.7891378",Baggage Claim,,Baggage Claim,images/baggage-claim.png,,images/baggage-claim.png,2,HND
139.7691554,35.54532167,"35.54532167, 139.7691554",Baggage Claim,,Baggage Claim,images/baggage-claim.png,,images/baggage-claim.png,International,HND
139.769488,35.54488955,"35.54488955, 139.769488",Baggage Claim,,Baggage Claim,images/baggage-claim.png,,images/baggage-claim.png,International,HND
139.7837198,35.54986965,"35.54986965, 139.7837198",Bank/ATM,,Bank/ATM,images/bank-atm.png,,images/bank-atm.png,1,HND
139.7852218,35.54772227,"35.54772227, 139.7852218",Bank/ATM,,Bank/ATM,images/bank-atm.png,,images/bank-atm.png,1,HND
139.7812092,35.55149761,"35.55149761, 139.7812092",Food and Beverages,,Food and Beverages,images/food-beverages.png,,images/food-beverages.png,1,HND
139.7855759,35.545553,"35.545553, 139.7855759",Food and Beverages,,Food and Beverages,images/food-beverages.png,,images/food-beverages.png,1,HND
139.7832423,35.54853409,"35.54853409, 139.7832423",Food and Beverages,,Food and Beverages,images/food-beverages.png,,images/food-beverages.png,1,HND
139.7873247,35.55265418,"35.55265418, 139.7873247",Food and Beverages,,Food and Beverages,images/food-beverages.png,,images/food-beverages.png,2,HND
139.7927105,35.54887016,"35.54887016, 139.7927105",Food and Beverages,,Food and Beverages,images/food-beverages.png,,images/food-beverages.png,2,HND
139.7877645,35.55489745,"35.55489745, 139.7877645",Food and Beverages,,Food and Beverages,images/food-beverages.png,,images/food-beverages.png,2,HND
139.7895133,35.55010097,"35.55010097, 139.7895133",Food and Beverages,,Food and Beverages,images/food-beverages.png,,images/food-beverages.png,2,HND
139.7884458,35.55177257,"35.55177257, 139.7884458",Food and Beverages,,Food and Beverages,images/food-beverages.png,,images/food-beverages.png,2,HND
139.7689515,35.54419991,"35.54419991, 139.7689515",Food and Beverages,,Food and Beverages,images/food-beverages.png,,images/food-beverages.png,International,HND
139.768399,35.54527802,"35.54527802, 139.768399",Food and Beverages,,Food and Beverages,images/food-beverages.png,,images/food-beverages.png,International,HND
139.7704428,35.54377652,"35.54377652, 139.7704428",Food and Beverages,,Food and Beverages,images/food-beverages.png,,images/food-beverages.png,International,HND
