longitude,latitude,latlng,title,description,type,image,imageBelow,iconURL,terminal,airportCode
-77.44816303,38.95273436,"38.95273436, -77.44816303",Accessibility,"The Metropolitan Washington Airports Authority is fully committed to providing universal access to all public facilities and services at Washington Dulles International Airport for all of its patrons. Washington, DC, is considered one of the most accessible cities in the United States. The Metropolitan Washington Airports Authority is working to ensure that this very important gateway to our Nation's Capital is also accessible to all patrons. For more information visit: <a href=""http://www.metwashairports.com/dulles/5327.htm"" target=""_blank"">http://www.metwashairports.com/dulles/5327.htm</a>",Accessibility,images/accessibility.png,,images/accessibility.png,main,IAD
-77.44747639,38.95282613,"38.95282613, -77.44747639",USO Lounge,,Airline Club,images/airline-lounge.png,,images/airline-lounge.png,main,IAD
-77.45247602,38.94874608,"38.94874608, -77.45247602",British Airways Galleries Lounge,,Airline Club,images/british-airways.png,,images/airline-lounge.png,B,IAD
-77.44954705,38.94529996,"38.94529996, -77.44954705",United Club,,Airline Club,images/united.png,,images/airline-lounge.png,D,IAD
-77.44495511,38.94533334,"38.94533334, -77.44495511",United Club,,Airline Club,images/united.png,,images/airline-lounge.png,C,IAD
-77.44224072,38.94540844,"38.94540844, -77.44224072",United Club,,Airline Club,images/united.png,,images/airline-lounge.png,C,IAD
-77.45084524,38.95273436,"38.95273436, -77.45084524",Baggage Claim,,Baggage Claim,images/baggage-claim.png,,images/baggage-claim.png,,IAD
-77.44874239,38.9528011,"38.9528011, -77.44874239",Baggage Claim,,Baggage Claim,images/baggage-claim.png,,images/baggage-claim.png,,IAD
-77.44659662,38.95275104,"38.95275104, -77.44659662",Baggage Claim,,Baggage Claim,images/baggage-claim.png,,images/baggage-claim.png,,IAD
-77.44342089,38.94847073,"38.94847073, -77.44342089",Bank/ATM,,Bank/ATM,images/bank-atm.png,,images/bank-atm.png,A,IAD
-77.44923592,38.94872105,"38.94872105, -77.44923592",Bank/ATM,,Bank/ATM,images/bank-atm.png,,images/bank-atm.png,A,IAD
-77.45424628,38.94867098,"38.94867098, -77.45424628",Bank/ATM,,Bank/ATM,images/bank-atm.png,,images/bank-atm.png,B,IAD
-77.44287372,38.9452499,"38.9452499, -77.44287372",Bank/ATM,,Bank/ATM,images/bank-atm.png,,images/bank-atm.png,C,IAD
-77.44520724,38.94547936,"38.94547936, -77.44520724",Bank/ATM,,Bank/ATM,images/bank-atm.png,,images/bank-atm.png,C,IAD
-77.45131731,38.94531665,"38.94531665, -77.45131731",Bank/ATM,,Bank/ATM,images/bank-atm.png,,images/bank-atm.png,D,IAD
-77.4412322,38.94529162,"38.94529162, -77.4412322",Food and Beverages,,Food and Beverages,images/food-beverages.png,,images/food-beverages.png,C,IAD
-77.44357109,38.945325,"38.945325, -77.44357109",Food and Beverages,,Food and Beverages,images/food-beverages.png,,images/food-beverages.png,C,IAD
-77.44945049,38.9529346,"38.9529346, -77.44945049",Food and Beverages,,Food and Beverages,images/food-beverages.png,,images/food-beverages.png,main,IAD
-77.44702578,38.95290122,"38.95290122, -77.44702578",Food and Beverages,,Food and Beverages,images/food-beverages.png,,images/food-beverages.png,main,IAD
-77.44846344,38.95263423,"38.95263423, -77.44846344",Food and Beverages,,Food and Beverages,images/food-beverages.png,,images/food-beverages.png,main,IAD
-77.441715,38.94868767,"38.94868767, -77.441715",Food and Beverages,,Food and Beverages,images/food-beverages.png,,images/food-beverages.png,A,IAD
-77.44265914,38.94868767,"38.94868767, -77.44265914",Food and Beverages,,Food and Beverages,images/food-beverages.png,,images/food-beverages.png,A,IAD
-77.44624257,38.94869602,"38.94869602, -77.44624257",Food and Beverages,,Food and Beverages,images/food-beverages.png,,images/food-beverages.png,A,IAD
-77.45357037,38.94874608,"38.94874608, -77.45357037",Food and Beverages,,Food and Beverages,images/food-beverages.png,,images/food-beverages.png,B,IAD
-77.45093107,38.9487127,"38.9487127, -77.45093107",Food and Beverages,,Food and Beverages,images/food-beverages.png,,images/food-beverages.png,B,IAD
-77.44096398,38.94539175,"38.94539175, -77.44096398",Food and Beverages,,Food and Beverages,images/food-beverages.png,,images/food-beverages.png,C,IAD
-77.44622648,38.94538758,"38.94538758, -77.44622648",Food and Beverages,,Food and Beverages,images/food-beverages.png,,images/food-beverages.png,C,IAD
-77.45400488,38.94543764,"38.94543764, -77.45400488",Food and Beverages,,Food and Beverages,images/food-beverages.png,,images/food-beverages.png,D,IAD
-77.45212734,38.94544182,"38.94544182, -77.45212734",Food and Beverages,,Food and Beverages,images/food-beverages.png,,images/food-beverages.png,D,IAD
-77.44974017,38.94549605,"38.94549605, -77.44974017",Food and Beverages,,Food and Beverages,images/food-beverages.png,,images/food-beverages.png,D,IAD
-77.44122148,38.9493969,"38.9493969, -77.44122148",A1,,Gate,,,,A,IAD
-77.44122148,38.94796175,"38.94796175, -77.44122148",A2,,Gate,,,,A,IAD
-77.4421978,38.94940525,"38.94940525, -77.4421978",A3,,Gate,,,,A,IAD
-77.44224072,38.94798678,"38.94798678, -77.44224072",A4,,Gate,,,,A,IAD
-77.44316339,38.9493969,"38.9493969, -77.44316339",A5,,Gate,,,,A,IAD
-77.44318485,38.94801181,"38.94801181, -77.44318485",A6,,Gate,,,,A,IAD
-77.4446547,38.94832888,"38.94832888, -77.4446547",A14,,Gate,,,,A,IAD
-77.44454205,38.94911321,"38.94911321, -77.44454205",A15,,Gate,,,,A,IAD
-77.44500875,38.94833723,"38.94833723, -77.44500875",A16,,Gate,,,,A,IAD
-77.444821,38.9491007,"38.9491007, -77.444821",A19,,Gate,,,,A,IAD
-77.4457866,38.94836226,"38.94836226, -77.4457866",A20,,Gate,,,,A,IAD
-77.44524479,38.94917162,"38.94917162, -77.44524479",A21,,Gate,,,,A,IAD
-77.44629085,38.94835392,"38.94835392, -77.44629085",A22,,Gate,,,,A,IAD
-77.44826496,38.94907566,"38.94907566, -77.44826496",A23,,Gate,,,,A,IAD
-77.44830787,38.94844153,"38.94844153, -77.44830787",A24,,Gate,,,,A,IAD
-77.44852781,38.94907149,"38.94907149, -77.44852781",A25,,Gate,,,,A,IAD
-77.44860291,38.9484457,"38.9484457, -77.44860291",A26,,Gate,,,,A,IAD
-77.44883358,38.94907149,"38.94907149, -77.44883358",A27,,Gate,,,,A,IAD
-77.44883895,38.94844987,"38.94844987, -77.44883895",A28,,Gate,,,,A,IAD
-77.44909644,38.9484457,"38.9484457, -77.44909644",A30,,Gate,,,,A,IAD
-77.44915009,38.94906732,"38.94906732, -77.44915009",A31,,Gate,,,,A,IAD
-77.4493593,38.9484457,"38.9484457, -77.4493593",A32,,Gate,,,,A,IAD
-77.44986892,38.9490548,"38.9490548, -77.44986892",B37,,Gate,,,,B,IAD
-77.44974017,38.94842901,"38.94842901, -77.44974017",B38,,Gate,,,,B,IAD
-77.4501425,38.9490548,"38.9490548, -77.4501425",B39,,Gate,,,,B,IAD
-77.44995475,38.94842901,"38.94842901, -77.44995475",B40,,Gate,,,,B,IAD
-77.45039463,38.9490256,"38.9490256, -77.45039463",B41,,Gate,,,,B,IAD
-77.45028734,38.94843735,"38.94843735, -77.45028734",B42,,Gate,,,,B,IAD
-77.45044291,38.94836643,"38.94836643, -77.45044291",B44,,Gate,,,,B,IAD
-77.4508667,38.94902143,"38.94902143, -77.4508667",B45,,Gate,,,,B,IAD
-77.45061994,38.94836226,"38.94836226, -77.45061994",B46,,Gate,,,,B,IAD
-77.45107591,38.9490256,"38.9490256, -77.45107591",B47,,Gate,,,,B,IAD
-77.45090425,38.94847073,"38.94847073, -77.45090425",B48,,Gate,,,,B,IAD
-77.45125294,38.94905898,"38.94905898, -77.45125294",B49,,Gate,,,,B,IAD
-77.45105982,38.94846239,"38.94846239, -77.45105982",B50,,Gate,,,,B,IAD
-77.45146751,38.9490548,"38.9490548, -77.45146751",B51,,Gate,,,,B,IAD
-77.45123148,38.94847073,"38.94847073, -77.45123148",B52,,Gate,,,,B,IAD
-77.45187521,38.94828716,"38.94828716, -77.45187521",B62,,Gate,,,,B,IAD
-77.4521327,38.9490548,"38.9490548, -77.4521327",B63,,Gate,,,,B,IAD
-77.45223463,38.94850202,"38.94850202, -77.45223463",B64,,Gate,,,,B,IAD
-77.45243043,38.94905689,"38.94905689, -77.45243043",B65,,Gate,,,,B,IAD
