longitude,latitude,latlng,title,description,type,image,imageBelow,iconURL,terminal,airportCode
-95.33287525,29.98771494,"29.98771494, -95.33287525",British Airways Lounge,,Airline Club,images/british-airways.png,,images/airline-lounge.png,D,IAH
-95.34946203,29.98809593,"29.98809593, -95.34946203",Continenta (United) Presidents Club,,Airline Club,images/united.png,,images/airline-lounge.png,A,IAH
-95.3453207,29.98633963,"29.98633963, -95.3453207",Continental (United) Presidents Club,,Airline Club,images/united.png,,images/airline-lounge.png,B,IAH
-95.34012794,29.9857263,"29.9857263, -95.34012794",Continental (United) Presidents Club,,Airline Club,images/united.png,,images/airline-lounge.png,C,IAH
-95.33892632,29.98775211,"29.98775211, -95.33892632",Continental (United) Presidents Club,,Airline Club,images/united.png,,images/airline-lounge.png,C,IAH
-95.33432901,29.98564732,"29.98564732, -95.33432901",Continental (United) Presidents Club,,Airline Club,images/united.png,,images/airline-lounge.png,E,IAH
-95.33375502,29.98738041,"29.98738041, -95.33375502","KLM, British Airways Lounges",,Airline Club,images/klm-british.png,,images/airline-lounge.png,D,IAH
-95.33491373,29.9873897,"29.9873897, -95.33491373","Qatar, Emirates, Lufthansa Lounges",,Airline Club,images/airline-lounge.png,,images/airline-lounge.png,D,IAH
-95.34946203,29.98660911,"29.98660911, -95.34946203",Baggage Claim,,Baggage Claim,images/baggage-claim.png,,images/baggage-claim.png,A,IAH
-95.34499884,29.98668346,"29.98668346, -95.34499884",Baggage Claim,,Baggage Claim,images/baggage-claim.png,,images/baggage-claim.png,B,IAH
-95.33894777,29.98725031,"29.98725031, -95.33894777",Baggage Claim,,Baggage Claim,images/baggage-claim.png,,images/baggage-claim.png,C,IAH
-95.33886194,29.98608872,"29.98608872, -95.33886194",Baggage Claim,,Baggage Claim,images/baggage-claim.png,,images/baggage-claim.png,C,IAH
-95.33398032,29.9872596,"29.9872596, -95.33398032",Baggage Claim,,Baggage Claim,images/baggage-claim.png,,images/baggage-claim.png,D,IAH
-95.33303618,29.98608872,"29.98608872, -95.33303618",Baggage Claim,,Baggage Claim,images/baggage-claim.png,,images/baggage-claim.png,E,IAH
-95.33306837,29.98690648,"29.98690648, -95.33306837",Baggage Claim,,Baggage Claim,images/baggage-claim.png,,images/baggage-claim.png,E,IAH
-95.3497839,29.98666487,"29.98666487, -95.3497839",Bank/ATM,,Bank/ATM,images/bank-atm.png,,images/bank-atm.png,A,IAH
-95.34567475,29.98645114,"29.98645114, -95.34567475",Bank/ATM,,Bank/ATM,images/bank-atm.png,,images/bank-atm.png,B,IAH
-95.33978462,29.98653477,"29.98653477, -95.33978462",Bank/ATM,,Bank/ATM,images/bank-atm.png,,images/bank-atm.png,C,IAH
-95.33651233,29.98570772,"29.98570772, -95.33651233",Bank/ATM,,Bank/ATM,images/bank-atm.png,,images/bank-atm.png,C,IAH
-95.33848643,29.98847693,"29.98847693, -95.33848643",Bank/ATM,,Bank/ATM,images/bank-atm.png,,images/bank-atm.png,C,IAH
-95.3344202,29.98762201,"29.98762201, -95.3344202",Bank/ATM,,Bank/ATM,images/bank-atm.png,,images/bank-atm.png,D,IAH
-95.3329289,29.98557762,"29.98557762, -95.3329289",Bank/ATM,,Bank/ATM,images/bank-atm.png,,images/bank-atm.png,E,IAH
-95.3353107,29.98631175,"29.98631175, -95.3353107",Bank/ATM,,Bank/ATM,images/bank-atm.png,,images/bank-atm.png,E,IAH
-95.35025597,29.98707375,"29.98707375, -95.35025597",Food and Beverages,,Food and Beverages,images/food-beverages.png,,images/food-beverages.png,A,IAH
-95.34995556,29.98791008,"29.98791008, -95.34995556",Food and Beverages,,Food and Beverages,images/food-beverages.png,,images/food-beverages.png,A,IAH
-95.34984827,29.98567055,"29.98567055, -95.34984827",Food and Beverages,,Food and Beverages,images/food-beverages.png,,images/food-beverages.png,A,IAH
-95.35135031,29.98570772,"29.98570772, -95.35135031",Food and Beverages,,Food and Beverages,images/food-beverages.png,,images/food-beverages.png,A,IAH
-95.34600735,29.98639538,"29.98639538, -95.34600735",Food and Beverages,,Food and Beverages,images/food-beverages.png,,images/food-beverages.png,B,IAH
-95.34644723,29.98781716,"29.98781716, -95.34644723",Food and Beverages,,Food and Beverages,images/food-beverages.png,,images/food-beverages.png,B,IAH
-95.34425586,29.98780786,"29.98780786, -95.34425586",Food and Beverages,,Food and Beverages,images/food-beverages.png,,images/food-beverages.png,B,IAH
-95.34592152,29.98564267,"29.98564267, -95.34592152",Food and Beverages,,Food and Beverages,images/food-beverages.png,,images/food-beverages.png,B,IAH
-95.34529924,29.9857263,"29.9857263, -95.34529924",Food and Beverages,,Food and Beverages,images/food-beverages.png,,images/food-beverages.png,B,IAH
-95.33983827,29.9857263,"29.9857263, -95.33983827",Food and Beverages,,Food and Beverages,images/food-beverages.png,,images/food-beverages.png,C,IAH
-95.33854008,29.98567055,"29.98567055, -95.33854008",Food and Beverages,,Food and Beverages,images/food-beverages.png,,images/food-beverages.png,C,IAH
-95.33806801,29.98574489,"29.98574489, -95.33806801",Food and Beverages,,Food and Beverages,images/food-beverages.png,,images/food-beverages.png,C,IAH
