longitude,latitude,latlng,title,description,type,image,imageBelow,iconURL,terminal,airportCode
126.4478946,37.4491395,"37.4491395, 126.4478946",Food and Beverages,,Food and Beverages,images/food-beverages.png,,images/food-beverages.png,Passenger,ICN
126.4460063,37.45017863,"37.45017863, 126.4460063",Restrooms,,Restrooms,images/restrooms.png,,images/restrooms.png,Passenger,ICN
126.4486241,37.44881583,"37.44881583, 126.4486241",Asiana Business & First Class Lounges,,Airline Club,images/asiana-airlines.png,,images/airline-lounge.png,Passenger,ICN
126.4533877,37.45038305,"37.45038305, 126.4533877",Security Checkpoint,,Security Checkpoint,images/security-check.png,,images/security-check.png,Passenger,ICN
126.4494181,37.44714637,"37.44714637, 126.4494181",Baggage Claim,,Baggage Claim,images/baggage-claim.png,,images/baggage-claim.png,Passenger,ICN
126.4493752,37.44794703,"37.44794703, 126.4493752",Bank/ATM,,Bank/ATM,images/bank-atm.png,,images/bank-atm.png,Passenger,ICN
126.4496541,37.44593683,"37.44593683, 126.4496541",Taxis and Public Transportation,,Taxis and Public Transportation,images/taxi-publictrans.png,,images/taxi-publictrans.png,Passenger,ICN
126.4527011,37.44936096,"37.44936096, 126.4527011",Rental Cars ,,Rental Cars,images/car-rental.png,,images/car-rental.png,Passenger,ICN
126.4497185,37.44919061,"37.44919061, 126.4497185",Shopping,,Shopping,images/shopping.png,,images/shopping.png,Passenger,ICN
126.4523363,37.44757225,"37.44757225, 126.4523363",Rail,,Rail,images/rail.png,,images/rail.png,Passenger,ICN
126.4562416,37.44605608,"37.44605608, 126.4562416",Parking,,Parking,images/parking.png,,images/parking.png,Passenger,ICN
126.4523792,37.44384139,"37.44384139, 126.4523792",Parking,,Parking,images/parking.png,,images/parking.png,Passenger,ICN
126.4510489,37.44876473,"37.44876473, 126.4510489",Baggage Claim,,Baggage Claim,images/baggage-claim.png,,images/baggage-claim.png,Passenger,ICN
126.4538169,37.44961648,"37.44961648, 126.4538169",Baggage Claim,,Baggage Claim,images/baggage-claim.png,,images/baggage-claim.png,Passenger,ICN
126.4505553,37.44932689,"37.44932689, 126.4505553",Security Checkpoint,,Security Checkpoint,images/security-check.png,,images/security-check.png,Passenger,ICN
126.4486027,37.4474019,"37.4474019, 126.4486027",Security Checkpoint,,Security Checkpoint,images/security-check.png,,images/security-check.png,Passenger,ICN
126.4546537,37.4505534,"37.4505534, 126.4546537",Hotel,,Hotel,images/hotel.png,,images/hotel.png,Passenger,ICN
126.447916,37.4464479,"37.4464479, 126.447916",Hotel,,Hotel,images/hotel.png,,images/hotel.png,Passenger,ICN
126.453023,37.44990608,"37.44990608, 126.453023",Bank/ATM,,Bank/ATM,images/bank-atm.png,,images/bank-atm.png,Passenger,ICN
126.4518857,37.4514392,"37.4514392, 126.4518857",Food and Beverages,,Food and Beverages,images/food-beverages.png,,images/food-beverages.png,Passenger,ICN
126.4514136,37.45246127,"37.45246127, 126.4514136",Restrooms,,Restrooms,images/restrooms.png,,images/restrooms.png,Passenger,ICN
126.4522505,37.45034898,"37.45034898, 126.4522505",Korean Air Lounge,,Airline Club,images/korean-air.png,,images/airline-lounge.png,Passenger,ICN
126.4538813,37.45005087,"37.45005087, 126.4538813",Korean Airlines Concourse Lounge,,Airline Club,images/korean-air.png,,images/airline-lounge.png,Passenger,ICN
126.4538705,37.45071523,"37.45071523, 126.4538705",Korean Air Lounge,,Airline Club,images/korean-air.png,,images/airline-lounge.png,Passenger,ICN
126.4486241,37.44799814,"37.44799814, 126.4486241",Restrooms,,Restrooms,images/restrooms.png,,images/restrooms.png,Passenger,ICN
126.4501691,37.44852623,"37.44852623, 126.4501691",Restrooms,,Restrooms,images/restrooms.png,,images/restrooms.png,Passenger,ICN
126.4516497,37.44956538,"37.44956538, 126.4516497",Restrooms,,Restrooms,images/restrooms.png,,images/restrooms.png,Passenger,ICN
126.4503193,37.44978683,"37.44978683, 126.4503193",Rail,,Rail,images/rail.png,,images/rail.png,Passenger,ICN
126.4520144,37.44919061,"37.44919061, 126.4520144",Medical Services,,Medical Services,images/medical-services.png,,images/medical-services.png,Passenger,ICN
126.4516282,37.44847513,"37.44847513, 126.4516282",Taxis and Public Transportation,,Taxis and Public Transportation,images/taxi-publictrans.png,,images/taxi-publictrans.png,Passenger,ICN
126.4538169,37.44823663,"37.44823663, 126.4538169",Parking,,Parking,images/parking.png,,images/parking.png,Passenger,ICN
126.4510489,37.44670344,"37.44670344, 126.4510489",Parking,,Parking,images/parking.png,,images/parking.png,Passenger,ICN
126.4552224,37.45007642,"37.45007642, 126.4552224",1,,Gate,,,,Passenger,ICN
126.4557695,37.44997422,"37.44997422, 126.4557695",2,,Gate,,,,Passenger,ICN
126.4563811,37.45004236,"37.45004236, 126.4563811",3,,Gate,,,,Passenger,ICN
126.4564991,37.45032343,"37.45032343, 126.4564991",6,,Gate,,,,Passenger,ICN
126.4564025,37.4506982,"37.4506982, 126.4564025",7,,Gate,,,,Passenger,ICN
126.4559519,37.45091965,"37.45091965, 126.4559519",8,,Gate,,,,Passenger,ICN
126.4553618,37.45105592,"37.45105592, 126.4553618",9,,Gate,,,,Passenger,ICN
126.4546108,37.45117517,"37.45117517, 126.4546108",10,,Gate,,,,Passenger,ICN
126.4538062,37.45120072,"37.45120072, 126.4538062",11,,Gate,,,,Passenger,ICN
126.4524329,37.45147327,"37.45147327, 126.4524329",12,,Gate,,,,Passenger,ICN
126.4522505,37.45209503,"37.45209503, 126.4522505",14,,Gate,,,,Passenger,ICN
126.4520681,37.45277641,"37.45277641, 126.4520681",15,,Gate,,,,Passenger,ICN
126.4519072,37.4533726,"37.4533726, 126.4519072",16,,Gate,,,,Passenger,ICN
126.4516282,37.45374735,"37.45374735, 126.4516282",17,,Gate,,,,Passenger,ICN
126.4512849,37.45394325,"37.45394325, 126.4512849",18,,Gate,,,,Passenger,ICN
126.4508343,37.45395176,"37.45395176, 126.4508343",19,,Gate,,,,Passenger,ICN
126.4504695,37.45373032,"37.45373032, 126.4504695",20,,Gate,,,,Passenger,ICN
126.4503407,37.4533726,"37.4533726, 126.4503407",21,,Gate,,,,Passenger,ICN
126.4503944,37.45298933,"37.45298933, 126.4503944",22,,Gate,,,,Passenger,ICN
126.4506197,37.4524272,"37.4524272, 126.4506197",23,,Gate,,,,Passenger,ICN
126.450963,37.45194172,"37.45194172, 126.450963",24,,Gate,,,,Passenger,ICN
126.4510381,37.45068116,"37.45068116, 126.4510381",26,,Gate,,,,Passenger,ICN
126.4502227,37.45029788,"37.45029788, 126.4502227",27,,Gate,,,,Passenger,ICN
126.4495468,37.44990608,"37.44990608, 126.4495468",28,,Gate,,,,Passenger,ICN
126.4482701,37.44964203,"37.44964203, 126.4482701",30,,Gate,,,,Passenger,ICN
126.4476478,37.44998273,"37.44998273, 126.4476478",31,,Gate,,,,Passenger,ICN
126.4470792,37.45045119,"37.45045119, 126.4470792",32,,Gate,,,,Passenger,ICN
126.4464784,37.4508004,"37.4508004, 126.4464784",33,,Gate,,,,Passenger,ICN
126.4460063,37.45096223,"37.45096223, 126.4460063",34,,Gate,,,,Passenger,ICN
126.4455664,37.45091113,"37.45091113, 126.4455664",35,,Gate,,,,Passenger,ICN
126.4451694,37.45068116,"37.45068116, 126.4451694",36,,Gate,,,,Passenger,ICN
126.4450514,37.45032343,"37.45032343, 126.4450514",37,,Gate,,,,Passenger,ICN
126.4452982,37.45003384,"37.45003384, 126.4452982",38,,Gate,,,,Passenger,ICN
126.4457381,37.4497698,"37.4497698, 126.4457381",39,,Gate,,,,Passenger,ICN
126.4463174,37.44947168,"37.44947168, 126.4463174",40,,Gate,,,,Passenger,ICN
126.4471757,37.44912246,"37.44912246, 126.4471757",41,,Gate,,,,Passenger,ICN
126.4477551,37.44810887,"37.44810887, 126.4477551",42,,Gate,,,,Passenger,ICN
126.4474761,37.44756374,"37.44756374, 126.4474761",43,,Gate,,,,Passenger,ICN
126.447283,37.44698453,"37.44698453, 126.447283",45,,Gate,,,,Passenger,ICN
126.4471757,37.44640532,"37.44640532, 126.4471757",46,,Gate,,,,Passenger,ICN
126.4471221,37.4458261,"37.4458261, 126.4471221",47,,Gate,,,,Passenger,ICN
126.4474225,37.44534909,"37.44534909, 126.4474225",48,,Gate,,,,Passenger,ICN
126.4478195,37.44527243,"37.44527243, 126.4478195",49,,Gate,,,,Passenger,ICN
126.4483666,37.44554501,"37.44554501, 126.4483666",50,,Gate,,,,Passenger,ICN
126.4440858,37.45538261,"37.45538261, 126.4440858",Security Checkpoint,,Security Checkpoint,images/security-check.png,,images/security-check.png,Concourse,ICN
126.4457488,37.45630242,"37.45630242, 126.4457488",Security Checkpoint,,Security Checkpoint,images/security-check.png,,images/security-check.png,Concourse,ICN
126.4451694,37.4562428,"37.4562428, 126.4451694",Medical Services,,Medical Services,images/medical-services.png,,images/medical-services.png,Concourse,ICN
126.4444077,37.45575735,"37.45575735, 126.4444077",Food and Beverages,,Food and Beverages,images/food-beverages.png,,images/food-beverages.png,Concourse,ICN
126.4449763,37.45553591,"37.45553591, 126.4449763",Shopping,,Shopping,images/shopping.png,,images/shopping.png,Concourse,ICN
126.4444399,37.45542519,"37.45542519, 126.4444399",Bank/ATM,,Bank/ATM,images/bank-atm.png,,images/bank-atm.png,Concourse,ICN
126.4453733,37.45589361,"37.45589361, 126.4453733",Bank/ATM,,Bank/ATM,images/bank-atm.png,,images/bank-atm.png,Concourse,ICN
126.4410174,37.45364515,"37.45364515, 126.4410174",Restrooms,,Restrooms,images/restrooms.png,,images/restrooms.png,Concourse,ICN
126.4454699,37.45643869,"37.45643869, 126.4454699",Restrooms,,Restrooms,images/restrooms.png,,images/restrooms.png,Concourse,ICN
126.4458132,37.45596175,"37.45596175, 126.4458132",Restrooms,,Restrooms,images/restrooms.png,,images/restrooms.png,Concourse,ICN
126.448077,37.45761398,"37.45761398, 126.448077",Restrooms,,Restrooms,images/restrooms.png,,images/restrooms.png,Concourse,ICN
126.4455128,37.45528892,"37.45528892, 126.4455128",Rail,,Rail,images/rail.png,,images/rail.png,Concourse,ICN
126.4440751,37.45569773,"37.45569773, 126.4440751",Korean Airlines Lounge,,Airline Club,images/korean-air.png,,images/airline-lounge.png,Concourse,ICN
