latitude,longitude,latlng,title,description,type,image,imageBelow,iconURL,terminal,airportCode
40.78967224,-73.0965364,"40.78967224, -73.0965364",Wi-Fi,"Airport travelers that are not customers of our WiFi service provider, or the companies they have reciprocal agreements with can log in for a FREE one-hour session with the option of purchasing additional time. <br>MacArthur Airport currently has FREE WiFi service for customers of Cablevision's Optimum Online, as well as users of TimeWarner Road Runner, Comcast Infinity and Bright House Internet.",Wi-Fi,images/wifi.png,,images/wifi.png,,ISP
40.78945292,-73.09582829,"40.78945292, -73.09582829",Security Checkpoint,"<a href=""https://apps.tsa.dhs.gov/mytsa/status_detail.aspx?iac=ISP"" target=""_blank""> Airport Status & Security Wait Times </a>",Security Checkpoint,images/security-check.png,,images/security-check.png,,ISP
40.78923766,-73.09627891,"40.78923766, -73.09627891",Shopping,,Shopping,images/shopping.png,,images/shopping.png,,ISP
40.78931483,-73.09819937,"40.78931483, -73.09819937",Baggage Claim,,Baggage Claim,images/baggage-claim.png,,images/baggage-claim.png,,ISP
40.78981033,-73.09521675,"40.78981033, -73.09521675",Shopping,,Shopping,images/shopping.png,,images/shopping.png,,ISP
40.79019211,-73.09728205,"40.79019211, -73.09728205",A1,,Gate,,,,,ISP
40.79019211,-73.09696019,"40.79019211, -73.09696019",A2,,Gate,,,,,ISP
40.79019211,-73.09602678,"40.79019211, -73.09602678",A3,,Gate,,,,,ISP
40.79019211,-73.09572637,"40.79019211, -73.09572637",A4,,Gate,,,,,ISP
40.79010682,-73.09499681,"40.79010682, -73.09499681",A5,,Gate,,,,,ISP
40.78994978,-73.09479833,"40.78994978, -73.09479833",A6,,Gate,,,,,ISP
40.78979273,-73.09459984,"40.78979273, -73.09459984",A7,,Gate,,,,,ISP
40.78963569,-73.09440136,"40.78963569, -73.09440136",A8,,Gate,,,,,ISP
40.79008245,-73.09537232,"40.79008245, -73.09537232",Food and Beverages,,Food and Beverages,images/food-beverages.png,,images/food-beverages.png,,ISP
40.79000934,-73.09637547,"40.79000934, -73.09637547",Food and Beverages,,Food and Beverages,images/food-beverages.png,,images/food-beverages.png,,ISP
40.78968443,-73.09758782,"40.78968443, -73.09758782",Food and Beverages,,Food and Beverages,images/food-beverages.png,,images/food-beverages.png,,ISP
40.78875434,-73.09695482,"40.78875434, -73.09695482",Parking,"<strong>Short-term and hourly parking</strong><br><br><b>Short-term and hourly parking rates:</b><br>$1.75 per half-hour<br>
$3.50 per hour<br>
$25 per 24 hours (Maximum Charge)<br>Prices subject to change.<br><br><a href=""http://www.macarthurairport.com/parking/parking-rates-info"" target=_blank>More information</a>",Parking,images/parking.png,,images/parking.png,,ISP
40.78877059,-73.0979687,"40.78877059, -73.0979687",Parking,"<strong>Short-term and hourly parking</strong><br><br><b>Short-term and hourly parking rates:</b><br>$1.75 per half-hour<br>
$3.50 per hour<br>
$25 per 24 hours (Maximum Charge)<br>Prices subject to change.<br><br><a href=""http://www.macarthurairport.com/parking/parking-rates-info"" target=_blank>More information</a>",Parking,images/parking.png,,images/parking.png,,ISP
40.78769428,-73.09721768,"40.78769428, -73.09721768",Parking,"<strong>Long-term and Daily Parking</strong><br><br><b>Long-term and Daily Parking Rates:</b><br>$4 per hour<br>
$15.50 per 24 hours (Maximum Charge)<br>Prices subject to change.<br><br><a href=""http://www.macarthurairport.com/parking/parking-rates-info"" target=_blank>More information</a>",Parking,images/parking.png,,images/parking.png,,ISP
40.78601276,-73.09735715,"40.78601276, -73.09735715",Parking,"<strong>Economy Lot Parking</strong><br><br><b>Economy Parking Rates: </b><br>$4 per hour<br>
$14.00 per 24 hours (Maximum Charge)* <br><br>
Included in the price is a free shuttle to and from the Main Terminal. Shuttle applies only to customers using the Economy Lot.<br>Economy lot shuttle starts at 4:30 a.m. and makes regular trips to the lot every 15-30 minutes until one hour after the final flight of the evening lands.<br><br><a href=""http://www.macarthurairport.com/parking/parking-rates-info"" target=_blank>More information</a>",Parking,images/parking.png,,images/parking.png,,ISP
40.79011494,-73.09799016,"40.79011494, -73.09799016",B16,,Gate,,,,,ISP
40.79013322,-73.09813231,"40.79013322, -73.09813231",B17,,Gate,,,,,ISP
40.79015556,-73.09827064,"40.79015556, -73.09827064",B18,,Gate,,,,,ISP
40.79013322,-73.09840896,"40.79013322, -73.09840896",B19,,Gate,,,,,ISP
40.79015556,-73.09854729,"40.79015556, -73.09854729",B20,,Gate,,,,,ISP
40.79013322,-73.09868561,"40.79013322, -73.09868561",B21,,Gate,,,,,ISP
40.79015556,-73.09882394,"40.79015556, -73.09882394",B22,,Gate,,,,,ISP
40.79013322,-73.09896226,"40.79013322, -73.09896226",B23,,Gate,,,,,ISP
40.79015556,-73.09910059,"40.79015556, -73.09910059",B24,,Gate,,,,,ISP
40.78918893,-73.09872508,"40.78918893, -73.09872508",Rental Cars,"On-site car rentals are available. <br><a href=""http://www.macarthurairport.com/ground-trans/on-site-car-rentals"" target=_blank>List of available car rental agencies</a>",Rental Cars,images/car-rental.png,,images/car-rental.png,,ISP
40.78927828,-73.09782386,"40.78927828, -73.09782386",Taxis and Public Transportation,"<strong>Taxis</strong><br>Located just outside of baggage claim, Village Taxi has an on-site representative to help keep passengers moving from the terminal to the taxi stand. Village Taxi also offers travelers a $5 shuttle ride to the Ronkonkoma station of the Long Island Railroad, which is located just north of MacArthur Airport.<br><br><strong>Local Bus Services:</strong><br>MacArthur Airport has several different bus services available. <br><b>Suffolk Bus:</b> Routes throughout Suffolk County.<br><a href=""http://sct-bus.org/general.html"" target=_blank>Suffolk Bus information</a><br><br><b>7Bus: </b>Luxury Commuter Bus Service between Long Island and NYC. <br><a href=""http://www.7bus.com/"" target=_blank>7Bus information</a><br><br><b>Hampton Jitney: </b>Luxury Commuter Bus Service between Long Island and Manhattan. <br><a href=""http://reservations.hamptonjitney.com/Airports/details.asp"" target=_blank>Hampton Jitney information</a>",Taxis and Public Transportation,images/taxi-publictrans.png,,images/taxi-publictrans.png,,ISP
40.78922954,-73.09799552,"40.78922954, -73.09799552",Rail,"The Long Island Railroad (LIRR) has one of its main hubs, the Ronkonkoma Station, located just one mile to the north of MacArthur Airport with hourly service to and from New York City. Village Taxi, the on-site Taxi service at MacArthur Airport, also offers travelers a $5 shuttle ride to the Ronkonkoma station of the Long Island Railroad. <br><br><a href=""http://www.macarthurairport.com/ground-trans/lirr"" target=_blank>More information</a>",Rail,images/rail.png,,images/rail.png,,ISP
40.79000122,-73.09668124,"40.79000122, -73.09668124",Shopping,,Shopping,images/shopping.png,,images/shopping.png,,ISP
