longitude,latitude,latlng,title,description,type,image,imageBelow,iconURL,terminal,airportCode
28.81658077,40.98012486,"40.98012486, 28.81658077",Rail,,Rail,images/rail.png,,images/rail.png,Domestic,IST
28.81913424,40.9792825,"40.9792825, 28.81913424",Parking,,Parking,images/parking.png,,images/parking.png,Domestic,IST
28.81653786,40.97994667,"40.97994667, 28.81653786",Medical Services,,Medical Services,images/medical-services.png,,images/medical-services.png,Domestic,IST
28.81814718,40.97743574,"40.97743574, 28.81814718",Airline Lounge,,Airline Club,images/airline-lounge.png,,images/airline-lounge.png,Domestic,IST
28.81711721,40.98063513,"40.98063513, 28.81711721",Airline Lounge,,Airline Club,images/airline-lounge.png,,images/airline-lounge.png,Domestic,IST
28.81638765,40.98047314,"40.98047314, 28.81638765",Security Checkpoint,,Security Checkpoint,images/security-check.png,,images/security-check.png,Domestic,IST
28.81690264,40.98007626,"40.98007626, 28.81690264",Baggage Claim,,Baggage Claim,images/baggage-claim.png,,images/baggage-claim.png,Domestic,IST
28.81683826,40.98038405,"40.98038405, 28.81683826",Bank/ATM,,Bank/ATM,images/bank-atm.png,,images/bank-atm.png,Domestic,IST
28.81731033,40.97975228,"40.97975228, 28.81731033",Taxis and Public Transportation,,Taxis and Public Transportation,images/taxi-publictrans.png,,images/taxi-publictrans.png,Domestic,IST
28.81924152,40.97860212,"40.97860212, 28.81924152",Rental Cars ,,Rental Cars,images/car-rental.png,,images/car-rental.png,Domestic,IST
28.81736398,40.98048934,"40.98048934, 28.81736398",Restrooms,,Restrooms,images/restrooms.png,,images/restrooms.png,Domestic,IST
28.81732106,40.97786503,"40.97786503, 28.81732106",Food and Beverages,,Food and Beverages,images/food-beverages.png,,images/food-beverages.png,Intl,IST
28.81795406,40.97667434,"40.97667434, 28.81795406",Shopping,,Shopping,images/shopping.png,,images/shopping.png,Intl,IST
28.81862998,40.97676344,"40.97676344, 28.81862998",Food and Beverages,,Food and Beverages,images/food-beverages.png,,images/food-beverages.png,Intl,IST
28.82110834,40.97709554,"40.97709554, 28.82110834",Food and Beverages,,Food and Beverages,images/food-beverages.png,,images/food-beverages.png,Intl,IST
28.82196665,40.97722514,"40.97722514, 28.82196665",Shopping,,Shopping,images/shopping.png,,images/shopping.png,Intl,IST
28.82236362,40.97747624,"40.97747624, 28.82236362",Airline Lounge,,Airline Club,images/airline-lounge.png,,images/airline-lounge.png,Intl,IST
28.82026076,40.97762204,"40.97762204, 28.82026076",Security Checkpoint,,Security Checkpoint,images/security-check.png,,images/security-check.png,Intl,IST
28.82055044,40.97788933,"40.97788933, 28.82055044",Medical Services,,Medical Services,images/medical-services.png,,images/medical-services.png,Intl,IST
28.82059336,40.97865072,"40.97865072, 28.82059336",Rail,,Rail,images/rail.png,,images/rail.png,Intl,IST
28.8234365,40.97750864,"40.97750864, 28.8234365",Food and Beverages,,Food and Beverages,images/food-beverages.png,,images/food-beverages.png,Intl,IST
28.81952047,40.97844822,"40.97844822, 28.81952047",Baggage Claim,,Baggage Claim,images/baggage-claim.png,,images/baggage-claim.png,Intl,IST
28.8251102,40.97801893,"40.97801893, 28.8251102",Restrooms,,Restrooms,images/restrooms.png,,images/restrooms.png,Intl,IST
28.82154822,40.97773543,"40.97773543, 28.82154822",Restrooms,,Restrooms,images/restrooms.png,,images/restrooms.png,Intl,IST
28.81902695,40.97743574,"40.97743574, 28.81902695",Restrooms,,Restrooms,images/restrooms.png,,images/restrooms.png,Intl,IST
28.81735325,40.97663384,"40.97663384, 28.81735325",Restrooms,,Restrooms,images/restrooms.png,,images/restrooms.png,Intl,IST
28.81593704,40.97638274,"40.97638274, 28.81593704",Restrooms,,Restrooms,images/restrooms.png,,images/restrooms.png,Intl,IST
28.81746054,40.98066753,"40.98066753, 28.81746054",101,,Gate,,,,Domestic,IST
28.81713867,40.98082952,"40.98082952, 28.81713867",102,,Gate,,,,Domestic,IST
28.81694555,40.9810887,"40.9810887, 28.81694555",103,,Gate,,,,Domestic,IST
28.81625354,40.98112515,"40.98112515, 28.81625354",104,,Gate,,,,Domestic,IST
28.81590486,40.9811535,"40.9811535, 28.81590486",105,,Gate,,,,Domestic,IST
28.81549716,40.98104011,"40.98104011, 28.81549716",106,,Gate,,,,Domestic,IST
28.81533623,40.98089432,"40.98089432, 28.81533623",107,,Gate,,,,Domestic,IST
28.81522894,40.98059463,"40.98059463, 28.81522894",108,,Gate,,,,Domestic,IST
28.81536841,40.98025445,"40.98025445, 28.81536841",109,,Gate,,,,Domestic,IST
28.81570101,40.97981707,"40.97981707, 28.81570101",110,,Gate,,,,Domestic,IST
28.81623745,40.97946879,"40.97946879, 28.81623745",111,,Gate,,,,Domestic,IST
28.81617308,40.97899091,"40.97899091, 28.81617308",112,,Gate,,,,Domestic,IST
28.81623745,40.97865882,"40.97865882, 28.81623745",201,,Gate,,,,Intl,IST
28.81634474,40.97826193,"40.97826193, 28.81634474",202,,Gate,,,,Intl,IST
28.81648421,40.97777593,"40.97777593, 28.81648421",203,,Gate,,,,Intl,IST
28.8166666,40.97724134,"40.97724134, 28.8166666",204,,Gate,,,,Intl,IST
28.81619453,40.97689304,"40.97689304, 28.81619453",205,,Gate,,,,Intl,IST
28.81552935,40.97676344,"40.97676344, 28.81552935",206,,Gate,,,,Intl,IST
28.81502509,40.97641514,"40.97641514, 28.81502509",207,,Gate,,,,Intl,IST
28.81512165,40.97611544,"40.97611544, 28.81512165",208,,Gate,,,,Intl,IST
28.81560445,40.97603444,"40.97603444, 28.81560445",209,,Gate,,,,Intl,IST
28.81611943,40.97607494,"40.97607494, 28.81611943",210,,Gate,,,,Intl,IST
28.81655931,40.97613164,"40.97613164, 28.81655931",211,,Gate,,,,Intl,IST
28.8171494,40.97622074,"40.97622074, 28.8171494",212,,Gate,,,,Intl,IST
28.81771803,40.97628554,"40.97628554, 28.81771803",213,,Gate,,,,Intl,IST
28.81824374,40.97636654,"40.97636654, 28.81824374",214,,Gate,,,,Intl,IST
28.81887674,40.97643944,"40.97643944, 28.81887674",215,,Gate,,,,Intl,IST
28.81952047,40.97655284,"40.97655284, 28.81952047",216,,Gate,,,,Intl,IST
28.82006764,40.97663384,"40.97663384, 28.82006764",217,,Gate,,,,Intl,IST
28.82074356,40.97672294,"40.97672294, 28.82074356",218,,Gate,,,,Intl,IST
28.82138729,40.97684444,"40.97684444, 28.82138729",219,,Gate,,,,Intl,IST
28.82213831,40.97694164,"40.97694164, 28.82213831",220,,Gate,,,,Intl,IST
28.82278204,40.97706314,"40.97706314, 28.82278204",221,,Gate,,,,Intl,IST
28.82347941,40.97718464,"40.97718464, 28.82347941",222,,Gate,,,,Intl,IST
28.82410169,40.97725754,"40.97725754, 28.82410169",223,,Gate,,,,Intl,IST
28.82472396,40.97737094,"40.97737094, 28.82472396",224,,Gate,,,,Intl,IST
28.82513165,40.97762204,"40.97762204, 28.82513165",225,,Gate,,,,Intl,IST
28.82583976,40.97774353,"40.97774353, 28.82583976",226,,Gate,,,,Intl,IST
28.81664515,40.97692544,"40.97692544, 28.81664515",301/312,,Gate,,,,Domestic,IST
28.82506728,40.97728994,"40.97728994, 28.82506728",501/504,,Gate,,,,Intl,IST
28.81972432,40.97695784,"40.97695784, 28.81972432",Wi-Fi,"Free Wi-Fi access is available at the Arrivals,<br>Departures, and General Aviation Terminals.",Wi-Fi,images/wifi.png,,images/wifi.png,Domestic,IST
28.81596923,40.98061893,"40.98061893, 28.81596923",Wi-Fi,"Free Wi-Fi access is available at the Arrivals,<br>Departures, and General Aviation Terminals.",Wi-Fi,images/wifi.png,,images/wifi.png,Intl,IST
