longitude,latitude,latlng,title,description,type,image,imageBelow,iconURL,terminal,airportCode
-73.79118562,40.64288729,"40.64288729, -73.79118562",Oneworld - Airline Lounge,,Airline Club,images/oneworld.png,,images/airline-lounge.png,1,JFK
-73.79145384,40.64340423,"40.64340423, -73.79145384","Japan Air Lines - First Class Lounge, Sakura Lounge",,Airline Club,images/japanairline.png,,images/airline-lounge.png,1,JFK
-73.79128754,40.64302568,"40.64302568, -73.79128754",Alitalia Michelangelo Lounge,,Airline Club,images/alitalia.png,,images/airline-lounge.png,1,JFK
-73.79135728,40.64313965,"40.64313965, -73.79135728",Korean Air KAL Lounge,,Airline Club,images/korean-air.png,,images/airline-lounge.png,1,JFK
-73.79143775,40.64298905,"40.64298905, -73.79143775",Lufthansa Senator and Business Lounge,,Airline Club,images/lufthansa.png,,images/airline-lounge.png,1,JFK
-73.7908262,40.64277739,"40.64277739, -73.7908262",Air France Lounge - Airline Lounge,,Airline Club,images/air-france.png,,images/airline-lounge.png,1,JFK
-73.78922224,40.64081947,"40.64081947, -73.78922224",Delta Airlines Sky Club - Airline Lounge,,Airline Club,images/airline-lounge.png,,images/airline-lounge.png,2,JFK
-73.78132582,40.64355891,"40.64355891, -73.78132582",Air India Maharajah Lounge - Airline Lounge,,Airline Club,images/airline-lounge.png,,images/airline-lounge.png,4,JFK
-73.78151894,40.64372986,"40.64372986, -73.78151894",El Al King David Lounge - Airline Lounge,,Airline Club,images/airline-lounge.png,,images/airline-lounge.png,4,JFK
-73.78189445,40.64358333,"40.64358333, -73.78189445",Emirates Business & First Class Lounge - Airline Lounge,,Airline Club,images/airline-lounge.png,,images/airline-lounge.png,4,JFK
-73.78215194,40.64345308,"40.64345308, -73.78215194",KLM Oaisis Lounge - Airline Lounge,,Airline Club,images/airline-lounge.png,,images/airline-lounge.png,4,JFK
-73.78246307,40.64333096,"40.64333096, -73.78246307","Swiss Business & Senator Lounge, First Class HON Circle Lounge - Airline Lounge",,Airline Club,images/airline-lounge.png,,images/airline-lounge.png,4,JFK
-73.78341794,40.64242733,"40.64242733, -73.78341794",Delta Airlines Sky Club - Airline Lounge,,Airline Club,images/airline-lounge.png,,images/airline-lounge.png,4,JFK
-73.77914786,40.64314372,"40.64314372, -73.77914786",Virgin Atlantic Clubhouse Lounge - Airline Lounge,,Airline Club,images/airline-lounge.png,,images/airline-lounge.png,4,JFK
-73.77653003,40.64687212,"40.64687212, -73.77653003",Airspace Lounge - Airline Lounge,,Airline Club,images/airline-lounge.png,,images/airline-lounge.png,4,JFK
-73.7760365,40.64572432,"40.64572432, -73.7760365",USO Military Lounge - Airline Lounge,,Airline Club,images/airline-lounge.png,,images/airline-lounge.png,5,JFK
-73.78297001,40.64898452,"40.64898452, -73.78297001",British Airways First Lounge - Airline Lounge,,Airline Club,images/airline-lounge.png,,images/airline-lounge.png,7,JFK
-73.78376126,40.64921244,"40.64921244, -73.78376126","British Airways Terraces, Concorde Room - Airline Lounge",,Airline Club,images/airline-lounge.png,,images/airline-lounge.png,7,JFK
-73.78244162,40.64917988,"40.64917988, -73.78244162",United Global First Lounge - Airline Lounge,,Airline Club,images/airline-lounge.png,,images/airline-lounge.png,7,JFK
-73.78263474,40.64922465,"40.64922465, -73.78263474",United Club - Airline Lounge,,Airline Club,images/airline-lounge.png,,images/airline-lounge.png,7,JFK
-73.79216194,40.65016076,"40.65016076, -73.79216194",American Airlines Admiral's Club - Airline Lounge,,Airline Club,images/airline-lounge.png,,images/airline-lounge.png,8,JFK
-73.79085302,40.64782454,"40.64782454, -73.79085302",American Airlines Flagship Lounge - Airline Lounge,,Airline Club,images/airline-lounge.png,,images/airline-lounge.png,8,JFK
-73.79055798,40.64361996,"40.64361996, -73.79055798",Baggage Claim,,Baggage Claim,images/baggage-claim.png,,images/baggage-claim.png,1,JFK
-73.79005909,40.64287508,"40.64287508, -73.79005909",Baggage Claim,,Baggage Claim,images/baggage-claim.png,,images/baggage-claim.png,1,JFK
-73.7899518,40.64278146,"40.64278146, -73.7899518",Baggage Claim,,Baggage Claim,images/baggage-claim.png,,images/baggage-claim.png,1,JFK
-73.78888965,40.641369,"40.641369, -73.78888965",Baggage Claim,,Baggage Claim,images/baggage-claim.png,,images/baggage-claim.png,2,JFK
-73.78304243,40.64379499,"40.64379499, -73.78304243",Baggage Claim,,Baggage Claim,images/baggage-claim.png,,images/baggage-claim.png,4,JFK
-73.78187299,40.64425901,"40.64425901, -73.78187299",Baggage Claim,,Baggage Claim,images/baggage-claim.png,,images/baggage-claim.png,4,JFK
-73.7766695,40.64619647,"40.64619647, -73.7766695",Baggage Claim,,Baggage Claim,images/baggage-claim.png,,images/baggage-claim.png,5,JFK
-73.77653003,40.6453987,"40.6453987, -73.77653003",Baggage Claim,,Baggage Claim,images/baggage-claim.png,,images/baggage-claim.png,5,JFK
-73.7833187,40.64895806,"40.64895806, -73.7833187",Baggage Claim,,Baggage Claim,images/baggage-claim.png,,images/baggage-claim.png,7,JFK
-73.78226459,40.64877491,"40.64877491, -73.78226459",Baggage Claim,,Baggage Claim,images/baggage-claim.png,,images/baggage-claim.png,7,JFK
-73.79060626,40.64682328,"40.64682328, -73.79060626",Baggage Claim,,Baggage Claim,images/baggage-claim.png,,images/baggage-claim.png,8,JFK
-73.78909349,40.64070143,"40.64070143, -73.78909349",Bank/ATM,,Bank/ATM,images/bank-atm.png,,images/bank-atm.png,2,JFK
-73.7832731,40.64213425,"40.64213425, -73.7832731",Bank/ATM,,Bank/ATM,images/bank-atm.png,,images/bank-atm.png,4,JFK
-73.78088593,40.6435874,"40.6435874, -73.78088593",Bank/ATM,,Bank/ATM,images/bank-atm.png,,images/bank-atm.png,4,JFK
-73.77646029,40.6454801,"40.6454801, -73.77646029",Bank/ATM,,Bank/ATM,images/bank-atm.png,,images/bank-atm.png,5,JFK
-73.78253818,40.6487973,"40.6487973, -73.78253818",Bank/ATM,,Bank/ATM,images/bank-atm.png,,images/bank-atm.png,7,JFK
-73.79176497,40.64784896,"40.64784896, -73.79176497",Bank/ATM,,Bank/ATM,images/bank-atm.png,,images/bank-atm.png,8,JFK
-73.79202247,40.64997354,"40.64997354, -73.79202247",Bank/ATM,,Bank/ATM,images/bank-atm.png,,images/bank-atm.png,8,JFK
-73.79392147,40.64707156,"40.64707156, -73.79392147",Bank/ATM,,Bank/ATM,images/bank-atm.png,,images/bank-atm.png,8,JFK
-73.79273057,40.64145855,"40.64145855, -73.79273057",Food and Beverages,,Food and Beverages,images/food-beverages.png,,images/food-beverages.png,1,JFK
-73.79151821,40.64225637,"40.64225637, -73.79151821",Food and Beverages,,Food and Beverages,images/food-beverages.png,,images/food-beverages.png,1,JFK
-73.79136801,40.64368102,"40.64368102, -73.79136801",Food and Beverages,,Food and Beverages,images/food-beverages.png,,images/food-beverages.png,1,JFK
-73.7910676,40.64358333,"40.64358333, -73.7910676",Food and Beverages,,Food and Beverages,images/food-beverages.png,,images/food-beverages.png,1,JFK
-73.79059553,40.64270005,"40.64270005, -73.79059553",Food and Beverages,,Food and Beverages,images/food-beverages.png,,images/food-beverages.png,1,JFK
-73.79064918,40.64320478,"40.64320478, -73.79064918",Food and Beverages,,Food and Beverages,images/food-beverages.png,,images/food-beverages.png,1,JFK
-73.79043996,40.6436973,"40.6436973, -73.79043996",Food and Beverages,,Food and Beverages,images/food-beverages.png,,images/food-beverages.png,1,JFK
-73.78991961,40.64293206,"40.64293206, -73.78991961",Food and Beverages,,Food and Beverages,images/food-beverages.png,,images/food-beverages.png,1,JFK
-73.78981233,40.6404979,"40.6404979, -73.78981233",Food and Beverages,,Food and Beverages,images/food-beverages.png,,images/food-beverages.png,2,JFK
-73.78993034,40.64025366,"40.64025366, -73.78993034",Food and Beverages,,Food and Beverages,images/food-beverages.png,,images/food-beverages.png,2,JFK
-73.78952265,40.64010712,"40.64010712, -73.78952265",Food and Beverages,,Food and Beverages,images/food-beverages.png,,images/food-beverages.png,2,JFK
