longitude,latitude,latlng,title,description,type,image,imageBelow,iconURL,terminal,airportCode
101.7051709,2.75399674,"2.75399674, 101.7051709",Food and Beverages,,Food and Beverages,images/food-beverages.png,,images/food-beverages.png,Main,KUL
101.7048919,2.753482351,"2.753482351, 101.7048919",Security Checkpoint,,Security Checkpoint,images/security-check.png,,images/security-check.png,Main,KUL
101.7046881,2.75492907,"2.75492907, 101.7046881",Baggage Claim,,Baggage Claim,images/baggage-claim.png,,images/baggage-claim.png,Main,KUL
101.7050421,2.755679221,"2.755679221, 101.7050421",Taxis and Public Transportation,,Taxis and Public Transportation,images/taxi-publictrans.png,,images/taxi-publictrans.png,Main,KUL
101.7043877,2.753546649,"2.753546649, 101.7043877",Shopping,,Shopping,images/shopping.png,,images/shopping.png,Main,KUL
101.7054605,2.755336295,"2.755336295, 101.7054605",Rail,,Rail,images/rail.png,,images/rail.png,Main,KUL
101.7045593,2.756193609,"2.756193609, 101.7045593",Parking,,Parking,images/parking.png,,images/parking.png,Main,KUL
101.7023599,2.754714742,"2.754714742, 101.7023599",Parking,,Parking,images/parking.png,,images/parking.png,Main,KUL
101.7037332,2.754264651,"2.754264651, 101.7037332",Baggage Claim,,Baggage Claim,images/baggage-claim.png,,images/baggage-claim.png,Main,KUL
101.7058039,2.752678617,"2.752678617, 101.7058039",Food and Beverages,,Food and Beverages,images/food-beverages.png,,images/food-beverages.png,Main,KUL
101.7053425,2.752207093,"2.752207093, 101.7053425",Shopping,,Shopping,images/shopping.png,,images/shopping.png,Main,KUL
101.7059326,2.751874882,"2.751874882, 101.7059326",Rail,,Rail,images/rail.png,,images/rail.png,Main,KUL
101.7046881,2.751810583,"2.751810583, 101.7046881",A2/G2,,Gate,,,,Main,KUL
101.7039478,2.751296193,"2.751296193, 101.7039478",A4/G4,,Gate,,,,Main,KUL
101.7033577,2.7509104,"2.7509104, 101.7033577",A6/G6,,Gate,,,,Main,KUL
101.7028052,2.750519249,"2.750519249, 101.7028052",A8/G8,,Gate,,,,Main,KUL
101.7022473,2.75014953,"2.75014953, 101.7022473",A10/G10,,Gate,,,,Main,KUL
101.7030358,2.752024913,"2.752024913, 101.7030358",A3/G3,,Gate,,,,Main,KUL
101.7027354,2.751778434,"2.751778434, 101.7027354",A5/G5,,Gate,,,,Main,KUL
101.7023814,2.751499806,"2.751499806, 101.7023814",A7/G7,,Gate,,,,Main,KUL
101.7017484,2.751231894,"2.751231894, 101.7017484",A9/G9,,Gate,,,,Main,KUL
101.7012119,2.750888967,"2.750888967, 101.7012119",A11/G11,,Gate,,,,Main,KUL
101.7061794,2.752742915,"2.752742915, 101.7061794",B2/H2,,Gate,,,,Main,KUL
101.7068768,2.753160857,"2.753160857, 101.7068768",B4/H4,,Gate,,,,Main,KUL
101.7074883,2.753546649,"2.753546649, 101.7074883",B6/H6,,Gate,,,,Main,KUL
101.7080677,2.753889576,"2.753889576, 101.7080677",B8/H8,,Gate,,,,Main,KUL
101.7086792,2.754339666,"2.754339666, 101.7086792",B10/H10,,Gate,,,,Main,KUL
101.706233,2.754168203,"2.754168203, 101.706233",B3/H3,,Gate,,,,Main,KUL
101.7065978,2.754511129,"2.754511129, 101.7065978",B5/H5,,Gate,,,,Main,KUL
101.7070055,2.754768324,"2.754768324, 101.7070055",B7/H7,,Gate,,,,Main,KUL
101.7073274,2.755004086,"2.755004086, 101.7073274",B9/H9,,Gate,,,,Main,KUL
101.7078424,2.755347011,"2.755347011, 101.7078424",B11/H11,,Gate,,,,Main,KUL
101.712091,2.746902433,"2.746902433, 101.712091",Rail,,Rail,images/rail.png,,images/rail.png,Satellite,KUL
101.7135179,2.747674021,"2.747674021, 101.7135179",Restrooms,,Restrooms,images/restrooms.png,,images/restrooms.png,Satellite,KUL
101.7132068,2.74834916,"2.74834916, 101.7132068",Shopping,,Shopping,images/shopping.png,,images/shopping.png,Satellite,KUL
101.7135394,2.748081248,"2.748081248, 101.7135394",Food and Beverages,,Food and Beverages,images/food-beverages.png,,images/food-beverages.png,Satellite,KUL
101.7139685,2.74816698,"2.74816698, 101.7139685",Shopping,,Shopping,images/shopping.png,,images/shopping.png,Satellite,KUL
101.71296,2.747502557,"2.747502557, 101.71296",Shopping,,Shopping,images/shopping.png,,images/shopping.png,Satellite,KUL
101.7138934,2.747352526,"2.747352526, 101.7138934",Shopping,,Shopping,images/shopping.png,,images/shopping.png,Satellite,KUL
101.7126381,2.746827417,"2.746827417, 101.7126381",C2,,Gate,,,,Satellite,KUL
101.7119515,2.746377324,"2.746377324, 101.7119515",C3,,Gate,,,,Satellite,KUL
101.7110503,2.747020314,"2.747020314, 101.7110503",C4,,Gate,,,,Satellite,KUL
101.7115867,2.747320376,"2.747320376, 101.7115867",C5,,Gate,,,,Satellite,KUL
101.7121553,2.747684738,"2.747684738, 101.7121553",C6,,Gate,,,,Satellite,KUL
101.7123163,2.748606356,"2.748606356, 101.7123163",C11,,Gate,,,,Satellite,KUL
101.7119837,2.749099315,"2.749099315, 101.7119837",C12,,Gate,,,,Satellite,KUL
101.7117155,2.749645856,"2.749645856, 101.7117155",C13,,Gate,,,,Satellite,KUL
101.7116511,2.750503174,"2.750503174, 101.7116511",C14,,Gate,,,,Satellite,KUL
101.7125738,2.750342427,"2.750342427, 101.7125738",C15,,Gate,,,,Satellite,KUL
101.7128634,2.749956634,"2.749956634, 101.7128634",C16,,Gate,,,,Satellite,KUL
101.7132497,2.749367227,"2.749367227, 101.7132497",C17,,Gate,,,,Satellite,KUL
101.7141187,2.749195763,"2.749195763, 101.7141187",C21,,Gate,,,,Satellite,KUL
101.714623,2.749474392,"2.749474392, 101.714623",C22,,Gate,,,,Satellite,KUL
101.7151594,2.749774453,"2.749774453, 101.7151594",C23,,Gate,,,,Satellite,KUL
101.7161143,2.749678005,"2.749678005, 101.7161143",C24,,Gate,,,,Satellite,KUL
101.7159641,2.749013583,"2.749013583, 101.7159641",C25,,Gate,,,,Satellite,KUL
101.7154598,2.748681372,"2.748681372, 101.7154598",C26,,Gate,,,,Satellite,KUL
101.7149448,2.74834916,"2.74834916, 101.7149448",C27,,Gate,,,,Satellite,KUL
101.7147517,2.747138196,"2.747138196, 101.7147517",C31,,Gate,,,,Satellite,KUL
101.7151594,2.746613087,"2.746613087, 101.7151594",C32,,Gate,,,,Satellite,KUL
101.715492,2.74614156,"2.74614156, 101.715492",C33,,Gate,,,,Satellite,KUL
101.715138,2.745305672,"2.745305672, 101.715138",C34,,Gate,,,,Satellite,KUL
101.7144835,2.745359254,"2.745359254, 101.7144835",C35,,Gate,,,,Satellite,KUL
101.7140651,2.745948663,"2.745948663, 101.7140651",C36,,Gate,,,,Satellite,KUL
101.7137003,2.746548788,"2.746548788, 101.7137003",C37,,Gate,,,,Satellite,KUL
