longitude,latitude,latlng,title,description,type,image,imageBelow,iconURL,terminal,airportCode
-115.1372766,36.08772527,"36.08772527, -115.1372766",Parking,,Parking,images/parking.png,,images/parking.png,1,LAS
-115.1473618,36.08626867,"36.08626867, -115.1473618",Parking,,Parking,images/parking.png,,images/parking.png,1,LAS
-115.1503229,36.08476002,"36.08476002, -115.1503229",Food and Beverages,,Food and Beverages,images/food-beverages.png,,images/food-beverages.png,1,LAS
-115.1509452,36.08626,"36.08626, -115.1509452",Restrooms,,Restrooms,images/restrooms.png,,images/restrooms.png,1,LAS
-115.1509559,36.08562707,"36.08562707, -115.1509559",USO Lounge,,Airline Club,images/alitalia.png,,images/airline-lounge.png,1,LAS
-115.1509774,36.0850895,"36.0850895, -115.1509774",Security Checkpoint,,Security Checkpoint,images/security-check.png,,images/security-check.png,1,LAS
-115.1504624,36.08565308,"36.08565308, -115.1504624",Baggage Claim,,Baggage Claim,images/baggage-claim.png,,images/baggage-claim.png,1,LAS
-115.1494324,36.08493343,"36.08493343, -115.1494324",Taxis and Public Transportation,,Taxis and Public Transportation,images/taxi-publictrans.png,,images/taxi-publictrans.png,1,LAS
-115.1501191,36.0850895,"36.0850895, -115.1501191",Rental Cars ,,Rental Cars,images/car-rental.png,,images/car-rental.png,1,LAS
-115.1505697,36.08510684,"36.08510684, -115.1505697",Shopping,,Shopping,images/shopping.png,,images/shopping.png,1,LAS
-115.1486814,36.08472534,"36.08472534, -115.1486814",Rail,,Rail,images/rail.png,,images/rail.png,1,LAS
-115.1501191,36.08451725,"36.08451725, -115.1501191",Restrooms,,Restrooms,images/restrooms.png,,images/restrooms.png,1,LAS
-115.1497865,36.0841791,"36.0841791, -115.1497865",Security Checkpoint,,Security Checkpoint,images/security-check.png,,images/security-check.png,1,LAS
-115.1513207,36.08475135,"36.08475135, -115.1513207",Shopping,,Shopping,images/shopping.png,,images/shopping.png,1,LAS
-115.1514387,36.08517621,"36.08517621, -115.1514387",Restrooms,,Restrooms,images/restrooms.png,,images/restrooms.png,1,LAS
-115.1517391,36.08483806,"36.08483806, -115.1517391",Food and Beverages,,Food and Beverages,images/food-beverages.png,,images/food-beverages.png,1,LAS
-115.1518571,36.08323401,"36.08323401, -115.1518571",Shopping,,Shopping,images/shopping.png,,images/shopping.png,1,LAS
-115.1515031,36.08305192,"36.08305192, -115.1515031",Food and Beverages,,Food and Beverages,images/food-beverages.png,,images/food-beverages.png,1,LAS
-115.1511383,36.08291319,"36.08291319, -115.1511383",Restrooms,,Restrooms,images/restrooms.png,,images/restrooms.png,1,LAS
-115.1529837,36.08281781,"36.08281781, -115.1529837",Food and Beverages,,Food and Beverages,images/food-beverages.png,,images/food-beverages.png,1,LAS
-115.1526618,36.0828525,"36.0828525, -115.1526618",Shopping,,Shopping,images/shopping.png,,images/shopping.png,1,LAS
-115.1523829,36.0829999,"36.0829999, -115.1523829",Restrooms,,Restrooms,images/restrooms.png,,images/restrooms.png,1,LAS
-115.1543677,36.08521956,"36.08521956, -115.1543677",Food and Beverages,,Food and Beverages,images/food-beverages.png,,images/food-beverages.png,1,LAS
