longitude,latitude,latlng,title,description,type,image,imageBelow,iconURL,terminal,airportCode
-118.4070343,33.94162432,"33.94162432, -118.4070343",American Airlines Admirals Lounge,,Airline Club,images/american-airlines.png,,images/airline-lounge.png,4,LAX
-118.4044003,33.94056513,"33.94056513, -118.4044003",Delta Crown Room Lounge,,Airline Club,images/delta.png,,images/airline-lounge.png,5,LAX
-118.4100276,33.94324424,"33.94324424, -118.4100276",reLAX Lounge,,Airline Club,images/airline-lounge.png,,images/airline-lounge.png,Bradley International Terminal,LAX
-118.399508,33.9425945,"33.9425945, -118.399508",United Airlines Red Carpet Lounge,,Airline Club,images/united.png,,images/airline-lounge.png,7,LAX
-118.4021902,33.94168663,"33.94168663, -118.4021902",United VIP Lounge,,Airline Club,images/united.png,,images/airline-lounge.png,6,LAX
-118.4014285,33.94572746,"33.94572746, -118.4014285",US Airways Club,,Airline Club,images/us-airways.png,,images/airline-lounge.png,1,LAX
-118.3995724,33.94109028,"33.94109028, -118.3995724",VIP Lounge,,Airline Club,images/airline-lounge.png,,images/airline-lounge.png,7,LAX
-118.4003985,33.94566515,"33.94566515, -118.4003985",Baggage Claim,,Baggage Claim,images/baggage-claim.png,,images/baggage-claim.png,1,LAX
-118.4016216,33.94554945,"33.94554945, -118.4016216",Baggage Claim,,Baggage Claim,images/baggage-claim.png,,images/baggage-claim.png,1,LAX
-118.4053123,33.94519344,"33.94519344, -118.4053123",Baggage Claim,,Baggage Claim,images/baggage-claim.png,,images/baggage-claim.png,2,LAX
-118.4041858,33.94533139,"33.94533139, -118.4041858",Baggage Claim,,Baggage Claim,images/baggage-claim.png,,images/baggage-claim.png,2,LAX
-118.4062511,33.94510888,"33.94510888, -118.4062511",Baggage Claim,,Baggage Claim,images/baggage-claim.png,,images/baggage-claim.png,2,LAX
-118.407383,33.94496203,"33.94496203, -118.407383",Baggage Claim,,Baggage Claim,images/baggage-claim.png,,images/baggage-claim.png,3,LAX
-118.4071255,33.94228298,"33.94228298, -118.4071255",Baggage Claim,,Baggage Claim,images/baggage-claim.png,,images/baggage-claim.png,4,LAX
-118.4040999,33.9426301,"33.9426301, -118.4040999",Baggage Claim,,Baggage Claim,images/baggage-claim.png,,images/baggage-claim.png,5,LAX
-118.4016538,33.94289712,"33.94289712, -118.4016538",Baggage Claim,,Baggage Claim,images/baggage-claim.png,,images/baggage-claim.png,6,LAX
-118.3973569,33.94312408,"33.94312408, -118.3973569",Baggage Claim,,Baggage Claim,images/baggage-claim.png,,images/baggage-claim.png,8,LAX
-118.4084344,33.94314633,"33.94314633, -118.4084344",Baggage Claim,,Baggage Claim,images/baggage-claim.png,,images/baggage-claim.png,Bradley International Terminal,LAX
-118.408531,33.94393848,"33.94393848, -118.408531",Baggage Claim,,Baggage Claim,images/baggage-claim.png,,images/baggage-claim.png,Bradley International Terminal,LAX
-118.40101,33.94619027,"33.94619027, -118.40101",Bank/ATM,,Bank/ATM,images/bank-atm.png,,images/bank-atm.png,1,LAX
-118.4039819,33.94592771,"33.94592771, -118.4039819",Bank/ATM,,Bank/ATM,images/bank-atm.png,,images/bank-atm.png,2,LAX
-118.4072542,33.94603007,"33.94603007, -118.4072542",Bank/ATM,,Bank/ATM,images/bank-atm.png,,images/bank-atm.png,3,LAX
-118.4068304,33.94146856,"33.94146856, -118.4068304",Bank/ATM,,Bank/ATM,images/bank-atm.png,,images/bank-atm.png,4,LAX
-118.4065354,33.9402269,"33.9402269, -118.4065354",Bank/ATM,,Bank/ATM,images/bank-atm.png,,images/bank-atm.png,4,LAX
-118.4045076,33.94209606,"33.94209606, -118.4045076",Bank/ATM,,Bank/ATM,images/bank-atm.png,,images/bank-atm.png,5,LAX
-118.404454,33.94094787,"33.94094787, -118.404454",Bank/ATM,,Bank/ATM,images/bank-atm.png,,images/bank-atm.png,5,LAX
-118.4020936,33.94182014,"33.94182014, -118.4020936",Bank/ATM,,Bank/ATM,images/bank-atm.png,,images/bank-atm.png,6,LAX
-118.4020293,33.94118819,"33.94118819, -118.4020293",Bank/ATM,,Bank/ATM,images/bank-atm.png,,images/bank-atm.png,6,LAX
-118.4003985,33.94298612,"33.94298612, -118.4003985",Bank/ATM,,Bank/ATM,images/bank-atm.png,,images/bank-atm.png,7,LAX
-118.3975071,33.9426479,"33.9426479, -118.3975071",Bank/ATM,,Bank/ATM,images/bank-atm.png,,images/bank-atm.png,8,LAX
-118.4096575,33.94323534,"33.94323534, -118.4096575",Bank/ATM,,Bank/ATM,images/bank-atm.png,,images/bank-atm.png,Bradley International Terminal,LAX
-118.4013855,33.94592326,"33.94592326, -118.4013855",Food and Beverages,,Food and Beverages,images/food-beverages.png,,images/food-beverages.png,1,LAX
-118.4010637,33.94674208,"33.94674208, -118.4010637",Food and Beverages,,Food and Beverages,images/food-beverages.png,,images/food-beverages.png,1,LAX
-118.4042501,33.94641278,"33.94641278, -118.4042501",Food and Beverages,,Food and Beverages,images/food-beverages.png,,images/food-beverages.png,2,LAX
-118.4038424,33.94641723,"33.94641723, -118.4038424",Food and Beverages,,Food and Beverages,images/food-beverages.png,,images/food-beverages.png,2,LAX
-118.407501,33.94640388,"33.94640388, -118.407501",Food and Beverages,,Food and Beverages,images/food-beverages.png,,images/food-beverages.png,3,LAX
-118.4069324,33.94168663,"33.94168663, -118.4069324",Food and Beverages,,Food and Beverages,images/food-beverages.png,,images/food-beverages.png,4,LAX
-118.4067392,33.94121489,"33.94121489, -118.4067392",Food and Beverages,,Food and Beverages,images/food-beverages.png,,images/food-beverages.png,4,LAX
-118.4066641,33.94052953,"33.94052953, -118.4066641",Food and Beverages,,Food and Beverages,images/food-beverages.png,,images/food-beverages.png,4,LAX
-118.4043252,33.94117039,"33.94117039, -118.4043252",Food and Beverages,,Food and Beverages,images/food-beverages.png,,images/food-beverages.png,5,LAX
-118.4045935,33.94076095,"33.94076095, -118.4045935",Food and Beverages,,Food and Beverages,images/food-beverages.png,,images/food-beverages.png,5,LAX
-118.4021473,33.94228298,"33.94228298, -118.4021473",Food and Beverages,,Food and Beverages,images/food-beverages.png,,images/food-beverages.png,6,LAX
-118.4022117,33.94105468,"33.94105468, -118.4022117",Food and Beverages,,Food and Beverages,images/food-beverages.png,,images/food-beverages.png,6,LAX
-118.4017611,33.94109028,"33.94109028, -118.4017611",Food and Beverages,,Food and Beverages,images/food-beverages.png,,images/food-beverages.png,6,LAX
-118.3996689,33.94234528,"33.94234528, -118.3996689",Food and Beverages,,Food and Beverages,images/food-beverages.png,,images/food-beverages.png,7,LAX
-118.3997977,33.94184684,"33.94184684, -118.3997977",Food and Beverages,,Food and Beverages,images/food-beverages.png,,images/food-beverages.png,7,LAX
-118.3996046,33.94139291,"33.94139291, -118.3996046",Food and Beverages,,Food and Beverages,images/food-beverages.png,,images/food-beverages.png,7,LAX
-118.3993042,33.94084106,"33.94084106, -118.3993042",Food and Beverages,,Food and Beverages,images/food-beverages.png,,images/food-beverages.png,7,LAX
-118.3973676,33.94254554,"33.94254554, -118.3973676",Food and Beverages,,Food and Beverages,images/food-beverages.png,,images/food-beverages.png,8,LAX
-118.3971691,33.94113923,"33.94113923, -118.3971691",Food and Beverages,,Food and Beverages,images/food-beverages.png,,images/food-beverages.png,8,LAX
-118.4095395,33.94389398,"33.94389398, -118.4095395",Food and Beverages,,Food and Beverages,images/food-beverages.png,,images/food-beverages.png,Bradley International Terminal,LAX
-118.4094,33.94281701,"33.94281701, -118.4094",Food and Beverages,,Food and Beverages,images/food-beverages.png,,images/food-beverages.png,Bradley International Terminal,LAX
-118.3999479,33.94596776,"33.94596776, -118.3999479",1,,Gate,,,,1,LAX
-118.4020078,33.94593216,"33.94593216, -118.4020078",2,,Gate,,,,1,LAX
-118.4006774,33.94628817,"33.94628817, -118.4006774",3,,Gate,,,,1,LAX
-118.4007311,33.94667088,"33.94667088, -118.4007311",5,,Gate,,,,1,LAX
-118.4016752,33.94660858,"33.94660858, -118.4016752",6,,Gate,,,,1,LAX
-118.400774,33.94692899,"33.94692899, -118.400774",7,,Gate,,,,1,LAX
-118.4017181,33.94688449,"33.94688449, -118.4017181",8,,Gate,,,,1,LAX
-118.4007955,33.94714259,"33.94714259, -118.4007955",9,,Gate,,,,1,LAX
-118.4017825,33.94721379,"33.94721379, -118.4017825",10,,Gate,,,,1,LAX
-118.4008491,33.94735619,"33.94735619, -118.4008491",11,,Gate,,,,1,LAX
-118.4018469,33.94749859,"33.94749859, -118.4018469",12,,Gate,,,,1,LAX
-118.4008598,33.9476054,"33.9476054, -118.4008598",13,,Gate,,,,1,LAX
-118.4015036,33.9477211,"33.9477211, -118.4015036",14,,Gate,,,,1,LAX
-118.4035742,33.94603007,"33.94603007, -118.4035742",21,,Gate,,,,2,LAX
-118.4045237,33.94607012,"33.94607012, -118.4045237",22,,Gate,,,,2,LAX
-118.4036064,33.94652848,"33.94652848, -118.4036064",23,,Gate,,,,2,LAX
-118.4046096,33.94655963,"33.94655963, -118.4046096",24,,Gate,,,,2,LAX
-118.4036654,33.94679103,"33.94679103, -118.4036654",25,,Gate,,,,2,LAX
-118.4046525,33.94681773,"33.94681773, -118.4046525",26,,Gate,,,,2,LAX
-118.4036922,33.94697349,"33.94697349, -118.4036922",27,,Gate,,,,2,LAX
