latitude,longitude,latlng,title,description,type,image,imageBelow,iconURL,terminal,airportCode
33.81842511,-118.14399,"33.81842511, -118.14399",Rental Cars,"<strong>Ground Transportation Center</strong><br><br> Car rentals available from Avis, Budget, Enterprise, Hertz and National/Alamo",Rental Cars ,images/car-rental.png,,images/car-rental.png,,LGB
33.81765853,-118.14399,"33.81765853, -118.14399",Parking,<strong>Parking A</strong> Covered garage. <br><b>Garage A Rates:</b><br> First 20 minutes free; $2 Hourly; $19 per day<br>A daily Disabled Parking rate of $11 is available in each parking lot. ,Parking,images/parking.png,,images/parking.png,,LGB
33.81736884,-118.1457657,"33.81736884, -118.1457657",1,,Gate,,,,,LGB
33.81755752,-118.1457657,"33.81755752, -118.1457657",2,,Gate,,,,,LGB
33.81774619,-118.1457657,"33.81774619, -118.1457657",3,,Gate,,,,,LGB
33.81793486,-118.1457657,"33.81793486, -118.1457657",4,,Gate,,,,,LGB
33.81863457,-118.1457657,"33.81863457, -118.1457657",5,,Gate,,,,,LGB
33.81880542,-118.1457657,"33.81880542, -118.1457657",6,,Gate,,,,,LGB
33.81897626,-118.1457657,"33.81897626, -118.1457657",7,,Gate,,,,,LGB
33.8191471,-118.1457657,"33.8191471, -118.1457657",8,,Gate,,,,,LGB
33.81931794,-118.1457657,"33.81931794, -118.1457657",9,,Gate,,,,,LGB
33.81948878,-118.1457657,"33.81948878, -118.1457657",10,,Gate,,,,,LGB
33.81965963,-118.1457657,"33.81965963, -118.1457657",11,,Gate,,,,,LGB
33.81894209,-118.1442475,"33.81894209, -118.1442475",Parking,<strong>Valet Parking</strong> $24 per day. Includes free car wash. ,Parking,images/parking.png,,images/parking.png,,LGB
33.81802399,-118.1423217,"33.81802399, -118.1423217",Parking,<strong>Parking B</strong> Covered garage. <br><b>Garage B Rates:</b><br> First 20 minutes free; $2 Hourly; $17 per day<br>A daily Disabled Parking rate of $11 is available in each parking lot. ,Parking,images/parking.png,,images/parking.png,,LGB
33.81801954,-118.1441671,"33.81801954, -118.1441671",Taxis and Public Transportation,"<strong>Taxi Service</strong><br><br>Taxis are available at the Taxi stand outside the terminal. <br><b>Rates:</b><br> $2.85 - Initial flag drop, including first 1/9th mile or 30 seconds or fraction thereof<br>$0.30 - Each additional 1/9th mile or part<br>$0.30 - Each 37 seconds waiting time and/or traffic delay ($29.19/hour wait)<br><br>Please visit Long Beach Yellow Cab's website at <a href="" www.longbeachyellowcab.com"" target=_blank>www.longbeachyellowcab.com</a>.",Taxis and Public Transportation,images/taxi-publictrans.png,,images/taxi-publictrans.png,,LGB
33.81763179,-118.1456047,"33.81763179, -118.1456047",Restrooms,,Restrooms,images/restrooms.png,,images/restrooms.png,,LGB
33.8193744,-118.1455511,"33.8193744, -118.1455511",Restrooms,,Restrooms,images/restrooms.png,,images/restrooms.png,,LGB
33.81825129,-118.1447625,"33.81825129, -118.1447625",Restrooms,,Restrooms,images/restrooms.png,,images/restrooms.png,,LGB
33.81892872,-118.1456208,"33.81892872, -118.1456208",Food and Beverages,,Food and Beverages,images/food-beverages.png,,images/food-beverages.png,,LGB
33.81737775,-118.1428903,"33.81737775, -118.1428903",Taxis and Public Transportation,"<strong>Local Bus Service</strong><br><br> Long Beach Transit offers local bus service. <br>Bus fare is $1.25 cents for all routes (subject to change without notice).<br><a href=""http://www.lbtransit.com/"" target=_blank"">More information</a>",Taxis and Public Transportation,images/taxi-publictrans.png,,images/taxi-publictrans.png,,LGB
33.81800171,-118.1424505,"33.81800171, -118.1424505",Bank/ATM,Bank of America ATM,Bank/ATM,images/bank-atm.png,,images/bank-atm.png,,LGB
33.8177967,-118.1456155,"33.8177967, -118.1456155",Food and Beverages,,Food and Beverages,images/food-beverages.png,,images/food-beverages.png,,LGB
33.81781452,-118.1449771,"33.81781452, -118.1449771",Baggage Claim,,Baggage Claim,images/baggage-claim.png,,images/baggage-claim.png,,LGB
33.81800617,-118.1453258,"33.81800617, -118.1453258",Security Checkpoint,"<a href=""https://apps.tsa.dhs.gov/mytsa/status_detail.aspx?iac=LGB"" target=""_blank""> Airport Status & Security Wait Times </a>",Security Checkpoint,images/security-check.png,,images/security-check.png,,LGB
33.81891535,-118.1412274,"33.81891535, -118.1412274",Taxis and Public Transportation,"<strong>Local Bus Service</strong><br><br> Long Beach Transit offers local bus service. <br>Bus fare is $1.25 cents for all routes (subject to change without notice).<br><a href=""http://www.lbtransit.com/"" target=_blank"">More information</a>",Taxis and Public Transportation,images/taxi-publictrans.png,,images/taxi-publictrans.png,,LGB
33.81770756,-118.1456262,"33.81770756, -118.1456262",Shopping,,Shopping,images/shopping.png,,images/shopping.png,,LGB
33.81966854,-118.1456369,"33.81966854, -118.1456369",Shopping,,Shopping,images/shopping.png,,images/shopping.png,,LGB
33.81843848,-118.1446499,"33.81843848, -118.1446499",Shopping,,Shopping,images/shopping.png,,images/shopping.png,,LGB
33.81823346,-118.144682,"33.81823346, -118.144682",Food and Beverages,,Food and Beverages,images/food-beverages.png,,images/food-beverages.png,,LGB
33.81819335,-118.1450039,"33.81819335, -118.1450039",Wi-Fi,Free WiFi internet access is available throughout the terminal and boarding lounges,Wi-Fi,images/wifi.png,,images/wifi.png,,LGB
33.81861675,-118.1447196,"33.81861675, -118.1447196",Baggage Claim,,Baggage Claim,images/baggage-claim.png,,images/baggage-claim.png,,LGB
