longitude,latitude,latlng,title,description,type,image,imageBelow,iconURL,terminal,airportCode
-0.445182323,51.46162785,"51.46162785, -0.445182323",4 Deck Lounge,,Airline Club,images/airline-lounge.png,,images/airline-lounge.png,4,LHR
-0.456393957,51.47427982,"51.47427982, -0.456393957",Aer Lingus Lounge,,Airline Club,images/airline-lounge.png,,images/airline-lounge.png,1,LHR
-0.456565619,51.47242201,"51.47242201, -0.456565619",Air Canada Arrivals Lounge,,Airline Club,images/air-canada.png,,images/airline-lounge.png,3,LHR
-0.448873043,51.45843256,"51.45843256, -0.448873043",Air India Lounge,,Airline Club,images/air-india.png,,images/airline-lounge.png,4,LHR
-0.487453938,51.47026338,"51.47026338, -0.487453938",British Airways Galleries Club Lounge South,,Airline Club,images/british-airways.png,,images/airline-lounge.png,5,LHR
-0.451083183,51.47402588,"51.47402588, -0.451083183",British Airways Lounge,,Airline Club,images/british-airways.png,,images/airline-lounge.png,1,LHR
-0.44936657,51.47460058,"51.47460058, -0.44936657",British Airways Lounge,,Airline Club,images/british-airways.png,,images/airline-lounge.png,1,LHR
-0.45904398,51.47103863,"51.47103863, -0.45904398",British Airways Lounge,,Airline Club,images/british-airways.png,,images/airline-lounge.png,3,LHR
-0.488269329,51.47327073,"51.47327073, -0.488269329",British Airways Lounge,,Airline Club,images/british-airways.png,,images/airline-lounge.png,5,LHR
-0.481295586,51.47031685,"51.47031685, -0.481295586",British Airways Lounge,,Airline Club,images/british-airways.png,,images/airline-lounge.png,5,LHR
-0.459312201,51.4701765,"51.4701765, -0.459312201",Cathay Pacific Lounge,,Airline Club,images/cathay.png,,images/airline-lounge.png,3,LHR
-0.458475351,51.47190074,"51.47190074, -0.458475351",Delta Lounge,,Airline Club,images/delta.png,,images/airline-lounge.png,3,LHR
-0.445176959,51.47087823,"51.47087823, -0.445176959",El Al & Star Alliance Lounges,,Airline Club,images/star-alliance.png,,images/airline-lounge.png,1,LHR
-0.459054708,51.47000942,"51.47000942, -0.459054708",Emirates Lounge,,Airline Club,images/airline-lounge.png,,images/airline-lounge.png,3,LHR
-0.446212292,51.46093266,"51.46093266, -0.446212292",Etihad Airways Lounge,,Airline Club,images/airline-lounge.png,,images/airline-lounge.png,4,LHR
-0.44936657,51.45923475,"51.45923475, -0.44936657",Gulf Air Lounge,,Airline Club,images/airline-lounge.png,,images/airline-lounge.png,4,LHR
-0.449141264,51.45923475,"51.45923475, -0.449141264",Malaysia Airlines Lounge,,Airline Club,images/malaysia.png,,images/airline-lounge.png,4,LHR
