longitude,latitude,latlng,title,description,type,image,imageBelow,iconURL,terminal,airportCode
-3.569934368,40.46345409,"40.46345409, -3.569934368",Cibeles Lounge,,Airline Club,images/airline-lounge.png,,images/airline-lounge.png,2,MAD
-3.568582535,40.46759246,"40.46759246, -3.568582535",Puerta de Alcala Lounge,,Airline Club,images/airline-lounge.png,,images/airline-lounge.png,2,MAD
-3.570975065,40.47217947,"40.47217947, -3.570975065",Puerta del Sol Lounge,,Airline Club,images/airline-lounge.png,,images/airline-lounge.png,3,MAD
-3.567380905,40.49519139,"40.49519139, -3.567380905",Amnios Lounge,,Airline Club,images/airline-lounge.png,,images/airline-lounge.png,4,MAD
-3.566490412,40.49413073,"40.49413073, -3.566490412",Iberia Lounge,,Airline Club,images/iberia.png,,images/airline-lounge.png,4,MAD
-3.590662479,40.49035301,"40.49035301, -3.590662479",Iberia Lounge,,Airline Club,images/iberia.png,,images/airline-lounge.png,4,MAD
-3.591241837,40.49041829,"40.49041829, -3.591241837",La Rovoltosa Lounge,,Airline Club,images/airline-lounge.png,,images/airline-lounge.png,4,MAD
-3.57093215,40.46318472,"40.46318472, -3.57093215",Baggage Claim,,Baggage Claim,images/baggage-claim.png,,images/baggage-claim.png,1,MAD
-3.568840027,40.46841684,"40.46841684, -3.568840027",Baggage Claim,,Baggage Claim,images/baggage-claim.png,,images/baggage-claim.png,2,MAD
-3.568882942,40.46781284,"40.46781284, -3.568882942",Baggage Claim,,Baggage Claim,images/baggage-claim.png,,images/baggage-claim.png,2,MAD
-3.571511507,40.47067771,"40.47067771, -3.571511507",Baggage Claim,,Baggage Claim,images/baggage-claim.png,,images/baggage-claim.png,3,MAD
-3.59203577,40.49288239,"40.49288239, -3.59203577",Baggage Claim,,Baggage Claim,images/baggage-claim.png,,images/baggage-claim.png,4,MAD
-3.592121601,40.48968393,"40.48968393, -3.592121601",Baggage Claim,,Baggage Claim,images/baggage-claim.png,,images/baggage-claim.png,4,MAD
-3.571146727,40.46247456,"40.46247456, -3.571146727",Bank/ATM,,Bank/ATM,images/bank-atm.png,,images/bank-atm.png,1,MAD
-3.56982708,40.46377244,"40.46377244, -3.56982708",Bank/ATM,,Bank/ATM,images/bank-atm.png,,images/bank-atm.png,1,MAD
-3.568754196,40.46791079,"40.46791079, -3.568754196",Bank/ATM,,Bank/ATM,images/bank-atm.png,,images/bank-atm.png,2,MAD
-3.569505215,40.46829441,"40.46829441, -3.569505215",Bank/ATM,,Bank/ATM,images/bank-atm.png,,images/bank-atm.png,2,MAD
-3.56954813,40.46950239,"40.46950239, -3.56954813",Bank/ATM,,Bank/ATM,images/bank-atm.png,,images/bank-atm.png,2,MAD
