longitude,latitude,latlng,title,description,type,image,imageBelow,iconURL,terminal,airportCode
-81.3077116,28.43097751,"28.43097751, -81.3077116",Food and Beverages,,Food and Beverages,images/food-beverages.png,,images/food-beverages.png,,MCO
-81.30947113,28.43063786,"28.43063786, -81.30947113",Restrooms,,Restrooms,images/restrooms.png,,images/restrooms.png,,MCO
-81.30631685,28.43061899,"28.43061899, -81.30631685",Restrooms,,Restrooms,images/restrooms.png,,images/restrooms.png,,MCO
-81.30942822,28.43165682,"28.43165682, -81.30942822",Restrooms,,Restrooms,images/restrooms.png,,images/restrooms.png,,MCO
-81.30605936,28.43167569,"28.43167569, -81.30605936",Restrooms,,Restrooms,images/restrooms.png,,images/restrooms.png,,MCO
-81.30959988,28.4311096,"28.4311096, -81.30959988",Security Checkpoint,,Security Checkpoint,images/security-check.png,,images/security-check.png,A,MCO
-81.3060379,28.43099638,"28.43099638, -81.3060379",Security Checkpoint,,Security Checkpoint,images/security-check.png,,images/security-check.png,A,MCO
-81.30749702,28.4317889,"28.4317889, -81.30749702",Baggage Claim,,Baggage Claim,images/baggage-claim.png,,images/baggage-claim.png,A,MCO
-81.30672455,28.43152473,"28.43152473, -81.30672455",Bank/ATM,,Bank/ATM,images/bank-atm.png,,images/bank-atm.png,A,MCO
-81.30831778,28.43211912,"28.43211912, -81.30831778",Taxis and Public Transportation,,Taxis and Public Transportation,images/taxi-publictrans.png,,images/taxi-publictrans.png,A,MCO
-81.30775452,28.43020385,"28.43020385, -81.30775452",Taxis and Public Transportation,,Taxis and Public Transportation,images/taxi-publictrans.png,,images/taxi-publictrans.png,A,MCO
-81.30846262,28.43177004,"28.43177004, -81.30846262",Rental Cars ,,Rental Cars,images/car-rental.png,,images/car-rental.png,A,MCO
-81.30818367,28.43133603,"28.43133603, -81.30818367",Shopping,,Shopping,images/shopping.png,,images/shopping.png,A,MCO
-81.30816221,28.43084542,"28.43084542, -81.30816221",Shopping,,Shopping,images/shopping.png,,images/shopping.png,A,MCO
-81.30829096,28.43303429,"28.43303429, -81.30829096",Parking,,Parking,images/parking.png,,images/parking.png,A,MCO
-81.30822659,28.42886408,"28.42886408, -81.30822659",Parking,,Parking,images/parking.png,,images/parking.png,A,MCO
-81.30880594,28.43035481,"28.43035481, -81.30880594",Rental Cars ,,Rental Cars,images/car-rental.png,,images/car-rental.png,A,MCO
-81.30745411,28.4302982,"28.4302982, -81.30745411",Baggage Claim,,Baggage Claim,images/baggage-claim.png,,images/baggage-claim.png,A,MCO
-81.30863428,28.43106242,"28.43106242, -81.30863428",Food and Beverages,,Food and Beverages,images/food-beverages.png,,images/food-beverages.png,A,MCO
-81.30914927,28.4311379,"28.4311379, -81.30914927",Bank/ATM,,Bank/ATM,images/bank-atm.png,,images/bank-atm.png,A,MCO
-81.3065958,28.43097751,"28.43097751, -81.3065958",Hotel,,Hotel,images/hotel.png,,images/hotel.png,A,MCO
-81.31525397,28.43396831,"28.43396831, -81.31525397",Food and Beverages,,Food and Beverages,images/food-beverages.png,,images/food-beverages.png,A,MCO
-81.31429911,28.434374,"28.434374, -81.31429911",Restrooms,,Restrooms,images/restrooms.png,,images/restrooms.png,A,MCO
-81.31391287,28.43507215,"28.43507215, -81.31391287",Shopping,,Shopping,images/shopping.png,,images/shopping.png,A,MCO
-81.31389141,28.43465232,"28.43465232, -81.31389141",Food and Beverages,,Food and Beverages,images/food-beverages.png,,images/food-beverages.png,A,MCO
-81.312958,28.43544953,"28.43544953, -81.312958",Food and Beverages,,Food and Beverages,images/food-beverages.png,,images/food-beverages.png,A,MCO
-81.30154252,28.43568539,"28.43568539, -81.30154252",Food and Beverages,,Food and Beverages,images/food-beverages.png,,images/food-beverages.png,A,MCO
-81.3019073,28.43560048,"28.43560048, -81.3019073",Shopping,,Shopping,images/shopping.png,,images/shopping.png,A,MCO
-81.3024652,28.43537406,"28.43537406, -81.3024652",Restrooms,,Restrooms,images/restrooms.png,,images/restrooms.png,A,MCO
-81.30184293,28.43530802,"28.43530802, -81.30184293",Bank/ATM,,Bank/ATM,images/bank-atm.png,,images/bank-atm.png,A,MCO
-81.3012743,28.43501555,"28.43501555, -81.3012743",Restrooms,,Restrooms,images/restrooms.png,,images/restrooms.png,A,MCO
-81.30081296,28.43443061,"28.43443061, -81.30081296",Restrooms,,Restrooms,images/restrooms.png,,images/restrooms.png,A,MCO
-81.30108118,28.4351382,"28.4351382, -81.30108118",Bank/ATM,,Bank/ATM,images/bank-atm.png,,images/bank-atm.png,A,MCO
-81.30050182,28.43426079,"28.43426079, -81.30050182",Food and Beverages,,Food and Beverages,images/food-beverages.png,,images/food-beverages.png,A,MCO
-81.30174637,28.42761865,"28.42761865, -81.30174637",Delta Sky Club,,Airline Club,images/delta.png,,images/airline-lounge.png,B,MCO
-81.31473899,28.42671288,"28.42671288, -81.31473899",United Lounge,,Airline Club,images/united.png,,images/airline-lounge.png,B,MCO
-81.30263686,28.4270148,"28.4270148, -81.30263686",Food and Beverages,,Food and Beverages,images/food-beverages.png,,images/food-beverages.png,B,MCO
-81.30225062,28.42702424,"28.42702424, -81.30225062",Bank/ATM,,Bank/ATM,images/bank-atm.png,,images/bank-atm.png,B,MCO
-81.30162835,28.42732616,"28.42732616, -81.30162835",Shopping,,Shopping,images/shopping.png,,images/shopping.png,B,MCO
-81.30108118,28.42706198,"28.42706198, -81.30108118",Food and Beverages,,Food and Beverages,images/food-beverages.png,,images/food-beverages.png,B,MCO
-81.30097389,28.42678836,"28.42678836, -81.30097389",Restrooms,,Restrooms,images/restrooms.png,,images/restrooms.png,B,MCO
-81.30115628,28.4266657,"28.4266657, -81.30115628",Bank/ATM,,Bank/ATM,images/bank-atm.png,,images/bank-atm.png,B,MCO
-81.30081296,28.42772244,"28.42772244, -81.30081296",Shopping,,Shopping,images/shopping.png,,images/shopping.png,B,MCO
-81.30046964,28.42843951,"28.42843951, -81.30046964",Food and Beverages,,Food and Beverages,images/food-beverages.png,,images/food-beverages.png,B,MCO
-81.30068421,28.42623168,"28.42623168, -81.30068421",Shopping,,Shopping,images/shopping.png,,images/shopping.png,B,MCO
-81.30054474,28.42578822,"28.42578822, -81.30054474",Food and Beverages,,Food and Beverages,images/food-beverages.png,,images/food-beverages.png,B,MCO
-81.31552219,28.42835459,"28.42835459, -81.31552219",Food and Beverages,,Food and Beverages,images/food-beverages.png,,images/food-beverages.png,B,MCO
-81.31410599,28.42776962,"28.42776962, -81.31410599",Food and Beverages,,Food and Beverages,images/food-beverages.png,,images/food-beverages.png,B,MCO
-81.3138485,28.42756204,"28.42756204, -81.3138485",Restrooms,,Restrooms,images/restrooms.png,,images/restrooms.png,B,MCO
-81.31408453,28.42726012,"28.42726012, -81.31408453",Shopping,,Shopping,images/shopping.png,,images/shopping.png,B,MCO
-81.31410599,28.42751487,"28.42751487, -81.31410599",Bank/ATM,,Bank/ATM,images/bank-atm.png,,images/bank-atm.png,B,MCO
-81.31482482,28.43392114,"28.43392114, -81.31482482",1,,Gate,,,,A,MCO
-81.31506085,28.4344023,"28.4344023, -81.31506085",2,,Gate,,,,A,MCO
-81.31520033,28.43368528,"28.43368528, -81.31520033",3,,Gate,,,,A,MCO
-81.31525397,28.43432683,"28.43432683, -81.31525397",4,,Gate,,,,A,MCO
-81.31541491,28.43356263,"28.43356263, -81.31541491",5,,Gate,,,,A,MCO
-81.31541491,28.43423248,"28.43423248, -81.31541491",6,,Gate,,,,A,MCO
-81.31565094,28.43343998,"28.43343998, -81.31565094",7,,Gate,,,,A,MCO
-81.31565094,28.4341004,"28.4341004, -81.31565094",8,,Gate,,,,A,MCO
-81.31598353,28.43392114,"28.43392114, -81.31598353",9,,Gate,,,,A,MCO
-81.31502867,28.43514763,"28.43514763, -81.31502867",10,,Gate,,,,A,MCO
-81.31443858,28.43550614,"28.43550614, -81.31443858",11,,Gate,,,,A,MCO
-81.31515741,28.43536462,"28.43536462, -81.31515741",12,,Gate,,,,A,MCO
-81.3146317,28.4357703,"28.4357703, -81.3146317",13,,Gate,,,,A,MCO
-81.31532907,28.43557218,"28.43557218, -81.31532907",14,,Gate,,,,A,MCO
-81.31483555,28.43602503,"28.43602503, -81.31483555",15,,Gate,,,,A,MCO
-81.31554365,28.43585521,"28.43585521, -81.31554365",16,,Gate,,,,A,MCO
-81.31523252,28.43612881,"28.43612881, -81.31523252",17,,Gate,,,,A,MCO
-81.31347299,28.43468534,"28.43468534, -81.31347299",20,,Gate,,,,A,MCO
-81.31325841,28.43478912,"28.43478912, -81.31325841",21,,Gate,,,,A,MCO
-81.31302238,28.43488346,"28.43488346, -81.31302238",22,,Gate,,,,A,MCO
-81.31343007,28.43548727,"28.43548727, -81.31343007",23,,Gate,,,,A,MCO
-81.3130331,28.43572313,"28.43572313, -81.3130331",24,,Gate,,,,A,MCO
-81.31262541,28.43517593,"28.43517593, -81.31262541",25,,Gate,,,,A,MCO
-81.31234646,28.43542123,"28.43542123, -81.31234646",26,,Gate,,,,A,MCO
-81.31231427,28.43561935,"28.43561935, -81.31231427",27,,Gate,,,,A,MCO
-81.31271124,28.43580804,"28.43580804, -81.31271124",28,,Gate,,,,A,MCO
-81.30221844,28.4357703,"28.4357703, -81.30221844",101,,Gate,,,,A,MCO
-81.30233645,28.43510989,"28.43510989, -81.30233645",102,,Gate,,,,A,MCO
-81.3026154,28.43577974,"28.43577974, -81.3026154",103,,Gate,,,,A,MCO
-81.30277634,28.43510989,"28.43510989, -81.30277634",104,,Gate,,,,A,MCO
-81.30300164,28.43578917,"28.43578917, -81.30300164",105,,Gate,,,,A,MCO
-81.30324841,28.43510046,"28.43510046, -81.30324841",106,,Gate,,,,A,MCO
-81.30336642,28.4357703,"28.4357703, -81.30336642",107,,Gate,,,,A,MCO
-81.30376339,28.43524198,"28.43524198, -81.30376339",108,,Gate,,,,A,MCO
-81.30376339,28.43555331,"28.43555331, -81.30376339",109,,Gate,,,,A,MCO
-81.30192876,28.43592125,"28.43592125, -81.30192876",110,,Gate,,,,A,MCO
-81.30148888,28.43606277,"28.43606277, -81.30148888",111,,Gate,,,,A,MCO
-81.3007164,28.43555331,"28.43555331, -81.3007164",112,,Gate,,,,A,MCO
-81.30069494,28.43518537,"28.43518537, -81.30069494",120,,Gate,,,,A,MCO
-81.3005662,28.43495894,"28.43495894, -81.3005662",121,,Gate,,,,A,MCO
-81.30146742,28.43476082,"28.43476082, -81.30146742",122,,Gate,,,,A,MCO
-81.30040526,28.43466647,"28.43466647, -81.30040526",123,,Gate,,,,A,MCO
-81.30124211,28.434374,"28.434374, -81.30124211",124,,Gate,,,,A,MCO
-81.3002336,28.43438344,"28.43438344, -81.3002336",125,,Gate,,,,A,MCO
-81.30105972,28.43403436,"28.43403436, -81.30105972",126,,Gate,,,,A,MCO
-81.30007267,28.43413814,"28.43413814, -81.30007267",127,,Gate,,,,A,MCO
-81.30065203,28.43369471,"28.43369471, -81.30065203",128,,Gate,,,,A,MCO
-81.30027652,28.43377019,"28.43377019, -81.30027652",129,,Gate,,,,A,MCO
-81.31341398,28.42746769,"28.42746769, -81.31341398",30,,Gate,,,,B,MCO
-81.31369293,28.42704783,"28.42704783, -81.31369293",31,,Gate,,,,B,MCO
-81.31314039,28.42731201,"28.42731201, -81.31314039",32,,Gate,,,,B,MCO
-81.31340861,28.42687799,"28.42687799, -81.31340861",33,,Gate,,,,B,MCO
-81.3128829,28.42717048,"28.42717048, -81.3128829",34,,Gate,,,,B,MCO
-81.31318331,28.42675533,"28.42675533, -81.31318331",35,,Gate,,,,B,MCO
-81.31252348,28.42697706,"28.42697706, -81.31252348",36,,Gate,,,,B,MCO
-81.31286681,28.42659022,"28.42659022, -81.31286681",37,,Gate,,,,B,MCO
-81.31243765,28.42670816,"28.42670816, -81.31243765",38,,Gate,,,,B,MCO
-81.31253421,28.42655719,"28.42655719, -81.31253421",39,,Gate,,,,B,MCO
-81.31436884,28.42680723,"28.42680723, -81.31436884",40,,Gate,,,,B,MCO
-81.31477118,28.42705726,"28.42705726, -81.31477118",41,,Gate,,,,B,MCO
-81.31450832,28.42656663,"28.42656663, -81.31450832",42,,Gate,,,,B,MCO
-81.31499112,28.42675062,"28.42675062, -81.31499112",43,,Gate,,,,B,MCO
-81.31474435,28.42624583,"28.42624583, -81.31474435",44,,Gate,,,,B,MCO
-81.31532371,28.42630244,"28.42630244, -81.31532371",45,,Gate,,,,B,MCO
-81.3149482,28.42594862,"28.42594862, -81.3149482",46,,Gate,,,,B,MCO
-81.31546319,28.42593447,"28.42593447, -81.31546319",47,,Gate,,,,B,MCO
-81.31524324,28.4258354,"28.4258354, -81.31524324",48,,Gate,,,,B,MCO
-81.31504476,28.42784038,"28.42784038, -81.31504476",50,,Gate,,,,B,MCO
-81.3147068,28.42821778,"28.42821778, -81.3147068",51,,Gate,,,,B,MCO
-81.31535053,28.4279536,"28.4279536, -81.31535053",52,,Gate,,,,B,MCO
-81.31487846,28.42831685,"28.42831685, -81.31487846",53,,Gate,,,,B,MCO
-81.31568849,28.42811871,"28.42811871, -81.31568849",54,,Gate,,,,B,MCO
-81.31507158,28.42843007,"28.42843007, -81.31507158",55,,Gate,,,,B,MCO
-81.3158977,28.42825552,"28.42825552, -81.3158977",56,,Gate,,,,B,MCO
-81.31545246,28.42864236,"28.42864236, -81.31545246",57,,Gate,,,,B,MCO
-81.31598353,28.42858103,"28.42858103, -81.31598353",58,,Gate,,,,B,MCO
-81.31570995,28.4287603,"28.4287603, -81.31570995",59,,Gate,,,,B,MCO
-81.30067885,28.42756676,"28.42756676, -81.30067885",71,,Gate,,,,B,MCO
-81.30097389,28.4280621,"28.4280621, -81.30097389",72,,Gate,,,,B,MCO
-81.30045891,28.42792529,"28.42792529, -81.30045891",73,,Gate,,,,B,MCO
-81.30074859,28.42849612,"28.42849612, -81.30074859",74,,Gate,,,,B,MCO
-81.30022287,28.42825552,"28.42825552, -81.30022287",75,,Gate,,,,B,MCO
-81.300475,28.42874143,"28.42874143, -81.300475",76,,Gate,,,,B,MCO
-81.30010486,28.4284914,"28.4284914, -81.30010486",77,,Gate,,,,B,MCO
-81.30021214,28.42868954,"28.42868954, -81.30021214",78,,Gate,,,,B,MCO
-81.30057693,28.42643925,"28.42643925, -81.30057693",80,,Gate,,,,B,MCO
-81.30113482,28.42626942,"28.42626942, -81.30113482",81,,Gate,,,,B,MCO
-81.3003087,28.4260241,"28.4260241, -81.3003087",82,,Gate,,,,B,MCO
