longitude,latitude,latlng,title,description,type,image,imageBelow,iconURL,terminal,airportCode
-87.74199843,41.78919292,"41.78919292, -87.74199843",USO Lounge,,Airline Club,images/airline-lounge.png,,images/airline-lounge.png,C,MDW
-87.74204,41.78748,"41.78748, -87.74204",A1,,Gate,,,,A,MDW
-87.7424,41.78547,"41.78547, -87.7424",A10,,Gate,,,,A,MDW
-87.74317,41.78547,"41.78547, -87.74317",A11,,Gate,,,,A,MDW
-87.7427,41.78525,"41.78525, -87.7427",A12,,Gate,,,,A,MDW
-87.74304,41.78497,"41.78497, -87.74304",A14,,Gate,,,,A,MDW
-87.74357,41.78518,"41.78518, -87.74357",A15,,Gate,,,,A,MDW
-87.74337,41.78469,"41.78469, -87.74337",A16,,Gate,,,,A,MDW
-87.74382,41.785,"41.785, -87.74382",A17,,Gate,,,,A,MDW
-87.74362,41.78471,"41.78471, -87.74362",A18,,Gate,,,,A,MDW
-87.74378,41.78482,"41.78482, -87.74378",A19,,Gate,,,,B,MDW
-87.74212,41.78723,"41.78723, -87.74212",A2,,Gate,,,,A,MDW
-87.7421,41.78701,"41.78701, -87.7421",A3,,Gate,,,,A,MDW
-87.74222,41.78382,"41.78382, -87.74222",A4A,,Gate,,,,A,MDW
-87.74237,41.78361,"41.78361, -87.74237",A4B,,Gate,,,,A,MDW
-87.74214,41.78628,"41.78628, -87.74214",A5,,Gate,,,,A,MDW
-87.74245,41.78602,"41.78602, -87.74245",A7,,Gate,,,,A,MDW
-87.7428,41.78574,"41.78574, -87.7428",A9,,Gate,,,,A,MDW
-87.74246,41.7885,"41.7885, -87.74246",B1,,Gate,,,,B,MDW
-87.74376,41.78783,"41.78783, -87.74376",B10,,Gate,,,,B,MDW
-87.74448,41.78788,"41.78788, -87.74448",B11,,Gate,,,,B,MDW
-87.74404,41.7876,"41.7876, -87.74404",B12,,Gate,,,,B,MDW
-87.74442,41.78731,"41.78731, -87.74442",B14,,Gate,,,,B,MDW
-87.74482548,41.78762901,"41.78762901, -87.74482548",B15,,Gate,,,,B,MDW
-87.74476,41.78702,"41.78702, -87.74476",B16,,Gate,,,,B,MDW
-87.74507225,41.78745302,"41.78745302, -87.74507225",B17,,Gate,,,,B,MDW
-87.74503,41.78679,"41.78679, -87.74503",B18,,Gate,,,,B,MDW
-87.74538875,41.78720503,"41.78720503, -87.74538875",B19,,Gate,,,,B,MDW
-87.74278,41.7885,"41.7885, -87.74278",B2,,Gate,,,,B,MDW
-87.74529,41.78658,"41.78658, -87.74529",B20,,Gate,,,,B,MDW
-87.74560332,41.78702503,"41.78702503, -87.74560332",B21,,Gate,,,,B,MDW
-87.74552,41.78641,"41.78641, -87.74552",B22,,Gate,,,,B,MDW
-87.74595,41.78675,"41.78675, -87.74595",B23,,Gate,,,,B,MDW
-87.74571,41.78629,"41.78629, -87.74571",B24,,Gate,,,,B,MDW
-87.74613,41.78657,"41.78657, -87.74613",B25,,Gate,,,,B,MDW
-87.74602,41.78637,"41.78637, -87.74602",B26,,Gate,,,,B,MDW
-87.74319,41.78849,"41.78849, -87.74319",B3,,Gate,,,,B,MDW
-87.74358,41.78849,"41.78849, -87.74358",B5,,Gate,,,,B,MDW
-87.74387,41.78836,"41.78836, -87.74387",B7,,Gate,,,,B,MDW
-87.74345,41.78809,"41.78809, -87.74345",B8,,Gate,,,,B,MDW
-87.7442,41.78809,"41.78809, -87.7442",B9,,Gate,,,,B,MDW
-87.74049,41.7887,"41.7887, -87.74049",Baggage Claim,,Baggage Claim,images/baggage-claim.png,,images/baggage-claim.png,,MDW
-87.74049,41.78756,"41.78756, -87.74049",Baggage Claim,,Baggage Claim,images/baggage-claim.png,,images/baggage-claim.png,,MDW
-87.74179,41.78912,"41.78912, -87.74179",Bank/ATM,,Bank/ATM,images/bank-atm.png,,images/bank-atm.png,A,MDW
-87.74175,41.78765,"41.78765, -87.74175",Bank/ATM,,Bank/ATM,images/bank-atm.png,,images/bank-atm.png,A,MDW
-87.74195,41.78624,"41.78624, -87.74195",Bank/ATM,,Bank/ATM,images/bank-atm.png,,images/bank-atm.png,A,MDW
-87.74252,41.78557,"41.78557, -87.74252",Bank/ATM,,Bank/ATM,images/bank-atm.png,,images/bank-atm.png,A,MDW
-87.74214,41.78953,"41.78953, -87.74214",C1,,Gate,,,,C,MDW
-87.74201,41.78967,"41.78967, -87.74201",C2,,Gate,,,,C,MDW
-87.74182,41.78967,"41.78967, -87.74182",C3,,Gate,,,,C,MDW
-87.74194,41.7893,"41.7893, -87.74194",Restrooms,,Restrooms,images/restrooms.png,,images/restrooms.png,7,MDW
-87.74245,41.78828,"41.78828, -87.74245",Restrooms,,Restrooms,images/restrooms.png,,images/restrooms.png,7,MDW
-87.74215,41.78791,"41.78791, -87.74215",Restrooms,,Restrooms,images/restrooms.png,,images/restrooms.png,7,MDW
-87.74524,41.78707,"41.78707, -87.74524",Restrooms,,Restrooms,images/restrooms.png,,images/restrooms.png,7,MDW
-87.74565,41.78654,"41.78654, -87.74565",Restrooms,,Restrooms,images/restrooms.png,,images/restrooms.png,7,MDW
-87.74186,41.7864,"41.7864, -87.74186",Restrooms,,Restrooms,images/restrooms.png,,images/restrooms.png,7,MDW
-87.74293,41.78543,"41.78543, -87.74293",Restrooms,,Restrooms,images/restrooms.png,,images/restrooms.png,7,MDW
