latitude,longitude,OBJECTID,image,icon,description,title,ADDRESS,ARTENROUTE,DTWN_LOOP,OMNI_LOOP,BRICK_LOOP,OPEN_,MRAIL_XFER,POLYGONID,SCALE,ANGLE,LAT,LON,POINT_X,POINT_Y,type,GRAGE_PARK,SURF_PARK,JOINT_DEV
25.74970118,-80.21176775,7,images/dade-transit.png,images/rail.png,"<strong>Parking Spaces:</strong> Parking spaces available for transit users: 120. Disabled spaces: 5
<br><strong>Places of Interest:</strong><br>
Miami Museum of Science, Space Transit Planetarium, Vizcaya Museum and Gardens, Mercy Hospital",Vizcaya,3201 SW 1ST AV,1,0,0,0,0,0,0,0,0,25.7497,-80.21177,915613.8749,515493.2811,metrorail,0,91,0
25.73981854,-80.23885143,6,images/dade-transit.png,images/rail.png,"<strong>Parking Spaces:</strong> Parking spaces available for transit users: 204. Disabled spaces: 5
<br><strong>Places of Interest:</strong><br>
Cocowalk, Streets of Mayfair, Dinner Key Auditorium, Miami City Hall",Coconut Grove,2780 SW 27TH AV,1,0,0,0,0,0,0,0,0,25.73981,-80.23885,906719.6875,511848.9374,metrorail,0,199,0
25.71482164,-80.27697793,4,images/dade-transit.png,images/rail.png,"<strong>Parking Spaces:</strong> Parking spaces available for transit users: 230. Disabled spaces: 7
<br><strong>Places of Interest:</strong><br>
University of Miami, Lowe Art Museum, Gusman Hall, Doctors Hospital",University,5400 PONCE DE LEON BD,1,0,0,0,0,0,0,0,0,25.71482,-80.27698,894218.6874,502692.9686,metrorail,0,295,0
25.68500261,-80.31368827,1,images/dade-transit.png,images/rail.png,"<strong>Parking Spaces:</strong> Spaces available to transit users: 1,254 spaces. Disabled spaces: 20
<br><strong>Places of Interest:</strong><br>
South Miami-Dade Busway",Dadeland South,9150 DADELAND BD,1,0,0,0,0,0,0,0,0,25.685,-80.31369,882187.9376,491790.5312,metrorail,1087,198,1
25.73275713,-80.25487208,5,images/dade-transit.png,images/rail.png,"<strong>Parking Spaces:</strong> Surface parking: 226 spaces
<br><strong>Places of Interest:</strong><br>
Coconut Grove",Douglas Road,3100  SW 37 AVE,1,0,0,0,0,0,0,0,0,25.73275,-80.25487,901460.3749,509252.2813,metrorail,0,440,0
25.70504237,-80.2890816,3,images/dade-transit.png,images/rail.png,"<strong>Parking Spaces:</strong> Total parking spaces available for transit users: 1,774. Disabled spaces: 28
<br><strong>Places of Interest:</strong><br>
South Miami Hospital, Shops at Sunset Place",South Miami,5801 S DIXIE HWY,1,0,0,0,0,0,0,0,0,25.70504,-80.28908,890252.6248,499116.9689,metrorail,1774,0,1
25.69194091,-80.30511095,2,images/dade-transit.png,images/rail.png,"<strong>Parking Spaces:</strong> Total parking spaces available to transit users: 1,963. Disabled spaces: 69
<br><strong>Places of Interest:</strong><br>
Dadeland Station (Bed Bath & Beyond, Best Buy, Michaels, Sports Authority, Target), Dadeland Mall",Dadeland North,8300 S DIXIE HWY,0,0,0,0,0,0,0,0,0,25.69194,-80.30511,884999.4999,494327.0626,metrorail,1963,0,1
25.76038607,-80.19288399,21,images/dade-transit.png,images/rail.png,"<strong>Places of Interest:</strong><br>
1200 Interterra Building, 1221 Brickell Building, 1390 Brickell Building, 1395 Brickell Building, 1401 Brickell Building, 1428 Brickell Building, 1443 Brickell Gateway",Financial District,50 SW 14TH ST,0,0,0,1,1,0,0,1,1,25.76038,-80.19288,921805.9374,519414.4688,metromover,0,0,0
25.76916974,-80.19225145,17,images/dade-transit.png,images/rail.png,"<strong>Places of Interest:</strong><br>
444 Rivergate Plaza, 550 Brickell Medical Building, U.S. Customs Office, Sheraton Brickell Point Hotel",Fifth Street,35 SE 5TH ST,0,0,0,1,1,0,0,1,1,25.76917,-80.19225,921994.5625,522608.3126,metromover,0,0,0
25.76402089,-80.19256355,19,images/dade-transit.png,images/rail.png,"<strong>Places of Interest:</strong><br>
888 Brickell Building, 909 Brickell Plaza, 999 Brickell Building, 1000 Brickell Building, 1001 Brickell Bay Tower, 1101 BIV Office Tower, 1110 Brickell Building",Tenth Street/Promenade,1011 SW 1ST AVE,0,0,0,1,1,0,0,1,1,25.76402,-80.19256,921903.3124,520736.2499,metromover,0,0,0
25.78248063,-80.19064607,14,images/dade-transit.png,images/rail.png,"<strong>Places of Interest:</strong><br>
901 NE 2 Avenue Building, American Airlines Arena",Park West,800 NE 2ND AVE,1,0,1,0,1,0,0,1,1,25.78248,-80.19064,922493.1875,527449.625,metromover,0,0,0
25.77758842,-80.18991826,1,images/dade-transit.png,images/rail.png,"<strong>Places of Interest:</strong><br>
Bayside Marketplace, Bayside Plaza Office Building, New World School of the Arts, Holiday Inn Marina Park Hotel, Hard Rock Cafe, Hooters, Lombardi's Restaurante, Bubba Gump Shrimp Co., Los Ranchos of Bayside, Island Queen Sightseeing Cruise, Miami Subs",College/Bayside,225 NE 3RD ST,0,1,1,1,1,0,0,1,1,25.77758,-80.18992,922743.6251,525672.9374,metromover,0,0,0
25.77339528,-80.19358528,5,images/dade-transit.png,images/rail.png,"<strong>Places of Interest:</strong><br>
Biscayne Building, 25 W. Flagler Street Building, Courthouse Plaza, Courthouse Tower, 71 Flagler Street Building, 105 Flagler Street Building, 110 Flagler Street Building, 155 Flagler Street Building, Macy's, Flagler Station Shopping Center, Seybold Jewelry Center",Miami Avenue,90 S MIAMI AVE,0,1,0,0,1,0,0,1,1,25.77339,-80.19358,921546.1874,524141.4688,metromover,0,0,0
25.76266862,-80.1952639,20,images/dade-transit.png,images/rail.png,"<strong>Places of Interest:</strong><br>
Brickell business district, Financial centers",Brickell,1200 SW 1ST AVE,1,0,0,1,1,1,0,1,1,25.76266,-80.19526,921017.5625,520239.3125,metromover,0,0,0
25.77893073,-80.1920885,9,images/dade-transit.png,images/rail.png,"<strong>Places of Interest:</strong><br>
Central Baptist Church, First United Methodist Church, Miami-Dade College Wolfson Campus",College North,100 NE 5TH ST,0,1,1,1,1,0,0,1,1,25.77893,-80.19209,922026.4375,526156.4376,metromover,0,0,0
25.76689234,-80.19212444,18,images/dade-transit.png,images/rail.png,"<strong>Places of Interest:</strong><br>
First Presbyterian Church, Brickell Center, One Brickell Square, Brickell Bayview Center, 700 Brickell Building, 701 Brickell Building, 777 Brickell Building, 800 Brickell Building, Fish Bone Grille, Tobacco Road Restaurant",Eighth Street,59 SE 8TH ST,1,0,0,1,1,0,0,1,1,25.76689,-80.19212,922041.4374,521780.8125,metromover,0,0,0
25.78054916,-80.19057011,15,images/dade-transit.png,images/rail.png,"<strong>Places of Interest:</strong><br>
Freedom Tower, American Airlines Arena",Freedom Tower,600 NE 2ND AVE,1,0,1,0,1,0,0,1,1,25.78054,-80.19057,922522.4999,526747.75,metromover,0,0,0
25.77573024,-80.18985169,2,images/dade-transit.png,images/rail.png,"<strong>Places of Interest:</strong><br>
Gesu Catholic Church, Gusman Center, Alfred I. Dupont Building, New World Tower, Everglades Shopping Center, Galeria International Shops, La Epoca Department Store, The Columbus Bazaar Shops",First Street,225 NE 1ST ST,0,1,1,1,1,0,0,1,1,25.77573,-80.18985,922769.6874,524997.6875,metromover,0,0,0
25.78487042,-80.190793,13,images/dade-transit.png,images/rail.png,"<strong>Places of Interest:</strong><br>
Howard Johnson Motor Lodge",Eleventh Street,1098 NE 2ND AVE,1,0,1,0,1,0,0,1,1,25.78487,-80.19079,922439.5,528317.9375,metromover,0,0,0
