latitude,longitude,latlng,google_maps,title,Category,icon_image,Subcatid,Subcatname,Short_Desc,Long_Desc,Address1,Address2,City,State,Country,Zip,Neighborhood,Phone,Url,Open Hours,Wcities Url,lres_image,lres_image_2,High Res Image Url
25.7787174,-80.1331658,"25.7787174, -80.1331658","<a href=""https://www.google.com/maps/dir/Current+Location/25.7787174, -80.1331658"" target=""_blank"">Get directions</a>",8 1/2,Restaurants,images/food-beverages.png,73,Other,,,821 Washington Ave.,,Miami Beach,FL,United States,33139,,+1 7862763850,,,http://cityseekr.com/miami/restaurants/poi-8-1-2-613958.html,,,
25.800422,-80.263235,"25.800422, -80.263235","<a href=""https://www.google.com/maps/dir/Current+Location/25.800422, -80.263235"" target=""_blank"">Get directions</a>",<img src=http://www.airguideonline.com/maps/images/greyhound.png><br/><br/>Greyhound Bus,Bus,images/taxi-publictrans.png,,,,"Modern Amenities, Affordable Fares With 3,800 Destinations.",,,,,,,,+1 305 871 1810,http://www.greyhound.com,,,,,
25.92167,-80.21315,"25.92167, -80.21315","<a href=""https://www.google.com/maps/dir/Current+Location/25.92167, -80.21315"" target=""_blank"">Get directions</a>",<img src=http://www.airguideonline.com/maps/images/greyhound.png><br/><br/>Greyhound Bus - North Miami,Bus,images/taxi-publictrans.png,,,,"Modern Amenities, Affordable Fares With 3,800 Destinations.",,,,,,,,+1 305 871 1810,http://www.greyhound.com,,,,,
25.770422,-80.307873,"25.770422, -80.307873","<a href=""https://www.google.com/maps/dir/Current+Location/25.770422, -80.307873"" target=""_blank"">Get directions</a>",1 & 2 Dollar Plus Inc,Entertainment Venues,images/attraction.png,217,Cultural Events,,,6903 West Flagler Street,,Miami,FL,United States,33144,Southwest Miami,,,,http://cityseekr.com/miami/entertainment-venues/poi-1-2-dollar-plus-inc-725591.html,,,
25.776837,-80.220972,"25.776837, -80.220972","<a href=""https://www.google.com/maps/dir/Current+Location/25.776837, -80.220972"" target=""_blank"">Get directions</a>",100 FIRES CIGARS-4th St,Shoppings,images/shopping.png,111,Other,Contemporary Cigar Store,"The third location of 100 Fires Cigars to open in the city, at iconic Marlin's Park sports the same urban artwork, cozy lounge and modern d&egrave;cor as the other locations. With a selection large enough to thrill any smoker, the store also stocks Vape products. Visitors can purchase a cigar of their choice and smoke it at leisure in the lounge. 100 Fires offers visitors and clients a modern take on the traditional smoke shop, a far cry from the dark leather and wood old-school variations.",1510 NorthWest 4th Street,,Miami,FL,United States,33125,Little Havana/Calle Ocho,+1 305 848 8585,http://www.100firescigars.com/,"Mo to th from 02:00 PM to 09:00 PM,Fr to Sa from 02:00 PM to 09:00 PM",http://cityseekr.com/miami/shopping/poi-100-fires-cigars-880776.html,,,
25.801935,-80.194857,"25.801935, -80.194857","<a href=""https://www.google.com/maps/dir/Current+Location/25.801935, -80.194857"" target=""_blank"">Get directions</a>",100 FIRES CIGARS-Miami Ave,Shoppings,images/shopping.png,"111,236","Other,Wine & Spirits",Cigar Store,"100 Fires Cigars is a smoker's paradise. the store offers shoppers a large variety of cigars, beer and wine and also includes the range of Vape products. the store also features a comfortable lounge area, perfect for a sociable evening with friends, and the space can be booked for private events and parties. Visitors can choose from a wide variety displayed in chic glass cupboards, and the knowledgeable staff are happy to help if you're looking for something particular.",2611 North Miami Avenue,,Miami,FL,United States,33127,Wynwood Edgewater,+1 305 848 5885,http://www.100firescigars.com/,"Mo to th from 12:00 PM to 08:00 PM,Fr to Sa from 12:00 PM to 09:00 PM",http://cityseekr.com/miami/shopping/poi-100-fires-cigars-880772.html,,,
25.790683,-80.14105,"25.790683, -80.14105","<a href=""https://www.google.com/maps/dir/Current+Location/25.790683, -80.14105"" target=""_blank"">Get directions</a>",1111 Lincoln Road,Entertainment Venues,images/attraction.png,215,Major Events,,,1111 Lincoln Road,,Miami Beach,FL,United States,33139,,,,,http://cityseekr.com/miami/entertainment-venues/poi-1111-lincoln-road-734644.html,,,
25.781546,-80.132549,"25.781546, -80.132549","<a href=""https://www.google.com/maps/dir/Current+Location/25.781546, -80.132549"" target=""_blank"">Get directions</a>",11th Street Diner,Restaurants,images/food-beverages.png,160,Delis & Diners,Authentic Americana,"For a healthy dose of Golden Oldies ambience, visit this South Beach favorite. You will feel like you have been transported 40 years back in time. For 48 years 11th Street Diner was actually located in Wilkes-Barre, Pennsylvania. In 1992 it was dismantled and transported to Miami Beach, where it received an enthusiastic reception. In addition to diner staples like burgers, fries and great milkshakes, the restaurant serves a variety of salads, cold sandwiches, chicken and pasta dishes.",1065 Washington Avenue,,Miami,FL,United States,33139,Miami Beach (South Beach),+1 305 534 6373,,Su to Su from 12:00 AM to 12:00 AM,http://cityseekr.com/miami/restaurants/poi-11th-street-diner-22221.html,http://c0056904.cdn2.cloudfiles.rackspacecloud.com/22221.jpg,,
25.782683,-80.129922,"25.782683, -80.129922","<a href=""https://www.google.com/maps/dir/Current+Location/25.782683, -80.129922"" target=""_blank"">Get directions</a>",12th Street Beach,Tourist Attractions And Sightseeings,images/attraction.png,"47,39","Day Trips & Walks,Lakes, Rivers, Canals & Beaches",the Gay Beach,"Miami is known for all the attractive beaches but this particular beach specializes in attractive visitors as well. With an eclectic mix of people, both straight and gay, the 12th Street Beach is the place to be. Apart from being an ideal place to hang out, what makes this place absolutely rocking is its friendly atmosphere. For those looking for a quick dose of fun to beat the stress, this place offers on the spot parties and impromptu gossip sessions. Just the right weekend spot at a shoestring budget.",Between 12th Street and Ocean Drive,,Miami,FL,United States,33139,Miami Beach (South Beach),+1 305  539 8070,,,http://cityseekr.com/miami/tourist-attractions-sightseeing/poi-12th-street-beach-379870.html,,,
25.783965,-80.12987,"25.783965, -80.12987","<a href=""https://www.google.com/maps/dir/Current+Location/25.783965, -80.12987"" target=""_blank"">Get directions</a>",13th And Ocean Drive,Entertainment Venues,images/attraction.png,77,Auditorium,A Musical Playhouse,"An old time factory along the Ocean drive, the 13th And Ocean Drive has been a musical haven since 1980 and hosts various concerts and events. the hall has a seating capacity for more than 800 spectators and is equipped with state-of-the-art facilities to provide an ultimate live music experience. With events and festivals scheduled mainly during the weekends, the 13th And Ocean Drive is a perfect place for an entertaining evening.",Ocean Drive,,Miami,FL,United States,33139,Downtown Miami,,,,http://cityseekr.com/miami/entertainment-venues/poi-13th-and-ocean-drive-676015.html,,,
