longitude,latitude,title,description,type,image,imageBelow,iconURL,terminal,airportCode
-80.27124166,25.79850022,D1,,Gate,,,,Concourse D,MIA
-80.27264714,25.79881899,D10,,Gate,,,,Concourse D,MIA
-80.2726686,25.79799793,D11,,Gate,,,,Concourse D,MIA
-80.27317286,25.79881899,D12,,Gate,,,,Concourse D,MIA
-80.27356982,25.79881899,D14,,Gate,,,,Concourse D,MIA
-80.27323723,25.7976695,D15,,Gate,,,,Concourse D,MIA
-80.27418137,25.79854852,D16,,Gate,,,,Concourse D,MIA
-80.27349472,25.79741835,D17,,Gate,,,,Concourse D,MIA
-80.2738595,25.79709959,D19,,Gate,,,,Concourse D,MIA
-80.27129531,25.79875137,D2,,Gate,,,,Concourse D,MIA
-80.2749753,25.79772746,D20,,Gate,,,,Concourse D,MIA
-80.27556539,25.79768882,D21,,Gate,,,,Concourse D,MIA
-80.27617693,25.79768882,D22,,Gate,,,,Concourse D,MIA
-80.27686357,25.79765984,D23,,Gate,,,,Concourse D,MIA
-80.27733564,25.79765018,D24,,Gate,,,,Concourse D,MIA
-80.27807593,25.79758257,D25,,Gate,,,,Concourse D,MIA
-80.27858019,25.79756325,D26,,Gate,,,,Concourse D,MIA
-80.27980328,25.79747631,D27,,Gate,,,,Concourse D,MIA
-80.28015733,25.79747631,D28,,Gate,,,,Concourse D,MIA
-80.28056502,25.79750529,D29,,Gate,,,,Concourse D,MIA
-80.27123094,25.79819112,D3,,Gate,,,,Concourse D,MIA
-80.28079033,25.79770814,D30,,Gate,,,,Concourse D,MIA
-80.28018951,25.79627852,D31,,Gate,,,,Concourse D,MIA
-80.28044701,25.79640409,D32,,Gate,,,,Concourse D,MIA
-80.2809298,25.79654899,D34,,Gate,,,,Concourse D,MIA
-80.28124094,25.79668422,D35,,Gate,,,,Concourse D,MIA
-80.28159499,25.79682912,D36,,Gate,,,,Concourse D,MIA
-80.28087616,25.79797861,D37,,Gate,,,,Concourse D,MIA
-80.28115511,25.79815248,D38,,Gate,,,,Concourse D,MIA
-80.28170228,25.79821044,D39,,Gate,,,,Concourse D,MIA
-80.27156353,25.7988383,D4,,Gate,,,,Concourse D,MIA
-80.28219581,25.79819112,D40,,Gate,,,,Concourse D,MIA
