longitude,latitude,latlng,title,description,type,image,imageBelow,iconURL,terminal,airportCode
121.0041475,14.50411196,"14.50411196, 121.0041475",Food and Beverages,,Food and Beverages,images/food-beverages.png,,images/food-beverages.png,1,MNL
121.0048717,14.50661519,"14.50661519, 121.0048717",Restrooms,,Restrooms,images/restrooms.png,,images/restrooms.png,1,MNL
121.0043192,14.50585175,"14.50585175, 121.0043192",Security Checkpoint,,Security Checkpoint,images/security-check.png,,images/security-check.png,1,MNL
121.0043246,14.50642822,"14.50642822, 121.0043246",Baggage Claim,,Baggage Claim,images/baggage-claim.png,,images/baggage-claim.png,1,MNL
121.0047752,14.50574269,"14.50574269, 121.0047752",Bank/ATM,,Bank/ATM,images/bank-atm.png,,images/bank-atm.png,1,MNL
121.003257,14.50665154,"14.50665154, 121.003257",Taxis and Public Transportation,,Taxis and Public Transportation,images/taxi-publictrans.png,,images/taxi-publictrans.png,1,MNL
121.0037559,14.50745132,"14.50745132, 121.0037559",Parking,,Parking,images/parking.png,,images/parking.png,1,MNL
121.0048288,14.50605949,"14.50605949, 121.0048288",Security Checkpoint,,Security Checkpoint,images/security-check.png,,images/security-check.png,1,MNL
121.0049629,14.50540512,"14.50540512, 121.0049629",Restrooms,,Restrooms,images/restrooms.png,,images/restrooms.png,1,MNL
121.0044265,14.50397693,"14.50397693, 121.0044265",Restrooms,,Restrooms,images/restrooms.png,,images/restrooms.png,1,MNL
121.006524,14.50515584,"14.50515584, 121.006524",Food and Beverages,,Food and Beverages,images/food-beverages.png,,images/food-beverages.png,1,MNL
121.0065025,14.50541551,"14.50541551, 121.0065025",Restrooms,,Restrooms,images/restrooms.png,,images/restrooms.png,1,MNL
121.0023344,14.50663077,"14.50663077, 121.0023344",Parking,,Parking,images/parking.png,,images/parking.png,1,MNL
121.0052472,14.50568557,"14.50568557, 121.0052472",1,,Gate,,,,1,MNL
121.0059714,14.50571673,"14.50571673, 121.0059714",2,,Gate,,,,1,MNL
121.0067225,14.50574269,"14.50574269, 121.0067225",3,,Gate,,,,1,MNL
121.0069531,14.5052649,"14.5052649, 121.0069531",4,,Gate,,,,1,MNL
121.0067332,14.50489097,"14.50489097, 121.0067332",5,,Gate,,,,1,MNL
121.0061431,14.50495849,"14.50495849, 121.0061431",6,,Gate,,,,1,MNL
121.0056818,14.50497926,"14.50497926, 121.0056818",7,,Gate,,,,1,MNL
121.0049629,14.50433008,"14.50433008, 121.0049629",9,,Gate,,,,1,MNL
121.0044533,14.50360819,"14.50360819, 121.0044533",10,,Gate,,,,1,MNL
121.0039598,14.50365493,"14.50365493, 121.0039598",11,,Gate,,,,1,MNL
121.0037184,14.50411715,"14.50411715, 121.0037184",12,,Gate,,,,1,MNL
121.0041314,14.50452224,"14.50452224, 121.0041314",14,,Gate,,,,1,MNL
121.0043299,14.50492733,"14.50492733, 121.0043299",15,,Gate,,,,1,MNL
121.0045499,14.505187,"14.505187, 121.0045499",16,,Gate,,,,1,MNL
121.0139751,14.50948711,"14.50948711, 121.0139751",Airline Lounge,,Airline Club,images/airline-lounge.png,,images/airline-lounge.png,2,MNL
121.0109282,14.5099649,"14.5099649, 121.0109282",Parking,,Parking,images/parking.png,,images/parking.png,2,MNL
121.0099089,14.51100875,"14.51100875, 121.0099089",Parking,,Parking,images/parking.png,,images/parking.png,2,MNL
121.0122478,14.51047384,"14.51047384, 121.0122478",Baggage Claim,,Baggage Claim,images/baggage-claim.png,,images/baggage-claim.png,2,MNL
121.0122532,14.50915474,"14.50915474, 121.0122532",Baggage Claim,,Baggage Claim,images/baggage-claim.png,,images/baggage-claim.png,2,MNL
121.0124624,14.50973639,"14.50973639, 121.0124624",Taxis and Public Transportation,,Taxis and Public Transportation,images/taxi-publictrans.png,,images/taxi-publictrans.png,2,MNL
121.0124731,14.51072312,"14.51072312, 121.0124731",Restrooms,,Restrooms,images/restrooms.png,,images/restrooms.png,2,MNL
121.0127413,14.51024014,"14.51024014, 121.0127413",Security Checkpoint,,Security Checkpoint,images/security-check.png,,images/security-check.png,2,MNL
121.0124087,14.50913397,"14.50913397, 121.0124087",Security Checkpoint,,Security Checkpoint,images/security-check.png,,images/security-check.png,2,MNL
121.0121888,14.50879121,"14.50879121, 121.0121888",Restrooms,,Restrooms,images/restrooms.png,,images/restrooms.png,2,MNL
121.0137767,14.50971562,"14.50971562, 121.0137767",Food and Beverages,,Food and Beverages,images/food-beverages.png,,images/food-beverages.png,2,MNL
121.0137498,14.5094196,"14.5094196, 121.0137498",Food and Beverages,,Food and Beverages,images/food-beverages.png,,images/food-beverages.png,2,MNL
121.0142434,14.52117179,"14.52117179, 121.0142434",Parking,,Parking,images/parking.png,,images/parking.png,3,MNL
121.012913,14.52086021,"14.52086021, 121.012913",Bank/ATM,,Bank/ATM,images/bank-atm.png,,images/bank-atm.png,3,MNL
121.0134065,14.52047592,"14.52047592, 121.0134065",Restrooms,,Restrooms,images/restrooms.png,,images/restrooms.png,3,MNL
121.0138786,14.51998777,"14.51998777, 121.0138786",Shopping,,Shopping,images/shopping.png,,images/shopping.png,3,MNL
121.0145116,14.51942692,"14.51942692, 121.0145116",Medical Services,,Medical Services,images/medical-services.png,,images/medical-services.png,3,MNL
121.0125589,14.5207875,"14.5207875, 121.0125589",Baggage Claim,,Baggage Claim,images/baggage-claim.png,,images/baggage-claim.png,3,MNL
121.0143399,14.51917765,"14.51917765, 121.0143399",Baggage Claim,,Baggage Claim,images/baggage-claim.png,,images/baggage-claim.png,3,MNL
121.0138035,14.51939576,"14.51939576, 121.0138035",Food and Beverages,,Food and Beverages,images/food-beverages.png,,images/food-beverages.png,3,MNL
121.0132027,14.51993584,"14.51993584, 121.0132027",Security Checkpoint,,Security Checkpoint,images/security-check.png,,images/security-check.png,3,MNL
121.0126555,14.52035128,"14.52035128, 121.0126555",Food and Beverages,,Food and Beverages,images/food-beverages.png,,images/food-beverages.png,3,MNL
121.0124087,14.52010202,"14.52010202, 121.0124087",Restrooms,,Restrooms,images/restrooms.png,,images/restrooms.png,3,MNL
121.0131705,14.5193646,"14.5193646, 121.0131705",Food and Beverages,,Food and Beverages,images/food-beverages.png,,images/food-beverages.png,3,MNL
121.0137177,14.51887645,"14.51887645, 121.0137177",Shopping,,Shopping,images/shopping.png,,images/shopping.png,3,MNL
121.0160565,14.51764049,"14.51764049, 121.0160565",1,,Gate,,,,3,MNL
121.0165071,14.5171731,"14.5171731, 121.0165071",2,,Gate,,,,3,MNL
121.016829,14.51685113,"14.51685113, 121.016829",3,,Gate,,,,3,MNL
121.0172796,14.51647722,"14.51647722, 121.0172796",4,,Gate,,,,3,MNL
121.0162228,14.51576056,"14.51576056, 121.0162228",5,,Gate,,,,3,MNL
121.01574,14.51622795,"14.51622795, 121.01574",6,,Gate,,,,3,MNL
121.0152572,14.51665898,"14.51665898, 121.0152572",7,,Gate,,,,3,MNL
121.0147315,14.51710559,"14.51710559, 121.0147315",8,,Gate,,,,3,MNL
121.0142702,14.51760933,"14.51760933, 121.0142702",9,,Gate,,,,3,MNL
121.0137391,14.51808709,"14.51808709, 121.0137391",10,,Gate,,,,3,MNL
121.0132831,14.5185337,"14.5185337, 121.0132831",11,,Gate,,,,3,MNL
121.0127574,14.51900108,"14.51900108, 121.0127574",12,,Gate,,,,3,MNL
121.0123497,14.51946846,"14.51946846, 121.0123497",13,,Gate,,,,3,MNL
121.0118401,14.51992545,"14.51992545, 121.0118401",14,,Gate,,,,3,MNL
121.0114163,14.52056939,"14.52056939, 121.0114163",15,,Gate,,,,3,MNL
121.0109389,14.52100561,"14.52100561, 121.0109389",16,,Gate,,,,3,MNL
