longitude,latitude,latlng,title,description,type,image,imageBelow,iconURL,terminal,airportCode
-93.20564747,44.88280116,"44.88280116, -93.20564747",Delta Sky Club,,Airline Club,images/delta.png,,images/airline-lounge.png,1,MSP
-93.21223497,44.88284677,"44.88284677, -93.21223497",Delta Sky Club,,Airline Club,images/delta.png,,images/airline-lounge.png,1,MSP
-93.21283579,44.88534015,"44.88534015, -93.21283579",United Club,,Airline Club,images/united.png,,images/airline-lounge.png,1,MSP
-93.21069002,44.88378941,"44.88378941, -93.21069002",Baggage Claim,,Baggage Claim,images/baggage-claim.png,,images/baggage-claim.png,1,MSP
-93.2116127,44.88258831,"44.88258831, -93.2116127",Baggage Claim,,Baggage Claim,images/baggage-claim.png,,images/baggage-claim.png,1,MSP
-93.22734118,44.87424075,"44.87424075, -93.22734118",Baggage Claim,,Baggage Claim,images/baggage-claim.png,,images/baggage-claim.png,2,MSP
-93.21296453,44.88301402,"44.88301402, -93.21296453",Bank/ATM,,Bank/ATM,images/bank-atm.png,,images/bank-atm.png,1,MSP
-93.21152687,44.88305963,"44.88305963, -93.21152687",Bank/ATM,,Bank/ATM,images/bank-atm.png,,images/bank-atm.png,1,MSP
-93.2120204,44.88468641,"44.88468641, -93.2120204",Bank/ATM,,Bank/ATM,images/bank-atm.png,,images/bank-atm.png,1,MSP
-93.21043253,44.88146321,"44.88146321, -93.21043253",Bank/ATM,,Bank/ATM,images/bank-atm.png,,images/bank-atm.png,1,MSP
-93.2062912,44.87982113,"44.87982113, -93.2062912",Bank/ATM,,Bank/ATM,images/bank-atm.png,,images/bank-atm.png,1,MSP
-93.20109844,44.88082462,"44.88082462, -93.20109844",Bank/ATM,,Bank/ATM,images/bank-atm.png,,images/bank-atm.png,1,MSP
-93.20970297,44.88453438,"44.88453438, -93.20970297",Bank/ATM,,Bank/ATM,images/bank-atm.png,,images/bank-atm.png,1,MSP
-93.2282424,44.87403546,"44.87403546, -93.2282424",Bank/ATM,,Bank/ATM,images/bank-atm.png,,images/bank-atm.png,2,MSP
-93.2120204,44.88316605,"44.88316605, -93.2120204",Food and Beverages,,Food and Beverages,images/food-beverages.png,,images/food-beverages.png,1,MSP
-93.21030378,44.88485365,"44.88485365, -93.21030378",Food and Beverages,,Food and Beverages,images/food-beverages.png,,images/food-beverages.png,1,MSP
-93.21367264,44.8855682,"44.8855682, -93.21367264",Food and Beverages,,Food and Beverages,images/food-beverages.png,,images/food-beverages.png,1,MSP
-93.21347952,44.88324207,"44.88324207, -93.21347952",Food and Beverages,,Food and Beverages,images/food-beverages.png,,images/food-beverages.png,1,MSP
-93.21590424,44.88363737,"44.88363737, -93.21590424",Food and Beverages,,Food and Beverages,images/food-beverages.png,,images/food-beverages.png,1,MSP
-93.21290016,44.88204096,"44.88204096, -93.21290016",Food and Beverages,,Food and Beverages,images/food-beverages.png,,images/food-beverages.png,1,MSP
-93.20878029,44.88070299,"44.88070299, -93.20878029",Food and Beverages,,Food and Beverages,images/food-beverages.png,,images/food-beverages.png,1,MSP
-93.20766449,44.88018604,"44.88018604, -93.20766449",Food and Beverages,,Food and Beverages,images/food-beverages.png,,images/food-beverages.png,1,MSP
-93.20650578,44.87950183,"44.87950183, -93.20650578",Food and Beverages,,Food and Beverages,images/food-beverages.png,,images/food-beverages.png,1,MSP
-93.198663,44.87944861,"44.87944861, -93.198663",Food and Beverages,,Food and Beverages,images/food-beverages.png,,images/food-beverages.png,1,MSP
-93.20069075,44.88042171,"44.88042171, -93.20069075",Food and Beverages,,Food and Beverages,images/food-beverages.png,,images/food-beverages.png,1,MSP
-93.19972515,44.88102228,"44.88102228, -93.19972515",Food and Beverages,,Food and Beverages,images/food-beverages.png,,images/food-beverages.png,1,MSP
-93.2042098,44.88221581,"44.88221581, -93.2042098",Food and Beverages,,Food and Beverages,images/food-beverages.png,,images/food-beverages.png,1,MSP
-93.2064414,44.88319646,"44.88319646, -93.2064414",Food and Beverages,,Food and Beverages,images/food-beverages.png,,images/food-beverages.png,1,MSP
-93.20927382,44.88434433,"44.88434433, -93.20927382",Food and Beverages,,Food and Beverages,images/food-beverages.png,,images/food-beverages.png,1,MSP
-93.22873592,44.8738758,"44.8738758, -93.22873592",Food and Beverages,,Food and Beverages,images/food-beverages.png,,images/food-beverages.png,2,MSP
-93.2295835,44.87320672,"44.87320672, -93.2295835",Food and Beverages,,Food and Beverages,images/food-beverages.png,,images/food-beverages.png,2,MSP
-93.20043325,44.88080942,"44.88080942, -93.20043325",A1,,Gate,,,,1,MSP
-93.19687128,44.8790913,"44.8790913, -93.19687128",A10-A13,,Gate,,,,1,MSP
-93.19620609,44.87896966,"44.87896966, -93.19620609",A14,,Gate,,,,1,MSP
-93.20017576,44.88050533,"44.88050533, -93.20017576",A2,,Gate,,,,1,MSP
-93.19974661,44.88027726,"44.88027726, -93.19974661",A3,,Gate,,,,1,MSP
-93.199296,44.8800492,"44.8800492, -93.199296",A4,,Gate,,,,1,MSP
