longitude,latitude,latlng,title,description,type,image,imageBelow,iconURL,terminal,airportCode
11.78416729,48.35261297,"48.35261297, 11.78416729",Air Berlin Atlantic Lounge,,Airline Club,images/air-berlin.png,,images/airline-lounge.png,1,MUC
11.78418875,48.35227787,"48.35227787, 11.78418875",Emirates Lounge,,Airline Club,images/airline-lounge.png,,images/airline-lounge.png,1,MUC
11.78455353,48.35055955,"48.35055955, 11.78455353","Air France, KLM Lounge",,Airline Club,images/airfrance-klm.png,,images/airline-lounge.png,1,MUC
11.78471446,48.34963263,"48.34963263, 11.78471446",Finnair Europa VIP Wing,,Airline Club,images/finnair.png,,images/airline-lounge.png,1,MUC
11.78382397,48.35465918,"48.35465918, 11.78382397",British Airways Galleries Club Lounge,,Airline Club,images/british-airways.png,,images/airline-lounge.png,1,MUC
11.78410292,48.35375372,"48.35375372, 11.78410292",Delta Lounge,,Airline Club,images/delta.png,,images/airline-lounge.png,1,MUC
11.79207444,48.3537965,"48.3537965, 11.79207444",Lufthansa Business & Senator Lounges,,Airline Club,images/lufthansa.png,,images/airline-lounge.png,2,MUC
11.79193497,48.35465918,"48.35465918, 11.79193497",Lufthansa Business & Senator Lounges,,Airline Club,images/lufthansa.png,,images/airline-lounge.png,2,MUC
11.78445697,48.35354696,"48.35354696, 11.78445697",Baggage Claim,,Baggage Claim,images/baggage-claim.png,,images/baggage-claim.png,1,MUC
11.78964972,48.35396761,"48.35396761, 11.78964972",Baggage Claim,,Baggage Claim,images/baggage-claim.png,,images/baggage-claim.png,2,MUC
11.78337336,48.35788874,"48.35788874, 11.78337336",Food and Beverages,,Food and Beverages,images/food-beverages.png,,images/food-beverages.png,1,MUC
11.78366303,48.35581414,"48.35581414, 11.78366303",Food and Beverages,,Food and Beverages,images/food-beverages.png,,images/food-beverages.png,1,MUC
11.7841351,48.3528839,"48.3528839, 11.7841351",Food and Beverages,,Food and Beverages,images/food-beverages.png,,images/food-beverages.png,1,MUC
11.78448915,48.35094457,"48.35094457, 11.78448915",Food and Beverages,,Food and Beverages,images/food-beverages.png,,images/food-beverages.png,1,MUC
11.79059386,48.35459501,"48.35459501, 11.79059386",Food and Beverages,,Food and Beverages,images/food-beverages.png,,images/food-beverages.png,2,MUC
11.78235412,48.35830222,"48.35830222, 11.78235412",A1,,Gate,,,,1,MUC
11.7823112,48.35807409,"48.35807409, 11.7823112",A9-A10,,Gate,,,,1,MUC
11.78218246,48.35779606,"48.35779606, 11.78218246",A12-A15,,Gate,,,,1,MUC
11.78237557,48.35754654,"48.35754654, 11.78237557",A16,,Gate,,,,1,MUC
11.7823863,48.35736119,"48.35736119, 11.7823863",A17,,Gate,,,,1,MUC
11.78240776,48.35710454,"48.35710454, 11.78240776",A18-A19,,Gate,,,,1,MUC
11.7824614,48.35683363,"48.35683363, 11.7824614",A20,,Gate,,,,1,MUC
11.78251505,48.35664827,"48.35664827, 11.78251505",A21,,Gate,,,,1,MUC
11.78240776,48.35646291,"48.35646291, 11.78240776",A22-A25,,Gate,,,,1,MUC
11.78259015,48.35622764,"48.35622764, 11.78259015",A26,,Gate,,,,1,MUC
11.7824614,48.35602802,"48.35602802, 11.7824614",A27-A33,,Gate,,,,1,MUC
11.78256869,48.35590682,"48.35590682, 11.78256869",A34,,Gate,,,,1,MUC
11.782794,48.35526518,"48.35526518, 11.782794",B1,,Gate,,,,1,MUC
11.78280473,48.35504417,"48.35504417, 11.78280473",B3,,Gate,,,,1,MUC
11.7826438,48.35483741,"48.35483741, 11.7826438",B4-B7,,Gate,,,,1,MUC
11.78287983,48.35450946,"48.35450946, 11.78287983",B8,,Gate,,,,1,MUC
11.78276181,48.35427418,"48.35427418, 11.78276181",B9-B14,,Gate,,,,1,MUC
11.78291202,48.3539177,"48.3539177, 11.78291202",B15,,Gate,,,,1,MUC
