longitude,latitude,stop_id,title,stop_lat,stop_lon,stoplatnum,stoplonnum,rr_name,stop_desc,url
-73.64170074,40.77199936,44,Albertson,40.77205,-73.64169,40.772,-73.6417,Long Island Railroad,,http://www.mta.info/lirr
-72.13230133,40.97999954,137,Amagansett,40.98003,-72.13233,40.98,-72.1323,Long Island Railroad,,http://www.mta.info/lirr
-73.42030334,40.68019867,115,Amityville,40.68024,-73.42031,40.6802,-73.4203,Long Island Railroad,,http://www.mta.info/lirr
-73.078609,41.340272,,Ansonia,,,0,0,Metro-North Railroad,168,http://www.mta.info/mnr
-73.57871,41.61081,,Appalachian Trail,,,0,0,Metro-North Railroad,99,http://www.mta.info/mnr
-73.876543,41.026198,,Ardsley-on-Hudson,,,0,0,Metro-North Railroad,24,http://www.mta.info/mnr
-73.79000092,40.76139832,21,Auburndale,40.76143,-73.78996,40.7614,-73.79,Long Island Railroad,,http://www.mta.info/lirr
-73.32409668,40.70069885,118,Babylon,40.70068,-73.32405,40.7007,-73.3241,Long Island Railroad,,http://www.mta.info/lirr
-73.60720062,40.65670013,107,Baldwin,40.65672,-73.60716,40.6567,-73.6072,Long Island Railroad,,http://www.mta.info/lirr
-73.25409698,40.72439957,119,Bay Shore,40.72443,-73.25408,40.7244,-73.2541,Long Island Railroad,,http://www.mta.info/lirr
-73.77120209,40.76309967,22,Bayside,40.76314,-73.77125,40.7631,-73.7712,Long Island Railroad,,http://www.mta.info/lirr
-73.984528,41.504007,,Beacon,,,0,0,Metro-North Railroad,46,http://www.mta.info/mnr
-73.06359,41.441752,,Beacon Falls,,,0,0,Metro-North Railroad,170,http://www.mta.info/mnr
-73.699936,41.237316,,Bedford Hills,,,0,0,Metro-North Railroad,85,http://www.mta.info/mnr
-73.71669769,40.72219849,33,Bellerose,40.7222,-73.71665,40.7222,-73.7167,Long Island Railroad,,http://www.mta.info/lirr
-73.52890015,40.66880035,110,Bellmore,40.66879,-73.52886,40.6688,-73.5289,Long Island Railroad,,http://www.mta.info/lirr
