latitude,longitude,latlng,google_maps,title,Category,icon_image,Subcatid,Subcatname,Short_Desc,Long_Desc,Address1,Address2,City,State,Country,Zip,Neighborhood,Phone,Url,Open Hours,Wcities Url,lres_image,lres_image_2,High Res Image Url
40.76095,-73.994292,"40.76095, -73.994292","<a href=""https://www.google.com/maps/dir/Current+Location/40.76095, -73.994292"" target=""_blank"">Get directions</a>",44 1/2,Bars And Cafes,images/bar.png,54,Bars & Pubs,Heaven in Hell's Kitchen,"Dine in this beautiful and casual American bistro with a relaxing outdoor dining area from where one can gaze at the streets while relishing the fantastically cooked food. The food is simple, wholesome and modern in its presentation. Pink is the undertone here with wait staff dressed in pink, the menu written in pink and other pink touches. Order the Tuna Tartar or the Mushroom pizza and let the taste buds experience a swirl of magical delight as the flavor of each spice sinks in. Just as the location of this restaurant is pure heaven, the food is also heavenly. Raise a toast to it, by ordering a fine wine from the menu.",626 10th Avenue,,New York,NY,United States,10036,Hell's Kitchen,+1 212 399 4450,http://www.44andahalf.com/,"Mo to We from 05:00 PM to 11:30 PM,Th to Fr from 05:00 PM to 12:00 AM,Sa from 11:00 AM to 03:30 PM,Sa from 05:00 PM to 12:00 AM,Su from 11:00 AM to 03:30 PM,Su from 05:00 PM to 11:00 PM",http://cityseekr.com/new-york/bars-cafes/poi-44-1-2-785247.html,,,
40.724,-73.993,"40.724, -73.993","<a href=""https://www.google.com/maps/dir/Current+Location/40.724, -73.993"" target=""_blank"">Get directions</a>",288,Bars And Cafes,images/bar.png,54,Bars & Pubs,Friendly and Cool,"This neighborhood watering hole, known affectionately by its former name of Tom & Jerry's, attracts a mix of hipsters, Irish nationals and wizened locals. 288 is a good spot to meet someone special, hang out with friends or just sip a pint of ale. While it can get crowded at times, there is never a cover charge. The art on the back wall changes regularly, but nothing else does; in New York, that can be a comforting concept. Call ahead for further details.",288 Elizabeth Street,at Houston Street,New York,NY,United States,10012,Noho,+1 212 260 5045,,,http://cityseekr.com/new-york/bars-cafes/poi-288-5758.html,http://c0056904.cdn2.cloudfiles.rackspacecloud.com/5758.jpg,,http://c0056906.cdn2.cloudfiles.rackspacecloud.com/5758.jpg
40.694574,-73.930425,"40.694574, -73.930425","<a href=""https://www.google.com/maps/dir/Current+Location/40.694574, -73.930425"" target=""_blank"">Get directions</a>", Lone Wolf ,Bars And Cafes,images/bar.png,"54,468","Bars & Pubs,Live Music",,,1089 Broadway,,Brooklyn,NY,United States,11221,Brooklyn,+1 718 455 2028,,,http://cityseekr.com/new-york/bars-cafes/poi-lone-wolf-795178.html,,,
40.691214,-73.996995,"40.691214, -73.996995","<a href=""https://www.google.com/maps/dir/Current+Location/40.691214, -73.996995"" target=""_blank"">Get directions</a>", Roebling Inn,Bars And Cafes,images/bar.png,54,Bars & Pubs,,,97 Atlantic Ave,,Brooklyn,NY,United States,11201,,+1 718 488 0040,http://theroeblinginn.com/,"Mo to Th from 04:00 PM to 04:00 AM,Fr from 03:00 PM to 04:00 AM,Sa to Su from 12:00 PM to 04:00 AM",http://cityseekr.com/new-york/bars-cafes/poi-roebling-inn-829005.html,,,
40.7505131,-73.9802386,"40.7505131, -73.9802386","<a href=""https://www.google.com/maps/dir/Current+Location/40.7505131, -73.9802386"" target=""_blank"">Get directions</a>", The Raines Law Room,Bars And Cafes,images/bar.png,63,Cocktail Bar,Friendly Hangout Bar,"The Raines Law Room offers an impressive beverage list comprising of vintage wines, creative cocktails, draft beers and much more. The ambiance exudes sophistication and the spacious bar with intimate seating arrangements making it ideal for a tete-a-tete. There are also private booths with a service bell for the staff, giving you a sense of privacy. All in all, you are sure to have a relaxing time as you catch up with your friends over a few drinks at The Raines Law Room.",24 East 39th Street,,New York,NY,United States,10016,Kip's Bay/Murray Hill/Midtown,,http://www.raineslawroom.com/,"Mo to We from 05:00 PM to 01:00 AM,Th to Sa from 05:00 PM to 02:00 AM",http://cityseekr.com/new-york/bars-cafes/poi-the-raines-law-room-935015.html,,,
40.7806141,-73.9803288,"40.7806141, -73.9803288","<a href=""https://www.google.com/maps/dir/Current+Location/40.7806141, -73.9803288"" target=""_blank"">Get directions</a>",'Cesca,Bars And Cafes,images/bar.png,54,Bars & Pubs,Rustic Italian,"Located in the Upper West Side neighborhood, this new restaurant has already got critics raving about it. It features authentic Southern Italian cuisine, all impeccably prepared. The ivory colored walls, circular booths, granite topped bar, and custom iron lamps and chandeliers provide for an elegant ambiance. Apart from the regular homemade pastas and simple grills, there are a variety of dishes prepared on a wood burning oven. Take your pick from the exquisite wine collection or sit back and relax at the bar located in a spacious lounge.",164 West 75th Street,At Amsterdam Avenue,New York,NY,United States,10024,Upper West Side,+1 212 787 6300,http://www.cescanyc.com/,"Mo to Th from 05:00 AM to 11:00 PM,Fr to Sa from 05:00 AM to 11:30 PM,Su from 05:00 AM to 10:00 PM,Su from 12:00 PM to 03:00 PM",http://cityseekr.com/new-york/bars-cafes/poi-cesca-328476.html,http://c0056904.cdn2.cloudfiles.rackspacecloud.com/328476.jpg,,http://c0056906.cdn2.cloudfiles.rackspacecloud.com/328476.jpg
40.789167,-73.975247,"40.789167, -73.975247","<a href=""https://www.google.com/maps/dir/Current+Location/40.789167, -73.975247"" target=""_blank"">Get directions</a>",(Aged.),Bars And Cafes,images/bar.png,64,Wine Bars,Steaks and Wine,"Combine steaks with gulps of wine at (Aged.) a popular wine bar and steakhouse. Priding itself on its steaks and seafood, (Aged.) is a success story today. It serves highest quality beef and fresh fish. While steak is their prime dish, mussels are also a close favorite here, sharing its place with calamari and crab cakes. The intimate venue is decorated in brick and wood and is a treat for store eyes. It exudes a warmth that is infectious and puts one at ease. The staff is welcoming and attentive while the service is prompt. Try the amazing array of wine which ties closely with the impeccable food.",2398 Broadway,,New York,NY,United States,10024,,+1 212 712 1874,http://www.agednyc.com/,"Mo to We from 11:30 AM to 11:00 PM,Th to Fr from 11:30 AM to 12:00 AM,Sa from 10:00 AM to 12:00 AM,Su from 10:00 AM to 11:00 PM",http://cityseekr.com/new-york/bars-cafes/poi-aged-784892.html,,,
40.722181,-73.98991,"40.722181, -73.98991","<a href=""https://www.google.com/maps/dir/Current+Location/40.722181, -73.98991"" target=""_blank"">Get directions</a>",\'c1pizz,Bars And Cafes,images/bar.png,54,Bars & Pubs,Tasty Italian Fare,"\'c1pizz, the restaurant is probably one of the best things to happen to the Lower East Side. The d&eacute;cor is simple and rustic and the brick oven occupies a place of pride. Popular choices include insalata di formaggio, apizz margarita, and lasagna cinghiale. The desserts and the wines are a must-try. Come by and you'll discover why this place is loved by critics and locals alike. For further information and reservations check the website.",217 Eldridge Street,Between Stanton & Rivington Streets,New York,NY,United States,10002,Lower East Side,+1 212 253 9199,http://apizz.com/,Mo to Sa from 06:00 PM to 11:00 PM,http://cityseekr.com/new-york/bars-cafes/poi-pizz-349035.html,,,
40.802713,-73.968104,"40.802713, -73.968104","<a href=""https://www.google.com/maps/dir/Current+Location/40.802713, -73.968104"" target=""_blank"">Get directions</a>","107 West Restaurant, Bar  & Lounge",Bars And Cafes,images/bar.png,55,Lounge,Trendy Night Out,"107 West Restaurant, Bar  & Lounge is a popular lounge and restaurant in the Upper West Side area of New York. It is a crowded venue with young people streaming across to enjoy the happy hours, the ambience and the food. The menu offers Calamari Fritti, Cajun Tofu Fries, Mushroom Ravioli, Pan Seared Marinated Hanger Steak and Jambalaya which are cooked to perfection, neither too dry nor too oily, with succulent pieces of meat and crisp vegetables. For those who want an offbeat night, there is authentic Japanese sashimi and sushi too, a different take to this all-American venue. Drinks are served chilled by the eager staff.",2787 Broadway,,New York,NY,United States,10025,Upper West Side,+1 212 864 1555,http://107west.com/,"Mo to Th from 12:00 PM to 11:00 PM,Fr from 12:00 PM to 11:30 PM,Sa from 12:00 PM to 11:30 PM,Su from 12:00 PM to 10:30 PM",http://cityseekr.com/new-york/bars-cafes/poi-107-west-restaurant-bar-lounge-784744.html,,,
40.728,-73.981,"40.728, -73.981","<a href=""https://www.google.com/maps/dir/Current+Location/40.728, -73.981"" target=""_blank"">Get directions</a>",11th Street Bar,Bars And Cafes,images/bar.png,"54,468","Bars & Pubs,Live Music",Happy Hour!,"Located in Alphabet City, 11th Street Bar is an amber-lit bar heavily exposed to brick that is low-key and an ideal spot for a drink with a friend or a get-to-know-you conversation with a date. Happy hour involves discount drinks daily from 4pm-9pm. There's a slight Irish vibe to the place. Supporters of Liverpool will be pleased as the bar shows Liverpool football no matter what hour. A range of other events vary from poetry, live music and other sports on a weekly basis. Definitely worth a peek next time you're on 11th street in New York.",510 East 11th Street,,New York,NY,United States,10009,Alphabet City,+1 212 982 3929,http://www.11thstbar.com/,"Mo to Fr from 04:00 PM to 04:00 AM,Sa to Su from 01:00 PM to 04:00 AM",http://cityseekr.com/new-york/bars-cafes/poi-11th-street-bar-398429.html,,,
