longitude,latitude,latlng,title,description,type,image,imageBelow,iconURL,terminal,airportCode
-87.9032743,41.97400071,"41.97400071, -87.9032743",Admirals Club,,Airline Club,images/american-airlines.png,,images/airline-lounge.png,3,ORD
-87.89163351,41.97556405,"41.97556405, -87.89163351",Air France/KLM Lounge,,Airline Club,images/airfrance-klm.png,,images/airline-lounge.png,5,ORD
-87.89686918,41.97436762,"41.97436762, -87.89686918",American Airlines Flagship Lounge,,Airline Club,images/american-airlines.png,,images/airline-lounge.png,3,ORD
-87.90012002,41.97493393,"41.97493393, -87.90012002",American Airlines Lounge,,Airline Club,images/american-airlines.png,,images/airline-lounge.png,3,ORD
-87.89044261,41.97416023,"41.97416023, -87.89044261",British Airways Lounge,,Airline Club,images/british-airways.png,,images/airline-lounge.png,5,ORD
-87.90768385,41.97496584,"41.97496584, -87.90768385",Delta Crown Club,,Airline Club,images/delta.png,,images/airline-lounge.png,2,ORD
-87.89157987,41.97526893,"41.97526893, -87.89157987",Korean Air Lounge,,Airline Club,images/korean-air.png,,images/airline-lounge.png,5,ORD
-87.88910151,41.97400868,"41.97400868, -87.88910151",SAS Buisiness Lounge,,Airline Club,images/sas.png,,images/airline-lounge.png,5,ORD
-87.90609598,41.98129864,"41.98129864, -87.90609598",United Club,,Airline Club,images/united.png,,images/airline-lounge.png,1,ORD
-87.90710449,41.97767769,"41.97767769, -87.90710449",United Club,,Airline Club,images/united.png,,images/airline-lounge.png,1,ORD
-87.91058064,41.97841147,"41.97841147, -87.91058064",United Club,,Airline Club,images/united.png,,images/airline-lounge.png,1,ORD
-87.9061389,41.97515726,"41.97515726, -87.9061389",United Club,,Airline Club,images/united.png,,images/airline-lounge.png,2,ORD
-87.90466905,41.97626595,"41.97626595, -87.90466905",USO Lounge,,Airline Club,images/airline-lounge.png,,images/airline-lounge.png,2,ORD
-87.89140821,41.97514131,"41.97514131, -87.89140821",Virgin Atlantic Airways Lounge,,Airline Club,images/airline-lounge.png,,images/airline-lounge.png,5,ORD
-87.90601015,41.97922499,"41.97922499, -87.90601015",Baggage Claim,,Baggage Claim,images/baggage-claim.png,,images/baggage-claim.png,,ORD
-87.90506601,41.97681629,"41.97681629, -87.90506601",Baggage Claim,,Baggage Claim,images/baggage-claim.png,,images/baggage-claim.png,,ORD
-87.90131092,41.97678439,"41.97678439, -87.90131092",Baggage Claim,,Baggage Claim,images/baggage-claim.png,,images/baggage-claim.png,,ORD
-87.89058208,41.9750775,"41.9750775, -87.89058208",Baggage Claim,,Baggage Claim,images/baggage-claim.png,,images/baggage-claim.png,,ORD
-87.90648222,41.978236,"41.978236, -87.90648222",Baggage Claim,,Baggage Claim,images/baggage-claim.png,,images/baggage-claim.png,1,ORD
-87.90423989,41.9763138,"41.9763138, -87.90423989",Baggage Claim,,Baggage Claim,images/baggage-claim.png,,images/baggage-claim.png,2,ORD
-87.91079521,41.97868264,"41.97868264, -87.91079521",Bank/ATM,,Bank/ATM,images/bank-atm.png,,images/bank-atm.png,1,ORD
-87.90650368,41.97847527,"41.97847527, -87.90650368",Bank/ATM,,Bank/ATM,images/bank-atm.png,,images/bank-atm.png,1,ORD
-87.90679336,41.97802065,"41.97802065, -87.90679336",Bank/ATM,,Bank/ATM,images/bank-atm.png,,images/bank-atm.png,1,ORD
-87.90655732,41.97513334,"41.97513334, -87.90655732",Bank/ATM,,Bank/ATM,images/bank-atm.png,,images/bank-atm.png,2,ORD
-87.9022336,41.97595488,"41.97595488, -87.9022336",Bank/ATM,,Bank/ATM,images/bank-atm.png,,images/bank-atm.png,3,ORD
-87.8999269,41.97526095,"41.97526095, -87.8999269",Bank/ATM,,Bank/ATM,images/bank-atm.png,,images/bank-atm.png,3,ORD
-87.89812446,41.97709545,"41.97709545, -87.89812446",Bank/ATM,,Bank/ATM,images/bank-atm.png,,images/bank-atm.png,3,ORD
-87.9032743,41.97553214,"41.97553214, -87.9032743",Bank/ATM,,Bank/ATM,images/bank-atm.png,,images/bank-atm.png,3,ORD
-87.90646076,41.9807563,"41.9807563, -87.90646076",Food and Beverages,,Food and Beverages,images/food-beverages.png,,images/food-beverages.png,1,ORD
-87.90700793,41.9780366,"41.9780366, -87.90700793",Food and Beverages,,Food and Beverages,images/food-beverages.png,,images/food-beverages.png,1,ORD
-87.90995836,41.98037348,"41.98037348, -87.90995836",Food and Beverages,,Food and Beverages,images/food-beverages.png,,images/food-beverages.png,1,ORD
-87.9103446,41.97919309,"41.97919309, -87.9103446",Food and Beverages,,Food and Beverages,images/food-beverages.png,,images/food-beverages.png,1,ORD
-87.91060209,41.97729485,"41.97729485, -87.91060209",Food and Beverages,,Food and Beverages,images/food-beverages.png,,images/food-beverages.png,1,ORD
-87.90724397,41.97699974,"41.97699974, -87.90724397",Food and Beverages,,Food and Beverages,images/food-beverages.png,,images/food-beverages.png,1,ORD
-87.90672898,41.97497381,"41.97497381, -87.90672898",Food and Beverages,,Food and Beverages,images/food-beverages.png,,images/food-beverages.png,2,ORD
-87.90442228,41.97620214,"41.97620214, -87.90442228",Food and Beverages,,Food and Beverages,images/food-beverages.png,,images/food-beverages.png,2,ORD
-87.90575266,41.97579536,"41.97579536, -87.90575266",Food and Beverages,,Food and Beverages,images/food-beverages.png,,images/food-beverages.png,2,ORD
-87.90647149,41.97529286,"41.97529286, -87.90647149",Food and Beverages,,Food and Beverages,images/food-beverages.png,,images/food-beverages.png,2,ORD
-87.9084456,41.97475845,"41.97475845, -87.9084456",Food and Beverages,,Food and Beverages,images/food-beverages.png,,images/food-beverages.png,2,ORD
-87.9060638,41.97334664,"41.97334664, -87.9060638",Food and Beverages,,Food and Beverages,images/food-beverages.png,,images/food-beverages.png,2,ORD
-87.90050626,41.9766807,"41.9766807, -87.90050626",Food and Beverages,,Food and Beverages,images/food-beverages.png,,images/food-beverages.png,3,ORD
-87.90201902,41.97595488,"41.97595488, -87.90201902",Food and Beverages,,Food and Beverages,images/food-beverages.png,,images/food-beverages.png,3,ORD
-87.90023804,41.9752131,"41.9752131, -87.90023804",Food and Beverages,,Food and Beverages,images/food-beverages.png,,images/food-beverages.png,3,ORD
-87.89901495,41.9750456,"41.9750456, -87.89901495",Food and Beverages,,Food and Beverages,images/food-beverages.png,,images/food-beverages.png,3,ORD
-87.89715886,41.97424797,"41.97424797, -87.89715886",Food and Beverages,,Food and Beverages,images/food-beverages.png,,images/food-beverages.png,3,ORD
-87.90044188,41.97456702,"41.97456702, -87.90044188",Food and Beverages,,Food and Beverages,images/food-beverages.png,,images/food-beverages.png,3,ORD
-87.9003346,41.97300366,"41.97300366, -87.9003346",Food and Beverages,,Food and Beverages,images/food-beverages.png,,images/food-beverages.png,3,ORD
-87.89891839,41.97731878,"41.97731878, -87.89891839",Food and Beverages,,Food and Beverages,images/food-beverages.png,,images/food-beverages.png,3,ORD
-87.89784551,41.97692795,"41.97692795, -87.89784551",Food and Beverages,,Food and Beverages,images/food-beverages.png,,images/food-beverages.png,3,ORD
-87.90333867,41.97573155,"41.97573155, -87.90333867",Food and Beverages,,Food and Beverages,images/food-beverages.png,,images/food-beverages.png,3,ORD
-87.90323138,41.97428785,"41.97428785, -87.90323138",Food and Beverages,,Food and Beverages,images/food-beverages.png,,images/food-beverages.png,3,ORD
-87.89072156,41.97439155,"41.97439155, -87.89072156",Food and Beverages,,Food and Beverages,images/food-beverages.png,,images/food-beverages.png,5,ORD
-87.89130092,41.97416023,"41.97416023, -87.89130092",Food and Beverages,,Food and Beverages,images/food-beverages.png,,images/food-beverages.png,5,ORD
-87.90687919,41.97706355,"41.97706355, -87.90687919",B1,,Gate,,,,1,ORD
-87.90716887,41.97948819,"41.97948819, -87.90716887",B10,,Gate,,,,1,ORD
-87.90708303,41.97981519,"41.97981519, -87.90708303",B11,,Gate,,,,1,ORD
-87.90702939,41.97998268,"41.97998268, -87.90702939",B12,,Gate,,,,1,ORD
-87.90685773,41.98070845,"41.98070845, -87.90685773",B14,,Gate,,,,1,ORD
-87.90676117,41.98109925,"41.98109925, -87.90676117",B15,,Gate,,,,1,ORD
-87.90672898,41.98145017,"41.98145017, -87.90672898",B16,,Gate,,,,1,ORD
-87.90652514,41.98165753,"41.98165753, -87.90652514",B17,,Gate,,,,1,ORD
-87.90618181,41.98164955,"41.98164955, -87.90618181",B18,,Gate,,,,1,ORD
-87.90582776,41.98164158,"41.98164158, -87.90582776",B19,,Gate,,,,1,ORD
-87.90736198,41.97680034,"41.97680034, -87.90736198",B2,,Gate,,,,1,ORD
-87.90532351,41.98184096,"41.98184096, -87.90532351",B20,,Gate,,,,1,ORD
-87.90474415,41.98192072,"41.98192072, -87.90474415",B21,,Gate,,,,1,ORD
-87.90441155,41.98180906,"41.98180906, -87.90441155",B22,,Gate,,,,1,ORD
-87.90770531,41.97698379,"41.97698379, -87.90770531",B3,,Gate,,,,1,ORD
-87.90767312,41.97719116,"41.97719116, -87.90767312",B4,,Gate,,,,1,ORD
-87.90760875,41.97744639,"41.97744639, -87.90760875",B5,,Gate,,,,1,ORD
-87.90753365,41.97769364,"41.97769364, -87.90753365",B6,,Gate,,,,1,ORD
-87.90730834,41.97870657,"41.97870657, -87.90730834",B7,,Gate,,,,1,ORD
-87.90721178,41.97896179,"41.97896179, -87.90721178",B8,,Gate,,,,1,ORD
-87.90719032,41.97926487,"41.97926487, -87.90719032",B9,,Gate,,,,1,ORD
-87.91085958,41.97648927,"41.97648927, -87.91085958",C1,,Gate,,,,1,ORD
-87.91098833,41.97761388,"41.97761388, -87.91098833",C10,,Gate,,,,1,ORD
-87.91008711,41.97753413,"41.97753413, -87.91008711",C11,,Gate,,,,1,ORD
-87.91089177,41.97790102,"41.97790102, -87.91089177",C12,,Gate,,,,1,ORD
-87.90999055,41.97807648,"41.97807648, -87.90999055",C15,,Gate,,,,1,ORD
-87.91091323,41.97798077,"41.97798077, -87.91091323",C16,,Gate,,,,1,ORD
-87.9109025,41.97813231,"41.97813231, -87.9109025",C16A,,Gate,,,,1,ORD
-87.9099369,41.97836361,"41.97836361, -87.9099369",C17,,Gate,,,,1,ORD
-87.91094542,41.97895382,"41.97895382, -87.91094542",C18,,Gate,,,,1,ORD
-87.91095614,41.97909738,"41.97909738, -87.91095614",C18A,,Gate,,,,1,ORD
-87.90975451,41.97912131,"41.97912131, -87.90975451",C19,,Gate,,,,1,ORD
-87.91121364,41.97667272,"41.97667272, -87.91121364",C2,,Gate,,,,1,ORD
-87.91085958,41.97936058,"41.97936058, -87.91085958",C20,,Gate,,,,1,ORD
-87.90966868,41.97953604,"41.97953604, -87.90966868",C21,,Gate,,,,1,ORD
-87.91053772,41.97998268,"41.97998268, -87.91053772",C22,,Gate,,,,1,ORD
-87.9095614,41.98003053,"41.98003053, -87.9095614",C23,,Gate,,,,1,ORD
-87.91050553,41.98021397,"41.98021397, -87.91050553",C24,,Gate,,,,1,ORD
-87.90944338,41.98040538,"41.98040538, -87.90944338",C25,,Gate,,,,1,ORD
-87.9104197,41.98044526,"41.98044526, -87.9104197",C26,,Gate,,,,1,ORD
-87.90938973,41.98062072,"41.98062072, -87.90938973",C27,,Gate,,,,1,ORD
-87.91039824,41.9806606,"41.9806606, -87.91039824",C28,,Gate,,,,1,ORD
