longitude,latitude,latlng,title,description,type,image,imageBelow,iconURL,terminal,airportCode
116.6086721,40.07797292,"40.07797292, 116.6086721",BGS Premier Lounge,,Airline Club,images/airline-lounge.png,,images/airline-lounge.png,3,PEK
116.5892744,40.07592054,"40.07592054, 116.5892744",BGS Premier Lounge,,Airline Club,images/airline-lounge.png,,images/airline-lounge.png,2,PEK
116.6065264,40.07541154,"40.07541154, 116.6065264",Business Travellers Lounge,,Airline Club,images/airline-lounge.png,,images/airline-lounge.png,3,PEK
116.5883088,40.08046852,"40.08046852, 116.5883088",China Eastern Domestic Apron Lounge,,Airline Club,images/china-eastern.png,,images/airline-lounge.png,2,PEK
116.5884376,40.07836696,"40.07836696, 116.5884376",China Eastern Domestic First Class Lounge,,Airline Club,images/china-eastern.png,,images/airline-lounge.png,2,PEK
116.6029644,40.07731616,"40.07731616, 116.6029644",Dragonair/Cathay Pacific Lounge,,Airline Club,images/cathay-dragonair.png,,images/airline-lounge.png,3,PEK
116.6063547,40.07327699,"40.07327699, 116.6063547",Emirates Lounge,,Airline Club,images/airline-lounge.png,,images/airline-lounge.png,3,PEK
116.5815711,40.0802715,"40.0802715, 116.5815711",Hainan Airlines Beijing VIP Lounges,,Airline Club,images/airline-lounge.png,,images/airline-lounge.png,1,PEK
116.5878153,40.07572351,"40.07572351, 116.5878153",Hourly Lounge,,Airline Club,images/airline-lounge.png,,images/airline-lounge.png,2,PEK
116.5832877,40.08143718,"40.08143718, 116.5832877",Hourly Lounge,,Airline Club,images/airline-lounge.png,,images/airline-lounge.png,1,PEK
116.6075134,40.077349,"40.077349, 116.6075134",Lufthansa First and Business Class Lounge,,Airline Club,images/lufthansa.png,,images/airline-lounge.png,3,PEK
116.5891027,40.07711913,"40.07711913, 116.5891027",Sky Team Lounge,,Airline Club,images/airline-lounge.png,,images/airline-lounge.png,2,PEK
116.6093588,40.05370169,"40.05370169, 116.6093588",Baggage Claim,,Baggage Claim,images/baggage-claim.png,,images/baggage-claim.png,3,PEK
116.5878153,40.0786625,"40.0786625, 116.5878153",Baggage Claim,,Baggage Claim,images/baggage-claim.png,,images/baggage-claim.png,2,PEK
116.5815604,40.07953268,"40.07953268, 116.5815604",Baggage Claim,,Baggage Claim,images/baggage-claim.png,,images/baggage-claim.png,1,PEK
