longitude,latitude,latlng,title,description,type,image,imageBelow,iconURL,terminal,airportCode
-112.0139408,33.43715361,"33.43715361, -112.0139408",Parking,,Parking,images/parking.png,,images/parking.png,2,PHX
-112.0169449,33.4357211,"33.4357211, -112.0169449",Parking,,Parking,images/parking.png,,images/parking.png,2,PHX
-112.0069456,33.43547041,"33.43547041, -112.0069456",Parking,,Parking,images/parking.png,,images/parking.png,2,PHX
-112.0012379,33.43541669,"33.43541669, -112.0012379",Parking,,Parking,images/parking.png,,images/parking.png,2,PHX
-112.0133293,33.43571215,"33.43571215, -112.0133293",Food and Beverages,,Food and Beverages,images/food-beverages.png,,images/food-beverages.png,2,PHX
-112.0135009,33.43607923,"33.43607923, -112.0135009",Restrooms,,Restrooms,images/restrooms.png,,images/restrooms.png,2,PHX
-112.013576,33.43575691,"33.43575691, -112.013576",USO Lounge,,Airline Club,images/airline-lounge.png,,images/airline-lounge.png,2,PHX
-112.0139408,33.43581063,"33.43581063, -112.0139408",Security Checkpoint,,Security Checkpoint,images/security-check.png,,images/security-check.png,2,PHX
-112.0126748,33.4361419,"33.4361419, -112.0126748",Baggage Claim,,Baggage Claim,images/baggage-claim.png,,images/baggage-claim.png,2,PHX
-112.0137799,33.43608818,"33.43608818, -112.0137799",Bank/ATM,,Bank/ATM,images/bank-atm.png,,images/bank-atm.png,2,PHX
-112.0141983,33.43635678,"33.43635678, -112.0141983",Taxis and Public Transportation,,Taxis and Public Transportation,images/taxi-publictrans.png,,images/taxi-publictrans.png,2,PHX
-84.43924427,33.6425091,"33.6425091, -84.43924427",Rental Cars ,,Rental Cars,images/car-rental.png,,images/car-rental.png,2,PHX
-112.0139515,33.43445868,"33.43445868, -112.0139515",Shopping,,Shopping,images/shopping.png,,images/shopping.png,2,PHX
-112.0135438,33.43502274,"33.43502274, -112.0135438",Food and Beverages,,Food and Beverages,images/food-beverages.png,,images/food-beverages.png,2,PHX
-112.0137155,33.434781,"33.434781, -112.0137155",Bank/ATM,,Bank/ATM,images/bank-atm.png,,images/bank-atm.png,2,PHX
-112.0137906,33.43391252,"33.43391252, -112.0137906",Restrooms,,Restrooms,images/restrooms.png,,images/restrooms.png,2,PHX
-112.0139301,33.43366183,"33.43366183, -112.0139301",United Airlines Red Carpet Club,,Airline Club,images/united.png,,images/airline-lounge.png,2,PHX
-112.0132649,33.43513018,"33.43513018, -112.0132649",1,,Gate,,,,2,PHX
-112.0140374,33.43522867,"33.43522867, -112.0140374",2,,Gate,,,,2,PHX
-112.0133078,33.43483472,"33.43483472, -112.0133078",3,,Gate,,,,2,PHX
-112.0140588,33.43496902,"33.43496902, -112.0140588",4,,Gate,,,,2,PHX
-112.0134902,33.43452135,"33.43452135, -112.0134902",5,,Gate,,,,2,PHX
-112.0142198,33.43468252,"33.43468252, -112.0142198",6,,Gate,,,,2,PHX
-112.0135438,33.4338588,"33.4338588, -112.0135438",7,,Gate,,,,2,PHX
