longitude,latitude,latlng,title,description,type,image,imageBelow,iconURL,terminal,airportCode
121.7985535,31.15273583,"31.15273583, 121.7985535",Food and Beverages,,Food and Beverages,images/food-beverages.png,,images/food-beverages.png,1,PVG
121.7957854,31.15534338,"31.15534338, 121.7957854",Restrooms,,Restrooms,images/restrooms.png,,images/restrooms.png,1,PVG
121.7975879,31.15218493,"31.15218493, 121.7975879",Security Checkpoint,,Security Checkpoint,images/security-check.png,,images/security-check.png,1,PVG
121.8002272,31.15246038,"31.15246038, 121.8002272",Baggage Claim,,Baggage Claim,images/baggage-claim.png,,images/baggage-claim.png,1,PVG
121.801064,31.14838363,"31.14838363, 121.801064",Taxis and Public Transportation,,Taxis and Public Transportation,images/taxi-publictrans.png,,images/taxi-publictrans.png,1,PVG
121.8017936,31.15233183,"31.15233183, 121.8017936",Rail,,Rail,images/rail.png,,images/rail.png,1,PVG
121.7999697,31.15356217,"31.15356217, 121.7999697",Parking,,Parking,images/parking.png,,images/parking.png,1,PVG
121.7993689,31.14559224,"31.14559224, 121.7993689",Restrooms,,Restrooms,images/restrooms.png,,images/restrooms.png,1,PVG
121.7982745,31.15051384,"31.15051384, 121.7982745",Security Checkpoint,,Security Checkpoint,images/security-check.png,,images/security-check.png,1,PVG
121.7988968,31.15134021,"31.15134021, 121.7988968",Restrooms,,Restrooms,images/restrooms.png,,images/restrooms.png,1,PVG
121.7979527,31.14909983,"31.14909983, 121.7979527",JAL Airpost & Sakura Lounge,,Airline Club,images/japanairline.png,,images/airline-lounge.png,1,PVG
121.7995191,31.15174421,"31.15174421, 121.7995191",Hotel,,Hotel,images/hotel.png,,images/hotel.png,1,PVG
121.799047,31.14864073,"31.14864073, 121.799047",1,,Gate,,,,1,PVG
121.7993045,31.14794289,"31.14794289, 121.7993045",2,,Gate,,,,1,PVG
121.799562,31.14728177,"31.14728177, 121.799562",3,,Gate,,,,1,PVG
121.7998195,31.14663902,"31.14663902, 121.7998195",4,,Gate,,,,1,PVG
121.8000984,31.14594117,"31.14594117, 121.8000984",5,,Gate,,,,1,PVG
121.7982745,31.1456657,"31.1456657, 121.7982745",6,,Gate,,,,1,PVG
121.7979741,31.14643701,"31.14643701, 121.7979741",7,,Gate,,,,1,PVG
121.7976737,31.1470614,"31.1470614, 121.7976737",8,,Gate,,,,1,PVG
121.7974377,31.14744705,"31.14744705, 121.7974377",9,,Gate,,,,1,PVG
121.7971587,31.14814489,"31.14814489, 121.7971587",10,,Gate,,,,1,PVG
121.7969012,31.14891619,"31.14891619, 121.7969012",11,,Gate,,,,1,PVG
121.7964935,31.14977929,"31.14977929, 121.7964935",12,,Gate,,,,1,PVG
121.7963219,31.15045875,"31.15045875, 121.7963219",13,,Gate,,,,1,PVG
121.7960215,31.15117494,"31.15117494, 121.7960215",14,,Gate,,,,1,PVG
121.7959142,31.15172584,"31.15172584, 121.7959142",15,,Gate,,,,1,PVG
121.7956567,31.15240529,"31.15240529, 121.7956567",16,,Gate,,,,1,PVG
121.7953563,31.15326836,"31.15326836, 121.7953563",17,,Gate,,,,1,PVG
121.7951202,31.15381926,"31.15381926, 121.7951202",18,,Gate,,,,1,PVG
121.7948842,31.15438851,"31.15438851, 121.7948842",19,,Gate,,,,1,PVG
121.7946911,31.15492103,"31.15492103, 121.7946911",20,,Gate,,,,1,PVG
121.7945409,31.15534338,"31.15534338, 121.7945409",21,,Gate,,,,1,PVG
121.7942834,31.15591262,"31.15591262, 121.7942834",22,,Gate,,,,1,PVG
121.7940474,31.15672058,"31.15672058, 121.7940474",23,,Gate,,,,1,PVG
121.7945623,31.1574918,"31.1574918, 121.7945623",24,,Gate,,,,1,PVG
121.7959571,31.15714291,"31.15714291, 121.7959571",25,,Gate,,,,1,PVG
121.7963648,31.15627988,"31.15627988, 121.7963648",26,,Gate,,,,1,PVG
121.7967081,31.15539847,"31.15539847, 121.7967081",27,,Gate,,,,1,PVG
121.7970085,31.15464559,"31.15464559, 121.7970085",28,,Gate,,,,1,PVG
121.7972875,31.1539478,"31.1539478, 121.7972875",29,,Gate,,,,1,PVG
121.8085527,31.14774088,"31.14774088, 121.8085527",Air China Lounge,,Airline Club,images/air-china.png,,images/airline-lounge.png,2,PVG
121.8072867,31.1509913,"31.1509913, 121.8072867",Emirates Lounge,,Airline Club,images/airline-lounge.png,,images/airline-lounge.png,2,PVG
121.8035746,31.15106475,"31.15106475, 121.8035746",Baggage Claim,,Baggage Claim,images/baggage-claim.png,,images/baggage-claim.png,2,PVG
121.8027163,31.15503121,"31.15503121, 121.8027163",Taxis and Public Transportation,,Taxis and Public Transportation,images/taxi-publictrans.png,,images/taxi-publictrans.png,2,PVG
121.8047762,31.15313982,"31.15313982, 121.8047762",Security Checkpoint,,Security Checkpoint,images/security-check.png,,images/security-check.png,2,PVG
121.8041325,31.15471904,"31.15471904, 121.8041325",Restrooms,,Restrooms,images/restrooms.png,,images/restrooms.png,2,PVG
121.8052912,31.15174421,"31.15174421, 121.8052912",Restrooms,,Restrooms,images/restrooms.png,,images/restrooms.png,2,PVG
121.805377,31.1560228,"31.1560228, 121.805377",Cathay Pacific Lounge,,Airline Club,images/cathay.png,,images/airline-lounge.png,2,PVG
121.8061066,31.15378253,"31.15378253, 121.8061066",Air China Lounge,,Airline Club,images/air-china.png,,images/airline-lounge.png,2,PVG
121.8029952,31.15894242,"31.15894242, 121.8029952",D58,,Gate,,,,2,PVG
121.8049693,31.15951164,"31.15951164, 121.8049693",D59,,Gate,,,,2,PVG
121.80336,31.15798758,"31.15798758, 121.80336",D60,,Gate,,,,2,PVG
121.8051839,31.15866698,"31.15866698, 121.8051839",D61,,Gate,,,,2,PVG
121.8037462,31.15706947,"31.15706947, 121.8037462",D62,,Gate,,,,2,PVG
121.8052483,31.1579325,"31.1579325, 121.8052483",D63,,Gate,,,,2,PVG
121.8042397,31.15598607,"31.15598607, 121.8042397",D64,,Gate,,,,2,PVG
121.8057418,31.15697765,"31.15697765, 121.8057418",D65,,Gate,,,,2,PVG
121.8061709,31.15598607,"31.15598607, 121.8061709",D67,,Gate,,,,2,PVG
121.8063855,31.1552332,"31.1552332, 121.8063855",D69,,Gate,,,,2,PVG
121.8067074,31.1544436,"31.1544436, 121.8067074",D71,,Gate,,,,2,PVG
121.8069863,31.15358054,"31.15358054, 121.8069863",D73,,Gate,,,,2,PVG
121.8075657,31.15205638,"31.15205638, 121.8075657",D75,,Gate,,,,2,PVG
121.8078446,31.1513953,"31.1513953, 121.8078446",D77,,Gate,,,,2,PVG
121.8081236,31.15062403,"31.15062403, 121.8081236",D79,,Gate,,,,2,PVG
121.8063426,31.15060566,"31.15060566, 121.8063426",D80,,Gate,,,,2,PVG
121.8083167,31.14999966,"31.14999966, 121.8083167",D81,,Gate,,,,2,PVG
121.8066216,31.1499262,"31.1499262, 121.8066216",D82,,Gate,,,,2,PVG
121.8085957,31.14922837,"31.14922837, 121.8085957",D83,,Gate,,,,2,PVG
121.8067932,31.14922837,"31.14922837, 121.8067932",D84,,Gate,,,,2,PVG
121.808939,31.14856727,"31.14856727, 121.808939",D85,,Gate,,,,2,PVG
121.8070078,31.14865909,"31.14865909, 121.8070078",D86,,Gate,,,,2,PVG
121.8091643,31.14815408,"31.14815408, 121.8091643",D87,,Gate,,,,2,PVG
121.8070507,31.1478327,"31.1478327, 121.8070507",D88,,Gate,,,,2,PVG
121.8093574,31.14768579,"31.14768579, 121.8093574",D89,,Gate,,,,2,PVG
121.8073511,31.14722668,"31.14722668, 121.8073511",D90,,Gate,,,,2,PVG
