longitude,latitude,latlng,title,description,type,image,imageBelow,iconURL,terminal,airportCode
-122.3038387,47.44643284,"47.44643284, -122.3038387",Rail,,Rail,images/rail.png,,images/rail.png,central,SEA
-122.2969508,47.44524289,"47.44524289, -122.2969508",Rail,,Rail,images/rail.png,,images/rail.png,central,SEA
-122.3019505,47.44357402,"47.44357402, -122.3019505",Rail,,Rail,images/rail.png,,images/rail.png,central,SEA
-122.3038602,47.44081664,"47.44081664, -122.3038602",Rail,,Rail,images/rail.png,,images/rail.png,central,SEA
-122.299912,47.44357402,"47.44357402, -122.299912",Parking,,Parking,images/parking.png,,images/parking.png,central,SEA
-122.3002553,47.44498168,"47.44498168, -122.3002553",Taxis and Public Transportation,,Taxis and Public Transportation,images/taxi-publictrans.png,,images/taxi-publictrans.png,central,SEA
-122.301296,47.44482205,"47.44482205, -122.301296",Security Checkpoint,,Security Checkpoint,images/security-check.png,,images/security-check.png,central,SEA
-122.3025835,47.44363933,"47.44363933, -122.3025835",Security Checkpoint,,Security Checkpoint,images/security-check.png,,images/security-check.png,central,SEA
-122.2996974,47.44104884,"47.44104884, -122.2996974",Security Checkpoint,,Security Checkpoint,images/security-check.png,,images/security-check.png,central,SEA
-122.3018432,47.4433128,"47.4433128, -122.3018432",Baggage Claim,,Baggage Claim,images/baggage-claim.png,,images/baggage-claim.png,central,SEA
-122.3030019,47.44386426,"47.44386426, -122.3030019",Food and Beverages,,Food and Beverages,images/food-beverages.png,,images/food-beverages.png,central,SEA
-122.3030019,47.4431967,"47.4431967, -122.3030019",Shopping,,Shopping,images/shopping.png,,images/shopping.png,central,SEA
-122.3017573,47.44421255,"47.44421255, -122.3017573",Restrooms,,Restrooms,images/restrooms.png,,images/restrooms.png,central,SEA
-122.3014355,47.44277585,"47.44277585, -122.3014355",Restrooms,,Restrooms,images/restrooms.png,,images/restrooms.png,central,SEA
-122.2975945,47.43878479,"47.43878479, -122.2975945",Restrooms,,Restrooms,images/restrooms.png,,images/restrooms.png,A,SEA
