longitude,latitude,latlng,title,description,type,image,imageBelow,iconURL,terminal,airportCode
-122.3885643,37.61384047,"37.613840473301, -122.38856434822",Air France-KLM Lounge,"SkyTeam alliance. Proceed through Security Checkpoint A and turn left. International Terminal, Boarding Area A, Level 3, Post-Security",Airline Club,images/airfrance-klm.png,,images/airline-lounge.png,Intl,SFO
-122.3829317,37.61739712,"37.6173971210378, -122.382931709289",American Airlines Adminals Club,"Oneworld alliance. Terminal 2, Boarding Area D. Proceed through the security checkpoint and turn left. ",Airline Club,images/american-airlines.png,,images/airline-lounge.png,2,SFO
-122.3880279,37.61779654,"37.6177965427745, -122.388027906417",American Express-Centurion Lounge,"The Centurion Lounge is exclusively for American Express Card Members. Terminal 3, Boarding Area F near Gate 74, Level 2, Post-Security",Airline Club,images/airline-lounge.png,,images/airline-lounge.png,3,SFO
-122.3895514,37.6129141,"37.6129141022388, -122.389551401138",British Airways Terraces Lounge,"Oneworld alliance. International Terminal, Boarding Area A near Gates A4 and A6, Post-Security",Airline Club,images/british-airways.png,,images/airline-lounge.png,3,SFO
-122.3885751,37.61381498,"37.6138149770042, -122.388575077056",Cathay Pacific First & Business Class Lounge,"Oneworld alliance. Proceed through the security checkpoint and turn left. Take the elevator to Level 4 and follow the signage.
Alaska Airlines Board Room members have complimentary access to the Cathay Pacific Lounge. 
International Terminal, Boarding Area A, Level 4.",Airline Club,images/cathay.png,,images/airline-lounge.png,Intl,SFO
-122.3888004,37.61353452,"37.6135345171622, -122.388800382614",China Airlines Dynasty Lounge,"SkyTeam alliance. Proceed through the security checkpoint and turn left. Take the elevator to Level 4 and follow the signage. 
International Terminal, Boarding Area A, Level 4, Post-Security ",Airline Club,images/china-airlines.png,,images/airline-lounge.png,Intl,SFO
-122.3833394,37.61525975,"37.6152597533692, -122.383339405059",Delta Sky Club,"SkyTeam alliance. Terminal 1, Boarding Area C, near Gate 41, Level 2, Post-Security.",Airline Club,images/delta.png,,images/airline-lounge.png,1,SFO
-122.3890686,37.61316907,"37.6131690679023, -122.389068603515",Emirates Lounge,"International Terminal, Boarding Area A near Gates A3 and A5, Level 3, Post-Security ",Airline Club,images/airline-lounge.png,,images/airline-lounge.png,Intl,SFO
-122.3892725,37.61699345,"37.6169934479536, -122.3892724514",EVA AIR Evergreen Lounge,"Star alliance. Proceed through the security checkpoint and turn right. 
International Terminal, Boarding Area G, Level 3, Post-Security ",Airline Club,images/airline-lounge.png,,images/airline-lounge.png,Intl,SFO
-122.3885107,37.61406994,"37.6140699395789, -122.38851070404",Japan Airlines Sakura Lounge,"Oneworld alliance. Proceed through the security checkpoint and turn left. Take the elevator to Level 4 and follow the signage. 
International Terminal, Boarding Area A, Level 4.",Airline Club,images/japanairline.png,,images/airline-lounge.png,Intl,SFO
-122.3885214,37.61395733,"37.6139573312162, -122.388521432876",Philippine Airlines Mabuhay Lounge,"Proceed through the security checkpoint and turn left. Take the elevator to Level 4 and follow the signage. 
International Terminal, Boarding Area A, Level 4, Post-Security ",Airline Club,images/airline-lounge.png,,images/airline-lounge.png,Intl,SFO
-122.3892966,37.61709118,"37.6170911795329, -122.389296591281",Singapore Airlines Silver Kris Lounge,"Star alliance. Proceed through the security checkpoint. Turn right and follow the signage. 
International Terminal, Boarding Area G, Level 3, Post-Security ",Airline Club,images/singapore.png,,images/airline-lounge.png,Intl,SFO
