longitude,latitude,latlng,title,description,type,image,imageBelow,iconURL,terminal,airportCode
103.9888895,1.35374585,"1.35374585, 103.9888895",Ambassador Transit Lounge,,Airline Club,images/airline-lounge.png,,images/airline-lounge.png,2,SIN
103.9898443,1.36262683,"1.36262683, 103.9898443",British Airways Lounge,,Airline Club,images/british-airways.png,,images/airline-lounge.png,1,SIN
103.9851987,1.3543894,"1.3543894, 103.9851987","Dnata, SATS Premier, Ambassador Lounges",,Airline Club,images/airline-lounge.png,,images/airline-lounge.png,3,SIN
103.9903271,1.362326508,"1.362326508, 103.9903271","Qantas, Thai Airways, SATS, Cathay Pacific Lounges",,Airline Club,images/qantas-thai-cathay.png,,images/airline-lounge.png,1,SIN
103.9903057,1.356416583,"1.356416583, 103.9903057",SATS Premier Lounge,,Airline Club,images/airline-lounge.png,,images/airline-lounge.png,2,SIN
103.9897585,1.35670618,"1.35670618, 103.9897585",Singapore Airlines Lounge,,Airline Club,images/singapore.png,,images/airline-lounge.png,2,SIN
103.9852738,1.354089077,"1.354089077, 103.9852738",Singapore Airlines Lounge,,Airline Club,images/singapore.png,,images/airline-lounge.png,3,SIN
103.9900643,1.362524935,"1.362524935, 103.9900643","Singapore Airlines, Emirates Lounges",,Airline Club,images/singapore.png,,images/airline-lounge.png,1,SIN
103.9912713,1.362004734,"1.362004734, 103.9912713",Skyview Lounge,,Airline Club,images/airline-lounge.png,,images/airline-lounge.png,1,SIN
103.989222,1.361725863,"1.361725863, 103.989222",Baggage Claim,,Baggage Claim,images/baggage-claim.png,,images/baggage-claim.png,1,SIN
103.9908957,1.360985782,"1.360985782, 103.9908957",Baggage Claim,,Baggage Claim,images/baggage-claim.png,,images/baggage-claim.png,1,SIN
103.9885032,1.35547271,"1.35547271, 103.9885032",Baggage Claim,,Baggage Claim,images/baggage-claim.png,,images/baggage-claim.png,2,SIN
103.9876235,1.356856342,"1.356856342, 103.9876235",Baggage Claim,,Baggage Claim,images/baggage-claim.png,,images/baggage-claim.png,3,SIN
103.9868617,1.355118757,"1.355118757, 103.9868617",Baggage Claim,,Baggage Claim,images/baggage-claim.png,,images/baggage-claim.png,3,SIN
103.991046,1.361672234,"1.361672234, 103.991046",Food and Beverages,,Food and Beverages,images/food-beverages.png,,images/food-beverages.png,1,SIN
103.9898229,1.361597153,"1.361597153, 103.9898229",Food and Beverages,,Food and Beverages,images/food-beverages.png,,images/food-beverages.png,1,SIN
103.9904881,1.361318282,"1.361318282, 103.9904881",Food and Beverages,,Food and Beverages,images/food-beverages.png,,images/food-beverages.png,1,SIN
103.9898443,1.355526339,"1.355526339, 103.9898443",Food and Beverages,,Food and Beverages,images/food-beverages.png,,images/food-beverages.png,2,SIN
103.9890075,1.355794485,"1.355794485, 103.9890075",Food and Beverages,,Food and Beverages,images/food-beverages.png,,images/food-beverages.png,2,SIN
103.9886534,1.354904241,"1.354904241, 103.9886534",Food and Beverages,,Food and Beverages,images/food-beverages.png,,images/food-beverages.png,2,SIN
103.986969,1.356513115,"1.356513115, 103.986969",Food and Beverages,,Food and Beverages,images/food-beverages.png,,images/food-beverages.png,3,SIN
103.9861,1.357038681,"1.357038681, 103.9861",Food and Beverages,,Food and Beverages,images/food-beverages.png,,images/food-beverages.png,3,SIN
103.9848983,1.355494161,"1.355494161, 103.9848983",A1,,Gate,,,,3,SIN
103.9841795,1.353091574,"1.353091574, 103.9841795",A10,,Gate,,,,3,SIN
103.9839864,1.352619636,"1.352619636, 103.9839864",A11,,Gate,,,,3,SIN
103.9837289,1.352018989,"1.352018989, 103.9837289",A12,,Gate,,,,3,SIN
103.9834177,1.351311083,"1.351311083, 103.9834177",A13,,Gate,,,,3,SIN
103.9832032,1.350581725,"1.350581725, 103.9832032",A14,,Gate,,,,3,SIN
103.9826453,1.350184868,"1.350184868, 103.9826453",A15,,Gate,,,,3,SIN
103.9821625,1.350007891,"1.350007891, 103.9821625",A16,,Gate,,,,3,SIN
103.9819264,1.349562768,"1.349562768, 103.9819264",A17,,Gate,,,,3,SIN
103.9818406,1.349080104,"1.349080104, 103.9818406",A18,,Gate,,,,3,SIN
103.9825433,1.349058653,"1.349058653, 103.9825433",A19,,Gate,,,,3,SIN
103.9845765,1.355644323,"1.355644323, 103.9845765",A2,,Gate,,,,3,SIN
103.9831066,1.349198089,"1.349198089, 103.9831066",A20,,Gate,,,,3,SIN
103.9836055,1.349407243,"1.349407243, 103.9836055",A21,,Gate,,,,3,SIN
103.9842653,1.355526339,"1.355526339, 103.9842653",A3,,Gate,,,,3,SIN
103.9841688,1.355070491,"1.355070491, 103.9841688",A4,,Gate,,,,3,SIN
103.9844638,1.354695087,"1.354695087, 103.9844638",A5,,Gate,,,,3,SIN
103.9845872,1.354239239,"1.354239239, 103.9845872",A6,,Gate,,,,3,SIN
103.9844799,1.353971093,"1.353971093, 103.9844799",A7,,Gate,,,,3,SIN
103.9843833,1.353670769,"1.353670769, 103.9843833",A8,,Gate,,,,3,SIN
103.9843726,1.353370445,"1.353370445, 103.9843726",A9,,Gate,,,,3,SIN
103.9857191,1.357869932,"1.357869932, 103.9857191",B1,,Gate,,,,3,SIN
103.9882833,1.362476669,"1.362476669, 103.9882833",B10,,Gate,,,,3,SIN
103.9853382,1.358105901,"1.358105901, 103.9853382",B2,,Gate,,,,3,SIN
103.9856333,1.358642192,"1.358642192, 103.9856333",B3,,Gate,,,,3,SIN
103.986057,1.358717272,"1.358717272, 103.986057",B4,,Gate,,,,3,SIN
103.9867383,1.358862071,"1.358862071, 103.9867383",B5,,Gate,,,,3,SIN
103.9872158,1.359918564,"1.359918564, 103.9872158",B6,,Gate,,,,3,SIN
103.987484,1.360615742,"1.360615742, 103.987484",B7,,Gate,,,,3,SIN
103.9877629,1.361211024,"1.361211024, 103.9877629",B8,,Gate,,,,3,SIN
103.9880043,1.361827758,"1.361827758, 103.9880043",B9,,Gate,,,,3,SIN
103.9885837,1.363071951,"1.363071951, 103.9885837",C1,,Gate,,,,1,SIN
103.9895922,1.363168483,"1.363168483, 103.9895922",C11,,Gate,,,,1,SIN
103.9898443,1.363731588,"1.363731588, 103.9898443",C13,,Gate,,,,1,SIN
103.9900964,1.364353684,"1.364353684, 103.9900964",C15,,Gate,,,,1,SIN
103.9902252,1.364696909,"1.364696909, 103.9902252",C16,,Gate,,,,1,SIN
103.9902896,1.36521711,"1.36521711, 103.9902896",C17,,Gate,,,,1,SIN
103.9902198,1.365758763,"1.365758763, 103.9902198",C18,,Gate,,,,1,SIN
103.9901125,1.366418398,"1.366418398, 103.9901125",C19,,Gate,,,,1,SIN
103.9889377,1.363753039,"1.363753039, 103.9889377",C20,,Gate,,,,1,SIN
103.9891952,1.364391224,"1.364391224, 103.9891952",C22,,Gate,,,,1,SIN
103.9893669,1.365061586,"1.365061586, 103.9893669",C23,,Gate,,,,1,SIN
103.9892489,1.365978641,"1.365978641, 103.9892489",C24,,Gate,,,,1,SIN
103.9891738,1.366649003,"1.366649003, 103.9891738",C25,,Gate,,,,1,SIN
103.9894795,1.36692251,"1.36692251, 103.9894795",C26,,Gate,,,,1,SIN
103.9919901,1.362455218,"1.362455218, 103.9919901",D30,,Gate,,,,1,SIN
103.9922047,1.363093403,"1.363093403, 103.9922047",D32,,Gate,,,,1,SIN
103.992489,1.363704773,"1.363704773, 103.992489",D34,,Gate,,,,1,SIN
