longitude,latitude,latlng,title,description,type,image,imageBelow,iconURL,terminal,airportCode
103.9888895,1.35374585,"1.35374585, 103.9888895",Ambassador Transit Lounge,"Ambassador Transit Lounge is located at the Departure Transit Lounge (near F gates), Level 3, Transit Area, open 24 hours. For more information, please call (65) 6543 8138.",Airline Club,images/airline-lounge.png,,images/airline-lounge.png,2,SIN
103.9898443,1.36262683,"1.36262683, 103.9898443",British Airways Lounge,"British Airways Lounge is located at the Departure Transit Lounge, Level 3. British Airways First and Club World, BA Executive Club Gold and Silver members and eligible members of Oneworld partners. Operating Hours: 3.00pm - 11.00pm daily.",Airline Club,images/british-airways.png,,images/airline-lounge.png,1,SIN
103.9851987,1.3543894,"1.3543894, 103.9851987","Dnata, SATS Premier, Ambassador Lounges","Dnata Lounge is located at the Departure Transit Lounge, Level 3, open 24 hours. Garuda Indonesia Business Class Passenger and Economy Passenger holding Platinum Frequent Flyer. Qatar Airways Business Class Passenger and Economy Passenger holding Gold and Silver card. SriLankan Airlines Business Class Passenger and Economy Passenger holding Gold Frequent Flyer. Veloce Logistics.",Airline Club,images/dnata-logo.png,,images/airline-lounge.png,3,SIN
103.9851987,1.3543894,"1.3543894, 103.9851987",Ambassador Transit Lounge,"Ambassador Transit Lounge is located at the Departure Transit Lounge, Level 3, Transit Area, open 24 hours. For more information, please call (65) 6543 8138.",featured,images/airline-lounge.png,images/T3Lounge_1.png,images/airline-lounge.png,3,SIN
103.9903271,1.362326508,"1.362326508, 103.9903271","Qantas, Thai Airways, SATS, Cathay Pacific Lounges",,Airline Club,images/qantas-thai-cathay.png,,images/airline-lounge.png,1,SIN
103.9903271,1.362326508,"1.362326508, 103.9903271",Thai Airways Royal Orchid Lounge,"Thai Airways Royal Orchid Lounge is located at the Departure Transit Lounge, Level 3. Access for Thai Airways (Business Class & ROP Platinum & Gold Card Members), Star Alliance Gold Card Members (Holding Star Alliance carriers' same day boarding pass only), BKK Elite Card Holders. Operating hours: 5.30am - 7.45am, 10.15am - 8.30pm (subject to fit schedule changes).",Airline Club,images/qantas-thai-cathay.png,,images/airline-lounge.png,1,SIN
103.9903271,1.362326508,"1.362326508, 103.9903271",SATS Premier Lounge,"SATS Premier Lounge is located at the Departure Transit Lounge, Level 3, open 24 hours. Access for Air China, Air Niugini, China Southern Airlines, Japan Airlines, Lion Air, Myanmar Airways, Philippines Airlines (Business Class/ Gold Card Members), Turkish Airlines, Xiamen Airlines, Biman Bangladesh International, Uzbekistan Airways, Shenzhen Airlines, Regent Airways passengers.",Airline Club,images/airline-lounge.png,,images/airline-lounge.png,1,SIN
103.9903057,1.356416583,"1.356416583, 103.9903057",SATS Premier Lounge,"SATS Premier Lounge is located at the Departure Transit Lounge, Level 3, open 24 hours. Access for Air India (Business Class), Etihad Airways (Business Class / Gold Card Members), Korean Air (First Class, Business Class / Frequent Flyer card members), Lao Airlines, Malaysia Airlines (Business Class / Gold Card Members), Royal Brunei Airlines (Business Class / Gold Card Members).",Airline Club,images/airline-lounge.png,,images/airline-lounge.png,2,SIN
103.9897585,1.35670618,"1.35670618, 103.9897585",Singapore Airlines SilverKris Lounge,"SIA SilverKris Lounge is located at the Departure Transit Lounge, Level 3, open 24 hours. All Star Alliance (First Class / Business Class), SilkAir Business Class and Economy Class Passengers holding PPS Membership Card, Singapore Airlines First and Business Class, and Economy Class Passengers holding PPS Membership Card. ",featured,images/singapore.png,images/SINLounge_1.png,images/airline-lounge.png,2,SIN
103.9852738,1.354089077,"1.354089077, 103.9852738",Singapore Airlines SilverKris Lounge,"SIA SilverKris Lounge is located at the Departure Transit Lounge, Level 3, open 24 hours. All Star Alliance (First Class / Business Class), SilkAir Business Class and Economy Class Passengers holding PPS Membership Card, Singapore Airlines First and Business Class, and Economy Class Passengers holding PPS Membership Card. ",featured,images/singapore.png,images/SINLounge_1.png,images/airline-lounge.png,3,SIN
103.9852738,1.354089077,"1.354089077, 103.9852738",Singapore Airlines KrisFlyer Gold Lounge,"KrisFlyer Gold Lounge is located at the Departure Transit Lounge, Level 3, open 24 hours. For KrisFlyer Elite Gold Members and Star Alliance Gold Members departing on SIA or Star Alliance flights. Virgin Atlantic Flying Club Gold Card holders travelling on Singapore Airlines.",featured,images/singapore.png,images/SINLounge_1.png,images/airline-lounge.png,3,SIN
