latitude,longitude,latlng,title,description,type,image,imageBelow,iconURL,terminal,airportCode
33.67930053,-117.8612852,"33.67930053, -117.8612852",Accessibility,"The white curb areas are ADA accessible on both the Departure (upper) and Arrival (lower) Levels. Please do not leave your car unattended at the curbside.<br><br>Extra wide accessible parking spaces are conveniently located in all parking facilities at the Airport. Please note that at this time, Terminal parking is accessible from the Departure (upper) Level only. <br><br>All restrooms are wheelchair accessible.<br><br><a href=""http://www.ocair.com/terminal/adaservices.aspx"" target=_blank>More information about accessibility</a>",Accessibility,images/accessibility.png,,images/accessibility.png,,SNA
33.67851039,-117.8617358,"33.67851039, -117.8617358",Accessibility,"The white curb areas are ADA accessible on both the Departure (upper) and Arrival (lower) Levels. Please do not leave your car unattended at the curbside.<br><br>Extra wide accessible parking spaces are conveniently located in all parking facilities at the Airport. Please note that at this time, Terminal parking is accessible from the Departure (upper) Level only. <br><br>All restrooms are wheelchair accessible.<br><br><a href=""http://www.ocair.com/terminal/adaservices.aspx"" target=_blank>More information about accessibility</a>",Accessibility,images/accessibility.png,,images/accessibility.png,,SNA
33.67688992,-117.8626746,"33.67688992, -117.8626746",Accessibility,"The white curb areas are ADA accessible on both the Departure (upper) and Arrival (lower) Levels. Please do not leave your car unattended at the curbside.<br><br>Extra wide accessible parking spaces are conveniently located in all parking facilities at the Airport. Please note that at this time, Terminal parking is accessible from the Departure (upper) Level only. <br><br>All restrooms are wheelchair accessible.<br><br><a href=""http://www.ocair.com/terminal/adaservices.aspx"" target=_blank>More information about accessibility</a>",Accessibility,images/accessibility.png,,images/accessibility.png,,SNA
33.67958399,-117.8615266,"33.67958399, -117.8615266",American Airlines Admiral's Club,,Airline Club,images/american-airlines.png,,images/airline-lounge.png,A,SNA
33.67930946,-117.8616768,"33.67930946, -117.8616768",United Club,,Airline Club,images/united.png,,images/airline-lounge.png,B,SNA
33.67894341,-117.861717,"33.67894341, -117.861717",USO Lounge,,Airline Club,images/airline-lounge.png,,images/airline-lounge.png,,SNA
33.67909518,-117.8616285,"33.67909518, -117.8616285",Baggage Claim,,Baggage Claim,images/baggage-claim.png,,images/baggage-claim.png,,SNA
33.67959515,-117.8613549,"33.67959515, -117.8613549",Baggage Claim,,Baggage Claim,images/baggage-claim.png,,images/baggage-claim.png,,SNA
33.67660422,-117.8635168,"33.67660422, -117.8635168",Bank/ATM,,Bank/ATM,images/bank-atm.png,,images/bank-atm.png,,SNA
33.67916661,-117.8618297,"33.67916661, -117.8618297",Bank/ATM,,Bank/ATM,images/bank-atm.png,,images/bank-atm.png,,SNA
33.67990317,-117.8614005,"33.67990317, -117.8614005",Bank/ATM,,Bank/ATM,images/bank-atm.png,,images/bank-atm.png,,SNA
33.67869342,-117.8617358,"33.67869342, -117.8617358",Food and Beverages,,Food and Beverages,images/food-beverages.png,,images/food-beverages.png,B,SNA
33.67572924,-117.8642035,"33.67572924, -117.8642035",Food and Beverages,,Food and Beverages,images/food-beverages.png,,images/food-beverages.png,C,SNA
33.67621137,-117.8638279,"33.67621137, -117.8638279",Food and Beverages,,Food and Beverages,images/food-beverages.png,,images/food-beverages.png,C,SNA
33.67672921,-117.8634739,"33.67672921, -117.8634739",Food and Beverages,,Food and Beverages,images/food-beverages.png,,images/food-beverages.png,C,SNA
33.67781846,-117.8625512,"33.67781846, -117.8625512",Food and Beverages,,Food and Beverages,images/food-beverages.png,,images/food-beverages.png,,SNA
33.67947686,-117.8615963,"33.67947686, -117.8615963",Food and Beverages,,Food and Beverages,images/food-beverages.png,,images/food-beverages.png,,SNA
33.68075802,-117.8609499,"33.68075802, -117.8609499",Food and Beverages,,Food and Beverages,images/food-beverages.png,,images/food-beverages.png,,SNA
33.68194319,-117.8603947,"33.68194319, -117.8603947",1A-C,,Gate,,,,A,SNA
33.68164921,-117.8605909,"33.68164921, -117.8605909",2,,Gate,,,,A,SNA
33.68135523,-117.8607871,"33.68135523, -117.8607871",3,,Gate,,,,A,SNA
33.68106124,-117.8609833,"33.68106124, -117.8609833",4,,Gate,,,,A,SNA
33.68076726,-117.8611795,"33.68076726, -117.8611795",5,,Gate,,,,A,SNA
33.68047328,-117.8613756,"33.68047328, -117.8613756",6,,Gate,,,,A,SNA
33.6801793,-117.8615718,"33.6801793, -117.8615718",7,,Gate,,,,A,SNA
33.67988532,-117.861768,"33.67988532, -117.861768",8,,Gate,,,,A,SNA
33.67936972,-117.8621274,"33.67936972, -117.8621274",9,,Gate,,,,B,SNA
33.67900757,-117.8623585,"33.67900757, -117.8623585",10,,Gate,,,,B,SNA
33.67864542,-117.8625897,"33.67864542, -117.8625897",11,,Gate,,,,B,SNA
33.67828326,-117.8628208,"33.67828326, -117.8628208",12,,Gate,,,,B,SNA
33.67792111,-117.8630519,"33.67792111, -117.8630519",13,,Gate,,,,B,SNA
33.67755896,-117.863283,"33.67755896, -117.863283",14,,Gate,,,,B,SNA
33.67719681,-117.8635141,"33.67719681, -117.8635141",15,,Gate,,,,C,SNA
33.67683465,-117.8637452,"33.67683465, -117.8637452",16,,Gate,,,,C,SNA
33.6764725,-117.8639764,"33.6764725, -117.8639764",17,,Gate,,,,C,SNA
33.67611035,-117.8642075,"33.67611035, -117.8642075",18,,Gate,,,,C,SNA
33.67574819,-117.8644386,"33.67574819, -117.8644386",19,,Gate,,,,C,SNA
33.67538604,-117.8646697,"33.67538604, -117.8646697",20,,Gate,,,,C,SNA
33.67502389,-117.8649008,"33.67502389, -117.8649008",21,,Gate,,,,C,SNA
33.67483639,-117.8648794,"33.67483639, -117.8648794",22A-C,,Gate,,,,C,SNA
