longitude,latitude,latlng,title,description,type,image,imageBelow,iconURL,terminal,airportCode
113.808167,22.62854912,"22.62854912, 113.808167",Food and Beverages,,Food and Beverages,images/food-beverages.png,,images/food-beverages.png,1,SZX
113.8069439,22.62870757,"22.62870757, 113.8069439",Airline Lounge,,Airline Club,images/airline-lounge.png,,images/airline-lounge.png,1,SZX
113.8091326,22.62823223,"22.62823223, 113.8091326",Baggage Claim,,Baggage Claim,images/baggage-claim.png,,images/baggage-claim.png,1,SZX
113.8075447,22.62740038,"22.62740038, 113.8075447",Baggage Claim,,Baggage Claim,images/baggage-claim.png,,images/baggage-claim.png,1,SZX
113.8067508,22.63050989,"22.63050989, 113.8067508",Restrooms,,Restrooms,images/restrooms.png,,images/restrooms.png,1,SZX
113.8073301,22.6281332,"22.6281332, 113.8073301",Shopping,,Shopping,images/shopping.png,,images/shopping.png,1,SZX
113.807416,22.6291433,"22.6291433, 113.807416",Security Checkpoint,,Security Checkpoint,images/security-check.png,,images/security-check.png,1,SZX
113.8082957,22.62924233,"22.62924233, 113.8082957",Airline Lounge,,Airline Club,images/airline-lounge.png,,images/airline-lounge.png,1,SZX
113.8064289,22.63124269,"22.63124269, 113.8064289",Food and Beverages,,Food and Beverages,images/food-beverages.png,,images/food-beverages.png,1,SZX
113.8059998,22.63193588,"22.63193588, 113.8059998",Shopping,,Shopping,images/shopping.png,,images/shopping.png,1,SZX
113.8055277,22.63251023,"22.63251023, 113.8055277",Restrooms,,Restrooms,images/restrooms.png,,images/restrooms.png,1,SZX
113.804605,22.63245082,"22.63245082, 113.804605",Airline Lounge,,Airline Club,images/airline-lounge.png,,images/airline-lounge.png,1,SZX
113.8033175,22.63195568,"22.63195568, 113.8033175",Restrooms,,Restrooms,images/restrooms.png,,images/restrooms.png,1,SZX
113.8048196,22.63381737,"22.63381737, 113.8048196",Food and Beverages,,Food and Beverages,images/food-beverages.png,,images/food-beverages.png,1,SZX
113.8044119,22.63458977,"22.63458977, 113.8044119",Restrooms,,Restrooms,images/restrooms.png,,images/restrooms.png,1,SZX
