longitude,latitude,latlng,title,description,type,image,imageBelow,iconURL,terminal,airportCode
13.29201937,52.55420258,"52.55420258, 13.29201937",Lufthansa Lounge,Main hall 2nd floor,Airline Club,images/lufthansa.png,,images/airline-lounge.png,A,TXL
13.29135418,52.55374595,"52.55374595, 13.29135418",Berlin Airport Club Lounge,"Terminal A, Landside",Airline Club,images/airline-lounge.png,,images/airline-lounge.png,A,TXL
13.29120398,52.55409821,"52.55409821, 13.29120398",Air France Lounge,"Termainal A, Landside, level 3",Airline Club,images/air-france.png,,images/airline-lounge.png,A,TXL
13.29257727,52.55398079,"52.55398079, 13.29257727",Taxis and Public Transportation,"Tegel Airport is very well integrated in Berlin's local transport network thanks to various buses and express buses operated by BVG (Berlin Transport Services). The airport is in Zone B. Bus stops are located right outside Terminal A and B.<br><a href=""http://www.berlin-airport.de/en/travellers-txl/to-and-from/buses-and-trains/local-public-transport/index.php"" target=""_blank"">More information</a> ",Taxis and Public Transportation,images/taxi-publictrans.png,,images/taxi-publictrans.png,B,TXL
13.29222858,52.55358287,"52.55358287, 13.29222858",Taxis and Public Transportation,"Tegel Airport is very well integrated in Berlin's local transport network thanks to various buses and express buses operated by BVG (Berlin Transport Services). The airport is in Zone B. Bus stops are located right outside Terminal A and B.<br><a href=""http://www.berlin-airport.de/en/travellers-txl/to-and-from/buses-and-trains/local-public-transport/index.php"" target=""_blank"">More information</a> ",Taxis and Public Transportation,images/taxi-publictrans.png,,images/taxi-publictrans.png,A,TXL
13.29264164,52.55431348,"52.55431348, 13.29264164",Medical Services,,Medical Services,images/medical-services.png,,images/medical-services.png,B,TXL
13.29233587,52.55430043,"52.55430043, 13.29233587",Shopping,,Shopping,images/shopping.png,,images/shopping.png,B,TXL
13.29256117,52.55456136,"52.55456136, 13.29256117",Food and Beverages,,Food and Beverages,images/food-beverages.png,,images/food-beverages.png,B,TXL
13.29234123,52.55454832,"52.55454832, 13.29234123",Shopping,,Shopping,images/shopping.png,,images/shopping.png,B,TXL
13.29189062,52.55401993,"52.55401993, 13.29189062",Food and Beverages,,Food and Beverages,images/food-beverages.png,,images/food-beverages.png,A,TXL
13.29179943,52.55373617,"52.55373617, 13.29179943",Shopping,,Shopping,images/shopping.png,,images/shopping.png,A,TXL
13.29167068,52.55418954,"52.55418954, 13.29167068",Shopping,,Shopping,images/shopping.png,,images/shopping.png,A,TXL
13.29105377,52.55387316,"52.55387316, 13.29105377",Shopping,,Shopping,images/shopping.png,,images/shopping.png,A,TXL
13.29119861,52.55356004,"52.55356004, 13.29119861",Restrooms,,Restrooms,images/restrooms.png,,images/restrooms.png,A,TXL
13.29066217,52.55355678,"52.55355678, 13.29066217",Food and Beverages,,Food and Beverages,images/food-beverages.png,,images/food-beverages.png,A,TXL
13.29019547,52.55349154,"52.55349154, 13.29019547",Shopping,,Shopping,images/shopping.png,,images/shopping.png,A,TXL
13.28910112,52.55390578,"52.55390578, 13.28910112",Shopping,,Shopping,images/shopping.png,,images/shopping.png,A,TXL
13.28936934,52.55389925,"52.55389925, 13.28936934",Food and Beverages,,Food and Beverages,images/food-beverages.png,,images/food-beverages.png,A,TXL
13.2890743,52.55443416,"52.55443416, 13.2890743",Accessibility,,Accessibility,images/accessibility.png,,images/accessibility.png,A,TXL
13.28963757,52.55456136,"52.55456136, 13.28963757",Taxis and Public Transportation,"The taxi ranks at Tegel Airport can be found in the inner ring of Terminal A at Gates 6-9 and outside Terminal C and E. During rush hour, service staff will be available at the taxi ranks outside the terminals. These will be recognisable by the 'Taxi Service' on their uniforms. Passengers requiring a special taxi, e.g. for the disabled or a maxi cab, can ask a local member of staff for assistance in requesting one from the rank.<br><a href=""http://www.berlin-airport.de/en/travellers-txl/to-and-from/taxis/index.php"" target=""_blank"">More information</a>",Taxis and Public Transportation,images/taxi-publictrans.png,,images/taxi-publictrans.png,A,TXL
13.28897774,52.55471792,"52.55471792, 13.28897774",Shopping,,Shopping,images/shopping.png,,images/shopping.png,A,TXL
13.28918695,52.55484512,"52.55484512, 13.28918695",Food and Beverages,,Food and Beverages,images/food-beverages.png,,images/food-beverages.png,A,TXL
13.29120398,52.55435914,"52.55435914, 13.29120398",Baggage Claim,,Baggage Claim,images/baggage-claim.png,,images/baggage-claim.png,A,TXL
