longitude,latitude,latlng,title,description,type,image,imageBelow,iconURL,terminal,airportCode
-79.61279154,43.68065997,"43.68065997, -79.61279154",Food and Beverages,,Food and Beverages,images/food-beverages.png,,images/food-beverages.png,1,YYZ
-79.61223364,43.68042719,"43.68042719, -79.61223364",Restrooms,,Restrooms,images/restrooms.png,,images/restrooms.png,1,YYZ
-79.61373568,43.68072204,"43.68072204, -79.61373568",Maple Leaf Lounge,,Airline Club,images/airline-lounge.png,,images/airline-lounge.png,1,YYZ
-79.6116972,43.68061341,"43.68061341, -79.6116972",Security Checkpoint,,Security Checkpoint,images/security-check.png,,images/security-check.png,1,YYZ
-79.61382151,43.68109447,"43.68109447, -79.61382151",Security Checkpoint,,Security Checkpoint,images/security-check.png,,images/security-check.png,1,YYZ
-79.61146116,43.6812031,"43.6812031, -79.61146116",Baggage Claim,,Baggage Claim,images/baggage-claim.png,,images/baggage-claim.png,1,YYZ
-79.61264133,43.68118758,"43.68118758, -79.61264133",Bank/ATM,,Bank/ATM,images/bank-atm.png,,images/bank-atm.png,1,YYZ
-79.61377859,43.68242901,"43.68242901, -79.61377859",Taxis and Public Transportation,,Taxis and Public Transportation,images/taxi-publictrans.png,,images/taxi-publictrans.png,1,YYZ
-79.61457253,43.68140483,"43.68140483, -79.61457253",Shopping,,Shopping,images/shopping.png,,images/shopping.png,1,YYZ
-79.61242676,43.68219625,"43.68219625, -79.61242676",Rail,,Rail,images/rail.png,,images/rail.png,1,YYZ
-79.61180449,43.68322041,"43.68322041, -79.61180449",Parking,,Parking,images/parking.png,,images/parking.png,1,YYZ
-79.61332798,43.68135828,"43.68135828, -79.61332798",Restrooms,,Restrooms,images/restrooms.png,,images/restrooms.png,1,YYZ
-79.61536646,43.68218073,"43.68218073, -79.61536646",Restrooms,,Restrooms,images/restrooms.png,,images/restrooms.png,1,YYZ
-79.6147871,43.680691,"43.680691, -79.6147871",Food and Beverages,,Food and Beverages,images/food-beverages.png,,images/food-beverages.png,1,YYZ
-79.61551666,43.68019442,"43.68019442, -79.61551666",Restrooms,,Restrooms,images/restrooms.png,,images/restrooms.png,1,YYZ
-79.61603165,43.67963576,"43.67963576, -79.61603165",Shopping,,Shopping,images/shopping.png,,images/shopping.png,1,YYZ
-79.61643934,43.67986853,"43.67986853, -79.61643934",Bank/ATM,,Bank/ATM,images/bank-atm.png,,images/bank-atm.png,1,YYZ
-79.61699724,43.67948057,"43.67948057, -79.61699724",Food and Beverages,,Food and Beverages,images/food-beverages.png,,images/food-beverages.png,1,YYZ
-79.61650372,43.67926331,"43.67926331, -79.61650372",Restrooms,,Restrooms,images/restrooms.png,,images/restrooms.png,1,YYZ
-79.61165428,43.67979094,"43.67979094, -79.61165428",Bank/ATM,,Bank/ATM,images/bank-atm.png,,images/bank-atm.png,1,YYZ
-79.6116972,43.67885983,"43.67885983, -79.6116972",Food and Beverages,,Food and Beverages,images/food-beverages.png,,images/food-beverages.png,1,YYZ
-79.6116972,43.67813045,"43.67813045, -79.6116972",Shopping,,Shopping,images/shopping.png,,images/shopping.png,1,YYZ
-79.61238384,43.67687341,"43.67687341, -79.61238384",Restrooms,,Restrooms,images/restrooms.png,,images/restrooms.png,1,YYZ
-79.61105347,43.67685789,"43.67685789, -79.61105347",Restrooms,,Restrooms,images/restrooms.png,,images/restrooms.png,1,YYZ
-79.61174011,43.67685789,"43.67685789, -79.61174011",Bank/ATM,,Bank/ATM,images/bank-atm.png,,images/bank-atm.png,1,YYZ
-79.61238384,43.67673373,"43.67673373, -79.61238384",Shopping,,Shopping,images/shopping.png,,images/shopping.png,1,YYZ
-79.61133242,43.67664062,"43.67664062, -79.61133242",Food and Beverages,,Food and Beverages,images/food-beverages.png,,images/food-beverages.png,1,YYZ
-79.61428285,43.68179278,"43.68179278, -79.61428285",D1,,Gate,,,,1,YYZ
-79.61460471,43.68207986,"43.68207986, -79.61460471",D3,,Gate,,,,1,YYZ
-79.61499095,43.6823747,"43.6823747, -79.61499095",D5,,Gate,,,,1,YYZ
-79.61564541,43.68270833,"43.68270833, -79.61564541",D7,,Gate,,,,1,YYZ
-79.61603165,43.68295661,"43.68295661, -79.61603165",D9,,Gate,,,,1,YYZ
-79.61517334,43.68140483,"43.68140483, -79.61517334",D20,,Gate,,,,1,YYZ
-79.61553812,43.68176951,"43.68176951, -79.61553812",D8/D22,,Gate,,,,1,YYZ
-79.61599946,43.68213418,"43.68213418, -79.61599946",D10/D24,,Gate,,,,1,YYZ
-79.61639643,43.68245229,"43.68245229, -79.61639643",D12/D26,,Gate,,,,1,YYZ
-79.61641788,43.68287903,"43.68287903, -79.61641788",D11/D28,,Gate,,,,1,YYZ
-79.61444378,43.68041943,"43.68041943, -79.61444378",32,,Gate,,,,1,YYZ
-79.61362839,43.68036512,"43.68036512, -79.61362839",51,,Gate,,,,1,YYZ
-79.61294174,43.68012459,"43.68012459, -79.61294174",53,,Gate,,,,1,YYZ
-79.61239457,43.6798375,"43.6798375, -79.61239457",55,,Gate,,,,1,YYZ
-79.61528063,43.68093929,"43.68093929, -79.61528063",D31,,Gate,,,,1,YYZ
-79.6156776,43.680691,"43.680691, -79.6156776",D33,,Gate,,,,1,YYZ
-79.61609602,43.6803884,"43.6803884, -79.61609602",D35,,Gate,,,,1,YYZ
-79.61672902,43.68016338,"43.68016338, -79.61672902",D37,,Gate,,,,1,YYZ
-79.61483002,43.68009355,"43.68009355, -79.61483002",34,,Gate,,,,1,YYZ
-79.6152699,43.67976766,"43.67976766, -79.6152699",36,,Gate,,,,1,YYZ
-79.61562395,43.67952713,"43.67952713, -79.61562395",D38,,Gate,,,,1,YYZ
-79.61715817,43.67985301,"43.67985301, -79.61715817",D39,,Gate,,,,1,YYZ
-79.61758733,43.6795892,"43.6795892, -79.61758733",D40,,Gate,,,,1,YYZ
-79.61739421,43.67924779,"43.67924779, -79.61739421",D41,,Gate,,,,1,YYZ
-79.61708307,43.67902277,"43.67902277, -79.61708307",D42,,Gate,,,,1,YYZ
-79.61671829,43.67891414,"43.67891414, -79.61671829",D43,,Gate,,,,1,YYZ
