Id,Median household income in the past 12 months (in 2015 Inflation-adjusted dollars),Median household income in the past 12 months (in 2014 Inflation-adjusted dollars),Median gross rent 2015,Median gross rent,with other types of income,with public assistance income,total
1500000US220710001001,71023,70625,897,857,22,12,435
1500000US220710001002,45541,45195,891,864,31,29,571
1500000US220710001003,56429,50417,1106,1072,20,0,322
1500000US220710002001,23897,26196,733,713,7,0,236
1500000US220710002002,36771,22321,945,920,0,0,310
1500000US220710003001,26683,28500,624,665,17,4,256
1500000US220710003002,20337,21719,913,958,13,13,237
1500000US220710004001,36411,31938,986,978,112,11,483
1500000US220710004002,21951,25893,743,750,66,5,421
1500000US220710006011,9773,9333,284,258,11,13,146
1500000US220710006012,14044,18929,921,661,43,14,168
1500000US220710006021,30489,27697,940,971,24,19,337
1500000US220710006022,32543,32644,923,936,55,16,239
1500000US220710006023,31065,30865,808,845,20,21,382
1500000US220710006031,18208,19850,1069,926,5,0,197
1500000US220710006032,11417,17344,972,961,33,11,257
1500000US220710006041,24875,31563,942,1040,114,20,453
1500000US220710006042,27385,39167,771,816,31,13,738
1500000US220710006043,26222,27105,969,945,22,5,324
1500000US220710006051,30700,29265,802,696,20,0,378
1500000US220710006052,26125,29167,1272,1280,18,10,174
1500000US220710006053,43125,45962,1539,1491,37,4,230
1500000US220710006061,68788,68409,1073,1027,46,20,538
1500000US220710006062,49444,50083,1438,1398,19,0,567
1500000US220710006063,72386,75117,-,-,51,32,531
1500000US220710006071,64375,63523,-,-,36,0,307
1500000US220710006072,75000,78971,1681,1652,98,0,536
1500000US220710006073,62407,58261,1310,1288,108,0,706
1500000US220710006111,36573,40917,592,583,41,10,536
1500000US220710006112,37679,37659,920,962,89,38,974
1500000US220710006121,161250,142000,625,625,54,0,538
1500000US220710006131,63556,43459,1021,1040,48,0,289
1500000US220710006132,17485,29012,736,807,98,14,520
1500000US220710006133,12601,12455,646,633,176,31,1243
1500000US220710006151,47500,38705,782,777,105,18,621
1500000US220710006152,31542,31891,755,755,123,0,1065
1500000US220710006161,48075,46458,1324,1319,38,0,348
1500000US220710006162,45700,34232,816,846,65,0,491
1500000US220710006163,61250,84891,-,-,79,0,636
1500000US220710006171,31200,31850,823,820,116,0,750
1500000US220710006172,32961,30861,908,893,47,0,1180
1500000US220710006181,139286,143542,-,-,43,0,543
1500000US220710006182,58194,68929,807,706,47,21,750
1500000US220710007011,58194,14773,382,380,0,0,28
1500000US220710007012,21250,13438,-,-,3,0,45
1500000US220710007013,20982,19318,-,-,2,0,74
1500000US220710007014,21705,20250,972,907,11,8,75
1500000US220710007021,16202,17986,868,833,9,17,131
1500000US220710007022,23934,25398,845,1190,2,0,252
1500000US220710007023,12500,10000,779,789,5,10,52
1500000US220710007024,50500,43304,779,988,0,26,176
1500000US220710008001,38125,44792,821,818,0,14,149
1500000US220710008002,21116,19531,882,869,0,47,165
1500000US220710008003,18750,22321,950,1117,20,22,179
1500000US220710009011,19423,27708,-,-,0,0,59
1500000US220710009012,19423,24911,-,-,0,0,81
1500000US220710009013,19423,31818,575,927,0,0,38
1500000US220710009014,17917,18846,918,1038,0,0,124
1500000US220710009021,58125,107813,-,-,0,0,14
1500000US220710009022,38214,50688,-,-,0,0,35
1500000US220710009023,35313,47644,-,-,3,0,67
1500000US220710009024,52500,42417,-,-,7,0,29
1500000US220710009031,27222,28594,690,692,4,0,55
1500000US220710009032,32596,27333,731,731,15,1,88
1500000US220710009033,23295,12292,-,-,0,0,22
1500000US220710009034,13889,12639,-,-,0,0,41
1500000US220710009041,19745,21927,609,536,4,8,193
1500000US220710009042,16500,12188,818,950,10,13,161
