Id,Estimate; Total:,Estimate; Total: - White alone,Estimate; Total: - Black or African American alone,Estimate; Total: - American Indian and Alaska Native alone,Estimate; Total: - Asian alone,Estimate; Total: - Some other race alone,Estimate; Total: - Hispanic
220710054001,406,330,66,0,0,10,20
220710030001,504,7,476,9,0,12,7
220710034003,1451,118,1333,0,0,0,22
220710009023,379,0,379,0,0,0,0
220710050003,645,219,257,0,43,126,196
220710009035,829,0,829,0,0,0,0
220710013021,967,95,872,0,0,0,0
220710040002,551,6,545,0,0,0,0
220710071004,100,27,49,0,0,24,24
220710065004,1147,493,526,7,41,80,167
220710009022,561,0,561,0,0,0,8
220710029003,363,0,363,0,0,0,0
220710009024,655,0,655,0,0,0,0
220710045003,717,0,717,0,0,0,13
220710040004,1034,41,993,0,0,0,8
220710034002,481,21,460,0,0,0,0
220710064001,463,272,150,0,0,41,68
220710013015,608,38,570,0,0,0,0
220710019001,484,109,375,0,0,0,49
220710015004,550,119,431,0,0,0,28
220710019003,792,143,571,0,7,71,126
220710019004,534,0,534,0,0,0,0
220710015003,283,43,219,0,21,0,2
220710014022,588,11,577,0,0,0,0
220710065003,423,248,120,0,0,55,99
220710045002,927,67,860,0,0,0,24
220710075011,469,124,345,0,0,0,0
220710045005,438,30,408,0,0,0,0
220710040001,539,72,451,0,0,16,16
220710050002,386,282,53,0,15,36,88
220710014021,740,82,658,0,0,0,47
220710075012,544,69,475,0,0,0,0
220710009027,688,0,688,0,0,0,7
220710034001,80,0,80,0,0,0,0
220710009011,641,0,641,0,0,0,0
220710007012,992,0,992,0,0,0,0
220710035003,506,41,465,0,0,0,50
220710020001,895,91,786,0,0,18,18
220710065002,753,526,138,0,5,84,166
220710020002,663,106,540,0,0,17,53
220710014024,1008,0,1003,5,0,0,0
220710020003,621,54,567,0,0,0,0
220710009025,563,0,563,0,0,0,0
220710050001,174,102,44,0,0,28,71
220710041003,328,94,220,0,5,9,9
220710076053,468,48,420,0,0,0,0
220710014023,737,46,691,0,0,0,20
220710009021,382,5,377,0,0,0,27
220710035002,755,26,704,0,0,25,6
220710029002,879,17,862,0,0,0,11
220710076052,943,0,937,0,0,6,33
220710029004,566,0,543,0,0,23,23
220710024013,562,309,253,0,0,0,38
220710033063,3493,6,3487,0,0,0,0
220710076041,1315,1315,0,0,0,0,37
220710056032,487,465,0,0,22,0,11
220710033051,733,108,625,0,0,0,0
220710024022,732,235,497,0,0,0,12
220710033083,892,271,615,0,0,6,79
220710024024,746,370,351,14,0,11,0
220710056043,557,557,0,0,0,0,39
220710024023,439,127,267,0,22,23,31
