Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - With public assistance income,Margin of Error; Total: - With public assistance income,Estimate; Total: - No public assistance income,Margin of Error; Total: - No public assistance income
1500000US220710001001,2.2071E+11,"Block Group 1, Census Tract 1, Orleans Parish, Louisiana",435,92,12,18,423,92
1500000US220710001002,2.2071E+11,"Block Group 2, Census Tract 1, Orleans Parish, Louisiana",571,123,29,22,542,119
1500000US220710001003,2.2071E+11,"Block Group 3, Census Tract 1, Orleans Parish, Louisiana",322,79,0,12,322,79
1500000US220710002001,2.2071E+11,"Block Group 1, Census Tract 2, Orleans Parish, Louisiana",236,61,0,12,236,61
1500000US220710002002,2.2071E+11,"Block Group 2, Census Tract 2, Orleans Parish, Louisiana",310,61,0,12,310,61
1500000US220710003001,2.2071E+11,"Block Group 1, Census Tract 3, Orleans Parish, Louisiana",256,60,4,6,252,59
1500000US220710003002,2.2071E+11,"Block Group 2, Census Tract 3, Orleans Parish, Louisiana",237,54,13,13,224,58
1500000US220710004001,2.2071E+11,"Block Group 1, Census Tract 4, Orleans Parish, Louisiana",483,73,11,12,472,74
1500000US220710004002,2.2071E+11,"Block Group 2, Census Tract 4, Orleans Parish, Louisiana",421,83,5,8,416,80
1500000US220710006011,2.2071E+11,"Block Group 1, Census Tract 6.01, Orleans Parish, Louisiana",146,40,13,17,133,42
1500000US220710006012,2.2071E+11,"Block Group 2, Census Tract 6.01, Orleans Parish, Louisiana",168,68,14,21,154,59
1500000US220710006021,2.2071E+11,"Block Group 1, Census Tract 6.02, Orleans Parish, Louisiana",337,63,19,22,318,64
1500000US220710006022,2.2071E+11,"Block Group 2, Census Tract 6.02, Orleans Parish, Louisiana",239,60,16,15,223,60
1500000US220710006023,2.2071E+11,"Block Group 3, Census Tract 6.02, Orleans Parish, Louisiana",382,76,21,20,361,73
1500000US220710006031,2.2071E+11,"Block Group 1, Census Tract 6.03, Orleans Parish, Louisiana",197,57,0,12,197,57
1500000US220710006032,2.2071E+11,"Block Group 2, Census Tract 6.03, Orleans Parish, Louisiana",257,56,11,15,246,56
1500000US220710006041,2.2071E+11,"Block Group 1, Census Tract 6.04, Orleans Parish, Louisiana",453,107,20,23,433,105
1500000US220710006042,2.2071E+11,"Block Group 2, Census Tract 6.04, Orleans Parish, Louisiana",738,146,13,21,725,145
1500000US220710006043,2.2071E+11,"Block Group 3, Census Tract 6.04, Orleans Parish, Louisiana",324,103,5,10,319,104
1500000US220710006051,2.2071E+11,"Block Group 1, Census Tract 6.05, Orleans Parish, Louisiana",378,64,0,12,378,64
1500000US220710006052,2.2071E+11,"Block Group 2, Census Tract 6.05, Orleans Parish, Louisiana",174,49,10,15,164,47
1500000US220710006053,2.2071E+11,"Block Group 3, Census Tract 6.05, Orleans Parish, Louisiana",230,48,4,6,226,47
1500000US220710006061,2.2071E+11,"Block Group 1, Census Tract 6.06, Orleans Parish, Louisiana",538,99,20,24,518,102
1500000US220710006062,2.2071E+11,"Block Group 2, Census Tract 6.06, Orleans Parish, Louisiana",567,109,0,12,567,109
1500000US220710006063,2.2071E+11,"Block Group 3, Census Tract 6.06, Orleans Parish, Louisiana",531,108,32,33,499,109
1500000US220710006071,2.2071E+11,"Block Group 1, Census Tract 6.07, Orleans Parish, Louisiana",307,99,0,12,307,99
1500000US220710006072,2.2071E+11,"Block Group 2, Census Tract 6.07, Orleans Parish, Louisiana",536,93,0,12,536,93
1500000US220710006073,2.2071E+11,"Block Group 3, Census Tract 6.07, Orleans Parish, Louisiana",706,100,0,12,706,100
1500000US220710006111,2.2071E+11,"Block Group 1, Census Tract 6.11, Orleans Parish, Louisiana",536,93,10,15,526,91
1500000US220710006112,2.2071E+11,"Block Group 2, Census Tract 6.11, Orleans Parish, Louisiana",974,106,38,33,936,104
