title,meal,location,season,speciality,url,text,pubdate,author,veg,vegan,GF
Quick Sourdough Waffles,Breakfast,Wisconsin,fall,No,,"1 cup sourdough starter
1 cup flour
1 teaspoon baking soda
1ò2 teaspoon salt
2 tablespoons melted butter (if using salted omit extra salt)
1 egg
2 tablespoons sugar
3ò4 cup milk
mix flour,baking soda and salt.
add starter,butter.milk and the egg.
Mix well - Some lumps are fine.
let sit for a minute or two while heating your skillet. I use a cast iron skillet lightly oiled.
when pan is hot drop by 1/8 c amounts
cook until bubbles appear and then flip after about 45 seconds they are done.
remove from pan and serve as you like with syrup or fruit.",,http://www.food.com/recipe/quick-sourdough-pancakes-329255,yes,no,no
Cheesy Grits and Tomato Gravy,Breakfast,Wisconsin,fall,No,,"The grits part, from Alton Brown:
2 cups whole milk
2 cups water
1 1/2 teaspoons kosher salt
1 cup coarse ground cornmeal
1/2 teaspoon freshly ground black pepper
4 tablespoons unsalted butter
4 ounces sharp Cheddar, shredded
Place the milk, water, and salt into a large, heavy-bottomed pot over medium-high heat and bring to a boil. Once the milk mixture comes to a boil, gradually add the cornmeal while continually whisking. Once all of the cornmeal has been incorporated, decrease the heat to low and cover. Remove lid and whisk frequently, every 3 to 4 minutes, to prevent grits from sticking or forming lumps; make sure to get into corners of pot when whisking. Cook for 20 to 25 minutes or until mixture is creamy.
Remove from the heat, add the pepper and butter, and whisk to combine. Once the butter is melted, gradually whisk in the cheese a little at a time. Serve immediately.
See here for the tomato gravy:
http://southernhospitalityblog.com/grits-and-tomato-gravy/",,http://southernhospitalityblog.com/grits-and-tomato-gravy/ | http://www.foodnetwork.com/recipes/alton-brown/cheese-grits-recipe.html,yes,no,yes
Pumpkin Chocolate Chips Pancake,Breakfast,Wisconsin,fall,No,,"3 eggs
_ cup brown sugar
_ cup olive oil
1_ cups buttermilk
_ cup pumpkin puree
2 teaspoon vanilla
_ teaspoon cinnamon + a dash of nutmeg and ground cloves
2 cups whole wheat flour
2 tablespoons (yep) baking powder
_ teaspoon salt
_ cup water
Whisk the eggs, brown sugar, and olive oil together. Add the buttermilk, pumpkin puree, and vanilla and whisk until smooth.
Stir in the cinnamon, nutmeg, cloves, flour, baking powder, and salt gently until just incorporated. Add the water and stir until smooth.
Pour onto a medium hot griddle and cook for 3-5 minutes per side, until the edges start to look dry and a little more firm. Flip the pancakes and finish cooking for 1-2 minutes on the other side. Serve hot with butter, syrup and any other toppings in the world. I like banana and flax. You can't go wrong!",,http://pinchofyum.com/best-ever-whole-wheat-pumpkin-pancakes,yes,no,no
Buttermilk Pancakes,Breakfast,Wisconsin,spring,Yes,data/img/bittman.jpg,,,Bittman,yes,no,no
Rhubarb Sauce,Breakfast,Wisconsin,spring,No,,Cook down rhubarb and sugar (to taste) in a pan,,Us,yes,yes,yes
Ramp Spinach Egg Benedict,Breakfast,Wisconsin,spring,No,,,,0,yes,,
Buckwheat Cornmeal Scones,Breakfast,Wisconsin,summer,No,,"adapted from Alice MedrichÍs Pure Dessert
1 egg
1/2 cup whole milk
1/4 cup heavy cream
1 1/3 cups all-purpose flour
1/2 cup buckwheat flour
1/3 cup cornmeal
1/3 cup sugar
2 1/2 teaspoons baking powder
1/2 teaspoon salt
6 tablespoons cold unsalted butter
3/4 cup coarsely chopped walnuts
extra milk or cream, for brushing scones
Whisk egg, milk, and cream in a small bowl. Set aside.
In a medium bowl, whisk together the flour, buckwheat flour, cornmeal, sugar, baking powder, and salt. Cut the butter into small pieces and add to the flour mixture. Using a pastry blender or two knives, cut butter into flour, tossing flour to coat butter as you go. When largest pieces of butter are the size of peas, stop. (Alternatively, use a food processor for this step. If you use a food processor, mix flours and other dry ingredients together first, then add butter, and stop cutting when butter pieces are the size of lima beans. Thanks, Melissa Clark!)
Stir walnuts into flour-butter mixture. Add egg mixture to dry ingredients, and use a fork or a strong rubber spatula to incorporate wet and dry ingredients. Stop when the dough looks shaggy „ youÍre not going for smooth here.
Gather the dough into a ball and knead against the side of the bowl a few times, until the dough just holds together.
Turn dough onto lightly floured board or workspace and, using lightly floured hands, gently pat into an 8-inch round or 7-inch square. If dough is round, slice into 8 as you would a pie, or use a 2-inch round cutter to make about 9 round scones (gather the scraps that remain and gently gather them into a round shape without kneading). If dough is square, make three horizontal cuts and three vertical cuts to create 9 square scones. Transfer scones to a plate and refrigerate for 30 minutes.
Preheat oven to 425_. Line a baking sheet with two layers of parchment paper. Place scones 1 inch apart on lined baking sheet. Brush with milk or cream and sprinkle lightly with sugar. Bake until golden brown, 12-15 minutes (mine took 13). Cool on rack; serve warm or at room temperature.
If not serving the same day, reheat scones in a warm oven (200_) for about 5 minutes before serving.",,http://www.notderbypie.com/buckwheat-cornmeal-scones/,yes,no,no
Apple Buckwheat Cornmeal Pancakes,Breakfast,Wisconsin,summer,No,,"1 C unbleached all-purpose flour
1/2 C buckwheat flour
1/2 C cornmeal
2 Tbsp agave nectar, honey, or raw sugar
2 tsp baking powder
1/2 tsp baking soda
dash of salt
1/4 C dried apples, diced
1/2 tsp cinnamon or pumpkin pie spice
1 egg, beaten
1 1/2 C buttermilk
3 tbsp oil
Stir together dry ingredients. Add wet ingredients to dry and whisk together until moistened. Pour by 1/4 to 1/3 C onto hot oiled griddle. Cook until bubbles form and begin to pop (under side should be golden brown), then flip and cook until other side is golden brown.  
Serve hot with your favorite topping.",,http://miraclebabyb.blogspot.com/2013/02/apple-cinnamon-buckwheat-cornmeal.html,yes,no,no
Beans on Toast,Breakfast,Wisconsin,summer,No,,"1 pound dry navy beans
Kosher salt and freshly ground black pepper
2 tablespoons vegetable oil
1 medium onion, finely chopped (about 1 cup)
2 large cloves garlic, finely chopped (about 1 tablespoon)
3 tablespoons brown sugar
3 tablespoons molasses
3 tablespoons Worcestershire sauce
3 tablespoons apple cider vinegar
2 tablespoons tomato paste
3 bay leaves
2 1/2 cups tomato puree
6 cups homemade or store-bought low-sodium chicken broth
8 slices sourdough bread
Chopped parsley, to garnish
1.In a large bowl, cover beans with 1 gallon of cold water. Add 1/4 cup kosher salt and stir to dissolve. Let soak overnight on the counter. The next day, drain in a colander.
2.In a large dutch oven with a tight-fitting lid, heat vegetable oil over medium-high heat until shimmering. Add onion and garlic and cook, stirring frequently, until soft but not brown, about 4 minutes. Add soaked navy beans, brown sugar, molasses, Worcestershire sauce, cider vinegar, tomato paste, bay leaves, tomato puree, and 4 cups chicken stock. Bring to a simmer, then cover and lower heat to low. Cook, stirring occasionally, until beans are cooked, about 5 hours, adding additional stock if beans begin to look dry. Season to taste with salt and pepper.
3.Toast bread, then top with a generous portion of beans and garnish with chopped parsley if desired",,http://www.seriouseats.com/recipes/2012/10/beans-on-toast-recipe.html,yes,no,no
Parmesean Roasted Cauliflower,Lunch or snack or something else,Wisconsin,fall,No,,"1 head cauliflower
1 sliced medium onion
4 thyme sprigs
4 unpeeled garlic cloves
3 tablespoons olive oil
Kosher salt
Freshly ground black pepper
1/2 cup grated Parmesan
Preheat oven to 425ÁF. Cut 1 head cauliflower into florets; toss on a large rimmed baking sheet with 1 sliced medium onion, 4 thyme sprigs, 4 unpeeled garlic cloves, and 3 tablespoons olive oil; season with kosher salt and freshly ground black pepper. Roast, tossing occasionally, until almost tender, 35-40 minutes. Sprinkle with 1/2 cup grated Parmesan, toss to combine, and roast until cauliflower is tender, 10-12 minutes longer.",,http://www.epicurious.com/recipes/food/views/Parmesan-Roasted-Cauliflower-51143020,yes,no,yes
Acorn Squash with Maple Syrup and Soy Sauce,Lunch or snack or something else,Wisconsin,fall,No,,"1 tsp. canola or safflower oil, or canola-oil cooking spray 
2 acorn squashes, each about 1 1/2 lb. 
1/4 cup maple syrup 
1 Tbs. low-sodium soy sauce 
1/2 tsp. peeled and grated fresh ginger 
