county,fips,cand,st,pct_report,votes,total_votes,pct,lead
Los Angeles County,6037,Donald Trump,CA,1,542591,2314275,0.234453987,Hillary Clinton
Cook County,17031,Donald Trump,IL,0.9746,440213,2055215,0.214193162,Hillary Clinton
Harris County,48201,Donald Trump,TX,1,544960,1302887,0.418271116,Hillary Clinton
Maricopa County,4013,Donald Trump,AZ,1,590465,1201934,0.491262415,Donald Trump
Miami-Dade County,12086,Donald Trump,FL,1,333666,978670,0.340938212,Hillary Clinton
King County,53033,Donald Trump,WA,0.8723,191806,883231,0.217164026,Hillary Clinton
Orange County,6059,Donald Trump,CA,1,371268,830206,0.447199852,Hillary Clinton
Broward County,12011,Donald Trump,FL,1,258521,822837,0.314182517,Hillary Clinton
Wayne County,26163,Donald Trump,MI,1,228313,773983,0.294984515,Hillary Clinton
San Diego County,6073,Donald Trump,CA,1,298521,768383,0.388505472,Hillary Clinton
Middlesex County,25017,Donald Trump,MA,1,216163,767337,0.281705431,Hillary Clinton
Clark County,32003,Donald Trump,NV,1,319571,765421,0.417510102,Hillary Clinton
Dallas County,48113,Donald Trump,TX,1,261865,750649,0.348851461,Hillary Clinton
Kings County,36047,Donald Trump,NY,1,133653,746295,0.179088698,Hillary Clinton
Philadelphia County,42101,Donald Trump,PA,0.9875,105418,680227,0.154974736,Hillary Clinton
Hennepin County,27053,Donald Trump,MN,1,191768,672644,0.285095831,Hillary Clinton
Oakland County,26125,Donald Trump,MI,1,289127,663255,0.435921327,Hillary Clinton
Tarrant County,48439,Donald Trump,TX,1,345683,662832,0.521524308,Donald Trump
Palm Beach County,12099,Donald Trump,FL,1,270762,657235,0.411971365,Hillary Clinton
Allegheny County,42003,Donald Trump,PA,1,257488,643173,0.400340188,Hillary Clinton
Queens County,36081,Donald Trump,NY,0.9969,138550,627021,0.220965486,Hillary Clinton
Suffolk County,36103,Donald Trump,NY,1,328403,625720,0.524840184,Donald Trump
Nassau County,36059,Donald Trump,NY,1,275479,599649,0.459400416,Hillary Clinton
Hillsborough County,12057,Donald Trump,FL,1,265928,595072,0.446883738,Hillary Clinton
New York County,36061,Donald Trump,NY,0.9839,58935,591368,0.099658757,Hillary Clinton
Bexar County,48029,Donald Trump,TX,1,240161,586038,0.409804484,Hillary Clinton
Cuyahoga County,39035,Donald Trump,OH,1,179894,583230,0.308444353,Hillary Clinton
Franklin County,39049,Donald Trump,OH,1,192328,554711,0.34671748,Hillary Clinton
Santa Clara County,6085,Donald Trump,CA,1,116196,553336,0.209991759,Hillary Clinton
Orange County,12095,Donald Trump,FL,1,195091,545800,0.357440454,Hillary Clinton
Fairfax County,51059,Donald Trump,VA,1,157837,542858,0.290751909,Hillary Clinton
Riverside County,6065,Donald Trump,CA,1,240013,517200,0.464062258,Hillary Clinton
Wake County,37183,Donald Trump,NC,1,193607,510940,0.378923161,Hillary Clinton
St. Louis County,29189,Donald Trump,MO,1,199081,503493,0.395399737,Hillary Clinton
San Bernardino County,6071,Donald Trump,CA,1,214698,498697,0.43051793,Hillary Clinton
Pinellas County,12103,Donald Trump,FL,1,238746,491520,0.48572998,Donald Trump
Travis County,48453,Donald Trump,TX,1,126750,462511,0.274047536,Hillary Clinton
Mecklenburg County,37119,Donald Trump,NC,1,154303,461834,0.334109225,Hillary Clinton
Milwaukee County,55079,Donald Trump,WI,1,126091,434970,0.28988436,Hillary Clinton
Duval County,12031,Donald Trump,FL,1,210061,428734,0.489956477,Donald Trump
Montgomery County,42091,Donald Trump,PA,1,160803,427489,0.376157047,Hillary Clinton
Alameda County,6001,Donald Trump,CA,1,64010,424517,0.150783125,Hillary Clinton
Macomb County,26099,Donald Trump,MI,1,224589,418773,0.536302484,Donald Trump
DuPage County,17043,Donald Trump,IL,1,164355,412929,0.39802242,Hillary Clinton
Fairfield County,9001,Donald Trump,CT,0.9933,155457,410279,0.378905574,Hillary Clinton
Montgomery County,24031,Donald Trump,MD,1,82985,408300,0.203245163,Hillary Clinton
Fulton County,13121,Donald Trump,GA,1,110372,407173,0.271069054,Hillary Clinton
Hartford County,9003,Donald Trump,CT,1,147912,399219,0.370503408,Hillary Clinton
Hamilton County,39061,Donald Trump,OH,1,169972,395000,0.430308861,Hillary Clinton
Bergen County,34003,Donald Trump,NJ,1,163220,383965,0.425090829,Hillary Clinton
Erie County,36029,Donald Trump,NY,0.9773,173817,383248,0.453536613,Hillary Clinton
Worcester County,25027,Donald Trump,MA,1,157138,380972,0.412466008,Hillary Clinton
Westchester County,36119,Donald Trump,NY,0.9905,121643,378506,0.321376676,Hillary Clinton
Essex County,25009,Donald Trump,MA,1,135405,376140,0.359985644,Hillary Clinton
New Haven County,9009,Donald Trump,CT,1,158373,375909,0.421306752,Hillary Clinton
Sacramento County,6067,Donald Trump,CA,1,133829,373433,0.358374862,Hillary Clinton
Marion County,18097,Donald Trump,IN,1,130228,361070,0.360672446,Hillary Clinton
Pima County,4019,Donald Trump,AZ,1,147019,360762,0.40752352,Hillary Clinton
Bronx County,36005,Donald Trump,NY,1,34424,358857,0.09592679,Hillary Clinton
Norfolk County,25021,Donald Trump,MA,1,119171,357781,0.333083646,Hillary Clinton
Multnomah County,41051,Donald Trump,OR,0.8938,63055,357762,0.176248456,Hillary Clinton
Collin County,48085,Donald Trump,TX,1,200395,356545,0.562046866,Donald Trump
Jefferson County,21111,Donald Trump,KY,1,143758,352934,0.407322616,Hillary Clinton
Prince George's County,24033,Donald Trump,MD,1,29290,351091,0.083425665,Hillary Clinton
Bucks County,42017,Donald Trump,PA,1,163873,342572,0.478360753,Hillary Clinton
Contra Costa County,6013,Donald Trump,CA,1,87211,337297,0.258558481,Hillary Clinton
Baltimore County,24005,Donald Trump,MD,1,131009,335017,0.391051797,Hillary Clinton
Shelby County,47157,Donald Trump,TN,1,114948,331861,0.346373934,Hillary Clinton
Cobb County,13067,Donald Trump,GA,1,152602,326424,0.467496263,Hillary Clinton
Lee County,12071,Donald Trump,FL,1,191141,325797,0.586687416,Donald Trump
