type,description,
Metals recovery,"Metals recovery including retorting, smelting, chemical, etc.",
Solvents recovery,"Solvents recovery (distillation, extraction, etc)",
Other recovery,"Other recovery or reclamation for reuse including acid regeneration, organics recovery, etc.",
Energy recovery,Energy recovery at this site - used as fuel (includes on-site fuel blending before energy recovery),
Fuel blending,Fuel blending prior to energy recovery at another site (waste generated either on site or received from off site),
Incineration,Incineration - thermal destruction other than use as a fuel (includes any preparation prior to burning),
Chemical destruction,Chemical reduction with or without precipitation (includes any preparation or final processes for consolidation of residuals),
Cyanide destruction,Cyanide destruction with or without precipitation (includes any preparation or final processes for consolidation of residuals),
Wet air oxidation,Wet air oxidation (includes any preparation or final processes for consolidation of residuals),
Chemical oxidation,Chemical oxidation (includes any preparation or final processes for consolidation of residuals),
Other chemical precipitation,Other chemical precipitation with or without pre-treatment (includes processes for consolidation of residuals),
Biological treatment,Biological treatment with or without precipitation (includes any preparation or final processes for consolidation of residuals),
Adsorption (as the major component of treatment),Adsorption (as the major component of treatment),
Air or steam stripping ,Air or steam stripping (as the major component of treatment),
Sludge treatment and/or dewatering,Sludge treatment and/or dewatering (as the major component of treatment),
Other chemical precipitation,Other chemical precipitation,
Absorption (as the major component of treatment),Absorption (as the major component of treatment),
Stabilization or chemical fixation,Stabilization or chemical fixation prior to disposal at another site (as the major component of treatment),
Macro-encapsulation,Macro-encapsulation prior to disposal at another site (as the major component of treatment),
Neutralization only,Neutralization only (no other treatment),
Evaporation,Evaporation (as the major component of treatment; not reportable as H071-H083),
Settling or clarification,Settling or clarification (as the major component of treatment; not reportable as H071-H083),
Phase separation,Phase separation (as the major component of treatment; not reportable as H071-H083),
Other treatment,Other treatment (specified in comments),
Land treatment or application,Land treatment or application (to include on-site treatment and/or stabilization),
Landfill or surface impoundment,Landfill or surface impoundment that will be closed as landfill (to include prior treatment and/or stabilization),
Deepwell or underground injection,Deepwell or underground injection (with or without treatment; this waste was counted as hazardous waste),
Discharge to sewer/POTW or NPDES,Discharge to sewer/POTW or NPDES (with prior storage - with or without treatment),
Off site treatment,"The site receiving this waste stored/bulked and transferred the waste with no treatment or recovery, fuel blending, or disposal at that receiving site.",
"Environmentally hazardous substances, solid, n.o.s.",This substance is hazardous to the environment due to the various chemicals in the waste.   <a href='https://en.wikipedia.org/wiki/Environmentally_hazardous' target='_blank'>Wikipedia</a>,UN3077
Isopropanol or  Isopropyl alcohol,Description coming soon….,UN1219
"Flammable liquids, n.o.s.","Liquids that give off a vapor capable of catching fire.  The substance is not otherwise specified, so specific hazards are unknown.  <a href='https://en.wikipedia.org/wiki/Flammable_liquid' target='_blank'>Wikipedia</a>",UN1993
"Paint including paint, lacquer, enamel, stain, shellac solutions, varnish, polish, liquid filler, and liquid lacquer base","Paint related materials are hazardous because they contain Volatile Organic Compounds (VOCs), which can range from irritants to carginogens.  <a href='https://en.wikipedia.org/wiki/Paint#Dangers' target='_blank'>Wikipedia [Paint]</a>, <a href='https://en.wikipedia.org/wiki/Volatile_organic_compound#Health_risks' target = '_blank'>Wikipedia [VOCs]</a>",UN1263
"Self-heating solid, inorganic, n.o.s.",Description coming soon….,UN3190
"Aerosols, corrosive, Packing Group II or III, (each not exceeding 1 L capacity)",Description coming soon….,UN1950
"Toxic liquids, flammable, organic, n.o.s.","A carbon-containg liquid, which gives off a vapor capable of catching fire.   <a href='https://en.wikipedia.org/wiki/Toxicity' target = '_blank'>Wikipedia [Toxicity]</a>, <a href='https://en.wikipedia.org/wiki/Flammable_liquid' target='_blank'>Wikipedia [Flammable liquid]</a>",UN2929
"Batteries, wet, filled with acid, electric storage",Description coming soon….,UN2794
"Hazardous waste, solid, n.o.s.",This waste is in the solid state and can cause harm to or danger the health of humans and/or the environment.   <a href='http://www3.epa.gov/epawaste/hazard/' target='_blank'>EPA</a>,NA3077
"Carbon, activated",Description coming soon….,UN1362
"Resin solution, flammable",Description coming soon….,UN1866
"Corrosive liquid, basic, inorganic, n.o.s.","A corrosive liquid is one which can degrade another substance, typically a solid.  This substance is inorganic due to the compound containing no carbon, and acidic because it has a pH < 7. ",UN3266
